stop_id,stop_name,stop_lat,stop_lon
8220B1000401,"Clare Street, stop 100041",53.34143382,-6.251562178
8220B100061,"Donnybrook Stadium, stop 100061",53.31992266,-6.233092929
8220B100071,"Donnybrook Stadium, stop 100071",53.32019859,-6.233516844
8220B100131,"Wilton Terrace, stop 100131",53.33239567,-6.252442403
8220B100351,"Merrion Sq North, stop 100351",53.34094273,-6.249945298
8220B100421,"Merrion Street, stop 100421",53.33936739,-6.252232409
8220B100431,"Beckett Bridge, stop 100431",53.34777958,-6.242395312
8220B100461,"Merrion Road, stop 100461",53.32835551,-6.228375428
8220B1008801,"Whitworth Rd Lower, stop 100881",53.36197541,-6.260427638
8220B1008901,"Bottom of the Hill, stop 100891",53.38626761,-6.297022268
8220B1009001,"St Margaret's Road, stop 100901",53.40019823,-6.308346659
8220B1011301,"North Road, stop 101131",53.4001465,-6.307867468
8220B1011401,"Bottom of the Hill, stop 101141",53.38674606,-6.297168544
8220B1011501,"Glasnevin, stop 101151",53.36994293,-6.278061751
8220B1012501,"Kempton Avenue, stop 101251",53.37152313,-6.329802105
8220B1021101,"Batchelors Walk, stop 102111",53.34683327,-6.262471158
8220B1021601,"Fitzwilliam Place, stop 102161",53.33317461,-6.254077263
8220B1021801,"Donnybrook Church, stop 102181",53.31859714,-6.23098621
8220B1044901,"St Peter's Church, stop 104491",53.36076341,-6.276628931
8220B1045001,"Kempton Avenue, stop 104501",53.37158754,-6.330551021
8220B1045901,"St Peter's Church, stop 104591",53.36085355,-6.276024292
8220B1046001,"Mater Hospital, stop 104601",53.3596828,-6.26965603
8220B1046101,"Merrion Row, stop 104611",53.33853319,-6.254804441
8220B1050001,"College Street, stop 105001",53.34378357,-6.259200863
8220B1063801,"RTE, stop 106381",53.31469974,-6.225774202
8220B106401,Lesson Street Lower,53.33501964,-6.256089124
8220B106421,"3Arena, stop 106421",53.34687937,-6.228929159
8220B10995,"Heuston Station, stop 10995",53.34585754,-6.293887148
8220B111751,"Walnut Rise, stop 111751",53.36019299,-6.272610274
8220B111761,"Westland Row Church, stop 111761",53.34262625,-6.250131666
8220B111771,"Irish Life, stop 111771",53.34911514,-6.255618916
8220B123511,"Convention Centre, stop 123511",53.34746106,-6.239689719
8220B123521,"Jurys Hotel, stop 123521",53.34798146,-6.246953268
8220B123531,"North Wall Quay, stop 123531",53.34790348,-6.247151735
8220B1262001,"Harts Corner, stop 126201",53.36679622,-6.272403219
8220B134961,"Dublin Busáras, stop 134961",53.34991272,-6.25238682
8220B1349901,"Parnell Square East, stop 134991",53.35368976,-6.262372523
8220B135001,"Busáras, stop 135001",53.34957178,-6.251814943
8220B1350201,"DCU, stop 135021",53.38688888,-6.256630573
8220B1350301,"Gardiner St Lower, stop 135031",53.34875493,-6.254957686
8220B1350801,"Kildare Street, stop 135081",53.34013565,-6.255595015
8220B1351001,"Wellington Quay, stop 135101",53.34586418,-6.263817293
8220B1351201,"Connolly Station, stop 135121",53.35021802,-6.250526702
8220B1351401,"George's Quay, stop 135141",53.3473827,-6.253316436
8220B1352701,"Custom House Quay, stop 135271",53.3483592,-6.253712111
8220B135301,"Leeson St Lower, stop 135301",53.33549836,-6.256249786
8220B1353101,"Wilton Terrace, stop 135311",53.33345103,-6.249020773
8220B1353201,"Baggot St Lower, stop 135321",53.33643766,-6.24858307
8220B1353301,"Dawson Street, stop 135331",53.34013437,-6.258583611
8220B1353501,"Eden Quay, stop 135351",53.34779997,-6.258496472
8220B1354001,"Heuston Station, stop 135401",53.3460012,-6.29261975
8220B135411,"Wilton Terrace, stop 135411",53.33240421,-6.252412023
8220B1354201,"Heuston Station, stop 135421",53.34619667,-6.292461739
8220B1358201,"Mater Hospital, stop 135821",53.36042913,-6.268438819
8220B1358401,"D'Olier Street, stop 135841",53.34667296,-6.258257029
8220B136151,"Pembroke Street Lwr, stop 136151",53.33717512,-6.251676341
8220B136551,"Grand Parade, stop 136551",53.33114508,-6.252358396
8220B3551501,"Vincent's Hospital, stop 355151",53.317358,-6.215982548
8220DB000002,"Parnell Square West, stop 2",53.35224436,-6.263723219
8220DB000003,"Parnell Square West, stop 3",53.35230855,-6.263810742
8220DB000004,"Parnell Square West, stop 4",53.35257451,-6.264175486
8220DB000006,"Parnell Square West, stop 6",53.35274934,-6.264453804
8220DB000007,"Parnell Square West, stop 7",53.35284091,-6.264570261
8220DB000008,"Parnell Square West, stop 8",53.35327227,-6.265183677
8220DB000010,"Parnell Square West, stop 10",53.3533921,-6.265389124
8220DB000011,"St Joseph's Parade, stop 11",53.35681523,-6.264679195
8220DB000012,"Upper Dorset Street, stop 12",53.35710752,-6.264381867
8220DB000014,"Dorset Street Lower, stop 14",53.35853124,-6.262776506
