Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000400,"Shaw Street, stop 400",53.34484912,-6.253389973,12216.3.60-1-b12-1.2.I,06:30:00,06:30:00,1, Shanard Road,0.0,60-1-b12-1,1,b12
1,8220DB000319,"Westmoreland Street, stop 319",53.34627443,-6.259279614,12216.3.60-1-b12-1.2.I,06:32:17,06:32:17,2, Shanard Road,501.88,60-1-b12-1,1,b12
2,8220DB000278,"O'Connell St Upper, stop 278",53.35156087,-6.261227336,12216.3.60-1-b12-1.2.I,06:35:02,06:35:02,3, Shanard Road,1110.06,60-1-b12-1,1,b12
3,8220DB000010,"Parnell Square West, stop 10",53.3533921,-6.265389124,12216.3.60-1-b12-1.2.I,06:36:58,06:36:58,5, Shanard Road,1555.11,60-1-b12-1,1,b12
4,8220DB000012,"Upper Dorset Street, stop 12",53.35710752,-6.264381867,12216.3.60-1-b12-1.2.I,06:38:39,06:38:39,6, Shanard Road,2060.35,60-1-b12-1,1,b12
5,8220DB000014,"Dorset Street Lower, stop 14",53.35853124,-6.262776506,12216.3.60-1-b12-1.2.I,06:39:31,06:39:31,7, Shanard Road,2249.53,60-1-b12-1,1,b12
6,8220DB000015,"Innisfallen Parade, stop 15",53.36026671,-6.260978043,12216.3.60-1-b12-1.2.I,06:40:32,06:40:32,8, Shanard Road,2478.8,60-1-b12-1,1,b12
7,8220DB000017,"Drumcondra Rail Stn, stop 17",53.36307832,-6.258399288,12216.3.60-1-b12-1.2.I,06:41:38,06:41:38,9, Shanard Road,2834.39,60-1-b12-1,1,b12
8,8220DB000018,"Dargle Road, stop 18",53.36585593,-6.255956821,12216.3.60-1-b12-1.2.I,06:42:22,06:42:22,10, Shanard Road,3185.43,60-1-b12-1,1,b12
9,8220DB000019,"Botanic Avenue, stop 19",53.36723488,-6.255599941,12216.3.60-1-b12-1.2.I,06:42:42,06:42:42,11, Shanard Road,3342.83,60-1-b12-1,1,b12
10,8220DB000021,"DCU St Patrick's, stop 21",53.3701012,-6.254310599,12216.3.60-1-b12-1.2.I,06:43:22,06:43:22,12, Shanard Road,3670.14,60-1-b12-1,1,b12
11,8220DB007602,"DCU St Patrick’s, stop 7602",53.37155351,-6.253439645,12216.3.60-1-b12-1.2.I,06:43:39,06:43:39,13, Shanard Road,3844.81,60-1-b12-1,1,b12
12,8220DB000085,"Wellpark Avenue, stop 85",53.37395795,-6.25191343,12216.3.60-1-b12-1.2.I,06:44:07,06:44:07,14, Shanard Road,4129.64,60-1-b12-1,1,b12
13,8220DB000203,"Whitehall College, stop 203",53.37639279,-6.250010028,12216.3.60-1-b12-1.2.I,06:44:44,06:44:44,15, Shanard Road,4425.18,60-1-b12-1,1,b12
14,8220DB000204,"Highfield Hospital, stop 204",53.37958836,-6.246662193,12216.3.60-1-b12-1.2.I,06:45:35,06:45:35,16, Shanard Road,4847.81,60-1-b12-1,1,b12
15,8220DB000205,"Iveragh Road, stop 205",53.38137533,-6.245326047,12216.3.60-1-b12-1.2.I,06:46:02,06:46:02,17, Shanard Road,5065.5,60-1-b12-1,1,b12
16,8220DB001620,"Whitehall Church, stop 1620",53.38326286,-6.244105913,12216.3.60-1-b12-1.2.I,06:46:35,06:46:35,18, Shanard Road,5290.73,60-1-b12-1,1,b12
17,8220DB000220,"Swords Road, stop 220",53.38794054,-6.244980841,12216.3.60-1-b12-1.2.I,06:48:03,06:48:03,19, Shanard Road,5870.91,60-1-b12-1,1,b12
18,8240DB000221,"Shanowen Road, stop 221",53.3897213,-6.246892234,12216.3.60-1-b12-1.2.I,06:48:42,06:48:42,20, Shanard Road,6140.26,60-1-b12-1,1,b12
19,8240DB000222,"Shanliss Road, stop 222",53.38994545,-6.249303717,12216.3.60-1-b12-1.2.I,06:49:10,06:49:10,21, Shanard Road,6332.23,60-1-b12-1,1,b12
20,8240DB000223,"Shanliss Drive, stop 223",53.39106235,-6.251919204,12216.3.60-1-b12-1.2.I,06:49:46,06:49:46,22, Shanard Road,6591.02,60-1-b12-1,1,b12
21,8240DB000224,"Shanard Road, stop 224",53.39083484,-6.254183878,12216.3.60-1-b12-1.2.I,06:50:14,06:50:14,23, Shanard Road,6771.65,60-1-b12-1,1,b12
22,8240DB000225,"Shanowen Avenue, stop 225",53.39066668,-6.257438451,12216.3.60-1-b12-1.2.I,06:50:50,06:50:50,24, Shanard Road,7024.44,60-1-b12-1,1,b12
23,8240DB000226,"Shanard Avenue, stop 226",53.39114056,-6.262200464,12216.3.60-1-b12-1.2.I,06:51:38,06:51:38,25, Shanard Road,7345.11,60-1-b12-1,1,b12
