Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
48,8240DB000226,"Shanard Avenue, stop 226",53.39114056,-6.262200464,12217.3.60-1-b12-1.1.O,07:30:00,07:30:00,1, Shaw street,0.0,60-1-b12-1,1,b12
49,8220DB000228,"Shanliss Road, stop 228",53.39187739,-6.259719573,12217.3.60-1-b12-1.1.O,07:30:48,07:30:48,2, Shaw street,267.48,60-1-b12-1,1,b12
50,8240DB000229,"Oldtown Road, stop 229",53.39139952,-6.256536433,12217.3.60-1-b12-1.1.O,07:31:29,07:31:29,3, Shaw street,483.53,60-1-b12-1,1,b12
51,8240DB000227,"Shanliss Drive, stop 227",53.39114381,-6.251344506,12217.3.60-1-b12-1.1.O,07:32:34,07:32:34,4, Shaw street,834.47,60-1-b12-1,1,b12
52,8240DB000230,"Shanowen Road, stop 230",53.38988802,-6.249065508,12217.3.60-1-b12-1.1.O,07:33:16,07:33:16,5, Shaw street,1063.49,60-1-b12-1,1,b12
53,8240DB000231,"Shanvarna Road Est, stop 231",53.38924008,-6.245949764,12217.3.60-1-b12-1.1.O,07:34:10,07:34:10,6, Shaw street,1355.41,60-1-b12-1,1,b12
54,8220DB001641,"Ellenfield Park, stop 1641",53.38652728,-6.242392966,12217.3.60-1-b12-1.1.O,07:35:20,07:35:20,7, Shaw street,1823.31,60-1-b12-1,1,b12
55,8220DB001642,"Whitehall Church, stop 1642",53.38394789,-6.243626722,12217.3.60-1-b12-1.1.O,07:36:04,07:36:04,8, Shaw street,2123.07,60-1-b12-1,1,b12
56,8220DB000213,"Iveragh Road, stop 213",53.38144954,-6.244872024,12217.3.60-1-b12-1.1.O,07:36:49,07:36:49,9, Shaw street,2412.19,60-1-b12-1,1,b12
57,8220DB000214,"Highfield Hospital, stop 214",53.37940848,-6.246654552,12217.3.60-1-b12-1.1.O,07:37:25,07:37:25,10, Shaw street,2666.6,60-1-b12-1,1,b12
58,8220DB004432,"Griffith Downs, stop 4432",53.37720747,-6.248563719,12217.3.60-1-b12-1.1.O,07:38:02,07:38:02,11, Shaw street,2942.25,60-1-b12-1,1,b12
59,8220DB000119,"The Village, stop 119",53.37519048,-6.250765745,12217.3.60-1-b12-1.1.O,07:38:42,07:38:42,12, Shaw street,3211.04,60-1-b12-1,1,b12
60,8220DB000044,"Skylon Hotel, stop 44",53.37301741,-6.252132303,12217.3.60-1-b12-1.1.O,07:39:19,07:39:19,13, Shaw street,3470.4,60-1-b12-1,1,b12
61,8220DB007603,"St Patrick's College, stop 7603",53.37157673,-6.253183204,12217.3.60-1-b12-1.1.O,07:39:45,07:39:45,14, Shaw street,3644.58,60-1-b12-1,1,b12
62,8220DB000045,"DCU St Patrick's, stop 45",53.36993643,-6.254106941,12217.3.60-1-b12-1.1.O,07:40:16,07:40:16,15, Shaw street,3838.53,60-1-b12-1,1,b12
63,8220DB000046,"Botanic Avenue, stop 46",53.36713102,-6.255258557,12217.3.60-1-b12-1.1.O,07:41:05,07:41:05,16, Shaw street,4165.13,60-1-b12-1,1,b12
64,8220DB000047,"Drumcondra Rail Stn, stop 47",53.36391612,-6.257298257,12217.3.60-1-b12-1.1.O,07:42:04,07:42:04,17, Shaw street,4544.68,60-1-b12-1,1,b12
65,8220DB000048,"Fitzroy Avenue, stop 48",53.36225739,-6.258808412,12217.3.60-1-b12-1.1.O,07:42:51,07:42:51,18, Shaw street,4754.91,60-1-b12-1,1,b12
66,8220DB000049,"Dorset Street Lower, stop 49",53.36000424,-6.260853508,12217.3.60-1-b12-1.1.O,07:43:58,07:43:58,19, Shaw street,5041.3,60-1-b12-1,1,b12
67,8220DB000051,"Temple Street, stop 51",53.35781041,-6.263271572,12217.3.60-1-b12-1.1.O,07:45:03,07:45:03,20, Shaw street,5331.53,60-1-b12-1,1,b12
68,8220DB000052,"Dorset Street Upper, stop 52",53.35666078,-6.264565282,12217.3.60-1-b12-1.1.O,07:45:38,07:45:38,21, Shaw street,5488.29,60-1-b12-1,1,b12
69,8220DB000265,"Parnell Square East, stop 265",53.35336157,-6.262055381,12217.3.60-1-b12-1.1.O,07:47:28,07:47:28,22, Shaw street,6056.86,60-1-b12-1,1,b12
70,8220DB000271,"O'Connell St Lower, stop 271",53.34859636,-6.25948542,12217.3.60-1-b12-1.1.O,07:49:51,07:49:51,23, Shaw street,6616.0,60-1-b12-1,1,b12
71,8220DB000340,"Townsend Street, stop 340",53.34597512,-6.256017478,12217.3.60-1-b12-1.1.O,07:52:06,07:52:06,24, Shaw street,7043.03,60-1-b12-1,1,b12
72,8220DB007865,"Shaw Street, stop 7865",53.3451181,-6.252117333,12217.3.60-1-b12-1.1.O,07:53:33,07:53:33,25, Shaw street,7373.48,60-1-b12-1,1,b12
