Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
2832,8220DB006122,"St Pappin's Road, stop 6122",53.38637271,-6.274301664,15586.2.60-11-b12-1.14.O,23:30:00,23:30:00,1, O'Connell Street,0.0,60-11-b12-1,11,b12
2833,8220DB000035,"Dean Swift Road, stop 35",53.38620679,-6.270910693,15586.2.60-11-b12-1.14.O,23:30:31,23:30:31,2, O'Connell Street,257.4,60-11-b12-1,11,b12
2834,8220DB000036,"Maolbuille Road, stop 36",53.38612685,-6.26787707,15586.2.60-11-b12-1.14.O,23:30:56,23:30:56,3, O'Connell Street,459.04,60-11-b12-1,11,b12
2835,8220DB000037,"DCU Ballymun Road, stop 37",53.3853464,-6.264886981,15586.2.60-11-b12-1.14.O,23:31:29,23:31:29,4, O'Connell Street,719.54,60-11-b12-1,11,b12
2836,8220DB000038,"Hampstead Avenue, stop 38",53.38223659,-6.265509521,15586.2.60-11-b12-1.14.O,23:32:13,23:32:13,5, O'Connell Street,1067.78,60-11-b12-1,11,b12
2837,8220DB000039,"The Rise, stop 39",53.38041419,-6.265658759,15586.2.60-11-b12-1.14.O,23:32:39,23:32:39,6, O'Connell Street,1270.66,60-11-b12-1,11,b12
2838,8220DB000040,"Stella Avenue, stop 40",53.37666077,-6.264668969,15586.2.60-11-b12-1.14.O,23:33:24,23:33:24,7, O'Connell Street,1693.44,60-11-b12-1,11,b12
2839,8220DB000041,"Home Farm Road, stop 41",53.37555927,-6.261858006,15586.2.60-11-b12-1.14.O,23:33:51,23:33:51,8, O'Connell Street,1951.7,60-11-b12-1,11,b12
2840,8220DB000042,"Corpus Christi NS, stop 42",53.37465027,-6.25746119,15586.2.60-11-b12-1.14.O,23:34:23,23:34:23,9, O'Connell Street,2260.36,60-11-b12-1,11,b12
2841,8220DB000043,"Achill Road, stop 43",53.37386122,-6.25390131,15586.2.60-11-b12-1.14.O,23:34:57,23:34:57,10, O'Connell Street,2511.64,60-11-b12-1,11,b12
2842,8220DB000044,"Skylon Hotel, stop 44",53.37301741,-6.252132303,15586.2.60-11-b12-1.14.O,23:35:21,23:35:21,11, O'Connell Street,2687.68,60-11-b12-1,11,b12
2843,8220DB007603,"St Patrick's College, stop 7603",53.37157673,-6.253183204,15586.2.60-11-b12-1.14.O,23:35:44,23:35:44,12, O'Connell Street,2861.86,60-11-b12-1,11,b12
2844,8220DB000045,"DCU St Patrick's, stop 45",53.36993643,-6.254106941,15586.2.60-11-b12-1.14.O,23:36:11,23:36:11,13, O'Connell Street,3055.81,60-11-b12-1,11,b12
2845,8220DB000046,"Botanic Avenue, stop 46",53.36713102,-6.255258557,15586.2.60-11-b12-1.14.O,23:36:46,23:36:46,14, O'Connell Street,3382.41,60-11-b12-1,11,b12
2846,8220DB000047,"Drumcondra Rail Stn, stop 47",53.36391612,-6.257298257,15586.2.60-11-b12-1.14.O,23:37:27,23:37:27,15, O'Connell Street,3761.96,60-11-b12-1,11,b12
2847,8220DB000048,"Fitzroy Avenue, stop 48",53.36225739,-6.258808412,15586.2.60-11-b12-1.14.O,23:38:16,23:38:16,16, O'Connell Street,3972.19,60-11-b12-1,11,b12
2848,8220DB000049,"Dorset Street Lower, stop 49",53.36000424,-6.260853508,15586.2.60-11-b12-1.14.O,23:39:26,23:39:26,17, O'Connell Street,4258.58,60-11-b12-1,11,b12
2849,8220DB000051,"Temple Street, stop 51",53.35781041,-6.263271572,15586.2.60-11-b12-1.14.O,23:40:11,23:40:11,18, O'Connell Street,4548.81,60-11-b12-1,11,b12
2850,8220DB000052,"Dorset Street Upper, stop 52",53.35666078,-6.264565282,15586.2.60-11-b12-1.14.O,23:40:36,23:40:36,19, O'Connell Street,4705.57,60-11-b12-1,11,b12
2851,8220DB000261,"Parnell Square East, stop 261",53.35405628,-6.262853361,15586.2.60-11-b12-1.14.O,23:41:45,23:41:45,20, O'Connell Street,5179.88,60-11-b12-1,11,b12
2852,8220DB000271,"O'Connell St Lower, stop 271",53.34859636,-6.25948542,15586.2.60-11-b12-1.14.O,23:43:16,23:43:16,21, O'Connell Street,5833.26,60-11-b12-1,11,b12
