Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
126,8220DB006122,"St Pappin's Road, stop 6122",53.38637271,-6.274301664,15564.2.60-11-b12-1.15.O,10:30:00,10:30:00,1, Sandyford B.D.,0.0,60-11-b12-1,11,b12
127,8220DB000035,"Dean Swift Road, stop 35",53.38620679,-6.270910693,15564.2.60-11-b12-1.15.O,10:30:40,10:30:40,2, Sandyford B.D.,257.4,60-11-b12-1,11,b12
128,8220DB000036,"Maolbuille Road, stop 36",53.38612685,-6.26787707,15564.2.60-11-b12-1.15.O,10:31:13,10:31:13,3, Sandyford B.D.,459.04,60-11-b12-1,11,b12
129,8220DB000037,"DCU Ballymun Road, stop 37",53.3853464,-6.264886981,15564.2.60-11-b12-1.15.O,10:31:56,10:31:56,4, Sandyford B.D.,719.54,60-11-b12-1,11,b12
130,8220DB000038,"Hampstead Avenue, stop 38",53.38223659,-6.265509521,15564.2.60-11-b12-1.15.O,10:32:53,10:32:53,5, Sandyford B.D.,1067.78,60-11-b12-1,11,b12
131,8220DB000039,"The Rise, stop 39",53.38041419,-6.265658759,15564.2.60-11-b12-1.15.O,10:33:25,10:33:25,6, Sandyford B.D.,1270.66,60-11-b12-1,11,b12
132,8220DB000040,"Stella Avenue, stop 40",53.37666077,-6.264668969,15564.2.60-11-b12-1.15.O,10:34:30,10:34:30,7, Sandyford B.D.,1693.44,60-11-b12-1,11,b12
133,8220DB000041,"Home Farm Road, stop 41",53.37555927,-6.261858006,15564.2.60-11-b12-1.15.O,10:35:10,10:35:10,8, Sandyford B.D.,1951.7,60-11-b12-1,11,b12
134,8220DB000042,"Corpus Christi NS, stop 42",53.37465027,-6.25746119,15564.2.60-11-b12-1.15.O,10:35:58,10:35:58,9, Sandyford B.D.,2260.36,60-11-b12-1,11,b12
135,8220DB000043,"Achill Road, stop 43",53.37386122,-6.25390131,15564.2.60-11-b12-1.15.O,10:37:16,10:37:16,10, Sandyford B.D.,2511.64,60-11-b12-1,11,b12
136,8220DB000044,"Skylon Hotel, stop 44",53.37301741,-6.252132303,15564.2.60-11-b12-1.15.O,10:38:11,10:38:11,11, Sandyford B.D.,2687.68,60-11-b12-1,11,b12
137,8220DB007603,"St Patrick's College, stop 7603",53.37157673,-6.253183204,15564.2.60-11-b12-1.15.O,10:39:05,10:39:05,12, Sandyford B.D.,2861.86,60-11-b12-1,11,b12
138,8220DB000045,"DCU St Patrick's, stop 45",53.36993643,-6.254106941,15564.2.60-11-b12-1.15.O,10:40:07,10:40:07,13, Sandyford B.D.,3055.81,60-11-b12-1,11,b12
139,8220DB000046,"Botanic Avenue, stop 46",53.36713102,-6.255258557,15564.2.60-11-b12-1.15.O,10:41:13,10:41:13,14, Sandyford B.D.,3382.41,60-11-b12-1,11,b12
140,8220DB000047,"Drumcondra Rail Stn, stop 47",53.36391612,-6.257298257,15564.2.60-11-b12-1.15.O,10:42:33,10:42:33,15, Sandyford B.D.,3761.96,60-11-b12-1,11,b12
