Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8250DB000449,"Blackthorn Road, stop 449",53.27632283,-6.216927379,15563.2.60-11-b12-1.16.I,09:15:00,09:15:00,1, St Pappin's Rd,0.0,60-11-b12-1,11,b12
1,8250DB000450,"Heather Road, stop 450",53.27509405,-6.213499669,15563.2.60-11-b12-1.16.I,09:15:31,09:15:31,2, St Pappin's Rd,283.28,60-11-b12-1,11,b12
2,8250DB003181,"Carmanhall Road, stop 3181",53.27673392,-6.207777904,15563.2.60-11-b12-1.16.I,09:16:35,09:16:35,3, St Pappin's Rd,820.31,60-11-b12-1,11,b12
3,8250DB000451,"Blackthorn Drive, stop 451",53.2783061,-6.207727113,15563.2.60-11-b12-1.16.I,09:17:05,09:17:05,4, St Pappin's Rd,1053.21,60-11-b12-1,11,b12
4,8250DB000447,"Stillorgan Luas, stop 447",53.28021817,-6.210556493,15563.2.60-11-b12-1.16.I,09:17:50,09:17:50,5, St Pappin's Rd,1422.7,60-11-b12-1,11,b12
5,8250DB005045,"St Raphaela's Road, stop 5045",53.28357696,-6.209171297,15563.2.60-11-b12-1.16.I,09:18:37,09:18:37,6, St Pappin's Rd,1814.89,60-11-b12-1,11,b12
6,8250DB004460,"Whately Place, stop 4460",53.28728248,-6.208131349,15563.2.60-11-b12-1.16.I,09:19:33,09:19:33,7, St Pappin's Rd,2233.75,60-11-b12-1,11,b12
7,8250DB000453,"Kilmacud Park, stop 453",53.28858628,-6.207566788,15563.2.60-11-b12-1.16.I,09:19:52,09:19:52,8, St Pappin's Rd,2384.26,60-11-b12-1,11,b12
8,8250DB000454,"South Avenue, stop 454",53.28911613,-6.209929607,15563.2.60-11-b12-1.16.I,09:20:23,09:20:23,9, St Pappin's Rd,2620.12,60-11-b12-1,11,b12
9,8250DB004475,"Dale Drive, stop 4475",53.28906431,-6.212466772,15563.2.60-11-b12-1.16.I,09:20:46,09:20:46,10, St Pappin's Rd,2789.76,60-11-b12-1,11,b12
10,8250DB003023,"Mount Anville NS, stop 3023",53.28878713,-6.217968302,15563.2.60-11-b12-1.16.I,09:21:35,09:21:35,11, St Pappin's Rd,3157.75,60-11-b12-1,11,b12
11,8250DB003024,"Drummartin Park, stop 3024",53.28897599,-6.222190423,15563.2.60-11-b12-1.16.I,09:22:08,09:22:08,12, St Pappin's Rd,3439.13,60-11-b12-1,11,b12
12,8250DB003025,"Drummartin Close, stop 3025",53.28900152,-6.225714349,15563.2.60-11-b12-1.16.I,09:22:36,09:22:36,13, St Pappin's Rd,3676.16,60-11-b12-1,11,b12
13,8250DB003026,"Drummartin Road, stop 3026",53.29085058,-6.227962805,15563.2.60-11-b12-1.16.I,09:23:30,09:23:30,14, St Pappin's Rd,3977.92,60-11-b12-1,11,b12
14,8250DB003027,"Knocknashee, stop 3027",53.29219672,-6.22903216,15563.2.60-11-b12-1.16.I,09:23:58,09:23:58,15, St Pappin's Rd,4144.19,60-11-b12-1,11,b12
15,8250DB003028,"Goatstown Road, stop 3028",53.29470702,-6.231628648,15563.2.60-11-b12-1.16.I,09:24:36,09:24:36,16, St Pappin's Rd,4473.96,60-11-b12-1,11,b12
16,8250DB003029,"Goatstown Avenue, stop 3029",53.29630433,-6.233272938,15563.2.60-11-b12-1.16.I,09:25:01,09:25:01,17, St Pappin's Rd,4684.06,60-11-b12-1,11,b12
17,8250DB003030,"Larchfield Road, stop 3030",53.29915719,-6.233515255,15563.2.60-11-b12-1.16.I,09:25:38,09:25:38,18, St Pappin's Rd,5010.13,60-11-b12-1,11,b12
18,8250DB003031,"Roebuck Downs, stop 3031",53.30142217,-6.233511786,15563.2.60-11-b12-1.16.I,09:26:13,09:26:13,19, St Pappin's Rd,5266.26,60-11-b12-1,11,b12
19,8250DB000875,"White Oaks, stop 875",53.30447299,-6.235591624,15563.2.60-11-b12-1.16.I,09:27:08,09:27:08,20, St Pappin's Rd,5654.12,60-11-b12-1,11,b12
20,8250DB000876,"Gledswood Drive, stop 876",53.30522322,-6.237091259,15563.2.60-11-b12-1.16.I,09:28:00,09:28:00,21, St Pappin's Rd,5822.93,60-11-b12-1,11,b12
21,8250DB000878,"Clonskeagh Road, stop 878",53.30815336,-6.237090577,15563.2.60-11-b12-1.16.I,09:29:00,09:29:00,22, St Pappin's Rd,6200.95,60-11-b12-1,11,b12
22,8250DB000879,"Annsbrook, stop 879",53.3095042,-6.23787531,15563.2.60-11-b12-1.16.I,09:29:26,09:29:26,23, St Pappin's Rd,6361.83,60-11-b12-1,11,b12
23,8250DB000880,"Richview Office Park, stop 880",53.31231378,-6.238840158,15563.2.60-11-b12-1.16.I,09:30:16,09:30:16,24, St Pappin's Rd,6680.29,60-11-b12-1,11,b12
24,8220DB000881,"Clonskeagh, stop 881",53.31456357,-6.238417332,15563.2.60-11-b12-1.16.I,09:30:50,09:30:50,25, St Pappin's Rd,6930.7,60-11-b12-1,11,b12
25,8220DB000882,"Clonskeagh Hospital, stop 882",53.31670466,-6.239154676,15563.2.60-11-b12-1.16.I,09:31:28,09:31:28,26, St Pappin's Rd,7224.73,60-11-b12-1,11,b12
26,8220DB000883,"Eglinton Road, stop 883",53.31768516,-6.241035583,15563.2.60-11-b12-1.16.I,09:31:54,09:31:54,27, St Pappin's Rd,7389.43,60-11-b12-1,11,b12
27,8220DB000884,"Norwood Park, stop 884",53.31999699,-6.244212844,15563.2.60-11-b12-1.16.I,09:32:45,09:32:45,28, St Pappin's Rd,7722.37,60-11-b12-1,11,b12
28,8220DB000885,"Hollybank Ave Lower, stop 885",53.32125897,-6.246292621,15563.2.60-11-b12-1.16.I,09:33:14,09:33:14,29, St Pappin's Rd,7920.7,60-11-b12-1,11,b12
29,8220DB000886,"Merton Drive, stop 886",53.3225974,-6.248684633,15563.2.60-11-b12-1.16.I,09:33:45,09:33:45,30, St Pappin's Rd,8138.25,60-11-b12-1,11,b12
30,8220DB000887,"Ranelagh, stop 887",53.32420775,-6.252461807,15563.2.60-11-b12-1.16.I,09:34:28,09:34:28,31, St Pappin's Rd,8450.09,60-11-b12-1,11,b12
31,8220DB000903,"Chelmsford Road, stop 903",53.32558343,-6.252495657,15563.2.60-11-b12-1.16.I,09:35:06,09:35:06,32, St Pappin's Rd,8689.44,60-11-b12-1,11,b12
32,8220DB000904,"Appian Way, stop 904",53.32741744,-6.248847516,15563.2.60-11-b12-1.16.I,09:35:57,09:35:57,33, St Pappin's Rd,9012.47,60-11-b12-1,11,b12
33,8220DB000906,"Leeson St Upper, stop 906",53.32881077,-6.247634377,15563.2.60-11-b12-1.16.I,09:36:55,09:36:55,34, St Pappin's Rd,9242.87,60-11-b12-1,11,b12
34,8220DB000907,"Dartmouth Road, stop 907",53.32971936,-6.250750109,15563.2.60-11-b12-1.16.I,09:37:35,09:37:35,35, St Pappin's Rd,9476.16,60-11-b12-1,11,b12
35,8220DB000908,"Grand Parade, stop 908",53.33115429,-6.252373034,15563.2.60-11-b12-1.16.I,09:38:08,09:38:08,36, St Pappin's Rd,9670.04,60-11-b12-1,11,b12
36,8220DB000909,"Fitzwilliam Place, stop 909",53.33314766,-6.254078364,15563.2.60-11-b12-1.16.I,09:38:51,09:38:51,37, St Pappin's Rd,9923.47,60-11-b12-1,11,b12
37,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,15563.2.60-11-b12-1.16.I,09:39:37,09:39:37,38, St Pappin's Rd,10184.71,60-11-b12-1,11,b12
38,8220DB000793,"Dawson Street, stop 793",53.34085979,-6.258403869,15563.2.60-11-b12-1.16.I,09:42:24,09:42:24,39, St Pappin's Rd,10988.54,60-11-b12-1,11,b12
39,8220DB000320,"Westmoreland Street, stop 320",53.34564563,-6.259305233,15563.2.60-11-b12-1.16.I,09:45:01,09:45:01,42, St Pappin's Rd,11602.26,60-11-b12-1,11,b12
40,8220DB000278,"O'Connell St Upper, stop 278",53.35156087,-6.261227336,15563.2.60-11-b12-1.16.I,09:47:56,09:47:56,43, St Pappin's Rd,12279.3,60-11-b12-1,11,b12
41,8220DB000010,"Parnell Square West, stop 10",53.3533921,-6.265389124,15563.2.60-11-b12-1.16.I,09:49:43,09:49:43,45, St Pappin's Rd,12724.35,60-11-b12-1,11,b12
42,8220DB000012,"Upper Dorset Street, stop 12",53.35710752,-6.264381867,15563.2.60-11-b12-1.16.I,09:50:51,09:50:51,46, St Pappin's Rd,13229.59,60-11-b12-1,11,b12
43,8220DB000014,"Dorset Street Lower, stop 14",53.35853124,-6.262776506,15563.2.60-11-b12-1.16.I,09:51:41,09:51:41,47, St Pappin's Rd,13418.77,60-11-b12-1,11,b12
44,8220DB000015,"Innisfallen Parade, stop 15",53.36026671,-6.260978043,15563.2.60-11-b12-1.16.I,09:52:38,09:52:38,48, St Pappin's Rd,13648.04,60-11-b12-1,11,b12
45,8220DB000017,"Drumcondra Rail Stn, stop 17",53.36307832,-6.258399288,15563.2.60-11-b12-1.16.I,09:54:35,09:54:35,49, St Pappin's Rd,14003.63,60-11-b12-1,11,b12
46,8220DB000018,"Dargle Road, stop 18",53.36585593,-6.255956821,15563.2.60-11-b12-1.16.I,09:55:24,09:55:24,50, St Pappin's Rd,14354.67,60-11-b12-1,11,b12
47,8220DB000019,"Botanic Avenue, stop 19",53.36723488,-6.255599941,15563.2.60-11-b12-1.16.I,09:55:46,09:55:46,51, St Pappin's Rd,14512.07,60-11-b12-1,11,b12
48,8220DB000021,"DCU St Patrick's, stop 21",53.3701012,-6.254310599,15563.2.60-11-b12-1.16.I,09:56:32,09:56:32,52, St Pappin's Rd,14839.38,60-11-b12-1,11,b12
49,8220DB007602,"DCU St Patrick’s, stop 7602",53.37155351,-6.253439645,15563.2.60-11-b12-1.16.I,09:56:57,09:56:57,53, St Pappin's Rd,15014.05,60-11-b12-1,11,b12
50,8220DB000022,"Home Farm Road, stop 22",53.37350361,-6.252803753,15563.2.60-11-b12-1.16.I,09:57:38,09:57:38,54, St Pappin's Rd,15288.92,60-11-b12-1,11,b12
51,8220DB000023,"Ferguson Road, stop 23",53.37422828,-6.256261004,15563.2.60-11-b12-1.16.I,09:58:13,09:58:13,55, St Pappin's Rd,15532.95,60-11-b12-1,11,b12
52,8220DB000024,"Walsh Road, stop 24",53.37513316,-6.260372348,15563.2.60-11-b12-1.16.I,09:58:54,09:58:54,56, St Pappin's Rd,15823.33,60-11-b12-1,11,b12
53,8220DB000025,"Rathlin Road, stop 25",53.37589947,-6.263617736,15563.2.60-11-b12-1.16.I,09:59:31,09:59:31,57, St Pappin's Rd,16056.02,60-11-b12-1,11,b12
54,8220DB000027,"Ballymun Road, stop 27",53.37943896,-6.266585261,15563.2.60-11-b12-1.16.I,10:00:53,10:00:53,58, St Pappin's Rd,16569.32,60-11-b12-1,11,b12
55,8220DB000028,"Hampstead Avenue, stop 28",53.38157864,-6.266002271,15563.2.60-11-b12-1.16.I,10:01:33,10:01:33,59, St Pappin's Rd,16818.22,60-11-b12-1,11,b12
56,8220DB000029,"Albert College Park, stop 29",53.38348825,-6.265669101,15563.2.60-11-b12-1.16.I,10:02:04,10:02:04,60, St Pappin's Rd,17030.61,60-11-b12-1,11,b12
57,8220DB004680,"DCU, stop 4680",53.38496648,-6.265338406,15563.2.60-11-b12-1.16.I,10:02:28,10:02:28,61, St Pappin's Rd,17197.44,60-11-b12-1,11,b12
58,8220DB000031,"St Pappin's Road, stop 31",53.38603323,-6.268858077,15563.2.60-11-b12-1.16.I,10:03:20,10:03:20,62, St Pappin's Rd,17553.81,60-11-b12-1,11,b12
59,8220DB000032,"Stormanstown Road, stop 32",53.38619557,-6.271377201,15563.2.60-11-b12-1.16.I,10:03:46,10:03:46,63, St Pappin's Rd,17721.5,60-11-b12-1,11,b12
60,8220DB000033,"Glasnevin Drive, stop 33",53.38871792,-6.271771141,15563.2.60-11-b12-1.16.I,10:04:35,10:04:35,64, St Pappin's Rd,18058.17,60-11-b12-1,11,b12
