Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8230DB002955,"Ballyboden Church, stop 2955",53.27787197,-6.289533367,4054.1.60-116-b12-1.54.I,07:40:00,07:40:00,1, Parnell Sq,0.0,60-116-b12-1,116,b12
1,8230DB007067,"Whitechurch Way, stop 7067",53.27783383,-6.288755104,4054.1.60-116-b12-1.54.I,07:40:10,07:40:10,2, Parnell Sq,51.84,60-116-b12-1,116,b12
2,8230DB002956,"Glenmore Park, stop 2956",53.27812019,-6.286164354,4054.1.60-116-b12-1.54.I,07:40:44,07:40:44,3, Parnell Sq,227.5,60-116-b12-1,116,b12
3,8230DB002965,"Whitechurch Road, stop 2965",53.28030415,-6.28427735,4054.1.60-116-b12-1.54.I,07:41:51,07:41:51,4, Parnell Sq,598.45,60-116-b12-1,116,b12
4,8230DB002967,"Eden Avenue, stop 2967",53.2813395,-6.276917275,4054.1.60-116-b12-1.54.I,07:43:37,07:43:37,5, Parnell Sq,1275.95,60-116-b12-1,116,b12
5,8230DB002968,"Three Rock Rovers, stop 2968",53.28032933,-6.273568645,4054.1.60-116-b12-1.54.I,07:44:16,07:44:16,6, Parnell Sq,1524.89,60-116-b12-1,116,b12
6,8250DB002969,"Marley Park, stop 2969",53.27940273,-6.270411749,4054.1.60-116-b12-1.54.I,07:44:53,07:44:53,7, Parnell Sq,1758.61,60-116-b12-1,116,b12
7,8250DB002970,"Grange Road, stop 2970",53.27817063,-6.267267347,4054.1.60-116-b12-1.54.I,07:45:31,07:45:31,8, Parnell Sq,2006.96,60-116-b12-1,116,b12
8,8250DB004988,"Heather Lawn, stop 4988",53.27765231,-6.263149456,4054.1.60-116-b12-1.54.I,07:46:42,07:46:42,9, Parnell Sq,2389.34,60-116-b12-1,116,b12
9,8250DB002853,"Ballinteer Comm Sch, stop 2853",53.28082534,-6.260696242,4054.1.60-116-b12-1.54.I,07:48:04,07:48:04,10, Parnell Sq,2835.61,60-116-b12-1,116,b12
10,8250DB002854,"Broadford Walk, stop 2854",53.28072154,-6.257281152,4054.1.60-116-b12-1.54.I,07:48:49,07:48:49,11, Parnell Sq,3061.3,60-116-b12-1,116,b12
11,8250DB002855,"Chestnut Grove, stop 2855",53.27918962,-6.255169005,4054.1.60-116-b12-1.54.I,07:49:33,07:49:33,12, Parnell Sq,3289.29,60-116-b12-1,116,b12
