Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8250DB003283,"Kiltiernan Village, stop 3283",53.23579735,-6.193833179,135.1.60-118-b12-1.55.I,07:45:00,07:45:00,1, Eden Quay,0.0,60-118-b12-1,118,b12
1,8250DB003284,"Golden Ball, stop 3284",53.23927942,-6.196443348,135.1.60-118-b12-1.55.I,07:45:53,07:45:53,2, Eden Quay,423.47,60-118-b12-1,118,b12
2,8250DB003310,"Kilternan NS, stop 3310",53.24254382,-6.19892822,135.1.60-118-b12-1.55.I,07:46:46,07:46:46,3, Eden Quay,850.75,60-118-b12-1,118,b12
3,8250DB003481,"Kilternan Church, stop 3481",53.24388071,-6.199366551,135.1.60-118-b12-1.55.I,07:47:07,07:47:07,4, Eden Quay,1002.19,60-118-b12-1,118,b12
4,8250DB003482,"Palmerston FC, stop 3482",53.24614249,-6.200934908,135.1.60-118-b12-1.55.I,07:47:44,07:47:44,5, Eden Quay,1302.18,60-118-b12-1,118,b12
5,8250DB003483,"Cairnfort, stop 3483",53.24961231,-6.207518116,135.1.60-118-b12-1.55.I,07:48:59,07:48:59,6, Eden Quay,1893.05,60-118-b12-1,118,b12
6,8250DB003484,"Stepaside Lane, stop 3484",53.25271887,-6.213877712,135.1.60-118-b12-1.55.I,07:50:55,07:50:55,7, Eden Quay,2447.74,60-118-b12-1,118,b12
7,8250DB003485,"Kilgobbin Heights, stop 3485",53.25522255,-6.215407098,135.1.60-118-b12-1.55.I,07:51:44,07:51:44,8, Eden Quay,2754.85,60-118-b12-1,118,b12
8,8250DB003486,"Castle Lodge, stop 3486",53.25932249,-6.211893714,135.1.60-118-b12-1.55.I,07:53:09,07:53:09,9, Eden Quay,3300.2,60-118-b12-1,118,b12
9,8250DB003487,"Ballyogan Road, stop 3487",53.26224006,-6.211652057,135.1.60-118-b12-1.55.I,07:55:08,07:55:08,10, Eden Quay,3662.75,60-118-b12-1,118,b12
10,8250DB007415,"Glencairn Luas, stop 7415",53.26566132,-6.210834641,135.1.60-118-b12-1.55.I,07:58:33,07:58:33,11, Eden Quay,4166.85,60-118-b12-1,118,b12
11,8250DB007416,"Mount Eagle Park, stop 7416",53.26897773,-6.211415814,135.1.60-118-b12-1.55.I,08:01:20,08:01:20,12, Eden Quay,4579.76,60-118-b12-1,118,b12
12,8250DB007325,"Clayton Hotel, stop 7325",53.2719333,-6.20652433,135.1.60-118-b12-1.55.I,08:05:34,08:05:34,13, Eden Quay,5202.82,60-118-b12-1,118,b12
13,8250DB003317,"Brewery Road, stop 3317",53.27389417,-6.200654282,135.1.60-118-b12-1.55.I,08:08:54,08:08:54,14, Eden Quay,5698.52,60-118-b12-1,118,b12
14,8250DB003318,"Ellesmere, stop 3318",53.28007828,-6.197095159,135.1.60-118-b12-1.55.I,08:12:59,08:12:59,15, Eden Quay,6433.0,60-118-b12-1,118,b12
15,8250DB003320,"Farmleigh Avenue, stop 3320",53.2818817,-6.195099554,135.1.60-118-b12-1.55.I,08:14:20,08:14:20,16, Eden Quay,6679.73,60-118-b12-1,118,b12
16,8250DB002064,"Brewery Road, stop 2064",53.28272564,-6.193849161,135.1.60-118-b12-1.55.I,08:15:12,08:15:12,17, Eden Quay,6846.32,60-118-b12-1,118,b12
