Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
300,8220DB006004,"Parnell Street, stop 6004",53.35290764,-6.260511532,12149.3.60-120-b12-1.58.O,07:45:00,07:45:00,1, Ashtown Stn,0.0,60-120-b12-1,120,b12
301,8220DB000003,"Parnell Square West, stop 3",53.35230855,-6.263810742,12149.3.60-120-b12-1.58.O,07:45:49,07:45:49,2, Ashtown Stn,269.1,60-120-b12-1,120,b12
302,8220DB000192,"Mountjoy Street, stop 192",53.35639721,-6.26807647,12149.3.60-120-b12-1.58.O,07:47:43,07:47:43,3, Ashtown Stn,871.1,60-120-b12-1,120,b12
303,8220DB000795,"Berkeley Road, stop 795",53.35874004,-6.269724278,12149.3.60-120-b12-1.58.O,07:48:11,07:48:11,4, Ashtown Stn,1162.75,60-120-b12-1,120,b12
304,8220DB000796,"Berkeley Road, stop 796",53.36001821,-6.269852786,12149.3.60-120-b12-1.58.O,07:48:44,07:48:44,5, Ashtown Stn,1302.63,60-120-b12-1,120,b12
305,8220DB000056,"Dalymount, stop 56",53.36075972,-6.276373655,12149.3.60-120-b12-1.58.O,07:50:49,07:50:49,6, Ashtown Stn,1815.09,60-120-b12-1,120,b12
306,8220DB000058,"Churchview Home, stop 58",53.36094625,-6.281204202,12149.3.60-120-b12-1.58.O,07:51:29,07:51:29,7, Ashtown Stn,2136.29,60-120-b12-1,120,b12
307,8220DB004499,"Dowth Avenue, stop 4499",53.36156851,-6.283222595,12149.3.60-120-b12-1.58.O,07:51:54,07:51:54,8, Ashtown Stn,2334.47,60-120-b12-1,120,b12
308,8220DB004934,"Offaly Road, stop 4934",53.36285751,-6.282855228,12149.3.60-120-b12-1.58.O,07:52:13,07:52:13,9, Ashtown Stn,2479.72,60-120-b12-1,120,b12
309,8220DB004500,"Faussagh Road, stop 4500",53.36404744,-6.283723969,12149.3.60-120-b12-1.58.O,07:52:38,07:52:38,10, Ashtown Stn,2668.51,60-120-b12-1,120,b12
310,8220DB004481,"Cabra PO, stop 4481",53.36461441,-6.286901793,12149.3.60-120-b12-1.58.O,07:53:06,07:53:06,11, Ashtown Stn,2889.13,60-120-b12-1,120,b12
311,8220DB004485,"Naomh Fionnbarra GAA, stop 4485",53.36554163,-6.289509284,12149.3.60-120-b12-1.58.O,07:53:39,07:53:39,12, Ashtown Stn,3118.93,60-120-b12-1,120,b12
312,8220DB000822,"Mulroy Road, stop 822",53.36712068,-6.291820321,12149.3.60-120-b12-1.58.O,07:54:18,07:54:18,13, Ashtown Stn,3386.17,60-120-b12-1,120,b12
313,8220DB000823,"Kilkieran Road, stop 823",53.36823515,-6.291189651,12149.3.60-120-b12-1.58.O,07:54:37,07:54:37,14, Ashtown Stn,3517.89,60-120-b12-1,120,b12
314,8220DB000824,"Bannow Road, stop 824",53.36974785,-6.293263095,12149.3.60-120-b12-1.58.O,07:55:13,07:55:13,15, Ashtown Stn,3768.8,60-120-b12-1,120,b12
315,8220DB000825,"St Finbar's Road, stop 825",53.37042944,-6.296932826,12149.3.60-120-b12-1.58.O,07:55:50,07:55:50,16, Ashtown Stn,4023.39,60-120-b12-1,120,b12
316,8220DB000826,"Carnlough Road, stop 826",53.37121785,-6.301169508,12149.3.60-120-b12-1.58.O,07:56:32,07:56:32,17, Ashtown Stn,4321.29,60-120-b12-1,120,b12
317,8220DB000827,"Ventry Park, stop 827",53.37129395,-6.303991869,12149.3.60-120-b12-1.58.O,07:57:00,07:57:00,18, Ashtown Stn,4507.69,60-120-b12-1,120,b12
318,8220DB000071,"Ventry Park, stop 71",53.37025769,-6.304438805,12149.3.60-120-b12-1.58.O,07:57:23,07:57:23,19, Ashtown Stn,4668.94,60-120-b12-1,120,b12
319,8220DB000072,"Ventry Drive, stop 72",53.36896993,-6.304264536,12149.3.60-120-b12-1.58.O,07:57:45,07:57:45,20, Ashtown Stn,4829.45,60-120-b12-1,120,b12
320,8220DB005144,"Marian School, stop 5144",53.37270953,-6.306205026,12149.3.60-120-b12-1.58.O,07:58:58,07:58:58,21, Ashtown Stn,5377.16,60-120-b12-1,120,b12
321,8220DB007027,"Glasnevin Park, stop 7027",53.37659424,-6.312048033,12149.3.60-120-b12-1.58.O,08:00:52,08:00:52,22, Ashtown Stn,6000.29,60-120-b12-1,120,b12
322,8220DB004538,"Royal Canal Avenue, stop 4538",53.37572811,-6.316906985,12149.3.60-120-b12-1.58.O,08:01:53,08:01:53,23, Ashtown Stn,6389.82,60-120-b12-1,120,b12
323,8220DB007396,"Crescent Park, stop 7396",53.37610894,-6.32161149,12149.3.60-120-b12-1.58.O,08:02:45,08:02:45,24, Ashtown Stn,6721.8,60-120-b12-1,120,b12
324,8220DB005145,"Rathbourne Avenue, stop 5145",53.3771968,-6.3267543,12149.3.60-120-b12-1.58.O,08:03:52,08:03:52,25, Ashtown Stn,7150.92,60-120-b12-1,120,b12
325,8220DB000276,"River Road, stop 276",53.3774022,-6.331796583,12149.3.60-120-b12-1.58.O,08:04:46,08:04:46,26, Ashtown Stn,7528.35,60-120-b12-1,120,b12
