Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
9135,8220DB000284,"Rathbourne Avenue, stop 284",53.37728262,-6.328389284,5566.1.60-120-b12-1.57.I,08:15:00,08:15:00,1, Ballsbridge,0.0,60-120-b12-1,120,b12
9136,8220DB004504,"Royal Canal Avenue, stop 4504",53.37582324,-6.317278989,5566.1.60-120-b12-1.57.I,08:18:17,08:18:17,2, Ballsbridge,845.06,60-120-b12-1,120,b12
9137,8220DB007028,"Royal Canal Centre, stop 7028",53.37651585,-6.310953907,5566.1.60-120-b12-1.57.I,08:20:37,08:20:37,3, Ballsbridge,1342.91,60-120-b12-1,120,b12
9138,8220DB005147,"Marian College, stop 5147",53.37182345,-6.305834409,5566.1.60-120-b12-1.57.I,08:23:39,08:23:39,4, Ballsbridge,2004.61,60-120-b12-1,120,b12
9139,8220DB000068,"Ventry Drive, stop 68",53.36907751,-6.304245235,5566.1.60-120-b12-1.57.I,08:25:29,08:25:29,5, Ballsbridge,2462.55,60-120-b12-1,120,b12
9140,8220DB000030,"Ventry Park, stop 30",53.3703319,-6.304601169,5566.1.60-120-b12-1.57.I,08:26:04,08:26:04,6, Ballsbridge,2620.35,60-120-b12-1,120,b12
9141,8220DB000069,"Carnlough Road, stop 69",53.37139256,-6.303341717,5566.1.60-120-b12-1.57.I,08:26:47,08:26:47,7, Ballsbridge,2816.37,60-120-b12-1,120,b12
9142,8220DB000828,"Broombridge Station, stop 828",53.37104482,-6.299748678,5566.1.60-120-b12-1.57.I,08:27:42,08:27:42,8, Ballsbridge,3057.87,60-120-b12-1,120,b12
9143,8220DB000829,"St Finbar's Road, stop 829",53.37039689,-6.295912195,5566.1.60-120-b12-1.57.I,08:28:42,08:28:42,9, Ballsbridge,3322.2,60-120-b12-1,120,b12
9144,8220DB000830,"Bannow Road, stop 830",53.36962437,-6.29217098,5566.1.60-120-b12-1.57.I,08:29:40,08:29:40,10, Ballsbridge,3585.28,60-120-b12-1,120,b12
9145,8220DB000831,"Mulroy Road, stop 831",53.36766197,-6.291332813,5566.1.60-120-b12-1.57.I,08:30:35,08:30:35,11, Ballsbridge,3827.53,60-120-b12-1,120,b12
9146,8220DB000075,"Fionnbarra GAA, stop 75",53.36654723,-6.291317319,5566.1.60-120-b12-1.57.I,08:31:13,08:31:13,12, Ballsbridge,3994.57,60-120-b12-1,120,b12
9147,8220DB004501,"Faussagh Road, stop 4501",53.36475239,-6.287121652,5566.1.60-120-b12-1.57.I,08:32:33,08:32:33,13, Ballsbridge,4350.96,60-120-b12-1,120,b12
9148,8220DB004935,"St Attracta Road, stop 4935",53.36409572,-6.283331347,5566.1.60-120-b12-1.57.I,08:33:31,08:33:31,14, Ballsbridge,4612.27,60-120-b12-1,120,b12
9149,8220DB004502,"Cabra PO, stop 4502",53.36333956,-6.282625479,5566.1.60-120-b12-1.57.I,08:33:54,08:33:54,15, Ballsbridge,4723.48,60-120-b12-1,120,b12
9150,8220DB004936,"Newgrange Road, stop 4936",53.36135206,-6.283171196,5566.1.60-120-b12-1.57.I,08:34:43,08:34:43,16, Ballsbridge,4947.43,60-120-b12-1,120,b12
9151,8220DB000079,"Churchview Home, stop 79",53.36102125,-6.280795506,5566.1.60-120-b12-1.57.I,08:35:44,08:35:44,17, Ballsbridge,5149.37,60-120-b12-1,120,b12
9152,8220DB000080,"Phibsborough PO, stop 80",53.36086296,-6.276053962,5566.1.60-120-b12-1.57.I,08:37:17,08:37:17,18, Ballsbridge,5464.58,60-120-b12-1,120,b12
9153,8220DB000082,"Phibsborough, stop 82",53.3607978,-6.27154908,5566.1.60-120-b12-1.57.I,08:39:13,08:39:13,19, Ballsbridge,5762.89,60-120-b12-1,120,b12
9154,8220DB000817,"Mater Hospital, stop 817",53.35964622,-6.269612438,5566.1.60-120-b12-1.57.I,08:40:44,08:40:44,20, Ballsbridge,5995.17,60-120-b12-1,120,b12
9155,8220DB000818,"O'Connell Avenue, stop 818",53.35848112,-6.269223945,5566.1.60-120-b12-1.57.I,08:41:39,08:41:39,21, Ballsbridge,6137.45,60-120-b12-1,120,b12
9156,8220DB000819,"Blessington Street, stop 819",53.35630402,-6.265991986,5566.1.60-120-b12-1.57.I,08:44:07,08:44:07,22, Ballsbridge,6488.51,60-120-b12-1,120,b12
9157,8220DB000263,"Parnell Square East, stop 263",53.35374562,-6.262505454,5566.1.60-120-b12-1.57.I,08:46:11,08:46:11,23, Ballsbridge,6977.71,60-120-b12-1,120,b12
9158,8220DB004725,"O'Connell St Upper, stop 4725",53.35211562,-6.261054534,5566.1.60-120-b12-1.57.I,08:47:58,08:47:58,24, Ballsbridge,7185.1,60-120-b12-1,120,b12
9159,8220DB004495,"Hawkins Street, stop 4495",53.34649329,-6.25703271,5566.1.60-120-b12-1.57.I,08:53:31,08:53:31,25, Ballsbridge,7990.62,60-120-b12-1,120,b12
9160,8220DB002809,"Pearse Station, stop 2809",53.34288455,-6.2499709,5566.1.60-120-b12-1.57.I,08:59:14,08:59:14,26, Ballsbridge,8927.22,60-120-b12-1,120,b12
9161,8220DB000408,"Merrion Sq North, stop 408",53.34097078,-6.25001924,5566.1.60-120-b12-1.57.I,09:00:48,09:00:48,27, Ballsbridge,9187.08,60-120-b12-1,120,b12
9162,8220DB000409,"Holles Street, stop 409",53.34013673,-6.247695596,5566.1.60-120-b12-1.57.I,09:01:53,09:01:53,28, Ballsbridge,9366.97,60-120-b12-1,120,b12
9163,8220DB000410,"Mount Street Lower, stop 410",53.33881345,-6.24389039,5566.1.60-120-b12-1.57.I,09:02:58,09:02:58,29, Ballsbridge,9659.47,60-120-b12-1,120,b12
9164,8220DB000411,"Mount Street Bridge, stop 411",53.33811712,-6.241771554,5566.1.60-120-b12-1.57.I,09:03:35,09:03:35,30, Ballsbridge,9819.69,60-120-b12-1,120,b12
9165,8220DB000412,"Haddington Road, stop 412",53.33525551,-6.237279319,5566.1.60-120-b12-1.57.I,09:05:26,09:05:26,31, Ballsbridge,10263.44,60-120-b12-1,120,b12
9166,8220DB000413,"Lansdowne Park, stop 413",53.33409419,-6.236546394,5566.1.60-120-b12-1.57.I,09:05:52,09:05:52,32, Ballsbridge,10400.8,60-120-b12-1,120,b12
9167,8220DB000414,"Lansdowne Road, stop 414",53.33157381,-6.234473217,5566.1.60-120-b12-1.57.I,09:06:52,09:06:52,33, Ballsbridge,10715.75,60-120-b12-1,120,b12
9168,8220DB000415,"American Embassy, stop 415",53.33033782,-6.23294775,5566.1.60-120-b12-1.57.I,09:07:17,09:07:17,34, Ballsbridge,10885.7,60-120-b12-1,120,b12
