Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
100,8220DB001423,"Crumlin Hospital, stop 1423",53.32499949,-6.319444922,10378.3.60-122-b12-1.62.I,08:25:00,08:25:00,1, Ashington,0.0,60-122-b12-1,122,b12
101,8220DB001424,"Crumlin Hospital, stop 1424",53.32566251,-6.316746622,10378.3.60-122-b12-1.62.I,08:25:41,08:25:41,2, Ashington,203.88,60-122-b12-1,122,b12
102,8220DB001425,"Cooley Road, stop 1425",53.32701317,-6.318194754,10378.3.60-122-b12-1.62.I,08:26:29,08:26:29,3, Ashington,458.46,60-122-b12-1,122,b12
103,8220DB001426,"Curlew Road, stop 1426",53.32927488,-6.322429771,10378.3.60-122-b12-1.62.I,08:27:43,08:27:43,4, Ashington,834.63,60-122-b12-1,122,b12
104,8220DB001427,"Mourne Road, stop 1427",53.33027116,-6.322330619,10378.3.60-122-b12-1.62.I,08:28:31,08:28:31,5, Ashington,1072.99,60-122-b12-1,122,b12
105,8220DB001428,"Lady of Mercy School, stop 1428",53.33135888,-6.319149884,10378.3.60-122-b12-1.62.I,08:29:16,08:29:16,6, Ashington,1321.87,60-122-b12-1,122,b12
106,8220DB001429,"Sperrin Road, stop 1429",53.33259321,-6.316173419,10378.3.60-122-b12-1.62.I,08:30:02,08:30:02,7, Ashington,1576.28,60-122-b12-1,122,b12
107,8220DB001430,"Belbulbin Road, stop 1430",53.3335738,-6.311149686,10378.3.60-122-b12-1.62.I,08:31:07,08:31:07,8, Ashington,1926.64,60-122-b12-1,122,b12
108,8220DB001432,"Brickfields Park, stop 1432",53.33349874,-6.308389826,10378.3.60-122-b12-1.62.I,08:31:40,08:31:40,9, Ashington,2109.26,60-122-b12-1,122,b12
109,8220DB001433,"Slievenamon Road, stop 1433",53.33257215,-6.305798862,10378.3.60-122-b12-1.62.I,08:32:38,08:32:38,10, Ashington,2427.92,60-122-b12-1,122,b12
110,8220DB001434,"Keeper Road, stop 1434",53.33199245,-6.302323379,10378.3.60-122-b12-1.62.I,08:33:28,08:33:28,11, Ashington,2702.45,60-122-b12-1,122,b12
111,8220DB001435,"Keeper Road, stop 1435",53.33138805,-6.299014132,10378.3.60-122-b12-1.62.I,08:34:10,08:34:10,12, Ashington,2931.72,60-122-b12-1,122,b12
112,8220DB007439,"Herberton Road, stop 7439",53.33236226,-6.297999392,10378.3.60-122-b12-1.62.I,08:34:49,08:34:49,13, Ashington,3148.92,60-122-b12-1,122,b12
113,8220DB007454,"New Ireland Road, stop 7454",53.33500797,-6.298855061,10378.3.60-122-b12-1.62.I,08:35:44,08:35:44,14, Ashington,3452.94,60-122-b12-1,122,b12
114,8220DB001380,"Rialto Church, stop 1380",53.335641,-6.295976799,10378.3.60-122-b12-1.62.I,08:36:55,08:36:55,15, Ashington,3814.6,60-122-b12-1,122,b12
115,8220DB001381,"St Andrews Centre, stop 1381",53.33512375,-6.293745026,10378.3.60-122-b12-1.62.I,08:37:24,08:37:24,16, Ashington,3972.62,60-122-b12-1,122,b12
116,8220DB001382,"Dolphins Barn Church, stop 1382",53.33317317,-6.290594602,10378.3.60-122-b12-1.62.I,08:38:21,08:38:21,17, Ashington,4275.61,60-122-b12-1,122,b12
117,8220DB001383,"Dolphin Avenue, stop 1383",53.33227108,-6.286606663,10378.3.60-122-b12-1.62.I,08:39:12,08:39:12,18, Ashington,4572.51,60-122-b12-1,122,b12
118,8220DB001384,"Dufferin Avenue, stop 1384",53.3313562,-6.282364154,10378.3.60-122-b12-1.62.I,08:40:03,08:40:03,19, Ashington,4873.22,60-122-b12-1,122,b12
119,8220DB001385,"Griffith College, stop 1385",53.3318004,-6.278262272,10378.3.60-122-b12-1.62.I,08:40:56,08:40:56,20, Ashington,5167.65,60-122-b12-1,122,b12
120,8220DB001348,"Spencer St South, stop 1348",53.33224954,-6.273889833,10378.3.60-122-b12-1.62.I,08:41:51,08:41:51,21, Ashington,5464.59,60-122-b12-1,122,b12
121,8220DB001349,"Carlisle Street, stop 1349",53.33238573,-6.270881323,10378.3.60-122-b12-1.62.I,08:42:34,08:42:34,22, Ashington,5666.1,60-122-b12-1,122,b12
122,8220DB001350,"Harrington Street, stop 1350",53.33256109,-6.267480812,10378.3.60-122-b12-1.62.I,08:43:22,08:43:22,23, Ashington,5892.56,60-122-b12-1,122,b12
123,8220DB001352,"Camden Street Lower, stop 1352",53.33444543,-6.265407334,10378.3.60-122-b12-1.62.I,08:44:43,08:44:43,24, Ashington,6272.93,60-122-b12-1,122,b12
124,8220DB001353,"Pleasants Street, stop 1353",53.33600953,-6.265418938,10378.3.60-122-b12-1.62.I,08:45:20,08:45:20,25, Ashington,6449.8,60-122-b12-1,122,b12
125,8220DB001355,"Whitefriars Street, stop 1355",53.34009624,-6.265838755,10378.3.60-122-b12-1.62.I,08:46:45,08:46:45,27, Ashington,6908.85,60-122-b12-1,122,b12
126,8220DB001357,"Exchequer Street, stop 1357",53.34256789,-6.26459703,10378.3.60-122-b12-1.62.I,08:48:09,08:48:09,28, Ashington,7200.03,60-122-b12-1,122,b12
127,8220DB001359,"College Green, stop 1359",53.34439941,-6.26136859,10378.3.60-122-b12-1.62.I,08:50:13,08:50:13,29, Ashington,7585.42,60-122-b12-1,122,b12
128,8220DB000279,"O'Connell St Upper, stop 279",53.35013175,-6.260609547,10378.3.60-122-b12-1.62.I,08:54:21,08:54:21,30, Ashington,8351.24,60-122-b12-1,122,b12
129,8220DB000003,"Parnell Square West, stop 3",53.35230855,-6.263810742,10378.3.60-122-b12-1.62.I,08:56:15,08:56:15,31, Ashington,8799.56,60-122-b12-1,122,b12
130,8220DB000012,"Upper Dorset Street, stop 12",53.35710752,-6.264381867,10378.3.60-122-b12-1.62.I,08:58:15,08:58:15,32, Ashington,9464.41,60-122-b12-1,122,b12
131,8220DB000014,"Dorset Street Lower, stop 14",53.35853124,-6.262776506,10378.3.60-122-b12-1.62.I,08:59:03,08:59:03,33, Ashington,9653.58,60-122-b12-1,122,b12
132,8220DB000053,"North Circular Road, stop 53",53.36001449,-6.262791289,10378.3.60-122-b12-1.62.I,09:00:11,09:00:11,34, Ashington,9910.05,60-122-b12-1,122,b12
133,8220DB000054,"Mater Hospital, stop 54",53.36022161,-6.265908034,10378.3.60-122-b12-1.62.I,09:01:03,09:01:03,35, Ashington,10117.68,60-122-b12-1,122,b12
134,8220DB000055,"Mountjoy, stop 55",53.3604116,-6.26846958,10378.3.60-122-b12-1.62.I,09:01:45,09:01:45,36, Ashington,10289.08,60-122-b12-1,122,b12
135,8220DB000056,"Dalymount, stop 56",53.36075972,-6.276373655,10378.3.60-122-b12-1.62.I,09:03:57,09:03:57,37, Ashington,10816.82,60-122-b12-1,122,b12
136,8220DB000058,"Churchview Home, stop 58",53.36094625,-6.281204202,10378.3.60-122-b12-1.62.I,09:04:43,09:04:43,38, Ashington,11138.01,60-122-b12-1,122,b12
137,8220DB000059,"Annamoe Terrace, stop 59",53.36101801,-6.284942563,10378.3.60-122-b12-1.62.I,09:05:18,09:05:18,39, Ashington,11386.41,60-122-b12-1,122,b12
138,8220DB000060,"Quarry Road, stop 60",53.36127922,-6.2893645,10378.3.60-122-b12-1.62.I,09:06:00,09:06:00,40, Ashington,11680.62,60-122-b12-1,122,b12
139,8220DB000820,"Carnlough Road, stop 820",53.3619678,-6.29351398,10378.3.60-122-b12-1.62.I,09:06:53,09:06:53,41, Ashington,12009.73,60-122-b12-1,122,b12
140,8220DB000821,"Drumcliffe Road, stop 821",53.3645519,-6.293831436,10378.3.60-122-b12-1.62.I,09:07:40,09:07:40,42, Ashington,12306.27,60-122-b12-1,122,b12
141,8220DB000063,"Faussaugh Avenue, stop 63",53.36679244,-6.292750108,10378.3.60-122-b12-1.62.I,09:08:59,09:08:59,43, Ashington,12624.65,60-122-b12-1,122,b12
142,8220DB000064,"Faussaugh Ave Church, stop 64",53.36708858,-6.295232782,10378.3.60-122-b12-1.62.I,09:09:27,09:09:27,44, Ashington,12794.02,60-122-b12-1,122,b12
143,8220DB000065,"Dingle Road, stop 65",53.36725464,-6.298051276,10378.3.60-122-b12-1.62.I,09:09:58,09:09:58,45, Ashington,12981.74,60-122-b12-1,122,b12
144,8220DB000066,"Broombridge Road, stop 66",53.36727499,-6.300740346,10378.3.60-122-b12-1.62.I,09:10:29,09:10:29,46, Ashington,13160.2,60-122-b12-1,122,b12
145,8220DB004498,"Nephin Road, stop 4498",53.36680375,-6.304260414,10378.3.60-122-b12-1.62.I,09:11:02,09:11:02,47, Ashington,13416.89,60-122-b12-1,122,b12
146,8220DB001660,"Cabra Garda Station, stop 1660",53.36518655,-6.309373553,10378.3.60-122-b12-1.62.I,09:12:14,09:12:14,48, Ashington,13841.45,60-122-b12-1,122,b12
147,8220DB001661,"Our Lady's Church, stop 1661",53.36644362,-6.313095538,10378.3.60-122-b12-1.62.I,09:13:03,09:13:03,49, Ashington,14125.17,60-122-b12-1,122,b12
148,8220DB004523,"Kinvara Avenue, stop 4523",53.36914632,-6.317361855,10378.3.60-122-b12-1.62.I,09:14:31,09:14:31,50, Ashington,14652.23,60-122-b12-1,122,b12
149,8220DB004524,"Ashington Avenue, stop 4524",53.3716761,-6.315744228,10378.3.60-122-b12-1.62.I,09:15:18,09:15:18,51, Ashington,14952.76,60-122-b12-1,122,b12
150,8220DB004322,"Ashington Park, stop 4322",53.37347317,-6.311254668,10378.3.60-122-b12-1.62.I,09:16:43,09:16:43,52, Ashington,15396.49,60-122-b12-1,122,b12
