Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB004525,"Ashington Park, stop 4525",53.37344814,-6.311390924,10377.3.60-122-b12-1.60.O,07:15:00,07:15:00,1, Drimnagh Road,0.0,60-122-b12-1,122,b12
1,8220DB004526,"Ashington Avenue, stop 4526",53.37211889,-6.315275889,10377.3.60-122-b12-1.60.O,07:16:03,07:16:03,2, Drimnagh Road,376.75,60-122-b12-1,122,b12
2,8220DB001700,"Baggot Road, stop 1700",53.36770883,-6.317403485,10377.3.60-122-b12-1.60.O,07:17:37,07:17:37,3, Drimnagh Road,944.77,60-122-b12-1,122,b12
3,8220DB001701,"Our Lady's Church, stop 1701",53.36656726,-6.312940383,10377.3.60-122-b12-1.60.O,07:18:14,07:18:14,4, Drimnagh Road,1265.36,60-122-b12-1,122,b12
4,8220DB001702,"Navan Road Church, stop 1702",53.36561083,-6.310138139,10377.3.60-122-b12-1.60.O,07:18:40,07:18:40,5, Drimnagh Road,1480.38,60-122-b12-1,122,b12
5,8220DB000016,"Nephin Road Park, stop 16",53.36639156,-6.305614184,10377.3.60-122-b12-1.60.O,07:19:27,07:19:27,6, Drimnagh Road,1869.73,60-122-b12-1,122,b12
6,8220DB000073,"Faussagh Avenue, stop 73",53.36739155,-6.300720679,10377.3.60-122-b12-1.60.O,07:20:27,07:20:27,7, Drimnagh Road,2235.88,60-122-b12-1,122,b12
7,8220DB000074,"Faussaugh Ave Church, stop 74",53.36720024,-6.295498814,10377.3.60-122-b12-1.60.O,07:21:32,07:21:32,8, Drimnagh Road,2582.12,60-122-b12-1,122,b12
8,8220DB004371,"Drumcliffe Drive, stop 4371",53.36592857,-6.292679465,10377.3.60-122-b12-1.60.O,07:22:33,07:22:33,9, Drimnagh Road,2912.06,60-122-b12-1,122,b12
9,8220DB000832,"Drumcliffe Road, stop 832",53.36362945,-6.294063635,10377.3.60-122-b12-1.60.O,07:23:24,07:23:24,10, Drimnagh Road,3193.55,60-122-b12-1,122,b12
10,8220DB000833,"Swilly Road, stop 833",53.36177615,-6.293311284,10377.3.60-122-b12-1.60.O,07:24:04,07:24:04,11, Drimnagh Road,3408.28,60-122-b12-1,122,b12
11,8220DB000077,"Quarry Road, stop 77",53.36130918,-6.289573652,10377.3.60-122-b12-1.60.O,07:24:49,07:24:49,12, Drimnagh Road,3700.62,60-122-b12-1,122,b12
12,8220DB000078,"Annamoe Terrace, stop 78",53.36114922,-6.284065835,10377.3.60-122-b12-1.60.O,07:25:47,07:25:47,13, Drimnagh Road,4071.4,60-122-b12-1,122,b12
13,8220DB000079,"Churchview Home, stop 79",53.36102125,-6.280795506,10377.3.60-122-b12-1.60.O,07:26:21,07:26:21,14, Drimnagh Road,4301.11,60-122-b12-1,122,b12
