Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
5410,8220DB004525,"Ashington Park, stop 4525",53.37344814,-6.311390924,10459.3.60-122-b12-1.61.O,23:30:00,23:30:00,1, Parnell Square,0.0,60-122-b12-1,122,b12
5411,8220DB004526,"Ashington Avenue, stop 4526",53.37211889,-6.315275889,10459.3.60-122-b12-1.61.O,23:30:49,23:30:49,2, Parnell Square,376.75,60-122-b12-1,122,b12
5412,8220DB001700,"Baggot Road, stop 1700",53.36770883,-6.317403485,10459.3.60-122-b12-1.61.O,23:32:03,23:32:03,3, Parnell Square,944.77,60-122-b12-1,122,b12
5413,8220DB001701,"Our Lady's Church, stop 1701",53.36656726,-6.312940383,10459.3.60-122-b12-1.61.O,23:32:33,23:32:33,4, Parnell Square,1265.36,60-122-b12-1,122,b12
5414,8220DB001702,"Navan Road Church, stop 1702",53.36561083,-6.310138139,10459.3.60-122-b12-1.61.O,23:32:54,23:32:54,5, Parnell Square,1480.38,60-122-b12-1,122,b12
5415,8220DB000016,"Nephin Road Park, stop 16",53.36639156,-6.305614184,10459.3.60-122-b12-1.61.O,23:33:31,23:33:31,6, Parnell Square,1869.73,60-122-b12-1,122,b12
5416,8220DB000073,"Faussagh Avenue, stop 73",53.36739155,-6.300720679,10459.3.60-122-b12-1.61.O,23:34:14,23:34:14,7, Parnell Square,2235.88,60-122-b12-1,122,b12
5417,8220DB000074,"Faussaugh Ave Church, stop 74",53.36720024,-6.295498814,10459.3.60-122-b12-1.61.O,23:34:59,23:34:59,8, Parnell Square,2582.12,60-122-b12-1,122,b12
5418,8220DB004371,"Drumcliffe Drive, stop 4371",53.36592857,-6.292679465,10459.3.60-122-b12-1.61.O,23:35:52,23:35:52,9, Parnell Square,2912.06,60-122-b12-1,122,b12
5419,8220DB000832,"Drumcliffe Road, stop 832",53.36362945,-6.294063635,10459.3.60-122-b12-1.61.O,23:36:37,23:36:37,10, Parnell Square,3193.55,60-122-b12-1,122,b12
5420,8220DB000833,"Swilly Road, stop 833",53.36177615,-6.293311284,10459.3.60-122-b12-1.61.O,23:37:13,23:37:13,11, Parnell Square,3408.28,60-122-b12-1,122,b12
5421,8220DB000077,"Quarry Road, stop 77",53.36130918,-6.289573652,10459.3.60-122-b12-1.61.O,23:37:43,23:37:43,12, Parnell Square,3700.62,60-122-b12-1,122,b12
5422,8220DB000078,"Annamoe Terrace, stop 78",53.36114922,-6.284065835,10459.3.60-122-b12-1.61.O,23:38:22,23:38:22,13, Parnell Square,4071.4,60-122-b12-1,122,b12
5423,8220DB000079,"Churchview Home, stop 79",53.36102125,-6.280795506,10459.3.60-122-b12-1.61.O,23:38:46,23:38:46,14, Parnell Square,4301.11,60-122-b12-1,122,b12
5424,8220DB000080,"Phibsborough PO, stop 80",53.36086296,-6.276053962,10459.3.60-122-b12-1.61.O,23:39:21,23:39:21,15, Parnell Square,4616.32,60-122-b12-1,122,b12
5425,8220DB000082,"Phibsborough, stop 82",53.3607978,-6.27154908,10459.3.60-122-b12-1.61.O,23:40:26,23:40:26,16, Parnell Square,4914.63,60-122-b12-1,122,b12
5426,8220DB000083,"Mater Hospital, stop 83",53.36027925,-6.265545096,10459.3.60-122-b12-1.61.O,23:41:53,23:41:53,17, Parnell Square,5317.56,60-122-b12-1,122,b12
5427,8220DB000084,"Leo Street, stop 84",53.36016256,-6.263701781,10459.3.60-122-b12-1.61.O,23:42:20,23:42:20,18, Parnell Square,5439.85,60-122-b12-1,122,b12
5428,8220DB000051,"Temple Street, stop 51",53.35781041,-6.263271572,10459.3.60-122-b12-1.61.O,23:43:53,23:43:53,19, Parnell Square,5828.51,60-122-b12-1,122,b12
5429,8220DB000052,"Dorset Street Upper, stop 52",53.35666078,-6.264565282,10459.3.60-122-b12-1.61.O,23:44:26,23:44:26,20, Parnell Square,5985.27,60-122-b12-1,122,b12
5430,8220DB000263,"Parnell Square East, stop 263",53.35374562,-6.262505454,10459.3.60-122-b12-1.61.O,23:45:27,23:45:27,21, Parnell Square,6500.89,60-122-b12-1,122,b12
