Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB006057,"Kilnamanagh Road, stop 6057",53.32146106,-6.331172547,10414.3.60-123-b12-1.68.O,07:45:00,07:45:00,1, Marino,0.0,60-123-b12-1,123,b12
1,8220DB002183,"Walkinstown Shop Cen, stop 2183",53.32170398,-6.330547609,10414.3.60-123-b12-1.68.O,07:45:16,07:45:16,2, Marino,74.23,60-123-b12-1,123,b12
2,8220DB002184,"Drimnagh Road Junc, stop 2184",53.32299661,-6.329146097,10414.3.60-123-b12-1.68.O,07:45:53,07:45:53,3, Marino,244.65,60-123-b12-1,123,b12
3,8220DB002185,"Slievebloom Road, stop 2185",53.3242587,-6.327490489,10414.3.60-123-b12-1.68.O,07:46:34,07:46:34,4, Marino,434.42,60-123-b12-1,123,b12
4,8220DB001423,"Crumlin Hospital, stop 1423",53.32499949,-6.319444922,10414.3.60-123-b12-1.68.O,07:47:53,07:47:53,5, Marino,974.2,60-123-b12-1,123,b12
5,8220DB001424,"Crumlin Hospital, stop 1424",53.32566251,-6.316746622,10414.3.60-123-b12-1.68.O,07:48:24,07:48:24,6, Marino,1178.08,60-123-b12-1,123,b12
6,8220DB001425,"Cooley Road, stop 1425",53.32701317,-6.318194754,10414.3.60-123-b12-1.68.O,07:49:00,07:49:00,7, Marino,1432.66,60-123-b12-1,123,b12
7,8220DB001426,"Curlew Road, stop 1426",53.32927488,-6.322429771,10414.3.60-123-b12-1.68.O,07:50:00,07:50:00,8, Marino,1808.83,60-123-b12-1,123,b12
8,8220DB001463,"Galtymore Road, stop 1463",53.33062399,-6.323773162,10414.3.60-123-b12-1.68.O,07:50:43,07:50:43,9, Marino,2027.83,60-123-b12-1,123,b12
9,8220DB004399,"Galtymore Park, stop 4399",53.33252678,-6.32102588,10414.3.60-123-b12-1.68.O,07:51:23,07:51:23,10, Marino,2308.44,60-123-b12-1,123,b12
10,8220DB004400,"Drimnagh CU, stop 4400",53.33437392,-6.319436746,10414.3.60-123-b12-1.68.O,07:51:58,07:51:58,11, Marino,2538.54,60-123-b12-1,123,b12
11,8220DB001464,"Davitt House, stop 1464",53.3348988,-6.316503037,10414.3.60-123-b12-1.68.O,07:52:28,07:52:28,12, Marino,2738.35,60-123-b12-1,123,b12
12,8220DB001469,"Benbulbin Road, stop 1469",53.33525916,-6.313380538,10414.3.60-123-b12-1.68.O,07:53:01,07:53:01,13, Marino,2949.1,60-123-b12-1,123,b12
13,8220DB001465,"Good Counsel GAA, stop 1465",53.33479676,-6.308653787,10414.3.60-123-b12-1.68.O,07:53:49,07:53:49,14, Marino,3278.75,60-123-b12-1,123,b12
14,8220DB001466,"Galtymore Drive, stop 1466",53.33452893,-6.306246854,10414.3.60-123-b12-1.68.O,07:54:13,07:54:13,15, Marino,3445.44,60-123-b12-1,123,b12
15,8220DB001467,"Slievenamon Road, stop 1467",53.33565738,-6.305961878,10414.3.60-123-b12-1.68.O,07:54:38,07:54:38,16, Marino,3613.22,60-123-b12-1,123,b12
16,8220DB001468,"Suir Road Luas, stop 1468",53.3375497,-6.307568753,10414.3.60-123-b12-1.68.O,07:55:13,07:55:13,17, Marino,3852.25,60-123-b12-1,123,b12
17,8220DB001377,"South Circular Road, stop 1377",53.33916336,-6.304741655,10414.3.60-123-b12-1.68.O,07:56:30,07:56:30,18, Marino,4273.09,60-123-b12-1,123,b12
18,8220DB001378,"Mayfield Road, stop 1378",53.33882787,-6.301376083,10414.3.60-123-b12-1.68.O,07:57:03,07:57:03,19, Marino,4499.49,60-123-b12-1,123,b12
19,8220DB004514,"St James's Hospital, stop 4514",53.33996399,-6.297216087,10414.3.60-123-b12-1.68.O,07:58:58,07:58:58,20, Marino,4910.41,60-123-b12-1,123,b12
20,8220DB004515,"Saint James's Luas, stop 4515",53.34070516,-6.293732431,10414.3.60-123-b12-1.68.O,07:59:45,07:59:45,21, Marino,5156.51,60-123-b12-1,123,b12
21,8220DB001995,"Basin Street Lower, stop 1995",53.34267519,-6.293218227,10414.3.60-123-b12-1.68.O,08:00:43,08:00:43,22, Marino,5442.31,60-123-b12-1,123,b12
22,8220DB001996,"James Street, stop 1996",53.34356007,-6.288481954,10414.3.60-123-b12-1.68.O,08:01:50,08:01:50,23, Marino,5771.51,60-123-b12-1,123,b12
23,8220DB001997,"Thomas Street, stop 1997",53.34357108,-6.285492742,10414.3.60-123-b12-1.68.O,08:02:29,08:02:29,24, Marino,5969.64,60-123-b12-1,123,b12
24,8220DB001998,"Bridgefoot Street, stop 1998",53.34313961,-6.280493772,10414.3.60-123-b12-1.68.O,08:03:58,08:03:58,25, Marino,6302.98,60-123-b12-1,123,b12
25,8220DB001999,"Francis St Junction, stop 1999",53.34311924,-6.276589701,10414.3.60-123-b12-1.68.O,08:05:12,08:05:12,26, Marino,6578.24,60-123-b12-1,123,b12
26,8220DB002001,"High Street, stop 2001",53.34331047,-6.273653305,10414.3.60-123-b12-1.68.O,08:06:08,08:06:08,27, Marino,6774.03,60-123-b12-1,123,b12
27,8220DB002002,"Lord Edward Street, stop 2002",53.34377081,-6.26944439,10414.3.60-123-b12-1.68.O,08:07:49,08:07:49,28, Marino,7094.6,60-123-b12-1,123,b12
28,8220DB001359,"College Green, stop 1359",53.34439941,-6.26136859,10414.3.60-123-b12-1.68.O,08:10:17,08:10:17,29, Marino,7639.16,60-123-b12-1,123,b12
29,8220DB000274,"O'Connell St Upper, stop 274",53.35034908,-6.260720869,10414.3.60-123-b12-1.68.O,08:13:53,08:13:53,30, Marino,8428.03,60-123-b12-1,123,b12
30,8220DB001505,"Parnell Street, stop 1505",53.35402896,-6.257896985,10414.3.60-123-b12-1.68.O,08:19:00,08:19:00,33, Marino,9702.17,60-123-b12-1,123,b12
31,8220DB004509,"Summerhill, stop 4509",53.3559717,-6.252454393,10414.3.60-123-b12-1.68.O,08:20:01,08:20:01,34, Marino,10124.49,60-123-b12-1,123,b12
32,8220DB000499,"Summerhill Parade, stop 499",53.35745034,-6.249088627,10414.3.60-123-b12-1.68.O,08:20:40,08:20:40,35, Marino,10404.7,60-123-b12-1,123,b12
33,8220DB000500,"Ballybough Road, stop 500",53.35903608,-6.246289155,10414.3.60-123-b12-1.68.O,08:21:12,08:21:12,36, Marino,10661.93,60-123-b12-1,123,b12
34,8220DB000501,"Clonliffe Avenue, stop 501",53.36070568,-6.243696374,10414.3.60-123-b12-1.68.O,08:21:44,08:21:44,37, Marino,10916.58,60-123-b12-1,123,b12
35,8220DB001484,"Philipsburgh Avenue, stop 1484",53.36369771,-6.239967029,10414.3.60-123-b12-1.68.O,08:23:11,08:23:11,38, Marino,11385.99,60-123-b12-1,123,b12
36,8220DB001481,"Melrose Avenue, stop 1481",53.36505387,-6.239896097,10414.3.60-123-b12-1.68.O,08:23:39,08:23:39,39, Marino,11536.86,60-123-b12-1,123,b12
37,8220DB007320,"Griffith Court, stop 7320",53.36850077,-6.239588676,10414.3.60-123-b12-1.68.O,08:24:52,08:24:52,40, Marino,11923.24,60-123-b12-1,123,b12
38,8220DB001486,"Morrogh Terrace, stop 1486",53.37097478,-6.238524809,10414.3.60-123-b12-1.68.O,08:25:47,08:25:47,41, Marino,12205.62,60-123-b12-1,123,b12
39,8220DB001487,"Marino Institute, stop 1487",53.37181925,-6.23667145,10414.3.60-123-b12-1.68.O,08:26:25,08:26:25,42, Marino,12458.74,60-123-b12-1,123,b12
40,8220DB001488,"Turlogh Parade, stop 1488",53.37108886,-6.23468777,10414.3.60-123-b12-1.68.O,08:26:49,08:26:49,43, Marino,12614.25,60-123-b12-1,123,b12
41,8220DB001489,"Marino Church, stop 1489",53.37015867,-6.231961008,10414.3.60-123-b12-1.68.O,08:27:21,08:27:21,44, Marino,12822.11,60-123-b12-1,123,b12
42,8220DB001490,"Árd Scoil Rís, stop 1490",53.36887682,-6.228557662,10414.3.60-123-b12-1.68.O,08:28:01,08:28:01,45, Marino,13089.2,60-123-b12-1,123,b12
