Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
45808,8240DB000324,"Harristown, stop 324",53.41772268,-6.278644169,6113.1.60-13-b12-1.22.O,17:30:00,17:30:00,1, Grange Castle IAWS,0.0,60-13-b12-1,13,b12
45809,8240DB000327,"Silloge Golf Club, stop 327",53.41319803,-6.265347926,6113.1.60-13-b12-1.22.O,17:32:47,17:32:47,2, Grange Castle IAWS,1323.42,60-13-b12-1,13,b12
45810,8220DB006016,"Balbutcher Lane, stop 6016",53.40111578,-6.267042643,6113.1.60-13-b12-1.22.O,17:36:00,17:36:00,3, Grange Castle IAWS,2865.11,60-13-b12-1,13,b12
45811,8220DB006017,"Galluan Road, stop 6017",53.40265434,-6.273356984,6113.1.60-13-b12-1.22.O,17:37:01,17:37:01,4, Grange Castle IAWS,3317.13,60-13-b12-1,13,b12
45812,8220DB007192,"Balbutcher Way, stop 7192",53.40382231,-6.275189708,6113.1.60-13-b12-1.22.O,17:37:24,17:37:24,5, Grange Castle IAWS,3494.53,60-13-b12-1,13,b12
45813,8220DB004683,"Balbutcher Drive, stop 4683",53.40471271,-6.279590636,6113.1.60-13-b12-1.22.O,17:38:09,17:38:09,6, Grange Castle IAWS,3836.06,60-13-b12-1,13,b12
45814,8220DB000107,"Crannogue Road, stop 107",53.4023799,-6.28049691,6113.1.60-13-b12-1.22.O,17:38:58,17:38:58,7, Grange Castle IAWS,4211.77,60-13-b12-1,13,b12
45815,8220DB006125,"Poppintree Parade, stop 6125",53.3998824,-6.276837923,6113.1.60-13-b12-1.22.O,17:39:49,17:39:49,8, Grange Castle IAWS,4600.54,60-13-b12-1,13,b12
45816,8220DB007092,"Dolmen Court, stop 7092",53.398187,-6.272094204,6113.1.60-13-b12-1.22.O,17:40:38,17:40:38,9, Grange Castle IAWS,4975.37,60-13-b12-1,13,b12
45817,8220DB000110,"Árd Na Meala, stop 110",53.39793864,-6.268600381,6113.1.60-13-b12-1.22.O,17:41:08,17:41:08,10, Grange Castle IAWS,5209.9,60-13-b12-1,13,b12
45818,8220DB000112,"Civic Centre, stop 112",53.3961544,-6.26395104,6113.1.60-13-b12-1.22.O,17:42:01,17:42:01,11, Grange Castle IAWS,5606.05,60-13-b12-1,13,b12
45819,8220DB000113,"Trinity Comp School, stop 113",53.39226796,-6.263703255,6113.1.60-13-b12-1.22.O,17:43:00,17:43:00,12, Grange Castle IAWS,6038.87,60-13-b12-1,13,b12
45820,8220DB000114,"Ballymun Road, stop 114",53.39133332,-6.263711229,6113.1.60-13-b12-1.22.O,17:43:38,17:43:38,13, Grange Castle IAWS,6142.8,60-13-b12-1,13,b12
45821,8220DB000115,"Ballymun Road Church, stop 115",53.38796409,-6.2650361,6113.1.60-13-b12-1.22.O,17:46:00,17:46:00,14, Grange Castle IAWS,6527.8,60-13-b12-1,13,b12
45822,8220DB000037,"DCU Ballymun Road, stop 37",53.3853464,-6.264886981,6113.1.60-13-b12-1.22.O,17:46:41,17:46:41,15, Grange Castle IAWS,6820.67,60-13-b12-1,13,b12
45823,8220DB000038,"Hampstead Avenue, stop 38",53.38223659,-6.265509521,6113.1.60-13-b12-1.22.O,17:47:31,17:47:31,16, Grange Castle IAWS,7168.91,60-13-b12-1,13,b12
45824,8220DB000039,"The Rise, stop 39",53.38041419,-6.265658759,6113.1.60-13-b12-1.22.O,17:48:00,17:48:00,17, Grange Castle IAWS,7371.79,60-13-b12-1,13,b12
45825,8220DB000116,"Griffith Lawns, stop 116",53.37769346,-6.25966674,6113.1.60-13-b12-1.22.O,17:49:30,17:49:30,18, Grange Castle IAWS,7959.27,60-13-b12-1,13,b12
45826,8220DB000117,"Walnut Rise, stop 117",53.37736591,-6.257545708,6113.1.60-13-b12-1.22.O,17:49:52,17:49:52,19, Grange Castle IAWS,8105.82,60-13-b12-1,13,b12
45827,8220DB000118,"Clare Road, stop 118",53.376643,-6.253592099,6113.1.60-13-b12-1.22.O,17:50:34,17:50:34,20, Grange Castle IAWS,8379.85,60-13-b12-1,13,b12
45828,8220DB000119,"The Village, stop 119",53.37519048,-6.250765745,6113.1.60-13-b12-1.22.O,17:51:23,17:51:23,21, Grange Castle IAWS,8685.46,60-13-b12-1,13,b12
45829,8220DB000044,"Skylon Hotel, stop 44",53.37301741,-6.252132303,6113.1.60-13-b12-1.22.O,17:52:00,17:52:00,22, Grange Castle IAWS,8944.82,60-13-b12-1,13,b12
45830,8220DB007603,"St Patrick's College, stop 7603",53.37157673,-6.253183204,6113.1.60-13-b12-1.22.O,17:52:28,17:52:28,23, Grange Castle IAWS,9119.01,60-13-b12-1,13,b12
45831,8220DB000045,"DCU St Patrick's, stop 45",53.36993643,-6.254106941,6113.1.60-13-b12-1.22.O,17:53:00,17:53:00,24, Grange Castle IAWS,9312.95,60-13-b12-1,13,b12
45832,8220DB000046,"Botanic Avenue, stop 46",53.36713102,-6.255258557,6113.1.60-13-b12-1.22.O,17:53:55,17:53:55,25, Grange Castle IAWS,9639.55,60-13-b12-1,13,b12
45833,8220DB000047,"Drumcondra Rail Stn, stop 47",53.36391612,-6.257298257,6113.1.60-13-b12-1.22.O,17:55:00,17:55:00,26, Grange Castle IAWS,10019.1,60-13-b12-1,13,b12
45834,8220DB000048,"Fitzroy Avenue, stop 48",53.36225739,-6.258808412,6113.1.60-13-b12-1.22.O,17:55:49,17:55:49,27, Grange Castle IAWS,10229.34,60-13-b12-1,13,b12
45835,8220DB000049,"Dorset Street Lower, stop 49",53.36000424,-6.260853508,6113.1.60-13-b12-1.22.O,17:57:00,17:57:00,28, Grange Castle IAWS,10515.72,60-13-b12-1,13,b12
45836,8220DB000051,"Temple Street, stop 51",53.35781041,-6.263271572,6113.1.60-13-b12-1.22.O,17:58:18,17:58:18,29, Grange Castle IAWS,10805.95,60-13-b12-1,13,b12
45837,8220DB000052,"Dorset Street Upper, stop 52",53.35666078,-6.264565282,6113.1.60-13-b12-1.22.O,17:59:00,17:59:00,30, Grange Castle IAWS,10962.71,60-13-b12-1,13,b12
45838,8220DB000261,"Parnell Square East, stop 261",53.35405628,-6.262853361,6113.1.60-13-b12-1.22.O,18:01:00,18:01:00,31, Grange Castle IAWS,11437.02,60-13-b12-1,13,b12
45839,8220DB000270,"O'Connell St Upper, stop 270",53.35062339,-6.260424292,6113.1.60-13-b12-1.22.O,18:04:00,18:04:00,32, Grange Castle IAWS,11857.4,60-13-b12-1,13,b12
45840,8220DB000335,"D'Olier Street, stop 335",53.34636141,-6.25784917,6113.1.60-13-b12-1.22.O,18:07:17,18:07:17,33, Grange Castle IAWS,12368.12,60-13-b12-1,13,b12
45841,8220DB004521,"College Green, stop 4521",53.34430106,-6.260171051,6113.1.60-13-b12-1.22.O,18:09:26,18:09:26,34, Grange Castle IAWS,12703.35,60-13-b12-1,13,b12
45842,8220DB001935,"Lord Edward Street, stop 1935",53.34393435,-6.268326352,6113.1.60-13-b12-1.22.O,18:13:00,18:13:00,35, Grange Castle IAWS,13247.78,60-13-b12-1,13,b12
45843,8220DB001937,"High Street, stop 1937",53.3430875,-6.273151674,6113.1.60-13-b12-1.22.O,18:14:44,18:14:44,36, Grange Castle IAWS,13605.42,60-13-b12-1,13,b12
45844,8220DB001938,"Thomas Street, stop 1938",53.34297789,-6.276760608,6113.1.60-13-b12-1.22.O,18:16:00,18:16:00,37, Grange Castle IAWS,13856.84,60-13-b12-1,13,b12
45845,8220DB001939,"Bridgefoot Street, stop 1939",53.34299827,-6.280664667,6113.1.60-13-b12-1.22.O,18:17:00,18:17:00,38, Grange Castle IAWS,14120.75,60-13-b12-1,13,b12
45846,8220DB001940,"James Street, stop 1940",53.3435386,-6.285734348,6113.1.60-13-b12-1.22.O,18:18:04,18:18:04,39, Grange Castle IAWS,14464.73,60-13-b12-1,13,b12
45847,8220DB001941,"Steeven's Lane, stop 1941",53.3433454,-6.28918142,6113.1.60-13-b12-1.22.O,18:18:47,18:18:47,40, Grange Castle IAWS,14694.08,60-13-b12-1,13,b12
45848,8220DB001942,"St James Hospital, stop 1942",53.34225498,-6.294631729,6113.1.60-13-b12-1.22.O,18:20:00,18:20:00,41, Grange Castle IAWS,15077.52,60-13-b12-1,13,b12
45849,8220DB001943,"Mount Brown, stop 1943",53.34137326,-6.298346366,6113.1.60-13-b12-1.22.O,18:21:00,18:21:00,42, Grange Castle IAWS,15343.06,60-13-b12-1,13,b12
45850,8220DB001944,"Old Kilmainham, stop 1944",53.34067533,-6.303615405,6113.1.60-13-b12-1.22.O,18:21:56,18:21:56,43, Grange Castle IAWS,15702.38,60-13-b12-1,13,b12
45851,8220DB001945,"Inchicore Library, stop 1945",53.34055478,-6.3096874,6113.1.60-13-b12-1.22.O,18:23:00,18:23:00,44, Grange Castle IAWS,16106.16,60-13-b12-1,13,b12
45852,8220DB001946,"Richmond Park, stop 1946",53.3401188,-6.316357477,6113.1.60-13-b12-1.22.O,18:24:31,18:24:31,45, Grange Castle IAWS,16559.15,60-13-b12-1,13,b12
45853,8220DB001947,"Camac Close, stop 1947",53.33981786,-6.317961195,6113.1.60-13-b12-1.22.O,18:24:53,18:24:53,46, Grange Castle IAWS,16671.18,60-13-b12-1,13,b12
45854,8220DB001948,"Tyrconnell Road, stop 1948",53.338662,-6.322046302,6113.1.60-13-b12-1.22.O,18:26:00,18:26:00,47, Grange Castle IAWS,17002.97,60-13-b12-1,13,b12
