Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
174,8240DB000324,"Harristown, stop 324",53.41772268,-6.278644169,12585.3.60-13-b12-1.19.O,22:00:00,22:00:00,1, Grange Castle,0.0,60-13-b12-1,13,b12
175,8240DB000327,"Silloge Golf Club, stop 327",53.41319803,-6.265347926,12585.3.60-13-b12-1.19.O,22:02:26,22:02:26,2, Grange Castle,1323.42,60-13-b12-1,13,b12
176,8220DB006016,"Balbutcher Lane, stop 6016",53.40111578,-6.267042643,12585.3.60-13-b12-1.19.O,22:05:15,22:05:15,3, Grange Castle,2865.11,60-13-b12-1,13,b12
177,8220DB006017,"Galluan Road, stop 6017",53.40265434,-6.273356984,12585.3.60-13-b12-1.19.O,22:06:34,22:06:34,4, Grange Castle,3317.13,60-13-b12-1,13,b12
178,8220DB007192,"Balbutcher Way, stop 7192",53.40382231,-6.275189708,12585.3.60-13-b12-1.19.O,22:07:04,22:07:04,5, Grange Castle,3494.53,60-13-b12-1,13,b12
179,8220DB004683,"Balbutcher Drive, stop 4683",53.40471271,-6.279590636,12585.3.60-13-b12-1.19.O,22:08:03,22:08:03,6, Grange Castle,3836.06,60-13-b12-1,13,b12
180,8220DB000107,"Crannogue Road, stop 107",53.4023799,-6.28049691,12585.3.60-13-b12-1.19.O,22:09:07,22:09:07,7, Grange Castle,4211.77,60-13-b12-1,13,b12
181,8220DB006125,"Poppintree Parade, stop 6125",53.3998824,-6.276837923,12585.3.60-13-b12-1.19.O,22:10:14,22:10:14,8, Grange Castle,4600.54,60-13-b12-1,13,b12
182,8220DB007092,"Dolmen Court, stop 7092",53.398187,-6.272094204,12585.3.60-13-b12-1.19.O,22:11:18,22:11:18,9, Grange Castle,4975.37,60-13-b12-1,13,b12
183,8220DB000110,"Árd Na Meala, stop 110",53.39793864,-6.268600381,12585.3.60-13-b12-1.19.O,22:11:57,22:11:57,10, Grange Castle,5209.9,60-13-b12-1,13,b12
184,8220DB000112,"Civic Centre, stop 112",53.3961544,-6.26395104,12585.3.60-13-b12-1.19.O,22:13:07,22:13:07,11, Grange Castle,5606.05,60-13-b12-1,13,b12
185,8220DB000113,"Trinity Comp School, stop 113",53.39226796,-6.263703255,12585.3.60-13-b12-1.19.O,22:14:21,22:14:21,12, Grange Castle,6038.87,60-13-b12-1,13,b12
186,8220DB000114,"Ballymun Road, stop 114",53.39133332,-6.263711229,12585.3.60-13-b12-1.19.O,22:14:38,22:14:38,13, Grange Castle,6142.8,60-13-b12-1,13,b12
187,8220DB000115,"Ballymun Road Church, stop 115",53.38796409,-6.2650361,12585.3.60-13-b12-1.19.O,22:15:40,22:15:40,14, Grange Castle,6527.8,60-13-b12-1,13,b12
188,8220DB000037,"DCU Ballymun Road, stop 37",53.3853464,-6.264886981,12585.3.60-13-b12-1.19.O,22:16:14,22:16:14,15, Grange Castle,6820.67,60-13-b12-1,13,b12
189,8220DB000038,"Hampstead Avenue, stop 38",53.38223659,-6.265509521,12585.3.60-13-b12-1.19.O,22:16:55,22:16:55,16, Grange Castle,7168.91,60-13-b12-1,13,b12
190,8220DB000039,"The Rise, stop 39",53.38041419,-6.265658759,12585.3.60-13-b12-1.19.O,22:17:18,22:17:18,17, Grange Castle,7371.79,60-13-b12-1,13,b12
191,8220DB000116,"Griffith Lawns, stop 116",53.37769346,-6.25966674,12585.3.60-13-b12-1.19.O,22:18:43,22:18:43,18, Grange Castle,7959.27,60-13-b12-1,13,b12
192,8220DB000117,"Walnut Rise, stop 117",53.37736591,-6.257545708,12585.3.60-13-b12-1.19.O,22:19:04,22:19:04,19, Grange Castle,8105.82,60-13-b12-1,13,b12
193,8220DB000118,"Clare Road, stop 118",53.376643,-6.253592099,12585.3.60-13-b12-1.19.O,22:19:44,22:19:44,20, Grange Castle,8379.85,60-13-b12-1,13,b12
194,8220DB000119,"The Village, stop 119",53.37519048,-6.250765745,12585.3.60-13-b12-1.19.O,22:20:30,22:20:30,21, Grange Castle,8685.46,60-13-b12-1,13,b12
195,8220DB000044,"Skylon Hotel, stop 44",53.37301741,-6.252132303,12585.3.60-13-b12-1.19.O,22:21:05,22:21:05,22, Grange Castle,8944.82,60-13-b12-1,13,b12
196,8220DB007603,"St Patrick's College, stop 7603",53.37157673,-6.253183204,12585.3.60-13-b12-1.19.O,22:21:46,22:21:46,23, Grange Castle,9119.01,60-13-b12-1,13,b12
197,8220DB000045,"DCU St Patrick's, stop 45",53.36993643,-6.254106941,12585.3.60-13-b12-1.19.O,22:22:34,22:22:34,24, Grange Castle,9312.95,60-13-b12-1,13,b12
198,8220DB000046,"Botanic Avenue, stop 46",53.36713102,-6.255258557,12585.3.60-13-b12-1.19.O,22:23:42,22:23:42,25, Grange Castle,9639.55,60-13-b12-1,13,b12
199,8220DB000047,"Drumcondra Rail Stn, stop 47",53.36391612,-6.257298257,12585.3.60-13-b12-1.19.O,22:25:04,22:25:04,26, Grange Castle,10019.1,60-13-b12-1,13,b12
200,8220DB000048,"Fitzroy Avenue, stop 48",53.36225739,-6.258808412,12585.3.60-13-b12-1.19.O,22:26:07,22:26:07,27, Grange Castle,10229.34,60-13-b12-1,13,b12
201,8220DB000049,"Dorset Street Lower, stop 49",53.36000424,-6.260853508,12585.3.60-13-b12-1.19.O,22:27:37,22:27:37,28, Grange Castle,10515.72,60-13-b12-1,13,b12
202,8220DB000051,"Temple Street, stop 51",53.35781041,-6.263271572,12585.3.60-13-b12-1.19.O,22:29:16,22:29:16,29, Grange Castle,10805.95,60-13-b12-1,13,b12
203,8220DB000052,"Dorset Street Upper, stop 52",53.35666078,-6.264565282,12585.3.60-13-b12-1.19.O,22:30:09,22:30:09,30, Grange Castle,10962.71,60-13-b12-1,13,b12
204,8220DB000261,"Parnell Square East, stop 261",53.35405628,-6.262853361,12585.3.60-13-b12-1.19.O,22:32:07,22:32:07,31, Grange Castle,11437.02,60-13-b12-1,13,b12
205,8220DB000270,"O'Connell St Upper, stop 270",53.35062339,-6.260424292,12585.3.60-13-b12-1.19.O,22:34:41,22:34:41,32, Grange Castle,11857.4,60-13-b12-1,13,b12
206,8220DB000335,"D'Olier Street, stop 335",53.34636141,-6.25784917,12585.3.60-13-b12-1.19.O,22:39:00,22:39:00,33, Grange Castle,12368.12,60-13-b12-1,13,b12
207,8220DB004521,"College Green, stop 4521",53.34430106,-6.260171051,12585.3.60-13-b12-1.19.O,22:41:50,22:41:50,34, Grange Castle,12703.35,60-13-b12-1,13,b12
208,8220DB001935,"Lord Edward Street, stop 1935",53.34393435,-6.268326352,12585.3.60-13-b12-1.19.O,22:46:29,22:46:29,35, Grange Castle,13247.78,60-13-b12-1,13,b12
209,8220DB001937,"High Street, stop 1937",53.3430875,-6.273151674,12585.3.60-13-b12-1.19.O,22:48:27,22:48:27,36, Grange Castle,13605.42,60-13-b12-1,13,b12
210,8220DB001938,"Thomas Street, stop 1938",53.34297789,-6.276760608,12585.3.60-13-b12-1.19.O,22:49:54,22:49:54,37, Grange Castle,13856.84,60-13-b12-1,13,b12
211,8220DB001939,"Bridgefoot Street, stop 1939",53.34299827,-6.280664667,12585.3.60-13-b12-1.19.O,22:51:31,22:51:31,38, Grange Castle,14120.75,60-13-b12-1,13,b12
212,8220DB001940,"James Street, stop 1940",53.3435386,-6.285734348,12585.3.60-13-b12-1.19.O,22:52:29,22:52:29,39, Grange Castle,14464.73,60-13-b12-1,13,b12
213,8220DB001941,"Steeven's Lane, stop 1941",53.3433454,-6.28918142,12585.3.60-13-b12-1.19.O,22:53:08,22:53:08,40, Grange Castle,14694.08,60-13-b12-1,13,b12
214,8220DB001942,"St James Hospital, stop 1942",53.34225498,-6.294631729,12585.3.60-13-b12-1.19.O,22:54:14,22:54:14,41, Grange Castle,15077.52,60-13-b12-1,13,b12
215,8220DB001943,"Mount Brown, stop 1943",53.34137326,-6.298346366,12585.3.60-13-b12-1.19.O,22:54:54,22:54:54,42, Grange Castle,15343.06,60-13-b12-1,13,b12
216,8220DB001944,"Old Kilmainham, stop 1944",53.34067533,-6.303615405,12585.3.60-13-b12-1.19.O,22:55:53,22:55:53,43, Grange Castle,15702.38,60-13-b12-1,13,b12
217,8220DB001945,"Inchicore Library, stop 1945",53.34055478,-6.3096874,12585.3.60-13-b12-1.19.O,22:57:00,22:57:00,44, Grange Castle,16106.16,60-13-b12-1,13,b12
218,8220DB001946,"Richmond Park, stop 1946",53.3401188,-6.316357477,12585.3.60-13-b12-1.19.O,22:58:37,22:58:37,45, Grange Castle,16559.15,60-13-b12-1,13,b12
219,8220DB001947,"Camac Close, stop 1947",53.33981786,-6.317961195,12585.3.60-13-b12-1.19.O,22:59:01,22:59:01,46, Grange Castle,16671.18,60-13-b12-1,13,b12
220,8220DB001948,"Tyrconnell Road, stop 1948",53.338662,-6.322046302,12585.3.60-13-b12-1.19.O,23:00:13,23:00:13,47, Grange Castle,17002.97,60-13-b12-1,13,b12
221,8220DB001949,"Tyrconnell Park, stop 1949",53.33764148,-6.32361808,12585.3.60-13-b12-1.19.O,23:00:43,23:00:43,48, Grange Castle,17157.09,60-13-b12-1,13,b12
222,8220DB001950,"Oblates Church, stop 1950",53.33602104,-6.325994134,12585.3.60-13-b12-1.19.O,23:01:28,23:01:28,49, Grange Castle,17398.07,60-13-b12-1,13,b12
