Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
66,8220DB000621,"Talbot Street, stop 621",53.35051778,-6.256267648,1183.1.60-130-b12-1.72.O,07:55:00,07:55:00,1, Castle Ave,0.0,60-130-b12-1,130,b12
67,8220DB000289,"Abbey St Lower, stop 289",53.34903518,-6.256298123,1183.1.60-130-b12-1.72.O,07:57:35,07:57:35,2, Castle Ave,384.17,60-130-b12-1,130,b12
68,8220DB000496,"Busáras, stop 496",53.34949688,-6.252223579,1183.1.60-130-b12-1.72.O,07:59:29,07:59:29,4, Castle Ave,664.82,60-130-b12-1,130,b12
69,8220DB000515,"Portland Row, stop 515",53.35353487,-6.248092401,1183.1.60-130-b12-1.72.O,08:01:43,08:01:43,6, Castle Ave,1223.39,60-130-b12-1,130,b12
70,8220DB000516,"North Strand Road, stop 516",53.35568392,-6.245705684,1183.1.60-130-b12-1.72.O,08:02:48,08:02:48,7, Castle Ave,1508.07,60-130-b12-1,130,b12
71,8220DB004384,"Bayview Avenue, stop 4384",53.35768013,-6.242709027,1183.1.60-130-b12-1.72.O,08:03:53,08:03:53,8, Castle Ave,1807.11,60-130-b12-1,130,b12
72,8220DB000519,"North Strand Fire Station, stop 519",53.36033876,-6.239534529,1183.1.60-130-b12-1.72.O,08:05:12,08:05:12,9, Castle Ave,2173.34,60-130-b12-1,130,b12
73,8220DB000521,"Annesley Bridge, stop 521",53.36163705,-6.237978461,1183.1.60-130-b12-1.72.O,08:05:59,08:05:59,10, Castle Ave,2349.86,60-130-b12-1,130,b12
74,8220DB000522,"Fairview, stop 522",53.36328895,-6.235415975,1183.1.60-130-b12-1.72.O,08:07:06,08:07:06,11, Castle Ave,2601.84,60-130-b12-1,130,b12
75,8220DB000523,"Marino College, stop 523",53.36428545,-6.231693332,1183.1.60-130-b12-1.72.O,08:08:15,08:08:15,13, Castle Ave,2891.49,60-130-b12-1,130,b12
76,8220DB001740,"Clontarf Road, stop 1740",53.36414162,-6.226845787,1183.1.60-130-b12-1.72.O,08:09:33,08:09:33,14, Castle Ave,3212.9,60-130-b12-1,130,b12
77,8220DB001741,"Alfie Byrne Road, stop 1741",53.3631169,-6.220802823,1183.1.60-130-b12-1.72.O,08:11:31,08:11:31,15, Castle Ave,3629.72,60-130-b12-1,130,b12
78,8220DB001742,"St Lawrence Road, stop 1742",53.36212579,-6.216426585,1183.1.60-130-b12-1.72.O,08:12:31,08:12:31,16, Castle Ave,3939.01,60-130-b12-1,130,b12
79,8220DB001743,"The Court, stop 1743",53.36113569,-6.213928667,1183.1.60-130-b12-1.72.O,08:13:08,08:13:08,17, Castle Ave,4138.46,60-130-b12-1,130,b12
80,8220DB001744,"Scoil Uí Chonaill, stop 1744",53.36034864,-6.208792977,1183.1.60-130-b12-1.72.O,08:13:52,08:13:52,18, Castle Ave,4496.65,60-130-b12-1,130,b12
81,8220DB001745,"Clontarf Baths, stop 1745",53.36034708,-6.205697885,1183.1.60-130-b12-1.72.O,08:14:18,08:14:18,19, Castle Ave,4705.51,60-130-b12-1,130,b12
82,8220DB001746,"Oultan Road, stop 1746",53.36025652,-6.202666638,1183.1.60-130-b12-1.72.O,08:14:42,08:14:42,20, Castle Ave,4904.65,60-130-b12-1,130,b12
83,8220DB001747,"John the Baptist Ch, stop 1747",53.35935099,-6.196860141,1183.1.60-130-b12-1.72.O,08:15:49,08:15:49,21, Castle Ave,5303.2,60-130-b12-1,130,b12
84,8220DB001748,"Fortview Avenue, stop 1748",53.35825702,-6.193465762,1183.1.60-130-b12-1.72.O,08:16:25,08:16:25,22, Castle Ave,5564.32,60-130-b12-1,130,b12
85,8220DB001749,"Clontarf Bus Garage, stop 1749",53.35859037,-6.19055194,1183.1.60-130-b12-1.72.O,08:16:52,08:16:52,23, Castle Ave,5766.57,60-130-b12-1,130,b12
86,8220DB001751,"Wooden Bridge, stop 1751",53.35986988,-6.185434327,1183.1.60-130-b12-1.72.O,08:17:28,08:17:28,24, Castle Ave,6137.01,60-130-b12-1,130,b12
87,8220DB001752,"Bull Island, stop 1752",53.36112759,-6.181849919,1183.1.60-130-b12-1.72.O,08:18:05,08:18:05,25, Castle Ave,6415.82,60-130-b12-1,130,b12
