Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000297,"Eden Quay, stop 297",53.34814327,-6.256770126,11279.3.60-14-b12-1.149.I,06:00:00,06:00:00,1, Beaumont,0.0,60-14-b12-1,14,b12
1,8220DB000496,"Busáras, stop 496",53.34949688,-6.252223579,11279.3.60-14-b12-1.149.I,06:00:59,06:00:59,2, Beaumont,382.06,60-14-b12-1,14,b12
2,8220DB000497,"Connolly, stop 497",53.35052608,-6.250694343,11279.3.60-14-b12-1.149.I,06:01:28,06:01:28,4, Beaumont,563.21,60-14-b12-1,14,b12
3,8220DB000515,"Portland Row, stop 515",53.35353487,-6.248092401,11279.3.60-14-b12-1.149.I,06:02:33,06:02:33,5, Beaumont,940.62,60-14-b12-1,14,b12
4,8220DB000516,"North Strand Road, stop 516",53.35568392,-6.245705684,11279.3.60-14-b12-1.149.I,06:03:22,06:03:22,6, Beaumont,1225.3,60-14-b12-1,14,b12
5,8220DB004384,"Bayview Avenue, stop 4384",53.35768013,-6.242709027,11279.3.60-14-b12-1.149.I,06:03:54,06:03:54,7, Beaumont,1524.34,60-14-b12-1,14,b12
6,8220DB000519,"North Strand Fire Station, stop 519",53.36033876,-6.239534529,11279.3.60-14-b12-1.149.I,06:04:33,06:04:33,8, Beaumont,1890.57,60-14-b12-1,14,b12
7,8220DB000521,"Annesley Bridge, stop 521",53.36163705,-6.237978461,11279.3.60-14-b12-1.149.I,06:04:57,06:04:57,9, Beaumont,2067.09,60-14-b12-1,14,b12
8,8220DB000522,"Fairview, stop 522",53.36328895,-6.235415975,11279.3.60-14-b12-1.149.I,06:05:31,06:05:31,10, Beaumont,2319.07,60-14-b12-1,14,b12
9,8220DB000523,"Marino College, stop 523",53.36428545,-6.231693332,11279.3.60-14-b12-1.149.I,06:06:03,06:06:03,12, Beaumont,2608.72,60-14-b12-1,14,b12
10,8220DB000669,"Malahide Road, stop 669",53.366317,-6.228678905,11279.3.60-14-b12-1.149.I,06:06:38,06:06:38,13, Beaumont,2969.34,60-14-b12-1,14,b12
11,8220DB000670,"Mount Temple School, stop 670",53.36895611,-6.226029664,11279.3.60-14-b12-1.149.I,06:07:11,06:07:11,14, Beaumont,3312.14,60-14-b12-1,14,b12
12,8220DB000671,"Nazareth House, stop 671",53.37071684,-6.224153053,11279.3.60-14-b12-1.149.I,06:07:31,06:07:31,15, Beaumont,3544.72,60-14-b12-1,14,b12
13,8220DB000672,"Donnycarney Road, stop 672",53.37346635,-6.221077821,11279.3.60-14-b12-1.149.I,06:08:03,06:08:03,16, Beaumont,3913.66,60-14-b12-1,14,b12
14,8220DB004382,"Donnycarney Church, stop 4382",53.37496447,-6.219677694,11279.3.60-14-b12-1.149.I,06:08:19,06:08:19,17, Beaumont,4136.8,60-14-b12-1,14,b12
15,8220DB001185,"Oak Road, stop 1185",53.37636701,-6.221513046,11279.3.60-14-b12-1.149.I,06:08:51,06:08:51,18, Beaumont,4441.16,60-14-b12-1,14,b12
16,8220DB001186,"Belton Park Road, stop 1186",53.37764311,-6.226329938,11279.3.60-14-b12-1.149.I,06:09:29,06:09:29,19, Beaumont,4791.54,60-14-b12-1,14,b12
17,8220DB001187,"Celtic Park Road, stop 1187",53.37860751,-6.231355441,11279.3.60-14-b12-1.149.I,06:10:06,06:10:06,20, Beaumont,5141.61,60-14-b12-1,14,b12
18,8220DB001188,"Grace Park Heights, stop 1188",53.38001849,-6.235596083,11279.3.60-14-b12-1.149.I,06:10:46,06:10:46,21, Beaumont,5463.57,60-14-b12-1,14,b12
19,8220DB000216,"Beaumont Road, stop 216",53.38233082,-6.23819132,11279.3.60-14-b12-1.149.I,06:11:39,06:11:39,22, Beaumont,5885.75,60-14-b12-1,14,b12
20,8220DB000217,"Grace Park Court, stop 217",53.38432362,-6.236801122,11279.3.60-14-b12-1.149.I,06:12:09,06:12:09,23, Beaumont,6124.36,60-14-b12-1,14,b12
21,8220DB000242,"Coolgreena Road, stop 242",53.3856549,-6.232010428,11279.3.60-14-b12-1.149.I,06:12:52,06:12:52,24, Beaumont,6474.92,60-14-b12-1,14,b12
22,8220DB000243,"Lady of Mercy, stop 243",53.38578006,-6.229539675,11279.3.60-14-b12-1.149.I,06:13:12,06:13:12,25, Beaumont,6636.45,60-14-b12-1,14,b12
23,8220DB000254,"Beaumont Hospital, stop 254",53.3902653,-6.224106114,11279.3.60-14-b12-1.149.I,06:14:39,06:14:39,26, Beaumont,7320.28,60-14-b12-1,14,b12
24,8220DB000244,"Skelly's Lane, stop 244",53.38499821,-6.223498516,11279.3.60-14-b12-1.149.I,06:16:45,06:16:45,27, Beaumont,8373.83,60-14-b12-1,14,b12
25,8220DB000245,"Whitethorn Crescent, stop 245",53.38447224,-6.219566606,11279.3.60-14-b12-1.149.I,06:17:19,06:17:19,28, Beaumont,8643.05,60-14-b12-1,14,b12
26,8220DB000246,"Artane Castle, stop 246",53.38515048,-6.216230877,11279.3.60-14-b12-1.149.I,06:17:59,06:17:59,29, Beaumont,8949.66,60-14-b12-1,14,b12
27,8220DB000248,"Maryfield Drive, stop 248",53.38556456,-6.214469631,11279.3.60-14-b12-1.149.I,06:18:55,06:18:55,30, Beaumont,9118.27,60-14-b12-1,14,b12
