Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
5808,8220DB000248,"Maryfield Drive, stop 248",53.38556456,-6.214469631,11321.3.60-14-b12-1.150.O,23:10:00,23:10:00,1, D'Olier Street,0.0,60-14-b12-1,14,b12
5809,8220DB000249,"Artane Castle, stop 249",53.38493355,-6.216149745,11321.3.60-14-b12-1.150.O,23:10:29,23:10:29,2, D'Olier Street,192.77,60-14-b12-1,14,b12
5810,8220DB000250,"Skelly's Lane, stop 250",53.38441945,-6.220245316,11321.3.60-14-b12-1.150.O,23:11:21,23:11:21,3, D'Olier Street,540.86,60-14-b12-1,14,b12
5811,8220DB000251,"Elmount Crescent, stop 251",53.38483228,-6.223219786,11321.3.60-14-b12-1.150.O,23:11:51,23:11:51,4, D'Olier Street,742.16,60-14-b12-1,14,b12
5812,8220DB000252,"Lady of Mercy, stop 252",53.38556802,-6.227969918,11321.3.60-14-b12-1.150.O,23:12:40,23:12:40,5, D'Olier Street,1068.92,60-14-b12-1,14,b12
5813,8220DB000255,"Coolgreena Road, stop 255",53.38559388,-6.231531872,11321.3.60-14-b12-1.150.O,23:13:16,23:13:16,6, D'Olier Street,1306.84,60-14-b12-1,14,b12
5814,8220DB000234,"Beaumont Grove, stop 234",53.38495048,-6.234820843,11321.3.60-14-b12-1.150.O,23:13:51,23:13:51,7, D'Olier Street,1538.44,60-14-b12-1,14,b12
5815,8220DB000235,"Collinswood, stop 235",53.38329661,-6.237249457,11321.3.60-14-b12-1.150.O,23:14:31,23:14:31,8, D'Olier Street,1801.94,60-14-b12-1,14,b12
5816,8220DB000236,"Yellow Road, stop 236",53.38202474,-6.23815886,11321.3.60-14-b12-1.150.O,23:14:55,23:14:55,9, D'Olier Street,1954.69,60-14-b12-1,14,b12
5817,8220DB001190,"Grace Park Heights, stop 1190",53.38015612,-6.235785808,11321.3.60-14-b12-1.150.O,23:15:52,23:15:52,10, D'Olier Street,2329.07,60-14-b12-1,14,b12
5818,8220DB001191,"Grace Park Meadows, stop 1191",53.37921719,-6.23307384,11321.3.60-14-b12-1.150.O,23:16:16,23:16:16,11, D'Olier Street,2537.64,60-14-b12-1,14,b12
5819,8220DB001192,"Celtic Park Road, stop 1192",53.3786332,-6.230662931,11321.3.60-14-b12-1.150.O,23:16:36,23:16:36,12, D'Olier Street,2712.17,60-14-b12-1,14,b12
5820,8220DB001193,"The Yard, stop 1193",53.3779922,-6.227442769,11321.3.60-14-b12-1.150.O,23:17:01,23:17:01,13, D'Olier Street,2937.05,60-14-b12-1,14,b12
5821,8220DB001194,"Belton Park Road, stop 1194",53.37752621,-6.225117282,11321.3.60-14-b12-1.150.O,23:17:19,23:17:19,14, D'Olier Street,3098.97,60-14-b12-1,14,b12
5822,8220DB001195,"Oak Road, stop 1195",53.37638993,-6.22124154,11321.3.60-14-b12-1.150.O,23:17:51,23:17:51,15, D'Olier Street,3384.93,60-14-b12-1,14,b12
5823,8220DB000664,"Donnycarney Church, stop 664",53.37471925,-6.219507562,11321.3.60-14-b12-1.150.O,23:18:25,23:18:25,16, D'Olier Street,3674.82,60-14-b12-1,14,b12
5824,8220DB000665,"Casino Park, stop 665",53.37246632,-6.222126461,11321.3.60-14-b12-1.150.O,23:18:52,23:18:52,17, D'Olier Street,3982.28,60-14-b12-1,14,b12
5825,8220DB000666,"Mount Temple School, stop 666",53.37023312,-6.224263348,11321.3.60-14-b12-1.150.O,23:19:20,23:19:20,18, D'Olier Street,4268.32,60-14-b12-1,14,b12
5826,8220DB000667,"Brian Road, stop 667",53.36798165,-6.226986847,11321.3.60-14-b12-1.150.O,23:19:48,23:19:48,19, D'Olier Street,4577.33,60-14-b12-1,14,b12
5827,8220DB000668,"Marino Crescent Park, stop 668",53.36457498,-6.229397317,11321.3.60-14-b12-1.150.O,23:20:42,23:20:42,20, D'Olier Street,4993.81,60-14-b12-1,14,b12
5828,8220DB000614,"Fairview, stop 614",53.363638,-6.23349323,11321.3.60-14-b12-1.150.O,23:21:20,23:21:20,21, D'Olier Street,5291.55,60-14-b12-1,14,b12
5829,8220DB000616,"Nth Strand Fire Stn, stop 616",53.35984471,-6.239554896,11321.3.60-14-b12-1.150.O,23:22:33,23:22:33,23, D'Olier Street,5895.72,60-14-b12-1,14,b12
5830,8220DB000618,"Newcomen Bridge, stop 618",53.35610118,-6.244742068,11321.3.60-14-b12-1.150.O,23:23:32,23:23:32,25, D'Olier Street,6435.74,60-14-b12-1,14,b12
5831,8220DB000619,"Amiens Street, stop 619",53.35404463,-6.247305334,11321.3.60-14-b12-1.150.O,23:24:15,23:24:15,26, D'Olier Street,6721.95,60-14-b12-1,14,b12
5832,8220DB004415,"Connolly Train Stn, stop 4415",53.35052079,-6.250334044,11321.3.60-14-b12-1.150.O,23:25:20,23:25:20,28, D'Olier Street,7167.52,60-14-b12-1,14,b12
5833,8220DB000301,"Eden Quay, stop 301",53.34798837,-6.256626241,11321.3.60-14-b12-1.150.O,23:28:51,23:28:51,29, D'Olier Street,7792.07,60-14-b12-1,14,b12
5834,8220DB000336,"D'Olier Street, stop 336",53.34625164,-6.257718467,11321.3.60-14-b12-1.150.O,23:31:48,23:31:48,30, D'Olier Street,8118.07,60-14-b12-1,14,b12
