Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
56,8220DB000248,"Maryfield Drive, stop 248",53.38556456,-6.214469631,11280.3.60-14-b12-1.151.O,06:30:00,06:30:00,1, Dundrum Luas,0.0,60-14-b12-1,14,b12
57,8220DB000249,"Artane Castle, stop 249",53.38493355,-6.216149745,11280.3.60-14-b12-1.151.O,06:30:32,06:30:32,2, Dundrum Luas,192.77,60-14-b12-1,14,b12
58,8220DB000250,"Skelly's Lane, stop 250",53.38441945,-6.220245316,11280.3.60-14-b12-1.151.O,06:31:29,06:31:29,3, Dundrum Luas,540.86,60-14-b12-1,14,b12
59,8220DB000251,"Elmount Crescent, stop 251",53.38483228,-6.223219786,11280.3.60-14-b12-1.151.O,06:32:02,06:32:02,4, Dundrum Luas,742.16,60-14-b12-1,14,b12
60,8220DB000252,"Lady of Mercy, stop 252",53.38556802,-6.227969918,11280.3.60-14-b12-1.151.O,06:32:53,06:32:53,5, Dundrum Luas,1068.92,60-14-b12-1,14,b12
61,8220DB000255,"Coolgreena Road, stop 255",53.38559388,-6.231531872,11280.3.60-14-b12-1.151.O,06:33:31,06:33:31,6, Dundrum Luas,1306.84,60-14-b12-1,14,b12
62,8220DB000234,"Beaumont Grove, stop 234",53.38495048,-6.234820843,11280.3.60-14-b12-1.151.O,06:34:07,06:34:07,7, Dundrum Luas,1538.44,60-14-b12-1,14,b12
63,8220DB000235,"Collinswood, stop 235",53.38329661,-6.237249457,11280.3.60-14-b12-1.151.O,06:34:48,06:34:48,8, Dundrum Luas,1801.94,60-14-b12-1,14,b12
64,8220DB000236,"Yellow Road, stop 236",53.38202474,-6.23815886,11280.3.60-14-b12-1.151.O,06:35:12,06:35:12,9, Dundrum Luas,1954.69,60-14-b12-1,14,b12
65,8220DB001190,"Grace Park Heights, stop 1190",53.38015612,-6.235785808,11280.3.60-14-b12-1.151.O,06:36:12,06:36:12,10, Dundrum Luas,2329.07,60-14-b12-1,14,b12
66,8220DB001191,"Grace Park Meadows, stop 1191",53.37921719,-6.23307384,11280.3.60-14-b12-1.151.O,06:36:45,06:36:45,11, Dundrum Luas,2537.64,60-14-b12-1,14,b12
67,8220DB001192,"Celtic Park Road, stop 1192",53.3786332,-6.230662931,11280.3.60-14-b12-1.151.O,06:37:12,06:37:12,12, Dundrum Luas,2712.17,60-14-b12-1,14,b12
68,8220DB001193,"The Yard, stop 1193",53.3779922,-6.227442769,11280.3.60-14-b12-1.151.O,06:37:47,06:37:47,13, Dundrum Luas,2937.05,60-14-b12-1,14,b12
69,8220DB001194,"Belton Park Road, stop 1194",53.37752621,-6.225117282,11280.3.60-14-b12-1.151.O,06:38:12,06:38:12,14, Dundrum Luas,3098.97,60-14-b12-1,14,b12
70,8220DB001195,"Oak Road, stop 1195",53.37638993,-6.22124154,11280.3.60-14-b12-1.151.O,06:38:57,06:38:57,15, Dundrum Luas,3384.93,60-14-b12-1,14,b12
71,8220DB000664,"Donnycarney Church, stop 664",53.37471925,-6.219507562,11280.3.60-14-b12-1.151.O,06:39:45,06:39:45,16, Dundrum Luas,3674.82,60-14-b12-1,14,b12
72,8220DB000665,"Casino Park, stop 665",53.37246632,-6.222126461,11280.3.60-14-b12-1.151.O,06:40:15,06:40:15,17, Dundrum Luas,3982.28,60-14-b12-1,14,b12
73,8220DB000666,"Mount Temple School, stop 666",53.37023312,-6.224263348,11280.3.60-14-b12-1.151.O,06:40:45,06:40:45,18, Dundrum Luas,4268.32,60-14-b12-1,14,b12
74,8220DB000667,"Brian Road, stop 667",53.36798165,-6.226986847,11280.3.60-14-b12-1.151.O,06:41:16,06:41:16,19, Dundrum Luas,4577.33,60-14-b12-1,14,b12
