Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB007149,"IKEA, stop 7149",53.40729626,-6.277997272,1180.1.60-140-b12-1.74.O,16:10:00,16:10:00,1, Rathmines,0.0,60-140-b12-1,140,b12
1,8220DB007277,"St Margaret's Road, stop 7277",53.40600083,-6.28041103,1180.1.60-140-b12-1.74.O,16:10:53,16:10:53,2, Rathmines,282.22,60-140-b12-1,140,b12
2,8220DB006363,"Hampton Wood, stop 6363",53.40614521,-6.287955788,1180.1.60-140-b12-1.74.O,16:12:09,16:12:09,3, Rathmines,787.78,60-140-b12-1,140,b12
3,8220DB006361,"Jamestown Road, stop 6361",53.4059486,-6.291799118,1180.1.60-140-b12-1.74.O,16:13:00,16:13:00,4, Rathmines,1114.68,60-140-b12-1,140,b12
4,8220DB006367,"Hampton Wood Road, stop 6367",53.40387631,-6.291445982,1180.1.60-140-b12-1.74.O,16:13:35,16:13:35,5, Rathmines,1348.35,60-140-b12-1,140,b12
5,8220DB004985,"Lanesborough Estate, stop 4985",53.40232099,-6.291418069,1180.1.60-140-b12-1.74.O,16:14:01,16:14:01,6, Rathmines,1521.21,60-140-b12-1,140,b12
6,8240DB006219,"St Margaret's Road, stop 6219",53.39983649,-6.293036536,1180.1.60-140-b12-1.74.O,16:15:30,16:15:30,7, Rathmines,2125.06,60-140-b12-1,140,b12
7,8240DB006229,"Melville, stop 6229",53.40204632,-6.298617971,1180.1.60-140-b12-1.74.O,16:16:38,16:16:38,8, Rathmines,2576.94,60-140-b12-1,140,b12
8,8240DB006364,"Century Business Pk, stop 6364",53.40258276,-6.301574427,1180.1.60-140-b12-1.74.O,16:17:37,16:17:37,9, Rathmines,2783.31,60-140-b12-1,140,b12
9,8220DB001558,"McKelvey Avenue, stop 1558",53.39981751,-6.303053095,1180.1.60-140-b12-1.74.O,16:19:48,16:19:48,10, Rathmines,3191.6,60-140-b12-1,140,b12
