Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8250DB000877,"UCD Sports Centre, stop 877",53.30820211,-6.230065457,5552.1.60-142-b12-1.79.I,17:35:00,17:35:00,1, Coast Road,0.0,60-142-b12-1,142,b12
1,8250DB000876,"Gledswood Drive, stop 876",53.30522322,-6.237091259,5552.1.60-142-b12-1.79.I,17:38:02,17:38:02,2, Coast Road,802.18,60-142-b12-1,142,b12
2,8250DB003011,"Bird Avenue, stop 3011",53.30514231,-6.2444023,5552.1.60-142-b12-1.79.I,17:39:53,17:39:53,3, Coast Road,1288.08,60-142-b12-1,142,b12
3,8250DB002896,"Millmount Terrace, stop 2896",53.30599344,-6.246048032,5552.1.60-142-b12-1.79.I,17:40:32,17:40:32,4, Coast Road,1462.42,60-142-b12-1,142,b12
4,8250DB002897,"Luke's Crescent, stop 2897",53.30819516,-6.24663307,5552.1.60-142-b12-1.79.I,17:41:08,17:41:08,5, Coast Road,1710.13,60-142-b12-1,142,b12
5,8220DB001062,"South Hill, stop 1062",53.30825963,-6.255319266,5552.1.60-142-b12-1.79.I,17:43:17,17:43:17,6, Coast Road,2608.71,60-142-b12-1,142,b12
6,8220DB001063,"Dodder Walk, stop 1063",53.30857208,-6.258863118,5552.1.60-142-b12-1.79.I,17:44:09,17:44:09,7, Coast Road,2850.95,60-142-b12-1,142,b12
7,8220DB001064,"Dartry Road, stop 1064",53.30942914,-6.260929221,5552.1.60-142-b12-1.79.I,17:44:45,17:44:45,8, Coast Road,3021.13,60-142-b12-1,142,b12
8,8220DB001065,"Trinity Hall, stop 1065",53.31182902,-6.26278268,5552.1.60-142-b12-1.79.I,17:45:53,17:45:53,9, Coast Road,3318.17,60-142-b12-1,142,b12
9,8220DB001066,"Rathmines Rd Upper, stop 1066",53.31375348,-6.264085308,5552.1.60-142-b12-1.79.I,17:46:51,17:46:51,10, Coast Road,3574.57,60-142-b12-1,142,b12
10,8220DB001067,"Rathmines Close, stop 1067",53.31705077,-6.265227306,5552.1.60-142-b12-1.79.I,17:48:02,17:48:02,11, Coast Road,3949.22,60-142-b12-1,142,b12
11,8220DB001068,"Church Avenue, stop 1068",53.32055844,-6.265385237,5552.1.60-142-b12-1.79.I,17:49:19,17:49:19,12, Coast Road,4361.63,60-142-b12-1,142,b12
12,8220DB001069,"Swan Centre, stop 1069",53.32328526,-6.265619895,5552.1.60-142-b12-1.79.I,17:50:58,17:50:58,13, Coast Road,4672.66,60-142-b12-1,142,b12
13,8220DB001070,"Rathmines, stop 1070",53.32498018,-6.265355983,5552.1.60-142-b12-1.79.I,17:51:58,17:51:58,14, Coast Road,4876.36,60-142-b12-1,142,b12
14,8220DB001071,"St Mary's College, stop 1071",53.32721804,-6.264724712,5552.1.60-142-b12-1.79.I,17:53:20,17:53:20,15, Coast Road,5130.35,60-142-b12-1,142,b12
15,8220DB004528,"Grove Park, stop 4528",53.32889608,-6.26453649,5552.1.60-142-b12-1.79.I,17:54:13,17:54:13,16, Coast Road,5317.96,60-142-b12-1,142,b12
16,8220DB001072,"South Richmond St, stop 1072",53.33102697,-6.264585114,5552.1.60-142-b12-1.79.I,17:55:27,17:55:27,17, Coast Road,5558.36,60-142-b12-1,142,b12
