Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
384,8240DB003605,"Wendell Avenue, stop 3605",53.43396806,-6.124918713,5556.1.60-142-b12-1.78.O,07:35:00,07:35:00,1, UCD,0.0,60-142-b12-1,142,b12
385,8240DB003606,"Kelvin Close, stop 3606",53.43492919,-6.130039071,5556.1.60-142-b12-1.78.O,07:35:48,07:35:48,2, UCD,377.97,60-142-b12-1,142,b12
386,8240DB003607,"Redfern Avenue, stop 3607",53.43490103,-6.136286688,5556.1.60-142-b12-1.78.O,07:36:34,07:36:34,3, UCD,832.5,60-142-b12-1,142,b12
387,8240DB006051,"PSLC, stop 6051",53.43475688,-6.137993811,5556.1.60-142-b12-1.78.O,07:36:38,07:36:38,4, UCD,946.04,60-142-b12-1,142,b12
388,8240DB006053,"Malahide Golf Club, stop 6053",53.43411912,-6.143214369,5556.1.60-142-b12-1.78.O,07:36:52,07:36:52,5, UCD,1300.39,60-142-b12-1,142,b12
389,8240DB007327,"Blackwood Lane, stop 7327",53.43400824,-6.150549122,5556.1.60-142-b12-1.78.O,07:37:11,07:37:11,6, UCD,1787.96,60-142-b12-1,142,b12
390,8240DB003629,"The Hill Malahide, stop 3629",53.43551469,-6.153223103,5556.1.60-142-b12-1.78.O,07:37:23,07:37:23,7, UCD,2110.24,60-142-b12-1,142,b12
391,8240DB003630,"Community School, stop 3630",53.4384604,-6.151906175,5556.1.60-142-b12-1.78.O,07:38:10,07:38:10,8, UCD,2453.17,60-142-b12-1,142,b12
392,8240DB003631,"Seamount Road, stop 3631",53.44196612,-6.151347539,5556.1.60-142-b12-1.78.O,07:39:04,07:39:04,9, UCD,2844.96,60-142-b12-1,142,b12
393,8240DB003632,"Hill Drive, stop 3632",53.44441982,-6.152505591,5556.1.60-142-b12-1.78.O,07:39:44,07:39:44,10, UCD,3134.19,60-142-b12-1,142,b12
394,8240DB003633,"Church Street, stop 3633",53.44839489,-6.153236429,5556.1.60-142-b12-1.78.O,07:40:44,07:40:44,11, UCD,3579.49,60-142-b12-1,142,b12
395,8240DB003634,"Malahide Station, stop 3634",53.45045531,-6.155119488,5556.1.60-142-b12-1.78.O,07:41:55,07:41:55,12, UCD,3943.06,60-142-b12-1,142,b12
396,8240DB003635,"Cricket Club, stop 3635",53.44963995,-6.160530062,5556.1.60-142-b12-1.78.O,07:43:07,07:43:07,13, UCD,4313.34,60-142-b12-1,142,b12
397,8240DB003636,"St Sylvesters School, stop 3636",53.44942245,-6.162165573,5556.1.60-142-b12-1.78.O,07:43:17,07:43:17,14, UCD,4422.48,60-142-b12-1,142,b12
398,8240DB000905,"Yellow Walls Road, stop 905",53.45156174,-6.170369781,5556.1.60-142-b12-1.78.O,07:45:14,07:45:14,15, UCD,5041.46,60-142-b12-1,142,b12
