Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB004320,"Heuston Station, stop 4320",53.34664066,-6.292083514,15296.2.60-145-b12-1.328.O,08:30:00,08:30:00,1, Ballywaltrim,0.0,60-145-b12-1,145,b12
1,8220DB001476,"Sarsfield Quay, stop 1476",53.34707369,-6.284676275,15296.2.60-145-b12-1.328.O,08:31:48,08:31:48,3, Ballywaltrim,616.4,60-145-b12-1,145,b12
2,8220DB007453,"Arran Quay, stop 7453",53.34633589,-6.278382504,15296.2.60-145-b12-1.328.O,08:33:03,08:33:03,4, Ballywaltrim,1041.85,60-145-b12-1,145,b12
3,8220DB001478,"Four Courts, stop 1478",53.3456082,-6.272809481,15296.2.60-145-b12-1.328.O,08:34:36,08:34:36,5, Ballywaltrim,1424.43,60-145-b12-1,145,b12
4,8220DB001479,"Ormond Quay, stop 1479",53.34598809,-6.268633628,15296.2.60-145-b12-1.328.O,08:35:49,08:35:49,6, Ballywaltrim,1707.58,60-145-b12-1,145,b12
5,8220DB007622,"Bachelors Walk, stop 7622",53.34706992,-6.261440158,15296.2.60-145-b12-1.328.O,08:38:29,08:38:29,7, Ballywaltrim,2203.58,60-145-b12-1,145,b12
6,8220DB000334,"D'Olier Street, stop 334",53.34658116,-6.258125591,15296.2.60-145-b12-1.328.O,08:40:04,08:40:04,8, Ballywaltrim,2499.67,60-145-b12-1,145,b12
7,8220DB000406,"Nassau Street, stop 406",53.34260615,-6.256124946,15296.2.60-145-b12-1.328.O,08:42:36,08:42:36,9, Ballywaltrim,3171.79,60-145-b12-1,145,b12
8,8220DB000747,"Kildare Street, stop 747",53.3399308,-6.255723519,15296.2.60-145-b12-1.328.O,08:44:00,08:44:00,10, Ballywaltrim,3546.81,60-145-b12-1,145,b12
9,8220DB000842,"Stephen's Green East, stop 842",53.33725198,-6.256313389,15296.2.60-145-b12-1.328.O,08:45:28,08:45:28,11, Ballywaltrim,3902.29,60-145-b12-1,145,b12
