Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
32302,8220DB004320,"Heuston Station, stop 4320",53.34664066,-6.292083514,6425.1.60-145-b12-1.326.O,09:20:00,09:20:00,1, Belfield Flyover,0.0,60-145-b12-1,145,b12
32303,8220DB001476,"Sarsfield Quay, stop 1476",53.34707369,-6.284676275,6425.1.60-145-b12-1.326.O,09:22:27,09:22:27,3, Belfield Flyover,616.4,60-145-b12-1,145,b12
32304,8220DB007453,"Arran Quay, stop 7453",53.34633589,-6.278382504,6425.1.60-145-b12-1.326.O,09:24:11,09:24:11,4, Belfield Flyover,1041.85,60-145-b12-1,145,b12
32305,8220DB001478,"Four Courts, stop 1478",53.3456082,-6.272809481,6425.1.60-145-b12-1.326.O,09:26:12,09:26:12,5, Belfield Flyover,1424.43,60-145-b12-1,145,b12
32306,8220DB001479,"Ormond Quay, stop 1479",53.34598809,-6.268633628,6425.1.60-145-b12-1.326.O,09:27:47,09:27:47,6, Belfield Flyover,1707.58,60-145-b12-1,145,b12
32307,8220DB007622,"Bachelors Walk, stop 7622",53.34706992,-6.261440158,6425.1.60-145-b12-1.326.O,09:31:17,09:31:17,7, Belfield Flyover,2203.58,60-145-b12-1,145,b12
32308,8220DB000334,"D'Olier Street, stop 334",53.34658116,-6.258125591,6425.1.60-145-b12-1.326.O,09:33:23,09:33:23,8, Belfield Flyover,2499.67,60-145-b12-1,145,b12
32309,8220DB000406,"Nassau Street, stop 406",53.34260615,-6.256124946,6425.1.60-145-b12-1.326.O,09:37:22,09:37:22,9, Belfield Flyover,3171.79,60-145-b12-1,145,b12
32310,8220DB000747,"Kildare Street, stop 747",53.3399308,-6.255723519,6425.1.60-145-b12-1.326.O,09:39:34,09:39:34,10, Belfield Flyover,3546.81,60-145-b12-1,145,b12
32311,8220DB000842,"Stephen's Green East, stop 842",53.33725198,-6.256313389,6425.1.60-145-b12-1.326.O,09:41:09,09:41:09,11, Belfield Flyover,3902.29,60-145-b12-1,145,b12
32312,8220DB000845,"Leeson St Lower, stop 845",53.33545345,-6.256251618,6425.1.60-145-b12-1.326.O,09:42:11,09:42:11,12, Belfield Flyover,4140.16,60-145-b12-1,145,b12
32313,8220DB000846,"Fitzwilliam Place, stop 846",53.33345373,-6.254110908,6425.1.60-145-b12-1.326.O,09:43:28,09:43:28,13, Belfield Flyover,4403.06,60-145-b12-1,145,b12
32314,8220DB000847,"Leeson St Upper, stop 847",53.33160145,-6.25221962,6425.1.60-145-b12-1.326.O,09:44:38,09:44:38,14, Belfield Flyover,4643.32,60-145-b12-1,145,b12
32315,8220DB000848,"Sussex Road, stop 848",53.32972799,-6.248887998,6425.1.60-145-b12-1.326.O,09:45:49,09:45:49,15, Belfield Flyover,4965.48,60-145-b12-1,145,b12
32316,8220DB002795,"Leeson Village, stop 2795",53.32852998,-6.246264621,6425.1.60-145-b12-1.326.O,09:46:42,09:46:42,16, Belfield Flyover,5186.91,60-145-b12-1,145,b12
32317,8220DB000756,"Royal Hospital, stop 756",53.32639976,-6.242598747,6425.1.60-145-b12-1.326.O,09:47:41,09:47:41,17, Belfield Flyover,5527.82,60-145-b12-1,145,b12
32318,8220DB000757,"Donnybrook Village, stop 757",53.32408134,-6.23958651,6425.1.60-145-b12-1.326.O,09:48:37,09:48:37,18, Belfield Flyover,5854.25,60-145-b12-1,145,b12
32319,8220DB000758,"Victoria Avenue, stop 758",53.32268694,-6.23767738,6425.1.60-145-b12-1.326.O,09:49:01,09:49:01,19, Belfield Flyover,6054.33,60-145-b12-1,145,b12
32320,8220DB000759,"Donnybrook Stadium, stop 759",53.32034885,-6.233345517,6425.1.60-145-b12-1.326.O,09:50:10,09:50:10,20, Belfield Flyover,6450.78,60-145-b12-1,145,b12
32321,8220DB000760,"Donnybrook Church, stop 760",53.31833019,-6.230561956,6425.1.60-145-b12-1.326.O,09:51:01,09:51:01,21, Belfield Flyover,6743.02,60-145-b12-1,145,b12
32322,8220DB000761,"Teresian School, stop 761",53.3161004,-6.227487214,6425.1.60-145-b12-1.326.O,09:51:33,09:51:33,22, Belfield Flyover,7064.26,60-145-b12-1,145,b12
32323,8220DB000762,"RTE, stop 762",53.31451706,-6.224370944,6425.1.60-145-b12-1.326.O,09:52:01,09:52:01,23, Belfield Flyover,7343.57,60-145-b12-1,145,b12
32324,8220DB000763,"Belfield Court, stop 763",53.31232014,-6.221100319,6425.1.60-145-b12-1.326.O,09:52:57,09:52:57,24, Belfield Flyover,7671.26,60-145-b12-1,145,b12
