Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
32348,8250DB000767,"UCD, stop 767",53.30529725,-6.216680531,6426.1.60-145-b12-1.327.O,15:45:00,15:45:00,1, Kilmacanogue,0.0,60-145-b12-1,145,b12
32349,8250DB002007,"Woodbine Road, stop 2007",53.30887504,-6.216111205,6426.1.60-145-b12-1.327.O,15:48:13,15:48:13,2, Kilmacanogue,774.67,60-145-b12-1,145,b12
32350,8250DB002008,"Seafield Road, stop 2008",53.3056004,-6.211115757,6426.1.60-145-b12-1.327.O,15:50:15,15:50:15,3, Kilmacanogue,1267.54,60-145-b12-1,145,b12
32351,8250DB002009,"Radisson Hotel, stop 2009",53.30333957,-6.207804139,6426.1.60-145-b12-1.327.O,15:51:32,15:51:32,4, Kilmacanogue,1601.09,60-145-b12-1,145,b12
32352,8250DB002010,"Booterstown Avenue, stop 2010",53.29889724,-6.20467441,6426.1.60-145-b12-1.327.O,15:53:36,15:53:36,5, Kilmacanogue,2136.41,60-145-b12-1,145,b12
32353,8250DB000435,"Sycamore Crescent, stop 435",53.29598904,-6.203746226,6426.1.60-145-b12-1.327.O,15:55:02,15:55:02,6, Kilmacanogue,2466.55,60-145-b12-1,145,b12
32354,8250DB007353,"Priory Grove, stop 7353",53.29349573,-6.201720633,6426.1.60-145-b12-1.327.O,15:56:14,15:56:14,7, Kilmacanogue,2780.45,60-145-b12-1,145,b12
32355,8250DB004571,"Stillorgan Park, stop 4571",53.28897905,-6.194875358,6426.1.60-145-b12-1.327.O,15:58:20,15:58:20,8, Kilmacanogue,3458.15,60-145-b12-1,145,b12
32356,8250DB002013,"St John of Gods, stop 2013",53.28531453,-6.194459898,6426.1.60-145-b12-1.327.O,15:59:13,15:59:13,9, Kilmacanogue,3867.9,60-145-b12-1,145,b12
32357,8250DB002014,"Brewery Road, stop 2014",53.28211826,-6.192914933,6426.1.60-145-b12-1.327.O,16:00:21,16:00:21,10, Kilmacanogue,4247.16,60-145-b12-1,145,b12
32358,8250DB004636,"Galloping Green, stop 4636",53.28069152,-6.19011069,6426.1.60-145-b12-1.327.O,16:01:09,16:01:09,11, Kilmacanogue,4501.03,60-145-b12-1,145,b12
32359,8250DB002016,"Newtownpark Avenue, stop 2016",53.27820873,-6.184067149,6426.1.60-145-b12-1.327.O,16:02:40,16:02:40,12, Kilmacanogue,4988.58,60-145-b12-1,145,b12
32360,8250DB002015,"Knocksinna, stop 2015",53.27553484,-6.179067107,6426.1.60-145-b12-1.327.O,16:03:43,16:03:43,13, Kilmacanogue,5433.08,60-145-b12-1,145,b12
32361,8250DB002017,"Foxrock Church, stop 2017",53.27419654,-6.175015407,6426.1.60-145-b12-1.327.O,16:04:29,16:04:29,14, Kilmacanogue,5748.4,60-145-b12-1,145,b12
32362,8250DB003259,"Westminister Grove, stop 3259",53.27283367,-6.171714725,6426.1.60-145-b12-1.327.O,16:05:17,16:05:17,15, Kilmacanogue,6013.27,60-145-b12-1,145,b12
32363,8250DB007361,"Old Bray Road, stop 7361",53.27058329,-6.166233138,6426.1.60-145-b12-1.327.O,16:06:24,16:06:24,16, Kilmacanogue,6458.54,60-145-b12-1,145,b12
32364,8250DB007362,"Clonkeen Road, stop 7362",53.26593943,-6.157691547,6426.1.60-145-b12-1.327.O,16:08:21,16:08:21,17, Kilmacanogue,7228.4,60-145-b12-1,145,b12
32365,8250DB003129,"Johnstown Road, stop 3129",53.26245527,-6.150360925,6426.1.60-145-b12-1.327.O,16:10:04,16:10:04,18, Kilmacanogue,7852.73,60-145-b12-1,145,b12
32366,8250DB003130,"Shrewsbury Lawn, stop 3130",53.25860364,-6.146015318,6426.1.60-145-b12-1.327.O,16:11:15,16:11:15,20, Kilmacanogue,8375.16,60-145-b12-1,145,b12
32367,8250DB003131,"Kilbogget Grove, stop 3131",53.255517,-6.145204556,6426.1.60-145-b12-1.327.O,16:12:13,16:12:13,21, Kilmacanogue,8722.95,60-145-b12-1,145,b12
32368,8250DB003132,"Shanganagh Vale, stop 3132",53.25271382,-6.142972818,6426.1.60-145-b12-1.327.O,16:13:11,16:13:11,22, Kilmacanogue,9069.57,60-145-b12-1,145,b12
32369,8250DB003133,"St Laurence College, stop 3133",53.25038947,-6.14090044,6426.1.60-145-b12-1.327.O,16:13:59,16:13:59,23, Kilmacanogue,9363.17,60-145-b12-1,145,b12
32370,8250DB003134,"Wyattville Road, stop 3134",53.2469068,-6.136031335,6426.1.60-145-b12-1.327.O,16:15:22,16:15:22,24, Kilmacanogue,9872.36,60-145-b12-1,145,b12
32371,8250DB003135,"St Columcille's Hosp, stop 3135",53.24292904,-6.130555257,6426.1.60-145-b12-1.327.O,16:16:38,16:16:38,25, Kilmacanogue,10448.83,60-145-b12-1,145,b12
32372,8250DB003136,"Kentfield, stop 3136",53.23773734,-6.127350617,6426.1.60-145-b12-1.327.O,16:18:15,16:18:15,26, Kilmacanogue,11100.33,60-145-b12-1,145,b12
32373,8250DB003138,"Station Road, stop 3138",53.23435261,-6.124741866,6426.1.60-145-b12-1.327.O,16:19:18,16:19:18,27, Kilmacanogue,11521.94,60-145-b12-1,145,b12
32374,8250DB003139,"Stonebridge Close, stop 3139",53.23006385,-6.124090471,6426.1.60-145-b12-1.327.O,16:21:03,16:21:03,28, Kilmacanogue,12043.45,60-145-b12-1,145,b12
32375,8250DB004124,"Claremount, stop 4124",53.22783032,-6.124382846,6426.1.60-145-b12-1.327.O,16:21:37,16:21:37,29, Kilmacanogue,12297.28,60-145-b12-1,145,b12
32376,8250DB004125,"Shanganagh Castle, stop 4125",53.22343165,-6.12360158,6426.1.60-145-b12-1.327.O,16:22:48,16:22:48,30, Kilmacanogue,12821.26,60-145-b12-1,145,b12
32377,8250DB004126,"Shanganagh Cemetery, stop 4126",53.22218317,-6.121948811,6426.1.60-145-b12-1.327.O,16:23:06,16:23:06,31, Kilmacanogue,12997.77,60-145-b12-1,145,b12
32378,8250DB004127,"St James's Church, stop 4127",53.2187787,-6.119806509,6426.1.60-145-b12-1.327.O,16:23:48,16:23:48,32, Kilmacanogue,13404.0,60-145-b12-1,145,b12
32379,8250DB004128,"Woodbrook College, stop 4128",53.21592353,-6.119437408,6426.1.60-145-b12-1.327.O,16:24:30,16:24:30,33, Kilmacanogue,13720.7,60-145-b12-1,145,b12
32380,8350DB004129,"Old Connaught Avenue, stop 4129",53.21085564,-6.117263738,6426.1.60-145-b12-1.327.O,16:30:45,16:30:45,34, Kilmacanogue,14321.25,60-145-b12-1,145,b12
