Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8230DB006282,Ballycullen Road,53.27163607,-6.328960789,1.1.60-15-b12-1.24.I,05:00:00,05:00:00,1, Clongriffin,0.0,60-15-b12-1,15,b12
1,8230DB006335,"Woodstown Avenue, stop 6335",53.27258397,-6.329898422,1.1.60-15-b12-1.24.I,05:00:18,05:00:18,2, Clongriffin,121.51,60-15-b12-1,15,b12
2,8230DB006326,"Woodstown SC, stop 6326",53.27537263,-6.331349171,1.1.60-15-b12-1.24.I,05:01:07,05:01:07,3, Clongriffin,451.15,60-15-b12-1,15,b12
3,8230DB004886,"Woodstown, stop 4886",53.27685935,-6.329686742,1.1.60-15-b12-1.24.I,05:01:41,05:01:41,4, Clongriffin,691.38,60-15-b12-1,15,b12
4,8230DB004887,"St Colmcille's Way, stop 4887",53.27947292,-6.318037609,1.1.60-15-b12-1.24.I,05:02:58,05:02:58,5, Clongriffin,1529.38,60-15-b12-1,15,b12
5,8230DB001150,"Scholarstown Road, stop 1150",53.2818767,-6.318318133,1.1.60-15-b12-1.24.I,05:03:50,05:03:50,6, Clongriffin,1870.65,60-15-b12-1,15,b12
6,8230DB001151,"Knocklyon Road, stop 1151",53.28252956,-6.31490307,1.1.60-15-b12-1.24.I,05:04:23,05:04:23,7, Clongriffin,2177.2,60-15-b12-1,15,b12
7,8230DB001152,"Knockaire, stop 1152",53.28356922,-6.313422368,1.1.60-15-b12-1.24.I,05:04:38,05:04:38,8, Clongriffin,2329.9,60-15-b12-1,15,b12
8,8230DB001153,"Knockcullen Rise, stop 1153",53.28717556,-6.311030453,1.1.60-15-b12-1.24.I,05:05:30,05:05:30,9, Clongriffin,2816.01,60-15-b12-1,15,b12
9,8230DB001154,"Coolamber Park, stop 1154",53.28899227,-6.311108784,1.1.60-15-b12-1.24.I,05:05:51,05:05:51,10, Clongriffin,3018.12,60-15-b12-1,15,b12
10,8230DB000946,"Woodbrook Park, stop 946",53.2932465,-6.310040874,1.1.60-15-b12-1.24.I,05:06:45,05:06:45,11, Clongriffin,3529.61,60-15-b12-1,15,b12
11,8230DB001155,"Ashfield College, stop 1155",53.29677344,-6.307126166,1.1.60-15-b12-1.24.I,05:07:42,05:07:42,12, Clongriffin,4059.21,60-15-b12-1,15,b12
12,8230DB001157,"Riverside Cottages, stop 1157",53.29874481,-6.302277184,1.1.60-15-b12-1.24.I,05:08:28,05:08:28,13, Clongriffin,4462.35,60-15-b12-1,15,b12
13,8230DB001158,"Springfield Road, stop 1158",53.30070251,-6.299003699,1.1.60-15-b12-1.24.I,05:09:04,05:09:04,14, Clongriffin,4775.39,60-15-b12-1,15,b12
14,8220DB001159,"Bushy Park House, stop 1159",53.30239022,-6.296340842,1.1.60-15-b12-1.24.I,05:09:26,05:09:26,15, Clongriffin,5032.4,60-15-b12-1,15,b12
15,8220DB001160,"Terenure College, stop 1160",53.30439353,-6.293125002,1.1.60-15-b12-1.24.I,05:09:49,05:09:49,16, Clongriffin,5341.65,60-15-b12-1,15,b12
16,8220DB001161,"Lakelands Park, stop 1161",53.30606314,-6.290462401,1.1.60-15-b12-1.24.I,05:10:08,05:10:08,17, Clongriffin,5597.97,60-15-b12-1,15,b12
17,8220DB001162,"Rathdown Park, stop 1162",53.30773225,-6.287769597,1.1.60-15-b12-1.24.I,05:10:28,05:10:28,18, Clongriffin,5855.16,60-15-b12-1,15,b12
18,8220DB001163,"Terenure Library, stop 1163",53.30887332,-6.285863092,1.1.60-15-b12-1.24.I,05:10:57,05:10:57,19, Clongriffin,6034.49,60-15-b12-1,15,b12
