Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8230DB004863,"Orwell Road, stop 4863",53.29930304,-6.319478889,10758.3.60-150-b12-1.81.I,07:00:00,07:00:00,1, Hawkins Street,0.0,60-150-b12-1,150,b12
1,8230DB004864,"Rossmore Road, stop 4864",53.29745198,-6.320151676,10758.3.60-150-b12-1.81.I,07:00:31,07:00:31,2, Hawkins Street,242.8,60-150-b12-1,150,b12
2,8230DB004865,"Rossmore Drive, stop 4865",53.29616632,-6.321402312,10758.3.60-150-b12-1.81.I,07:00:54,07:00:54,3, Hawkins Street,408.71,60-150-b12-1,150,b12
3,8230DB004577,"Wellington Lane, stop 4577",53.29544456,-6.323125839,10758.3.60-150-b12-1.81.I,07:01:17,07:01:17,4, Hawkins Street,598.24,60-150-b12-1,150,b12
4,8230DB004578,"St Jude's GAA Club, stop 4578",53.29756285,-6.326118406,10758.3.60-150-b12-1.81.I,07:01:58,07:01:58,5, Hawkins Street,909.44,60-150-b12-1,150,b12
5,8230DB001100,"Osprey Road, stop 1100",53.30120305,-6.323560387,10758.3.60-150-b12-1.81.I,07:02:57,07:02:57,6, Hawkins Street,1363.02,60-150-b12-1,150,b12
6,8230DB000100,"Wellington Cottages, stop 100",53.3030739,-6.322376751,10758.3.60-150-b12-1.81.I,07:03:26,07:03:26,7, Hawkins Street,1587.82,60-150-b12-1,150,b12
7,8230DB001111,"Limekiln Drive, stop 1111",53.30528143,-6.322125143,10758.3.60-150-b12-1.81.I,07:03:59,07:03:59,8, Hawkins Street,1840.13,60-150-b12-1,150,b12
8,8230DB002323,"Millgate Drive, stop 2323",53.30810755,-6.320483659,10758.3.60-150-b12-1.81.I,07:04:56,07:04:56,9, Hawkins Street,2278.99,60-150-b12-1,150,b12
9,8230DB002324,"Whitehall Road West, stop 2324",53.30978686,-6.321018015,10758.3.60-150-b12-1.81.I,07:05:15,07:05:15,10, Hawkins Street,2500.59,60-150-b12-1,150,b12
10,8230DB002325,"Limekiln Lane, stop 2325",53.3121175,-6.321211692,10758.3.60-150-b12-1.81.I,07:05:36,07:05:36,11, Hawkins Street,2760.09,60-150-b12-1,150,b12
11,8230DB002326,"Quarry Drive, stop 2326",53.31370002,-6.319978931,10758.3.60-150-b12-1.81.I,07:06:03,07:06:03,12, Hawkins Street,2954.02,60-150-b12-1,150,b12
12,8230DB005150,"Whitehall Rd West, stop 5150",53.31557768,-6.317368653,10758.3.60-150-b12-1.81.I,07:06:40,07:06:40,13, Hawkins Street,3227.36,60-150-b12-1,150,b12
13,8220DB002327,"St Agnes Road, stop 2327",53.31685443,-6.316763074,10758.3.60-150-b12-1.81.I,07:06:59,07:06:59,14, Hawkins Street,3375.98,60-150-b12-1,150,b12
14,8220DB002328,"Crumlin Garda Station, stop 2328",53.31970479,-6.315570134,10758.3.60-150-b12-1.81.I,07:07:50,07:07:50,15, Hawkins Street,3738.34,60-150-b12-1,150,b12
15,8220DB002329,"Crumlin Village, stop 2329",53.32090148,-6.316934025,10758.3.60-150-b12-1.81.I,07:08:13,07:08:13,16, Hawkins Street,3901.75,60-150-b12-1,150,b12
16,8220DB002330,"Sommerville Avenue, stop 2330",53.32214804,-6.31928678,10758.3.60-150-b12-1.81.I,07:08:42,07:08:42,17, Hawkins Street,4111.82,60-150-b12-1,150,b12
