Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8230DB004606,"Balgaddy Road, stop 4606",53.33979309,-6.426147786,10235.3.60-151-b12-1.85.I,06:30:00,06:30:00,1, Docklands,0.0,60-151-b12-1,151,b12
1,8230DB007142,"Foxborough Rise, stop 7142",53.33987302,-6.428802913,10235.3.60-151-b12-1.85.I,06:30:48,06:30:48,2, Docklands,219.43,60-151-b12-1,151,b12
2,8230DB007015,"Kishoge Road, stop 7015",53.33068669,-6.431482753,10235.3.60-151-b12-1.85.I,06:32:22,06:32:22,3, Docklands,1295.39,60-151-b12-1,151,b12
3,8230DB004617,"Pfizer Ireland, stop 4617",53.32666575,-6.439451874,10235.3.60-151-b12-1.85.I,06:33:48,06:33:48,4, Docklands,2275.89,60-151-b12-1,151,b12
4,8230DB004555,"Grange Castle Park, stop 4555",53.32502936,-6.439406511,10235.3.60-151-b12-1.85.I,06:34:32,06:34:32,5, Docklands,2462.0,60-151-b12-1,151,b12
5,8230DB004576,"Grange Castle, stop 4576",53.31936297,-6.434299696,10235.3.60-151-b12-1.85.I,06:37:24,06:37:24,6, Docklands,3196.61,60-151-b12-1,151,b12
6,8230DB003418,"Castlegrange Green, stop 3418",53.32003321,-6.427175252,10235.3.60-151-b12-1.85.I,06:39:37,06:39:37,7, Docklands,3763.16,60-151-b12-1,151,b12
7,8230DB003419,"Rath Gael Estate, stop 3419",53.32037851,-6.424055379,10235.3.60-151-b12-1.85.I,06:40:14,06:40:14,8, Docklands,3973.91,60-151-b12-1,151,b12
8,8230DB004762,"Westbourne Lawn, stop 4762",53.3209017,-6.419442827,10235.3.60-151-b12-1.85.I,06:41:09,06:41:09,9, Docklands,4285.55,60-151-b12-1,151,b12
9,8230DB004763,"Mill Court Avenue, stop 4763",53.32121644,-6.416744259,10235.3.60-151-b12-1.85.I,06:41:41,06:41:41,10, Docklands,4468.74,60-151-b12-1,151,b12
