Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB007698,"IKEA, stop 7698",53.40638487,-6.274634798,15346.2.60-155-b12-1.88.O,08:40:00,08:40:00,1, Bray,0.0,60-155-b12-1,155,b12
1,8220DB007113,"Northwood Avenue, stop 7113",53.40254107,-6.264924264,15346.2.60-155-b12-1.88.O,08:42:50,08:42:50,3, Bray,1075.1,60-155-b12-1,155,b12
2,8220DB000127,"Nursing Home, stop 127",53.39910753,-6.263680428,15346.2.60-155-b12-1.88.O,08:44:23,08:44:23,4, Bray,1471.78,60-155-b12-1,155,b12
3,8220DB000112,"Civic Centre, stop 112",53.3961544,-6.26395104,15346.2.60-155-b12-1.88.O,08:45:40,08:45:40,5, Bray,1800.78,60-155-b12-1,155,b12
4,8220DB000113,"Trinity Comp School, stop 113",53.39226796,-6.263703255,15346.2.60-155-b12-1.88.O,08:46:56,08:46:56,6, Bray,2233.6,60-155-b12-1,155,b12
5,8220DB000114,"Ballymun Road, stop 114",53.39133332,-6.263711229,15346.2.60-155-b12-1.88.O,08:47:14,08:47:14,7, Bray,2337.53,60-155-b12-1,155,b12
6,8220DB000115,"Ballymun Road Church, stop 115",53.38796409,-6.2650361,15346.2.60-155-b12-1.88.O,08:48:22,08:48:22,8, Bray,2722.52,60-155-b12-1,155,b12
7,8220DB000037,"DCU Ballymun Road, stop 37",53.3853464,-6.264886981,15346.2.60-155-b12-1.88.O,08:49:12,08:49:12,9, Bray,3015.4,60-155-b12-1,155,b12
8,8220DB000038,"Hampstead Avenue, stop 38",53.38223659,-6.265509521,15346.2.60-155-b12-1.88.O,08:50:13,08:50:13,10, Bray,3363.63,60-155-b12-1,155,b12
9,8220DB000039,"The Rise, stop 39",53.38041419,-6.265658759,15346.2.60-155-b12-1.88.O,08:50:49,08:50:49,11, Bray,3566.52,60-155-b12-1,155,b12
10,8220DB000040,"Stella Avenue, stop 40",53.37666077,-6.264668969,15346.2.60-155-b12-1.88.O,08:51:52,08:51:52,12, Bray,3989.3,60-155-b12-1,155,b12
11,8220DB000146,"Na Fianna GAA Club, stop 146",53.37504013,-6.265095586,15346.2.60-155-b12-1.88.O,08:52:18,08:52:18,13, Bray,4172.94,60-155-b12-1,155,b12
12,8220DB000147,"Tolka Bridge, stop 147",53.37248023,-6.265830862,15346.2.60-155-b12-1.88.O,08:53:02,08:53:02,14, Bray,4462.74,60-155-b12-1,155,b12
13,8220DB000184,"Botanic Road, stop 184",53.36970368,-6.268979354,15346.2.60-155-b12-1.88.O,08:53:56,08:53:56,15, Bray,4834.82,60-155-b12-1,155,b12
14,8220DB000185,"St Teresa's Place, stop 185",53.36810094,-6.270021139,15346.2.60-155-b12-1.88.O,08:54:30,08:54:30,16, Bray,5027.35,60-155-b12-1,155,b12
15,8220DB000186,"Lindsay Grove, stop 186",53.36535534,-6.271589978,15346.2.60-155-b12-1.88.O,08:55:28,08:55:28,17, Bray,5351.04,60-155-b12-1,155,b12
16,8220DB000187,"Phibsborough Road, stop 187",53.36273425,-6.272447365,15346.2.60-155-b12-1.88.O,08:56:31,08:56:31,18, Bray,5645.93,60-155-b12-1,155,b12
17,8220DB000188,"North Circular Road, stop 188",53.36012069,-6.272583149,15346.2.60-155-b12-1.88.O,08:57:30,08:57:30,19, Bray,5943.59,60-155-b12-1,155,b12
18,8220DB000189,"Fire Station, stop 189",53.35716744,-6.273468816,15346.2.60-155-b12-1.88.O,08:58:36,08:58:36,20, Bray,6278.1,60-155-b12-1,155,b12
19,8220DB000190,"Broadstone, stop 190",53.35512573,-6.273371074,15346.2.60-155-b12-1.88.O,08:59:19,08:59:19,21, Bray,6505.3,60-155-b12-1,155,b12
20,8220DB000191,"Western Way, stop 191",53.35501795,-6.269033781,15346.2.60-155-b12-1.88.O,09:00:36,09:00:36,22, Bray,6926.87,60-155-b12-1,155,b12
21,8220DB000819,"Blessington Street, stop 819",53.35630402,-6.265991986,15346.2.60-155-b12-1.88.O,09:01:45,09:01:45,23, Bray,7299.61,60-155-b12-1,155,b12
22,8220DB000264,"Parnell Square East, stop 264",53.3535353,-6.262258627,15346.2.60-155-b12-1.88.O,09:03:26,09:03:26,24, Bray,7818.2,60-155-b12-1,155,b12
23,8220DB006059,"The Spire of Dublin, stop 6059",53.35022443,-6.260185175,15346.2.60-155-b12-1.88.O,09:05:05,09:05:05,25, Bray,8213.72,60-155-b12-1,155,b12
24,8220DB000334,"D'Olier Street, stop 334",53.34658116,-6.258125591,15346.2.60-155-b12-1.88.O,09:08:05,09:08:05,26, Bray,8648.88,60-155-b12-1,155,b12
25,8220DB000406,"Nassau Street, stop 406",53.34260615,-6.256124946,15346.2.60-155-b12-1.88.O,09:10:32,09:10:32,27, Bray,9321.0,60-155-b12-1,155,b12
26,8220DB000747,"Kildare Street, stop 747",53.3399308,-6.255723519,15346.2.60-155-b12-1.88.O,09:11:53,09:11:53,28, Bray,9696.01,60-155-b12-1,155,b12
27,8220DB000842,"Stephen's Green East, stop 842",53.33725198,-6.256313389,15346.2.60-155-b12-1.88.O,09:13:30,09:13:30,29, Bray,10051.5,60-155-b12-1,155,b12
28,8220DB000845,"Leeson St Lower, stop 845",53.33545345,-6.256251618,15346.2.60-155-b12-1.88.O,09:14:34,09:14:34,30, Bray,10289.37,60-155-b12-1,155,b12
29,8220DB000846,"Fitzwilliam Place, stop 846",53.33345373,-6.254110908,15346.2.60-155-b12-1.88.O,09:15:50,09:15:50,31, Bray,10552.27,60-155-b12-1,155,b12
30,8220DB000847,"Leeson St Upper, stop 847",53.33160145,-6.25221962,15346.2.60-155-b12-1.88.O,09:16:59,09:16:59,32, Bray,10792.53,60-155-b12-1,155,b12
31,8220DB000848,"Sussex Road, stop 848",53.32972799,-6.248887998,15346.2.60-155-b12-1.88.O,09:17:51,09:17:51,33, Bray,11114.68,60-155-b12-1,155,b12
32,8220DB002795,"Leeson Village, stop 2795",53.32852998,-6.246264621,15346.2.60-155-b12-1.88.O,09:18:31,09:18:31,34, Bray,11336.12,60-155-b12-1,155,b12
33,8220DB000756,"Royal Hospital, stop 756",53.32639976,-6.242598747,15346.2.60-155-b12-1.88.O,09:19:23,09:19:23,35, Bray,11677.02,60-155-b12-1,155,b12
34,8220DB000757,"Donnybrook Village, stop 757",53.32408134,-6.23958651,15346.2.60-155-b12-1.88.O,09:20:12,09:20:12,36, Bray,12003.46,60-155-b12-1,155,b12
35,8220DB000758,"Victoria Avenue, stop 758",53.32268694,-6.23767738,15346.2.60-155-b12-1.88.O,09:20:37,09:20:37,37, Bray,12203.54,60-155-b12-1,155,b12
36,8220DB000759,"Donnybrook Stadium, stop 759",53.32034885,-6.233345517,15346.2.60-155-b12-1.88.O,09:21:45,09:21:45,38, Bray,12599.98,60-155-b12-1,155,b12
37,8220DB000760,"Donnybrook Church, stop 760",53.31833019,-6.230561956,15346.2.60-155-b12-1.88.O,09:22:36,09:22:36,39, Bray,12892.23,60-155-b12-1,155,b12
38,8220DB000761,"Teresian School, stop 761",53.3161004,-6.227487214,15346.2.60-155-b12-1.88.O,09:23:08,09:23:08,40, Bray,13213.46,60-155-b12-1,155,b12
39,8220DB000762,"RTE, stop 762",53.31451706,-6.224370944,15346.2.60-155-b12-1.88.O,09:23:36,09:23:36,41, Bray,13492.77,60-155-b12-1,155,b12
40,8220DB000763,"Belfield Court, stop 763",53.31232014,-6.221100319,15346.2.60-155-b12-1.88.O,09:24:09,09:24:09,42, Bray,13820.47,60-155-b12-1,155,b12
41,8250DB002007,"Woodbine Road, stop 2007",53.30887504,-6.216111205,15346.2.60-155-b12-1.88.O,09:25:06,09:25:06,43, Bray,14339.82,60-155-b12-1,155,b12
42,8250DB002008,"Seafield Road, stop 2008",53.3056004,-6.211115757,15346.2.60-155-b12-1.88.O,09:26:00,09:26:00,44, Bray,14832.69,60-155-b12-1,155,b12
43,8250DB002009,"Radisson Hotel, stop 2009",53.30333957,-6.207804139,15346.2.60-155-b12-1.88.O,09:26:51,09:26:51,45, Bray,15166.24,60-155-b12-1,155,b12
