Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
74,8220DB007391,"Merrion Sq South, stop 7391",53.33909075,-6.249916017,11947.3.60-15A-b12-1.362.O,06:00:00,06:00:00,1, Limekiln Ave,0.0,60-15A-b12-1,15A,b12
75,8220DB000493,"Holles Street, stop 493",53.33985342,-6.247376823,11947.3.60-15A-b12-1.362.O,06:01:07,06:01:07,2, Limekiln Ave,425.12,60-15A-b12-1,15A,b12
76,8220DB000494,"Clare Street, stop 494",53.34143558,-6.251682252,11947.3.60-15A-b12-1.362.O,06:01:59,06:01:59,3, Limekiln Ave,760.46,60-15A-b12-1,15A,b12
77,8220DB000495,"Pearse Station, stop 495",53.34359132,-6.249746705,11947.3.60-15A-b12-1.362.O,06:03:01,06:03:01,4, Limekiln Ave,1164.51,60-15A-b12-1,15A,b12
78,8220DB000400,"Shaw Street, stop 400",53.34484912,-6.253389973,11947.3.60-15A-b12-1.362.O,06:03:53,06:03:53,5, Limekiln Ave,1498.68,60-15A-b12-1,15A,b12
79,8220DB007581,"Dame Street, stop 7581",53.34415856,-6.263345908,11947.3.60-15A-b12-1.362.O,06:06:24,06:06:24,6, Limekiln Ave,2168.31,60-15A-b12-1,15A,b12
80,8220DB001283,"S Great George's St, stop 1283",53.34180872,-6.26492823,11947.3.60-15A-b12-1.362.O,06:07:33,06:07:33,7, Limekiln Ave,2505.65,60-15A-b12-1,15A,b12
81,8220DB007579,"Redmond's Hill, stop 7579",53.33824578,-6.265913844,11947.3.60-15A-b12-1.362.O,06:08:17,06:08:17,8, Limekiln Ave,2919.61,60-15A-b12-1,15A,b12
82,8220DB001285,"Camden Street Lower, stop 1285",53.33437841,-6.265124754,11947.3.60-15A-b12-1.362.O,06:09:21,06:09:21,9, Limekiln Ave,3353.16,60-15A-b12-1,15A,b12
83,8220DB001016,"South Richmond St, stop 1016",53.33115931,-6.26441458,11947.3.60-15A-b12-1.362.O,06:10:15,06:10:15,10, Limekiln Ave,3714.99,60-15A-b12-1,15A,b12
84,8220DB001017,"Rathmines Rd Lower, stop 1017",53.32936933,-6.264322097,11947.3.60-15A-b12-1.362.O,06:10:41,06:10:41,11, Limekiln Ave,3916.59,60-15A-b12-1,15A,b12
85,8220DB001018,"St Mary's College, stop 1018",53.32758546,-6.264649745,11947.3.60-15A-b12-1.362.O,06:11:08,06:11:08,12, Limekiln Ave,4116.14,60-15A-b12-1,15A,b12
86,8220DB001019,"Military Road, stop 1019",53.3265476,-6.264977118,11947.3.60-15A-b12-1.362.O,06:11:21,06:11:21,13, Limekiln Ave,4232.47,60-15A-b12-1,15A,b12
87,8220DB001020,"Rathmines, stop 1020",53.32513838,-6.265109364,11947.3.60-15A-b12-1.362.O,06:11:38,06:11:38,14, Limekiln Ave,4390.04,60-15A-b12-1,15A,b12
88,8220DB001076,"Swan Centre, stop 1076",53.32313059,-6.265491063,11947.3.60-15A-b12-1.362.O,06:12:01,06:12:01,15, Limekiln Ave,4614.64,60-15A-b12-1,15A,b12
89,8220DB001077,"Rathmines Garda Stn, stop 1077",53.32157299,-6.266544985,11947.3.60-15A-b12-1.362.O,06:12:22,06:12:22,16, Limekiln Ave,4810.51,60-15A-b12-1,15A,b12
90,8220DB001078,"Rathgar Place, stop 1078",53.31941276,-6.26880907,11947.3.60-15A-b12-1.362.O,06:12:46,06:12:46,17, Limekiln Ave,5111.46,60-15A-b12-1,15A,b12
91,8220DB001079,"Frankfort Avenue, stop 1079",53.31665462,-6.270751874,11947.3.60-15A-b12-1.362.O,06:13:15,06:13:15,18, Limekiln Ave,5444.0,60-15A-b12-1,15A,b12
92,8220DB001080,"Auburn Villas, stop 1080",53.3149092,-6.271873063,11947.3.60-15A-b12-1.362.O,06:13:35,06:13:35,19, Limekiln Ave,5651.17,60-15A-b12-1,15A,b12
93,8220DB001081,"Rathgar Village, stop 1081",53.3126497,-6.273495173,11947.3.60-15A-b12-1.362.O,06:14:04,06:14:04,20, Limekiln Ave,5925.14,60-15A-b12-1,15A,b12
94,8220DB001082,"Terenure Road East, stop 1082",53.31167595,-6.275770632,11947.3.60-15A-b12-1.362.O,06:14:24,06:14:24,21, Limekiln Ave,6115.31,60-15A-b12-1,15A,b12
95,8220DB001083,"Brighton Road, stop 1083",53.31114556,-6.278253253,11947.3.60-15A-b12-1.362.O,06:14:42,06:14:42,22, Limekiln Ave,6292.71,60-15A-b12-1,15A,b12
96,8220DB001085,"St Joseph's BNS, stop 1085",53.31009949,-6.282377314,11947.3.60-15A-b12-1.362.O,06:15:12,06:15:12,23, Limekiln Ave,6590.71,60-15A-b12-1,15A,b12
97,8220DB001086,"Terenure Road West, stop 1086",53.30966957,-6.285606083,11947.3.60-15A-b12-1.362.O,06:15:40,06:15:40,24, Limekiln Ave,6817.5,60-15A-b12-1,15A,b12
98,8220DB001087,"Greenlea Rd, stop 1087",53.31033511,-6.28939126,11947.3.60-15A-b12-1.362.O,06:16:13,06:16:13,25, Limekiln Ave,7079.64,60-15A-b12-1,15A,b12
99,8220DB001088,"Parkmore Drive, stop 1088",53.31097359,-6.293177633,11947.3.60-15A-b12-1.362.O,06:16:46,06:16:46,26, Limekiln Ave,7341.74,60-15A-b12-1,15A,b12
