Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8230DB001105,"Greenhills College, stop 1105",53.30711319,-6.334178203,11946.3.60-15A-b12-1.363.I,05:20:00,05:20:00,1, Merrion Square,0.0,60-15A-b12-1,15A,b12
1,8230DB001107,"Limekiln Road, stop 1107",53.30443255,-6.332091816,11946.3.60-15A-b12-1.363.I,05:20:52,05:20:52,2, Merrion Square,420.62,60-15A-b12-1,15A,b12
2,8230DB001108,"St Peter's School, stop 1108",53.30451901,-6.328637264,11946.3.60-15A-b12-1.363.I,05:21:21,05:21:21,3, Merrion Square,649.89,60-15A-b12-1,15A,b12
3,8230DB001109,"Mountdown Park, stop 1109",53.30445188,-6.325773907,11946.3.60-15A-b12-1.363.I,05:21:38,05:21:38,4, Merrion Square,841.65,60-15A-b12-1,15A,b12
4,8230DB001110,"Wellington Lane, stop 1110",53.30473089,-6.323242112,11946.3.60-15A-b12-1.363.I,05:21:53,05:21:53,5, Merrion Square,1013.69,60-15A-b12-1,15A,b12
5,8230DB001111,"Limekiln Drive, stop 1111",53.30528143,-6.322125143,11946.3.60-15A-b12-1.363.I,05:22:12,05:22:12,6, Merrion Square,1137.04,60-15A-b12-1,15A,b12
6,8230DB001112,"Whitehall Road, stop 1112",53.30765872,-6.318610489,11946.3.60-15A-b12-1.363.I,05:23:08,05:23:08,7, Merrion Square,1499.78,60-15A-b12-1,15A,b12
7,8230DB001113,"Glendale Park, stop 1113",53.30902314,-6.315300403,11946.3.60-15A-b12-1.363.I,05:23:38,05:23:38,8, Merrion Square,1765.66,60-15A-b12-1,15A,b12
8,8230DB001114,"Priory Walk, stop 1114",53.31034373,-6.310806261,11946.3.60-15A-b12-1.363.I,05:24:17,05:24:17,9, Merrion Square,2098.03,60-15A-b12-1,15A,b12
9,8230DB001115,"Whitehall Gardens, stop 1115",53.31159843,-6.307379992,11946.3.60-15A-b12-1.363.I,05:24:49,05:24:49,10, Merrion Square,2365.9,60-15A-b12-1,15A,b12
