Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8230DB006285,"Dalriada, stop 6285",53.27113089,-6.326266679,11974.3.60-15B-b12-1.365.I,06:30:00,06:30:00,1, Merrion Square,0.0,60-15B-b12-1,15B,b12
1,8230DB006286,"Woodstown, stop 6286",53.27193662,-6.322201886,11974.3.60-15B-b12-1.365.I,06:30:39,06:30:39,2, Merrion Square,292.42,60-15B-b12-1,15B,b12
2,8230DB006287,"Stocking Wood, stop 6287",53.27345344,-6.316309707,11974.3.60-15B-b12-1.365.I,06:31:39,06:31:39,3, Merrion Square,750.69,60-15B-b12-1,15B,b12
3,8230DB006288,"Stocking Avenue, stop 6288",53.27294297,-6.312626224,11974.3.60-15B-b12-1.365.I,06:32:14,06:32:14,4, Merrion Square,1014.58,60-15B-b12-1,15B,b12
4,8230DB006342,"Stocking Hill, stop 6342",53.27304717,-6.30792895,11974.3.60-15B-b12-1.365.I,06:32:56,06:32:56,5, Merrion Square,1329.89,60-15B-b12-1,15B,b12
5,8230DB006298,"Airpark Avenue, stop 6298",53.27450675,-6.303747761,11974.3.60-15B-b12-1.365.I,06:33:43,06:33:43,6, Merrion Square,1684.51,60-15B-b12-1,15B,b12
6,8230DB006336,"Prospect Estate, stop 6336",53.27643624,-6.302276785,11974.3.60-15B-b12-1.365.I,06:34:11,06:34:11,7, Merrion Square,1930.32,60-15B-b12-1,15B,b12
7,8230DB007069,"Boden Park, stop 7069",53.27939125,-6.306553595,11974.3.60-15B-b12-1.365.I,06:35:45,06:35:45,8, Merrion Square,2732.21,60-15B-b12-1,15B,b12
8,8230DB007443,"Templeroan Estate, stop 7443",53.28146417,-6.306951536,11974.3.60-15B-b12-1.365.I,06:36:28,06:36:28,9, Merrion Square,3109.39,60-15B-b12-1,15B,b12
9,8230DB007444,"The Glen, stop 7444",53.28238651,-6.2991314,11974.3.60-15B-b12-1.365.I,06:37:34,06:37:34,10, Merrion Square,3673.05,60-15B-b12-1,15B,b12
10,8230DB002941,"Ballyboden Road, stop 2941",53.2830891,-6.296718861,11974.3.60-15B-b12-1.365.I,06:38:01,06:38:01,11, Merrion Square,3896.17,60-15B-b12-1,15B,b12
11,8230DB002942,"Hillside Park, stop 2942",53.28492909,-6.295280822,11974.3.60-15B-b12-1.365.I,06:38:26,06:38:26,12, Merrion Square,4125.46,60-15B-b12-1,15B,b12
12,8230DB007065,"Ballyroan Road, stop 7065",53.28836067,-6.2982941,11974.3.60-15B-b12-1.365.I,06:39:47,06:39:47,13, Merrion Square,4726.33,60-15B-b12-1,15B,b12
13,8230DB007063,"Rosemount SC, stop 7063",53.29024433,-6.298024227,11974.3.60-15B-b12-1.365.I,06:40:19,06:40:19,14, Merrion Square,4962.87,60-15B-b12-1,15B,b12
14,8230DB001137,"Marian Crescent, stop 1137",53.29436625,-6.297140263,11974.3.60-15B-b12-1.365.I,06:41:20,06:41:20,15, Merrion Square,5427.12,60-15B-b12-1,15B,b12
15,8230DB005131,"Charleville Square, stop 5131",53.29697454,-6.291605563,11974.3.60-15B-b12-1.365.I,06:42:35,06:42:35,16, Merrion Square,6000.89,60-15B-b12-1,15B,b12
16,8230DB005132,"Owendore Avenue, stop 5132",53.29794622,-6.286660822,11974.3.60-15B-b12-1.365.I,06:43:21,06:43:21,17, Merrion Square,6350.18,60-15B-b12-1,15B,b12
17,8230DB001331,"Rathfarnham Road, stop 1331",53.29851919,-6.284627464,11974.3.60-15B-b12-1.365.I,06:43:47,06:43:47,18, Merrion Square,6558.79,60-15B-b12-1,15B,b12
18,8230DB001332,"Crannagh Road, stop 1332",53.30075803,-6.284057601,11974.3.60-15B-b12-1.365.I,06:44:13,06:44:13,19, Merrion Square,6818.14,60-15B-b12-1,15B,b12
19,8230DB001333,"Brookvale Road, stop 1333",53.30310388,-6.284053564,11974.3.60-15B-b12-1.365.I,06:44:44,06:44:44,20, Merrion Square,7078.93,60-15B-b12-1,15B,b12
20,8230DB001334,"Dodder Bridge, stop 1334",53.304848,-6.283458434,11974.3.60-15B-b12-1.365.I,06:45:10,06:45:10,21, Merrion Square,7277.43,60-15B-b12-1,15B,b12
21,8220DB002985,"Bushy Park Road, stop 2985",53.30729711,-6.283135085,11974.3.60-15B-b12-1.365.I,06:45:48,06:45:48,22, Merrion Square,7582.46,60-15B-b12-1,15B,b12
22,8220DB002986,"Meadowbank, stop 2986",53.30759805,-6.276580248,11974.3.60-15B-b12-1.365.I,06:46:42,06:46:42,23, Merrion Square,8019.9,60-15B-b12-1,15B,b12
23,8220DB002988,"Zion Road, stop 2988",53.30838066,-6.273517387,11974.3.60-15B-b12-1.365.I,06:47:15,06:47:15,24, Merrion Square,8296.17,60-15B-b12-1,15B,b12
24,8220DB003001,"Orwell Mews, stop 3001",53.31028894,-6.273710507,11974.3.60-15B-b12-1.365.I,06:47:44,06:47:44,25, Merrion Square,8511.02,60-15B-b12-1,15B,b12
25,8220DB003002,"Washerwomans Lane, stop 3002",53.31122134,-6.274168133,11974.3.60-15B-b12-1.365.I,06:48:02,06:48:02,26, Merrion Square,8621.15,60-15B-b12-1,15B,b12
26,8220DB001166,"Winton Avenue, stop 1166",53.31389051,-6.272904784,11974.3.60-15B-b12-1.365.I,06:48:52,06:48:52,27, Merrion Square,8957.51,60-15B-b12-1,15B,b12
27,8220DB001167,"Garville Avenue, stop 1167",53.31594491,-6.271395948,11974.3.60-15B-b12-1.365.I,06:49:28,06:49:28,28, Merrion Square,9206.41,60-15B-b12-1,15B,b12
28,8220DB001168,"Spire View Lane, stop 1168",53.31792917,-6.270009883,11974.3.60-15B-b12-1.365.I,06:50:03,06:50:03,29, Merrion Square,9444.93,60-15B-b12-1,15B,b12
29,8220DB001169,"Rathmines Park, stop 1169",53.32005626,-6.26855786,11974.3.60-15B-b12-1.365.I,06:50:36,06:50:36,30, Merrion Square,9700.87,60-15B-b12-1,15B,b12
30,8220DB001170,"Rathmines Garda Stn, stop 1170",53.32168955,-6.266525249,11974.3.60-15B-b12-1.365.I,06:51:07,06:51:07,31, Merrion Square,9936.25,60-15B-b12-1,15B,b12
31,8220DB001069,"Swan Centre, stop 1069",53.32328526,-6.265619895,11974.3.60-15B-b12-1.365.I,06:51:34,06:51:34,32, Merrion Square,10140.51,60-15B-b12-1,15B,b12
32,8220DB001070,"Rathmines, stop 1070",53.32498018,-6.265355983,11974.3.60-15B-b12-1.365.I,06:51:59,06:51:59,33, Merrion Square,10344.21,60-15B-b12-1,15B,b12
33,8220DB001071,"St Mary's College, stop 1071",53.32721804,-6.264724712,11974.3.60-15B-b12-1.365.I,06:52:33,06:52:33,34, Merrion Square,10598.2,60-15B-b12-1,15B,b12
34,8220DB004528,"Grove Park, stop 4528",53.32889608,-6.26453649,11974.3.60-15B-b12-1.365.I,06:53:12,06:53:12,35, Merrion Square,10785.8,60-15B-b12-1,15B,b12
35,8220DB001072,"South Richmond St, stop 1072",53.33102697,-6.264585114,11974.3.60-15B-b12-1.365.I,06:54:06,06:54:06,36, Merrion Square,11026.21,60-15B-b12-1,15B,b12
36,8220DB007577,"Grantham Street, stop 7577",53.33383264,-6.265297062,11974.3.60-15B-b12-1.365.I,06:55:04,06:55:04,37, Merrion Square,11341.86,60-15B-b12-1,15B,b12
37,8220DB001353,"Pleasants Street, stop 1353",53.33600953,-6.265418938,11974.3.60-15B-b12-1.365.I,06:55:49,06:55:49,38, Merrion Square,11586.22,60-15B-b12-1,15B,b12
38,8220DB001354,"Aungier Street, stop 1354",53.33904809,-6.266076515,11974.3.60-15B-b12-1.365.I,06:56:52,06:56:52,39, Merrion Square,11926.77,60-15B-b12-1,15B,b12
39,8220DB007578,"Fade Street, stop 7578",53.3424601,-6.264601408,11974.3.60-15B-b12-1.365.I,06:57:55,06:57:55,41, Merrion Square,12324.26,60-15B-b12-1,15B,b12
40,8220DB007582,"Dame Street, stop 7582",53.34432204,-6.262227837,11974.3.60-15B-b12-1.365.I,06:59:52,06:59:52,42, Merrion Square,12662.53,60-15B-b12-1,15B,b12
41,8220DB000340,"Townsend Street, stop 340",53.34597512,-6.256017478,11974.3.60-15B-b12-1.365.I,07:02:54,07:02:54,43, Merrion Square,13201.04,60-15B-b12-1,15B,b12
42,8220DB000350,"Prince's St South, stop 350",53.34563194,-6.24976825,11974.3.60-15B-b12-1.365.I,07:04:08,07:04:08,44, Merrion Square,13617.57,60-15B-b12-1,15B,b12
43,8220DB002809,"Pearse Station, stop 2809",53.34288455,-6.2499709,11974.3.60-15B-b12-1.365.I,07:05:31,07:05:31,45, Merrion Square,14009.92,60-15B-b12-1,15B,b12
44,8220DB002810,"Merrion Square West, stop 2810",53.34079491,-6.250897489,11974.3.60-15B-b12-1.365.I,07:06:25,07:06:25,46, Merrion Square,14249.94,60-15B-b12-1,15B,b12
45,8220DB007387,"Merrion Sq South, stop 7387",53.33947247,-6.250816458,11974.3.60-15B-b12-1.365.I,07:07:11,07:07:11,47, Merrion Square,14408.81,60-15B-b12-1,15B,b12
