Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
92,8220DB007391,"Merrion Sq South, stop 7391",53.33909075,-6.249916017,11975.3.60-15B-b12-1.364.O,07:30:00,07:30:00,1, Stocking Ave,0.0,60-15B-b12-1,15B,b12
93,8220DB000493,"Holles Street, stop 493",53.33985342,-6.247376823,11975.3.60-15B-b12-1.364.O,07:31:18,07:31:18,2, Stocking Ave,425.12,60-15B-b12-1,15B,b12
94,8220DB000494,"Clare Street, stop 494",53.34143558,-6.251682252,11975.3.60-15B-b12-1.364.O,07:32:18,07:32:18,3, Stocking Ave,760.46,60-15B-b12-1,15B,b12
95,8220DB000495,"Pearse Station, stop 495",53.34359132,-6.249746705,11975.3.60-15B-b12-1.364.O,07:33:31,07:33:31,4, Stocking Ave,1164.51,60-15B-b12-1,15B,b12
96,8220DB000400,"Shaw Street, stop 400",53.34484912,-6.253389973,11975.3.60-15B-b12-1.364.O,07:34:31,07:34:31,5, Stocking Ave,1498.68,60-15B-b12-1,15B,b12
97,8220DB007581,"Dame Street, stop 7581",53.34415856,-6.263345908,11975.3.60-15B-b12-1.364.O,07:38:02,07:38:02,6, Stocking Ave,2168.31,60-15B-b12-1,15B,b12
98,8220DB001283,"S Great George's St, stop 1283",53.34180872,-6.26492823,11975.3.60-15B-b12-1.364.O,07:39:39,07:39:39,7, Stocking Ave,2505.65,60-15B-b12-1,15B,b12
99,8220DB007579,"Redmond's Hill, stop 7579",53.33824578,-6.265913844,11975.3.60-15B-b12-1.364.O,07:40:52,07:40:52,8, Stocking Ave,2919.61,60-15B-b12-1,15B,b12
100,8220DB001285,"Camden Street Lower, stop 1285",53.33437841,-6.265124754,11975.3.60-15B-b12-1.364.O,07:42:15,07:42:15,9, Stocking Ave,3353.16,60-15B-b12-1,15B,b12
101,8220DB001016,"South Richmond St, stop 1016",53.33115931,-6.26441458,11975.3.60-15B-b12-1.364.O,07:43:26,07:43:26,10, Stocking Ave,3714.99,60-15B-b12-1,15B,b12
102,8220DB001017,"Rathmines Rd Lower, stop 1017",53.32936933,-6.264322097,11975.3.60-15B-b12-1.364.O,07:43:58,07:43:58,11, Stocking Ave,3916.59,60-15B-b12-1,15B,b12
103,8220DB001018,"St Mary's College, stop 1018",53.32758546,-6.264649745,11975.3.60-15B-b12-1.364.O,07:44:30,07:44:30,12, Stocking Ave,4116.14,60-15B-b12-1,15B,b12
