Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
164,8230DB007067,"Whitechurch Way, stop 7067",53.27783383,-6.288755104,5518.1.60-15D-b12-1.367.I,08:05:00,08:05:00,1, Merrion Square,0.0,60-15D-b12-1,15D,b12
165,8230DB002956,"Glenmore Park, stop 2956",53.27812019,-6.286164354,5518.1.60-15D-b12-1.367.I,08:05:18,08:05:18,2, Merrion Square,175.66,60-15D-b12-1,15D,b12
166,8230DB002965,"Whitechurch Road, stop 2965",53.28030415,-6.28427735,5518.1.60-15D-b12-1.367.I,08:05:53,08:05:53,3, Merrion Square,546.6,60-15D-b12-1,15D,b12
167,8230DB002983,"Pearse Brothers Park, stop 2983",53.28161858,-6.287554071,5518.1.60-15D-b12-1.367.I,08:07:14,08:07:14,4, Merrion Square,907.94,60-15D-b12-1,15D,b12
168,8230DB002984,"Moyville Lawns, stop 2984",53.28154371,-6.293615923,5518.1.60-15D-b12-1.367.I,08:08:47,08:08:47,5, Merrion Square,1311.45,60-15D-b12-1,15D,b12
169,8230DB002941,"Ballyboden Road, stop 2941",53.2830891,-6.296718861,5518.1.60-15D-b12-1.367.I,08:10:16,08:10:16,6, Merrion Square,1708.58,60-15D-b12-1,15D,b12
170,8230DB002942,"Hillside Park, stop 2942",53.28492909,-6.295280822,5518.1.60-15D-b12-1.367.I,08:11:09,08:11:09,7, Merrion Square,1937.87,60-15D-b12-1,15D,b12
171,8230DB007065,"Ballyroan Road, stop 7065",53.28836067,-6.2982941,5518.1.60-15D-b12-1.367.I,08:13:32,08:13:32,8, Merrion Square,2538.74,60-15D-b12-1,15D,b12
172,8230DB007063,"Rosemount SC, stop 7063",53.29024433,-6.298024227,5518.1.60-15D-b12-1.367.I,08:14:28,08:14:28,9, Merrion Square,2775.28,60-15D-b12-1,15D,b12
173,8230DB001137,"Marian Crescent, stop 1137",53.29436625,-6.297140263,5518.1.60-15D-b12-1.367.I,08:16:46,08:16:46,10, Merrion Square,3239.54,60-15D-b12-1,15D,b12
174,8230DB005131,"Charleville Square, stop 5131",53.29697454,-6.291605563,5518.1.60-15D-b12-1.367.I,08:19:35,08:19:35,11, Merrion Square,3813.3,60-15D-b12-1,15D,b12
175,8230DB005132,"Owendore Avenue, stop 5132",53.29794622,-6.286660822,5518.1.60-15D-b12-1.367.I,08:21:18,08:21:18,12, Merrion Square,4162.59,60-15D-b12-1,15D,b12
176,8230DB001331,"Rathfarnham Road, stop 1331",53.29851919,-6.284627464,5518.1.60-15D-b12-1.367.I,08:22:18,08:22:18,13, Merrion Square,4371.2,60-15D-b12-1,15D,b12
177,8230DB001332,"Crannagh Road, stop 1332",53.30075803,-6.284057601,5518.1.60-15D-b12-1.367.I,08:23:53,08:23:53,14, Merrion Square,4630.55,60-15D-b12-1,15D,b12
178,8230DB001333,"Brookvale Road, stop 1333",53.30310388,-6.284053564,5518.1.60-15D-b12-1.367.I,08:25:58,08:25:58,15, Merrion Square,4891.34,60-15D-b12-1,15D,b12
179,8230DB001334,"Dodder Bridge, stop 1334",53.304848,-6.283458434,5518.1.60-15D-b12-1.367.I,08:27:40,08:27:40,16, Merrion Square,5089.84,60-15D-b12-1,15D,b12
180,8220DB002985,"Bushy Park Road, stop 2985",53.30729711,-6.283135085,5518.1.60-15D-b12-1.367.I,08:29:41,08:29:41,17, Merrion Square,5394.88,60-15D-b12-1,15D,b12
181,8220DB002986,"Meadowbank, stop 2986",53.30759805,-6.276580248,5518.1.60-15D-b12-1.367.I,08:32:34,08:32:34,18, Merrion Square,5832.31,60-15D-b12-1,15D,b12
182,8220DB002988,"Zion Road, stop 2988",53.30838066,-6.273517387,5518.1.60-15D-b12-1.367.I,08:34:22,08:34:22,19, Merrion Square,6108.59,60-15D-b12-1,15D,b12
183,8220DB003001,"Orwell Mews, stop 3001",53.31028894,-6.273710507,5518.1.60-15D-b12-1.367.I,08:35:27,08:35:27,20, Merrion Square,6323.43,60-15D-b12-1,15D,b12
184,8220DB003002,"Washerwomans Lane, stop 3002",53.31122134,-6.274168133,5518.1.60-15D-b12-1.367.I,08:36:06,08:36:06,21, Merrion Square,6433.56,60-15D-b12-1,15D,b12
185,8220DB001166,"Winton Avenue, stop 1166",53.31389051,-6.272904784,5518.1.60-15D-b12-1.367.I,08:37:56,08:37:56,22, Merrion Square,6769.92,60-15D-b12-1,15D,b12
186,8220DB001167,"Garville Avenue, stop 1167",53.31594491,-6.271395948,5518.1.60-15D-b12-1.367.I,08:39:15,08:39:15,23, Merrion Square,7018.83,60-15D-b12-1,15D,b12
187,8220DB001168,"Spire View Lane, stop 1168",53.31792917,-6.270009883,5518.1.60-15D-b12-1.367.I,08:40:33,08:40:33,24, Merrion Square,7257.34,60-15D-b12-1,15D,b12
188,8220DB001169,"Rathmines Park, stop 1169",53.32005626,-6.26855786,5518.1.60-15D-b12-1.367.I,08:41:56,08:41:56,25, Merrion Square,7513.28,60-15D-b12-1,15D,b12
189,8220DB001170,"Rathmines Garda Stn, stop 1170",53.32168955,-6.266525249,5518.1.60-15D-b12-1.367.I,08:43:14,08:43:14,26, Merrion Square,7748.67,60-15D-b12-1,15D,b12
190,8220DB001069,"Swan Centre, stop 1069",53.32328526,-6.265619895,5518.1.60-15D-b12-1.367.I,08:44:24,08:44:24,27, Merrion Square,7952.92,60-15D-b12-1,15D,b12
191,8220DB001070,"Rathmines, stop 1070",53.32498018,-6.265355983,5518.1.60-15D-b12-1.367.I,08:45:27,08:45:27,28, Merrion Square,8156.62,60-15D-b12-1,15D,b12
192,8220DB001071,"St Mary's College, stop 1071",53.32721804,-6.264724712,5518.1.60-15D-b12-1.367.I,08:46:54,08:46:54,29, Merrion Square,8410.61,60-15D-b12-1,15D,b12
193,8220DB004528,"Grove Park, stop 4528",53.32889608,-6.26453649,5518.1.60-15D-b12-1.367.I,08:48:28,08:48:28,30, Merrion Square,8598.21,60-15D-b12-1,15D,b12
