Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB007391,"Merrion Sq South, stop 7391",53.33909075,-6.249916017,5400.1.60-15D-b12-1.366.O,15:00:00,15:00:00,1, Whitechurch,0.0,60-15D-b12-1,15D,b12
1,8220DB000493,"Holles Street, stop 493",53.33985342,-6.247376823,5400.1.60-15D-b12-1.366.O,15:02:05,15:02:05,2, Whitechurch,425.12,60-15D-b12-1,15D,b12
2,8220DB000494,"Clare Street, stop 494",53.34143558,-6.251682252,5400.1.60-15D-b12-1.366.O,15:03:42,15:03:42,3, Whitechurch,760.46,60-15D-b12-1,15D,b12
3,8220DB000495,"Pearse Station, stop 495",53.34359132,-6.249746705,5400.1.60-15D-b12-1.366.O,15:05:39,15:05:39,4, Whitechurch,1164.51,60-15D-b12-1,15D,b12
4,8220DB000400,"Shaw Street, stop 400",53.34484912,-6.253389973,5400.1.60-15D-b12-1.366.O,15:07:16,15:07:16,5, Whitechurch,1498.68,60-15D-b12-1,15D,b12
5,8220DB007581,"Dame Street, stop 7581",53.34415856,-6.263345908,5400.1.60-15D-b12-1.366.O,15:13:34,15:13:34,6, Whitechurch,2168.31,60-15D-b12-1,15D,b12
6,8220DB001283,"S Great George's St, stop 1283",53.34180872,-6.26492823,5400.1.60-15D-b12-1.366.O,15:16:28,15:16:28,7, Whitechurch,2505.65,60-15D-b12-1,15D,b12
7,8220DB007579,"Redmond's Hill, stop 7579",53.33824578,-6.265913844,5400.1.60-15D-b12-1.366.O,15:18:30,15:18:30,8, Whitechurch,2919.61,60-15D-b12-1,15D,b12
8,8220DB001285,"Camden Street Lower, stop 1285",53.33437841,-6.265124754,5400.1.60-15D-b12-1.366.O,15:20:58,15:20:58,9, Whitechurch,3353.16,60-15D-b12-1,15D,b12
9,8220DB001016,"South Richmond St, stop 1016",53.33115931,-6.26441458,5400.1.60-15D-b12-1.366.O,15:23:03,15:23:03,10, Whitechurch,3714.99,60-15D-b12-1,15D,b12
10,8220DB001017,"Rathmines Rd Lower, stop 1017",53.32936933,-6.264322097,5400.1.60-15D-b12-1.366.O,15:23:47,15:23:47,11, Whitechurch,3916.59,60-15D-b12-1,15D,b12
11,8220DB001018,"St Mary's College, stop 1018",53.32758546,-6.264649745,5400.1.60-15D-b12-1.366.O,15:24:31,15:24:31,12, Whitechurch,4116.14,60-15D-b12-1,15D,b12
12,8220DB001019,"Military Road, stop 1019",53.3265476,-6.264977118,5400.1.60-15D-b12-1.366.O,15:25:22,15:25:22,13, Whitechurch,4232.47,60-15D-b12-1,15D,b12
13,8220DB001020,"Rathmines, stop 1020",53.32513838,-6.265109364,5400.1.60-15D-b12-1.366.O,15:26:26,15:26:26,14, Whitechurch,4390.04,60-15D-b12-1,15D,b12
14,8220DB001076,"Swan Centre, stop 1076",53.32313059,-6.265491063,5400.1.60-15D-b12-1.366.O,15:27:54,15:27:54,15, Whitechurch,4614.64,60-15D-b12-1,15D,b12
15,8220DB001077,"Rathmines Garda Stn, stop 1077",53.32157299,-6.266544985,5400.1.60-15D-b12-1.366.O,15:29:16,15:29:16,16, Whitechurch,4810.51,60-15D-b12-1,15D,b12
16,8220DB001078,"Rathgar Place, stop 1078",53.31941276,-6.26880907,5400.1.60-15D-b12-1.366.O,15:30:04,15:30:04,17, Whitechurch,5111.46,60-15D-b12-1,15D,b12
17,8220DB001079,"Frankfort Avenue, stop 1079",53.31665462,-6.270751874,5400.1.60-15D-b12-1.366.O,15:31:01,15:31:01,18, Whitechurch,5444.0,60-15D-b12-1,15D,b12
18,8220DB001080,"Auburn Villas, stop 1080",53.3149092,-6.271873063,5400.1.60-15D-b12-1.366.O,15:32:05,15:32:05,19, Whitechurch,5651.17,60-15D-b12-1,15D,b12
19,8220DB001081,"Rathgar Village, stop 1081",53.3126497,-6.273495173,5400.1.60-15D-b12-1.366.O,15:33:35,15:33:35,20, Whitechurch,5925.14,60-15D-b12-1,15D,b12
20,8220DB002914,"Orwell Road, stop 2914",53.31095519,-6.273788674,5400.1.60-15D-b12-1.366.O,15:34:49,15:34:49,21, Whitechurch,6155.39,60-15D-b12-1,15D,b12
21,8220DB002915,"Zion Road, stop 2915",53.30940796,-6.273701034,5400.1.60-15D-b12-1.366.O,15:35:48,15:35:48,22, Whitechurch,6340.93,60-15D-b12-1,15D,b12
22,8220DB002916,"Bushy Park Road, stop 2916",53.30763729,-6.274942975,5400.1.60-15D-b12-1.366.O,15:37:25,15:37:25,23, Whitechurch,6624.25,60-15D-b12-1,15D,b12
