Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
140,8240DB007347,"Zone 15, stop 7347",53.42801965,-6.242020726,10032.3.60-16-b12-1.158.O,06:45:00,06:45:00,1, Ballinteer,0.0,60-16-b12-1,16,b12
141,8240DB003669,"Maldron Hotel, stop 3669",53.42846554,-6.235079789,10032.3.60-16-b12-1.158.O,06:46:26,06:46:26,2, Ballinteer,676.08,60-16-b12-1,16,b12
142,8240DB007349,"Radisson Hotel, stop 7349",53.42527839,-6.234715254,10032.3.60-16-b12-1.158.O,06:47:30,06:47:30,3, Ballinteer,1285.2,60-16-b12-1,16,b12
143,8240DB001631,"ALSAA Sports Club, stop 1631",53.42240565,-6.230696398,10032.3.60-16-b12-1.158.O,06:48:36,06:48:36,4, Ballinteer,2079.34,60-16-b12-1,16,b12
144,8240DB001632,"Toberbunny Lodge, stop 1632",53.42050015,-6.23312273,10032.3.60-16-b12-1.158.O,06:49:10,06:49:10,5, Ballinteer,2343.52,60-16-b12-1,16,b12
145,8240DB005053,"Swords Road, stop 5053",53.41964188,-6.234647863,10032.3.60-16-b12-1.158.O,06:49:28,06:49:28,6, Ballinteer,2481.21,60-16-b12-1,16,b12
146,8240DB001633,"Dardistown Cemetery, stop 1633",53.41813287,-6.237147726,10032.3.60-16-b12-1.158.O,06:49:58,06:49:58,7, Ballinteer,2719.42,60-16-b12-1,16,b12
147,8240DB001634,"Collinstown Park, stop 1634",53.41345696,-6.238830466,10032.3.60-16-b12-1.158.O,06:51:08,06:51:08,8, Ballinteer,3289.66,60-16-b12-1,16,b12
148,8240DB001635,"Woodland Ind Est, stop 1635",53.41170491,-6.238872777,10032.3.60-16-b12-1.158.O,06:51:24,06:51:24,9, Ballinteer,3484.91,60-16-b12-1,16,b12
149,8240DB001636,"Turnapin Lane, stop 1636",53.40825271,-6.237601473,10032.3.60-16-b12-1.158.O,06:51:56,06:51:56,10, Ballinteer,3880.8,60-16-b12-1,16,b12
150,8240DB001637,"Santry Close, stop 1637",53.40403965,-6.240197136,10032.3.60-16-b12-1.158.O,06:53:15,06:53:15,11, Ballinteer,4382.79,60-16-b12-1,16,b12
151,8240DB001638,"Morton Stadium, stop 1638",53.40174938,-6.24214153,10032.3.60-16-b12-1.158.O,06:53:45,06:53:45,12, Ballinteer,4669.21,60-16-b12-1,16,b12
152,8240DB001639,"Schoolhouse Lane, stop 1639",53.39650939,-6.245199655,10032.3.60-16-b12-1.158.O,06:55:09,06:55:09,13, Ballinteer,5309.7,60-16-b12-1,16,b12
153,8240DB001640,"Omni Park SC, stop 1640",53.3923505,-6.24598725,10032.3.60-16-b12-1.158.O,06:55:56,06:55:56,14, Ballinteer,5774.42,60-16-b12-1,16,b12
154,8240DB000231,"Shanvarna Road Est, stop 231",53.38924008,-6.245949764,10032.3.60-16-b12-1.158.O,06:56:43,06:56:43,15, Ballinteer,6127.18,60-16-b12-1,16,b12
155,8240DB000232,"Shantalla Avenue, stop 232",53.38798443,-6.236980579,10032.3.60-16-b12-1.158.O,06:58:17,06:58:17,16, Ballinteer,6833.69,60-16-b12-1,16,b12
156,8220DB000233,"Beaumont Road, stop 233",53.38582131,-6.233536994,10032.3.60-16-b12-1.158.O,06:59:02,06:59:02,17, Ballinteer,7177.16,60-16-b12-1,16,b12
157,8220DB000234,"Beaumont Grove, stop 234",53.38495048,-6.234820843,10032.3.60-16-b12-1.158.O,06:59:37,06:59:37,18, Ballinteer,7336.49,60-16-b12-1,16,b12
158,8220DB000235,"Collinswood, stop 235",53.38329661,-6.237249457,10032.3.60-16-b12-1.158.O,07:00:32,07:00:32,19, Ballinteer,7600.0,60-16-b12-1,16,b12
159,8220DB000236,"Yellow Road, stop 236",53.38202474,-6.23815886,10032.3.60-16-b12-1.158.O,07:01:05,07:01:05,20, Ballinteer,7752.75,60-16-b12-1,16,b12
160,8220DB000237,"Swords Road, stop 237",53.38203193,-6.2435252,10032.3.60-16-b12-1.158.O,07:02:37,07:02:37,21, Ballinteer,8184.61,60-16-b12-1,16,b12
161,8220DB000213,"Iveragh Road, stop 213",53.38144954,-6.244872024,10032.3.60-16-b12-1.158.O,07:03:19,07:03:19,22, Ballinteer,8379.13,60-16-b12-1,16,b12
162,8220DB000214,"Highfield Hospital, stop 214",53.37940848,-6.246654552,10032.3.60-16-b12-1.158.O,07:03:53,07:03:53,23, Ballinteer,8633.54,60-16-b12-1,16,b12
163,8220DB004432,"Griffith Downs, stop 4432",53.37720747,-6.248563719,10032.3.60-16-b12-1.158.O,07:04:28,07:04:28,24, Ballinteer,8909.19,60-16-b12-1,16,b12
164,8220DB000119,"The Village, stop 119",53.37519048,-6.250765745,10032.3.60-16-b12-1.158.O,07:05:05,07:05:05,25, Ballinteer,9177.98,60-16-b12-1,16,b12
165,8220DB000044,"Skylon Hotel, stop 44",53.37301741,-6.252132303,10032.3.60-16-b12-1.158.O,07:05:44,07:05:44,26, Ballinteer,9437.34,60-16-b12-1,16,b12
166,8220DB007603,"St Patrick's College, stop 7603",53.37157673,-6.253183204,10032.3.60-16-b12-1.158.O,07:06:11,07:06:11,27, Ballinteer,9611.53,60-16-b12-1,16,b12
167,8220DB000045,"DCU St Patrick's, stop 45",53.36993643,-6.254106941,10032.3.60-16-b12-1.158.O,07:06:43,07:06:43,28, Ballinteer,9805.47,60-16-b12-1,16,b12
168,8220DB000046,"Botanic Avenue, stop 46",53.36713102,-6.255258557,10032.3.60-16-b12-1.158.O,07:07:42,07:07:42,29, Ballinteer,10132.07,60-16-b12-1,16,b12
169,8220DB000047,"Drumcondra Rail Stn, stop 47",53.36391612,-6.257298257,10032.3.60-16-b12-1.158.O,07:08:52,07:08:52,30, Ballinteer,10511.62,60-16-b12-1,16,b12
170,8220DB000048,"Fitzroy Avenue, stop 48",53.36225739,-6.258808412,10032.3.60-16-b12-1.158.O,07:09:47,07:09:47,31, Ballinteer,10721.85,60-16-b12-1,16,b12
