Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8250DB005171,"Kingston, stop 5171",53.27173594,-6.248260565,10031.3.60-16-b12-1.159.I,05:30:00,05:30:00,1, Dublin Airport,0.0,60-16-b12-1,16,b12
1,8250DB002976,"Grange Hall, stop 2976",53.27205722,-6.255459512,10031.3.60-16-b12-1.159.I,05:30:51,05:30:51,2, Dublin Airport,483.39,60-16-b12-1,16,b12
2,8250DB002977,"Pine Valley, stop 2977",53.27357376,-6.260210973,10031.3.60-16-b12-1.159.I,05:31:29,05:31:29,3, Dublin Airport,841.71,60-16-b12-1,16,b12
3,8250DB002978,"Grange Road, stop 2978",53.27699445,-6.265500456,10031.3.60-16-b12-1.159.I,05:32:24,05:32:24,4, Dublin Airport,1362.62,60-16-b12-1,16,b12
4,8250DB002979,"Marley Park, stop 2979",53.27846521,-6.268365144,10031.3.60-16-b12-1.159.I,05:32:51,05:32:51,5, Dublin Airport,1615.28,60-16-b12-1,16,b12
5,8230DB002980,"Three Rock Rovers, stop 2980",53.28001653,-6.273071367,10031.3.60-16-b12-1.159.I,05:33:29,05:33:29,6, Dublin Airport,1974.45,60-16-b12-1,16,b12
6,8230DB002981,"Eden Avenue, stop 2981",53.2812724,-6.277249911,10031.3.60-16-b12-1.159.I,05:33:53,05:33:53,7, Dublin Airport,2286.37,60-16-b12-1,16,b12
7,8230DB002991,"Hermitage Avenue, stop 2991",53.28331662,-6.279387351,10031.3.60-16-b12-1.159.I,05:34:21,05:34:21,8, Dublin Airport,2581.85,60-16-b12-1,16,b12
8,8230DB002992,"St Enda's Park, stop 2992",53.28462799,-6.281194445,10031.3.60-16-b12-1.159.I,05:34:42,05:34:42,9, Dublin Airport,2787.41,60-16-b12-1,16,b12
9,8230DB001325,"Sarah Curran Avenue, stop 1325",53.286533,-6.282407884,10031.3.60-16-b12-1.159.I,05:35:07,05:35:07,10, Dublin Airport,3014.55,60-16-b12-1,16,b12
10,8230DB001326,"St Enda's Drive, stop 1326",53.28880513,-6.282901724,10031.3.60-16-b12-1.159.I,05:35:38,05:35:38,11, Dublin Airport,3275.45,60-16-b12-1,16,b12
11,8230DB001328,"Loretto Convent, stop 1328",53.29220384,-6.282360377,10031.3.60-16-b12-1.159.I,05:36:25,05:36:25,12, Dublin Airport,3655.05,60-16-b12-1,16,b12
12,8230DB001329,"St Mary's School, stop 1329",53.29496692,-6.281994472,10031.3.60-16-b12-1.159.I,05:37:49,05:37:49,13, Dublin Airport,4057.41,60-16-b12-1,16,b12
13,8230DB001330,"Willbrook Road, stop 1330",53.29619102,-6.283985656,10031.3.60-16-b12-1.159.I,05:38:11,05:38:11,14, Dublin Airport,4240.59,60-16-b12-1,16,b12
14,8230DB001331,"Rathfarnham Road, stop 1331",53.29851919,-6.284627464,10031.3.60-16-b12-1.159.I,05:38:44,05:38:44,15, Dublin Airport,4518.72,60-16-b12-1,16,b12
15,8230DB001332,"Crannagh Road, stop 1332",53.30075803,-6.284057601,10031.3.60-16-b12-1.159.I,05:39:12,05:39:12,16, Dublin Airport,4778.06,60-16-b12-1,16,b12
16,8230DB001333,"Brookvale Road, stop 1333",53.30310388,-6.284053564,10031.3.60-16-b12-1.159.I,05:39:45,05:39:45,17, Dublin Airport,5038.86,60-16-b12-1,16,b12
17,8230DB001334,"Dodder Bridge, stop 1334",53.304848,-6.283458434,10031.3.60-16-b12-1.159.I,05:40:12,05:40:12,18, Dublin Airport,5237.35,60-16-b12-1,16,b12
18,8220DB007293,"Westbourne Road, stop 7293",53.30616124,-6.283525796,10031.3.60-16-b12-1.159.I,05:40:32,05:40:32,19, Dublin Airport,5385.61,60-16-b12-1,16,b12
19,8220DB001335,"War Memorial Hall, stop 1335",53.30741742,-6.28400062,10031.3.60-16-b12-1.159.I,05:40:51,05:40:51,20, Dublin Airport,5528.11,60-16-b12-1,16,b12
20,8220DB001336,"Terenure, stop 1336",53.30890091,-6.28403116,10031.3.60-16-b12-1.159.I,05:41:12,05:41:12,21, Dublin Airport,5691.31,60-16-b12-1,16,b12
21,8220DB001337,"Terenure Road North, stop 1337",53.31117904,-6.283069341,10031.3.60-16-b12-1.159.I,05:41:45,05:41:45,22, Dublin Airport,5951.37,60-16-b12-1,16,b12
22,8220DB001338,"Whitton Road, stop 1338",53.31243039,-6.282583884,10031.3.60-16-b12-1.159.I,05:42:06,05:42:06,23, Dublin Airport,6096.13,60-16-b12-1,16,b12
23,8220DB001339,"Harold's Cross Road, stop 1339",53.31502386,-6.282299647,10031.3.60-16-b12-1.159.I,05:42:46,05:42:46,24, Dublin Airport,6388.63,60-16-b12-1,16,b12
24,8220DB001340,"Mount Tallant Avenue, stop 1340",53.31647014,-6.280995781,10031.3.60-16-b12-1.159.I,05:43:10,05:43:10,25, Dublin Airport,6572.26,60-16-b12-1,16,b12
25,8220DB001341,"Kenilworth Park, stop 1341",53.31922759,-6.278993636,10031.3.60-16-b12-1.159.I,05:43:57,05:43:57,26, Dublin Airport,6907.23,60-16-b12-1,16,b12
26,8220DB001342,"Lady of the Rosary, stop 1342",53.3213455,-6.279388759,10031.3.60-16-b12-1.159.I,05:44:35,05:44:35,27, Dublin Airport,7151.41,60-16-b12-1,16,b12
27,8220DB001343,"Harold's Cross Park, stop 1343",53.32266729,-6.279425644,10031.3.60-16-b12-1.159.I,05:45:00,05:45:00,28, Dublin Airport,7294.61,60-16-b12-1,16,b12
28,8220DB001344,"St Claire's NS, stop 1344",53.32717106,-6.277607963,10031.3.60-16-b12-1.159.I,05:46:24,05:46:24,29, Dublin Airport,7812.02,60-16-b12-1,16,b12
29,8220DB001345,"Le Vere Terrace, stop 1345",53.32879608,-6.276236296,10031.3.60-16-b12-1.159.I,05:46:56,05:46:56,30, Dublin Airport,8013.93,60-16-b12-1,16,b12
30,8220DB001347,"Clanbrassil St Upper, stop 1347",53.33118301,-6.275344273,10031.3.60-16-b12-1.159.I,05:47:43,05:47:43,31, Dublin Airport,8291.94,60-16-b12-1,16,b12
31,8220DB001348,"Spencer St South, stop 1348",53.33224954,-6.273889833,10031.3.60-16-b12-1.159.I,05:48:29,05:48:29,32, Dublin Airport,8499.77,60-16-b12-1,16,b12
32,8220DB001349,"Carlisle Street, stop 1349",53.33238573,-6.270881323,10031.3.60-16-b12-1.159.I,05:49:14,05:49:14,33, Dublin Airport,8701.28,60-16-b12-1,16,b12
33,8220DB001350,"Harrington Street, stop 1350",53.33256109,-6.267480812,10031.3.60-16-b12-1.159.I,05:50:04,05:50:04,34, Dublin Airport,8927.75,60-16-b12-1,16,b12
34,8220DB001352,"Camden Street Lower, stop 1352",53.33444543,-6.265407334,10031.3.60-16-b12-1.159.I,05:51:10,05:51:10,35, Dublin Airport,9308.12,60-16-b12-1,16,b12
35,8220DB001353,"Pleasants Street, stop 1353",53.33600953,-6.265418938,10031.3.60-16-b12-1.159.I,05:51:41,05:51:41,36, Dublin Airport,9484.99,60-16-b12-1,16,b12
36,8220DB001355,"Whitefriars Street, stop 1355",53.34009624,-6.265838755,10031.3.60-16-b12-1.159.I,05:53:02,05:53:02,38, Dublin Airport,9944.04,60-16-b12-1,16,b12
37,8220DB001357,"Exchequer Street, stop 1357",53.34256789,-6.26459703,10031.3.60-16-b12-1.159.I,05:54:01,05:54:01,39, Dublin Airport,10235.22,60-16-b12-1,16,b12
38,8220DB001359,"College Green, stop 1359",53.34439941,-6.26136859,10031.3.60-16-b12-1.159.I,05:55:52,05:55:52,40, Dublin Airport,10620.6,60-16-b12-1,16,b12
39,8220DB000320,"Westmoreland Street, stop 320",53.34564563,-6.259305233,10031.3.60-16-b12-1.159.I,05:57:06,05:57:06,41, Dublin Airport,10872.74,60-16-b12-1,16,b12
40,8220DB000278,"O'Connell St Upper, stop 278",53.35156087,-6.261227336,10031.3.60-16-b12-1.159.I,06:00:23,06:00:23,42, Dublin Airport,11549.78,60-16-b12-1,16,b12
41,8220DB000008,"Parnell Square West, stop 8",53.35327227,-6.265183677,10031.3.60-16-b12-1.159.I,06:01:46,06:01:46,44, Dublin Airport,11975.76,60-16-b12-1,16,b12
42,8220DB000012,"Upper Dorset Street, stop 12",53.35710752,-6.264381867,10031.3.60-16-b12-1.159.I,06:03:51,06:03:51,45, Dublin Airport,12500.04,60-16-b12-1,16,b12
43,8220DB000014,"Dorset Street Lower, stop 14",53.35853124,-6.262776506,10031.3.60-16-b12-1.159.I,06:04:44,06:04:44,46, Dublin Airport,12689.22,60-16-b12-1,16,b12
44,8220DB000015,"Innisfallen Parade, stop 15",53.36026671,-6.260978043,10031.3.60-16-b12-1.159.I,06:05:45,06:05:45,47, Dublin Airport,12918.49,60-16-b12-1,16,b12
45,8220DB000017,"Drumcondra Rail Stn, stop 17",53.36307832,-6.258399288,10031.3.60-16-b12-1.159.I,06:07:01,06:07:01,48, Dublin Airport,13274.09,60-16-b12-1,16,b12
46,8220DB000018,"Dargle Road, stop 18",53.36585593,-6.255956821,10031.3.60-16-b12-1.159.I,06:07:46,06:07:46,49, Dublin Airport,13625.13,60-16-b12-1,16,b12
47,8220DB000019,"Botanic Avenue, stop 19",53.36723488,-6.255599941,10031.3.60-16-b12-1.159.I,06:08:06,06:08:06,50, Dublin Airport,13782.53,60-16-b12-1,16,b12
48,8220DB000021,"DCU St Patrick's, stop 21",53.3701012,-6.254310599,10031.3.60-16-b12-1.159.I,06:08:49,06:08:49,51, Dublin Airport,14109.83,60-16-b12-1,16,b12
49,8220DB007602,"DCU St Patrick’s, stop 7602",53.37155351,-6.253439645,10031.3.60-16-b12-1.159.I,06:09:12,06:09:12,52, Dublin Airport,14284.51,60-16-b12-1,16,b12
50,8220DB000085,"Wellpark Avenue, stop 85",53.37395795,-6.25191343,10031.3.60-16-b12-1.159.I,06:09:49,06:09:49,53, Dublin Airport,14569.34,60-16-b12-1,16,b12
51,8220DB000203,"Whitehall College, stop 203",53.37639279,-6.250010028,10031.3.60-16-b12-1.159.I,06:10:31,06:10:31,54, Dublin Airport,14864.87,60-16-b12-1,16,b12
52,8220DB000204,"Highfield Hospital, stop 204",53.37958836,-6.246662193,10031.3.60-16-b12-1.159.I,06:11:23,06:11:23,55, Dublin Airport,15287.5,60-16-b12-1,16,b12
53,8220DB000205,"Iveragh Road, stop 205",53.38137533,-6.245326047,10031.3.60-16-b12-1.159.I,06:11:50,06:11:50,56, Dublin Airport,15505.2,60-16-b12-1,16,b12
54,8220DB000215,"Collins Avenue, stop 215",53.38187229,-6.242449429,10031.3.60-16-b12-1.159.I,06:12:42,06:12:42,57, Dublin Airport,15790.88,60-16-b12-1,16,b12
55,8220DB000216,"Beaumont Road, stop 216",53.38233082,-6.23819132,10031.3.60-16-b12-1.159.I,06:13:53,06:13:53,58, Dublin Airport,16180.38,60-16-b12-1,16,b12
56,8220DB000217,"Grace Park Court, stop 217",53.38432362,-6.236801122,10031.3.60-16-b12-1.159.I,06:14:38,06:14:38,59, Dublin Airport,16418.99,60-16-b12-1,16,b12
57,8220DB000218,"Shantalla Road, stop 218",53.3859239,-6.233788324,10031.3.60-16-b12-1.159.I,06:15:39,06:15:39,60, Dublin Airport,16742.59,60-16-b12-1,16,b12
