Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB007347,"Zone 15, stop 7347",53.42801965,-6.242020726,1138.1.60-16D-b12-1.163.O,07:30:00,07:30:00,1, Ballinteer,0.0,60-16D-b12-1,16D,b12
1,8240DB003669,"Maldron Hotel, stop 3669",53.42846554,-6.235079789,1138.1.60-16D-b12-1.163.O,07:31:31,07:31:31,2, Ballinteer,676.08,60-16D-b12-1,16D,b12
2,8240DB007349,"Radisson Hotel, stop 7349",53.42527839,-6.234715254,1138.1.60-16D-b12-1.163.O,07:32:39,07:32:39,3, Ballinteer,1285.2,60-16D-b12-1,16D,b12
3,8240DB001631,"ALSAA Sports Club, stop 1631",53.42240565,-6.230696398,1138.1.60-16D-b12-1.163.O,07:33:49,07:33:49,4, Ballinteer,2079.34,60-16D-b12-1,16D,b12
4,8240DB001632,"Toberbunny Lodge, stop 1632",53.42050015,-6.23312273,1138.1.60-16D-b12-1.163.O,07:34:24,07:34:24,5, Ballinteer,2343.52,60-16D-b12-1,16D,b12
5,8240DB005053,"Swords Road, stop 5053",53.41964188,-6.234647863,1138.1.60-16D-b12-1.163.O,07:34:43,07:34:43,6, Ballinteer,2481.21,60-16D-b12-1,16D,b12
6,8240DB001633,"Dardistown Cemetery, stop 1633",53.41813287,-6.237147726,1138.1.60-16D-b12-1.163.O,07:35:15,07:35:15,7, Ballinteer,2719.42,60-16D-b12-1,16D,b12
7,8240DB001634,"Collinstown Park, stop 1634",53.41345696,-6.238830466,1138.1.60-16D-b12-1.163.O,07:36:29,07:36:29,8, Ballinteer,3289.66,60-16D-b12-1,16D,b12
8,8240DB001635,"Woodland Ind Est, stop 1635",53.41170491,-6.238872777,1138.1.60-16D-b12-1.163.O,07:36:49,07:36:49,9, Ballinteer,3484.91,60-16D-b12-1,16D,b12
9,8240DB001636,"Turnapin Lane, stop 1636",53.40825271,-6.237601473,1138.1.60-16D-b12-1.163.O,07:37:28,07:37:28,10, Ballinteer,3880.8,60-16D-b12-1,16D,b12
10,8240DB001637,"Santry Close, stop 1637",53.40403965,-6.240197136,1138.1.60-16D-b12-1.163.O,07:39:32,07:39:32,11, Ballinteer,4382.79,60-16D-b12-1,16D,b12
11,8240DB001638,"Morton Stadium, stop 1638",53.40174938,-6.24214153,1138.1.60-16D-b12-1.163.O,07:40:18,07:40:18,12, Ballinteer,4669.21,60-16D-b12-1,16D,b12
12,8240DB001639,"Schoolhouse Lane, stop 1639",53.39650939,-6.245199655,1138.1.60-16D-b12-1.163.O,07:42:51,07:42:51,13, Ballinteer,5309.7,60-16D-b12-1,16D,b12
13,8240DB001640,"Omni Park SC, stop 1640",53.3923505,-6.24598725,1138.1.60-16D-b12-1.163.O,07:43:57,07:43:57,14, Ballinteer,5774.42,60-16D-b12-1,16D,b12
14,8240DB000231,"Shanvarna Road Est, stop 231",53.38924008,-6.245949764,1138.1.60-16D-b12-1.163.O,07:45:35,07:45:35,15, Ballinteer,6127.18,60-16D-b12-1,16D,b12
15,8220DB001641,"Ellenfield Park, stop 1641",53.38652728,-6.242392966,1138.1.60-16D-b12-1.163.O,07:47:45,07:47:45,16, Ballinteer,6595.08,60-16D-b12-1,16D,b12
