Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB007391,"Merrion Sq South, stop 7391",53.33909075,-6.249916017,11465.3.60-26-b12-1.164.O,09:50:00,09:50:00,1, Liffey Valley,0.0,60-26-b12-1,26,b12
1,8220DB000493,"Holles Street, stop 493",53.33985342,-6.247376823,11465.3.60-26-b12-1.164.O,09:51:53,09:51:53,2, Liffey Valley,425.12,60-26-b12-1,26,b12
2,8220DB000494,"Clare Street, stop 494",53.34143558,-6.251682252,11465.3.60-26-b12-1.164.O,09:53:21,09:53:21,3, Liffey Valley,760.46,60-26-b12-1,26,b12
3,8220DB000495,"Pearse Station, stop 495",53.34359132,-6.249746705,11465.3.60-26-b12-1.164.O,09:55:07,09:55:07,4, Liffey Valley,1164.51,60-26-b12-1,26,b12
4,8220DB000400,"Shaw Street, stop 400",53.34484912,-6.253389973,11465.3.60-26-b12-1.164.O,09:56:35,09:56:35,5, Liffey Valley,1498.68,60-26-b12-1,26,b12
5,8220DB000346,"Pearse St Garda Stn, stop 346",53.3455444,-6.256680908,11465.3.60-26-b12-1.164.O,09:57:34,09:57:34,6, Liffey Valley,1731.21,60-26-b12-1,26,b12
6,8220DB000317,"Westmoreland Street, stop 317",53.34652594,-6.259269366,11465.3.60-26-b12-1.164.O,09:59:26,09:59:26,7, Liffey Valley,2028.58,60-26-b12-1,26,b12
7,8220DB000312,"Wellington Quay, stop 312",53.34547647,-6.266206155,11465.3.60-26-b12-1.164.O,10:02:49,10:02:49,8, Liffey Valley,2574.85,60-26-b12-1,26,b12
8,8220DB001444,"Merchant's Quay, stop 1444",53.34507559,-6.274513197,11465.3.60-26-b12-1.164.O,10:05:09,10:05:09,9, Liffey Valley,3130.01,60-26-b12-1,26,b12
9,8220DB001445,"Usher's Quay, stop 1445",53.34598795,-6.279808388,11465.3.60-26-b12-1.164.O,10:06:42,10:06:42,10, Liffey Valley,3495.58,60-26-b12-1,26,b12
10,8220DB007078,"Parkgate Street, stop 7078",53.34791031,-6.292873904,11465.3.60-26-b12-1.164.O,10:09:53,10:09:53,11, Liffey Valley,4474.5,60-26-b12-1,26,b12
11,8220DB001449,"Phoenix Park Gate, stop 1449",53.34815283,-6.297896095,11465.3.60-26-b12-1.164.O,10:11:00,10:11:00,12, Liffey Valley,4811.59,60-26-b12-1,26,b12
12,8220DB001450,"Conyngham Road, stop 1450",53.3481554,-6.301861413,11465.3.60-26-b12-1.164.O,10:11:53,10:11:53,13, Liffey Valley,5074.74,60-26-b12-1,26,b12
13,8220DB001451,"Bridgewater House, stop 1451",53.34827828,-6.305446445,11465.3.60-26-b12-1.164.O,10:12:41,10:12:41,14, Liffey Valley,5312.98,60-26-b12-1,26,b12
14,8220DB002191,"Islandbridge Gate, stop 2191",53.34802557,-6.310443265,11465.3.60-26-b12-1.164.O,10:13:47,10:13:47,15, Liffey Valley,5648.15,60-26-b12-1,26,b12
15,8220DB002192,"UCD Boat Club, stop 2192",53.34724562,-6.315671093,11465.3.60-26-b12-1.164.O,10:14:16,10:14:16,16, Liffey Valley,6005.39,60-26-b12-1,26,b12
16,8220DB002193,"Garda Rowing Club, stop 2193",53.34638455,-6.323455291,11465.3.60-26-b12-1.164.O,10:14:54,10:14:54,17, Liffey Valley,6532.36,60-26-b12-1,26,b12
17,8220DB002194,"Military Road, stop 2194",53.34619334,-6.328404303,11465.3.60-26-b12-1.164.O,10:15:19,10:15:19,18, Liffey Valley,6863.2,60-26-b12-1,26,b12
18,8220DB002195,"St Mary's Hospital, stop 2195",53.34674411,-6.337589993,11465.3.60-26-b12-1.164.O,10:16:06,10:16:06,19, Liffey Valley,7473.99,60-26-b12-1,26,b12
19,8220DB002196,"Chapelizod, stop 2196",53.34783463,-6.341678151,11465.3.60-26-b12-1.164.O,10:16:57,10:16:57,20, Liffey Valley,7774.11,60-26-b12-1,26,b12
20,8220DB002197,"Lucan Road, stop 2197",53.34816555,-6.346742215,11465.3.60-26-b12-1.164.O,10:18:03,10:18:03,21, Liffey Valley,8159.82,60-26-b12-1,26,b12
21,8220DB002198,"Belgrove Park, stop 2198",53.35062514,-6.351063289,11465.3.60-26-b12-1.164.O,10:19:12,10:19:12,22, Liffey Valley,8563.26,60-26-b12-1,26,b12
22,8220DB002200,"Kylemore Road, stop 2200",53.35028275,-6.352954151,11465.3.60-26-b12-1.164.O,10:19:49,10:19:49,23, Liffey Valley,8774.71,60-26-b12-1,26,b12
23,8230DB002201,"Palmerstown Drive, stop 2201",53.35327375,-6.364571165,11465.3.60-26-b12-1.164.O,10:22:03,10:22:03,24, Liffey Valley,9920.29,60-26-b12-1,26,b12
24,8230DB007239,"The Oval, stop 7239",53.35406141,-6.368927567,11465.3.60-26-b12-1.164.O,10:22:37,10:22:37,25, Liffey Valley,10222.03,60-26-b12-1,26,b12
25,8230DB004401,"Kennelsfort Road, stop 4401",53.35475553,-6.371710305,11465.3.60-26-b12-1.164.O,10:23:01,10:23:01,26, Liffey Valley,10422.41,60-26-b12-1,26,b12
