Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
198,8230DB004795,"Liffey Valley SC, stop 4795",53.35241802,-6.395548956,13563.3.60-26-b12-1.165.I,14:35:00,14:35:00,1, Merrion Square,0.0,60-26-b12-1,26,b12
199,8230DB004715,"Liffey Valley West, stop 4715",53.35267935,-6.395599228,13563.3.60-26-b12-1.165.I,14:36:19,14:36:19,2, Merrion Square,869.47,60-26-b12-1,26,b12
200,8230DB002686,"Sports Club, stop 2686",53.34765219,-6.388713524,13563.3.60-26-b12-1.165.I,14:37:38,14:37:38,3, Merrion Square,1690.89,60-26-b12-1,26,b12
201,8230DB007510,"Cloverhill Road, stop 7510",53.34719069,-6.384495287,13563.3.60-26-b12-1.165.I,14:38:57,14:38:57,4, Merrion Square,1972.2,60-26-b12-1,26,b12
202,8230DB002207,"Kennelsfort Road, stop 2207",53.34675662,-6.379660284,13563.3.60-26-b12-1.165.I,14:40:16,14:40:16,5, Merrion Square,2484.77,60-26-b12-1,26,b12
203,8230DB002208,"Kennelsfort Green, stop 2208",53.34991285,-6.377783119,13563.3.60-26-b12-1.165.I,14:41:35,14:41:35,6, Merrion Square,2867.28,60-26-b12-1,26,b12
204,8230DB002210,"Woodfarm, stop 2210",53.35239183,-6.378319895,13563.3.60-26-b12-1.165.I,14:42:56,14:42:56,7, Merrion Square,3144.09,60-26-b12-1,26,b12
205,8230DB002211,"Palmerstown Avenue, stop 2211",53.35395878,-6.374579915,13563.3.60-26-b12-1.165.I,14:44:51,14:44:51,8, Merrion Square,3446.14,60-26-b12-1,26,b12
206,8230DB002241,"Kennelsfort Road, stop 2241",53.35492926,-6.371268023,13563.3.60-26-b12-1.165.I,14:46:39,14:46:39,9, Merrion Square,3717.77,60-26-b12-1,26,b12
207,8230DB002242,"The Oval, stop 2242",53.35392732,-6.367009818,13563.3.60-26-b12-1.165.I,14:47:28,14:47:28,10, Merrion Square,4023.17,60-26-b12-1,26,b12
208,8220DB002243,"Glenaulin, stop 2243",53.35197438,-6.355697995,13563.3.60-26-b12-1.165.I,14:49:35,14:49:35,11, Merrion Square,4816.81,60-26-b12-1,26,b12
209,8220DB002244,"Belgrove Park, stop 2244",53.35088435,-6.351609074,13563.3.60-26-b12-1.165.I,14:50:23,14:50:23,12, Merrion Square,5113.92,60-26-b12-1,26,b12
210,8220DB002245,"Laurence Brook, stop 2245",53.3494632,-6.348284211,13563.3.60-26-b12-1.165.I,14:51:06,14:51:06,13, Merrion Square,5386.27,60-26-b12-1,26,b12
211,8220DB002246,"Chapelizod, stop 2246",53.34831131,-6.343642354,13563.3.60-26-b12-1.165.I,14:52:58,14:52:58,14, Merrion Square,5799.28,60-26-b12-1,26,b12
212,8220DB002247,"St Mary's Hospital, stop 2247",53.34675286,-6.336282916,13563.3.60-26-b12-1.165.I,14:54:17,14:54:17,15, Merrion Square,6335.76,60-26-b12-1,26,b12
213,8220DB002248,"Military Road, stop 2248",53.34632093,-6.327888637,13563.3.60-26-b12-1.165.I,14:54:55,14:54:55,16, Merrion Square,6894.28,60-26-b12-1,26,b12
214,8220DB002249,"Garda Boat Club, stop 2249",53.3465317,-6.321136449,13563.3.60-26-b12-1.165.I,14:55:26,14:55:26,17, Merrion Square,7345.47,60-26-b12-1,26,b12
215,8220DB002250,"Salmon Pool, stop 2250",53.34743859,-6.31533304,13563.3.60-26-b12-1.165.I,14:55:54,14:55:54,18, Merrion Square,7744.33,60-26-b12-1,26,b12
216,8220DB002251,"Islandbridge Gate, stop 2251",53.34813204,-6.310979792,13563.3.60-26-b12-1.165.I,14:56:57,14:56:57,19, Merrion Square,8042.75,60-26-b12-1,26,b12
217,8220DB001472,"Conyngham Road, stop 1472",53.34842947,-6.30596617,13563.3.60-26-b12-1.165.I,14:58:07,14:58:07,20, Merrion Square,8376.66,60-26-b12-1,26,b12
218,8220DB004408,"Phoenix House, stop 4408",53.34833336,-6.30110331,13563.3.60-26-b12-1.165.I,14:59:15,14:59:15,21, Merrion Square,8698.7,60-26-b12-1,26,b12
219,8220DB001473,"Phoenix Park Gate, stop 1473",53.34830598,-6.298550899,13563.3.60-26-b12-1.165.I,14:59:51,14:59:51,22, Merrion Square,8868.15,60-26-b12-1,26,b12
220,8220DB001474,"Parkgate Street, stop 1474",53.34794792,-6.292361705,13563.3.60-26-b12-1.165.I,15:01:18,15:01:18,23, Merrion Square,9280.53,60-26-b12-1,26,b12
221,8220DB001476,"Sarsfield Quay, stop 1476",53.34707369,-6.284676275,13563.3.60-26-b12-1.165.I,15:03:08,15:03:08,24, Merrion Square,9808.79,60-26-b12-1,26,b12
222,8220DB007453,"Arran Quay, stop 7453",53.34633589,-6.278382504,13563.3.60-26-b12-1.165.I,15:05:37,15:05:37,25, Merrion Square,10234.24,60-26-b12-1,26,b12
223,8220DB001478,"Four Courts, stop 1478",53.3456082,-6.272809481,13563.3.60-26-b12-1.165.I,15:07:47,15:07:47,26, Merrion Square,10616.82,60-26-b12-1,26,b12
224,8220DB001479,"Ormond Quay, stop 1479",53.34598809,-6.268633628,13563.3.60-26-b12-1.165.I,15:09:29,15:09:29,27, Merrion Square,10899.97,60-26-b12-1,26,b12
225,8220DB000315,"Bachelors Walk, stop 315",53.34702829,-6.261667155,13563.3.60-26-b12-1.165.I,15:12:41,15:12:41,28, Merrion Square,11380.42,60-26-b12-1,26,b12
226,8220DB000406,"Nassau Street, stop 406",53.34260615,-6.256124946,13563.3.60-26-b12-1.165.I,15:16:08,15:16:08,30, Merrion Square,12364.22,60-26-b12-1,26,b12
227,8220DB002810,"Merrion Square West, stop 2810",53.34079491,-6.250897489,13563.3.60-26-b12-1.165.I,15:18:01,15:18:01,31, Merrion Square,12765.68,60-26-b12-1,26,b12
228,8220DB007387,"Merrion Sq South, stop 7387",53.33947247,-6.250816458,13563.3.60-26-b12-1.165.I,15:18:46,15:18:46,32, Merrion Square,12924.55,60-26-b12-1,26,b12
