Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
174,8230DB002353,"Fortunestown Road, stop 2353",53.27915053,-6.401758972,15184.2.60-27-b12-1.170.I,09:40:00,09:40:00,1, Clare Hall,0.0,60-27-b12-1,27,b12
175,8230DB004643,"Jobstown Road, stop 4643",53.28082042,-6.403631229,15184.2.60-27-b12-1.170.I,09:40:57,09:40:57,2, Clare Hall,349.74,60-27-b12-1,27,b12
176,8230DB004644,"Russell Lane, stop 4644",53.28367573,-6.402744914,15184.2.60-27-b12-1.170.I,09:42:04,09:42:04,3, Clare Hall,756.48,60-27-b12-1,27,b12
177,8230DB004645,"Swiftbrook Avenue, stop 4645",53.28486097,-6.406015283,15184.2.60-27-b12-1.170.I,09:42:47,09:42:47,4, Clare Hall,1010.77,60-27-b12-1,27,b12
178,8230DB004440,"Brookview Road, stop 4440",53.28642954,-6.407036795,15184.2.60-27-b12-1.170.I,09:43:31,09:43:31,5, Clare Hall,1283.43,60-27-b12-1,27,b12
179,8230DB002628,"Brookfield Road, stop 2628",53.28887111,-6.404111054,15184.2.60-27-b12-1.170.I,09:44:27,09:44:27,6, Clare Hall,1617.62,60-27-b12-1,27,b12
180,8230DB002629,"Fettercairn Crescent, stop 2629",53.28820444,-6.398631171,15184.2.60-27-b12-1.170.I,09:45:44,09:45:44,7, Clare Hall,2081.19,60-27-b12-1,27,b12
181,8230DB006095,"Glenshane, stop 6095",53.2867624,-6.396330294,15184.2.60-27-b12-1.170.I,09:46:20,09:46:20,8, Clare Hall,2302.82,60-27-b12-1,27,b12
182,8230DB007062,"Whitebrook, stop 7062",53.28480977,-6.39349379,15184.2.60-27-b12-1.170.I,09:47:07,09:47:07,9, Clare Hall,2590.62,60-27-b12-1,27,b12
183,8230DB006075,"Whitebrook Park, stop 6075",53.28322944,-6.390943502,15184.2.60-27-b12-1.170.I,09:47:47,09:47:47,10, Clare Hall,2835.62,60-27-b12-1,27,b12
184,8230DB002631,"Raheen Drive, stop 2631",53.28219617,-6.3889727,15184.2.60-27-b12-1.170.I,09:48:16,09:48:16,11, Clare Hall,3010.23,60-27-b12-1,27,b12
185,8230DB002359,"Maplewood Avenue, stop 2359",53.28359003,-6.384375966,15184.2.60-27-b12-1.170.I,09:49:23,09:49:23,12, Clare Hall,3413.96,60-27-b12-1,27,b12
186,8230DB002360,"Alderwood, stop 2360",53.28469482,-6.37968488,15184.2.60-27-b12-1.170.I,09:50:48,09:50:48,13, Clare Hall,3779.07,60-27-b12-1,27,b12
187,8230DB004348,"Tallaght Luas, stop 4348",53.28667204,-6.375050431,15184.2.60-27-b12-1.170.I,09:52:25,09:52:25,14, Clare Hall,4197.87,60-27-b12-1,27,b12
188,8230DB004646,"Tallaght Hospital, stop 4646",53.28943871,-6.37427044,15184.2.60-27-b12-1.170.I,09:53:41,09:53:41,15, Clare Hall,4614.95,60-27-b12-1,27,b12
189,8230DB004647,"South Dublin CC, stop 4647",53.29005747,-6.371531949,15184.2.60-27-b12-1.170.I,09:54:17,09:54:17,16, Clare Hall,4810.34,60-27-b12-1,27,b12
190,8230DB002346,"Belgard Square North, stop 2346",53.29007974,-6.367901104,15184.2.60-27-b12-1.170.I,09:55:17,09:55:17,17, Clare Hall,5140.04,60-27-b12-1,27,b12
191,8230DB004435,"Tallaght Village, stop 4435",53.28884292,-6.363568377,15184.2.60-27-b12-1.170.I,09:56:36,09:56:36,18, Clare Hall,5576.57,60-27-b12-1,27,b12
192,8230DB002632,"Greenhills Road, stop 2632",53.28912228,-6.357737825,15184.2.60-27-b12-1.170.I,09:58:22,09:58:22,19, Clare Hall,6146.94,60-27-b12-1,27,b12
193,8230DB002633,"Airton Road, stop 2633",53.29409118,-6.355672026,15184.2.60-27-b12-1.170.I,10:00:07,10:00:07,20, Clare Hall,6732.13,60-27-b12-1,27,b12
