Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB004595,"Templeview Avenue, stop 4595",53.40213992,-6.172972588,15183.2.60-27-b12-1.172.O,08:00:00,08:00:00,1, Jobstown,0.0,60-27-b12-1,27,b12
1,8220DB004596,"Temple View Rise, stop 4596",53.40233762,-6.177085052,15183.2.60-27-b12-1.172.O,08:00:44,08:00:44,2, Jobstown,272.52,60-27-b12-1,27,b12
2,8220DB004563,"Clare Hall, stop 4563",53.40166897,-6.180978835,15183.2.60-27-b12-1.172.O,08:01:36,08:01:36,3, Jobstown,592.79,60-27-b12-1,27,b12
3,8220DB001218,"Belcamp Lane, stop 1218",53.3997059,-6.18428092,15183.2.60-27-b12-1.172.O,08:02:20,08:02:20,4, Jobstown,901.57,60-27-b12-1,27,b12
4,8220DB001258,"Priorswood Road, stop 1258",53.39818742,-6.190827136,15183.2.60-27-b12-1.172.O,08:03:52,08:03:52,5, Jobstown,1536.54,60-27-b12-1,27,b12
5,8220DB001259,"The Link Road, stop 1259",53.39859041,-6.194885485,15183.2.60-27-b12-1.172.O,08:04:32,08:04:32,6, Jobstown,1809.53,60-27-b12-1,27,b12
6,8220DB001260,"Ferrycarrig Green, stop 1260",53.4001778,-6.198818683,15183.2.60-27-b12-1.172.O,08:05:18,08:05:18,7, Jobstown,2123.18,60-27-b12-1,27,b12
7,8220DB006130,"Ferrycarrig Park, stop 6130",53.40087038,-6.200639265,15183.2.60-27-b12-1.172.O,08:05:39,08:05:39,8, Jobstown,2267.4,60-27-b12-1,27,b12
8,8220DB001262,"Moat Avenue, stop 1262",53.40200423,-6.204907816,15183.2.60-27-b12-1.172.O,08:06:24,08:06:24,9, Jobstown,2581.07,60-27-b12-1,27,b12
9,8220DB004692,"Glin Road, stop 4692",53.40024864,-6.205312587,15183.2.60-27-b12-1.172.O,08:07:00,08:07:00,10, Jobstown,2813.41,60-27-b12-1,27,b12
10,8220DB001245,"Glin Avenue, stop 1245",53.39799727,-6.20621941,15183.2.60-27-b12-1.172.O,08:07:49,08:07:49,11, Jobstown,3069.32,60-27-b12-1,27,b12
11,8220DB004693,"Barryscourt Road, stop 4693",53.39747444,-6.208512158,15183.2.60-27-b12-1.172.O,08:08:29,08:08:29,12, Jobstown,3284.6,60-27-b12-1,27,b12
12,8220DB001254,"Bunratty Road, stop 1254",53.39511736,-6.211362996,15183.2.60-27-b12-1.172.O,08:09:42,08:09:42,13, Jobstown,3676.55,60-27-b12-1,27,b12
13,8220DB001255,"Adare Park, stop 1255",53.3943535,-6.208974073,15183.2.60-27-b12-1.172.O,08:10:16,08:10:16,14, Jobstown,3855.45,60-27-b12-1,27,b12
14,8220DB001256,"Bunratty Avenue, stop 1256",53.39363095,-6.20694438,15183.2.60-27-b12-1.172.O,08:10:46,08:10:46,15, Jobstown,4011.46,60-27-b12-1,27,b12
15,8220DB004694,"Coolock Drive, stop 4694",53.39340944,-6.203570437,15183.2.60-27-b12-1.172.O,08:11:42,08:11:42,16, Jobstown,4313.33,60-27-b12-1,27,b12
16,8220DB001249,"Coolock Drive, stop 1249",53.39518096,-6.201240217,15183.2.60-27-b12-1.172.O,08:12:29,08:12:29,17, Jobstown,4562.57,60-27-b12-1,27,b12
17,8220DB001247,"Greencastle Road, stop 1247",53.39508109,-6.199981297,15183.2.60-27-b12-1.172.O,08:12:49,08:12:49,18, Jobstown,4666.07,60-27-b12-1,27,b12
18,8220DB001248,"Coolock Ind Estate, stop 1248",53.39298934,-6.197167523,15183.2.60-27-b12-1.172.O,08:13:45,08:13:45,19, Jobstown,4965.39,60-27-b12-1,27,b12
19,8220DB001273,"Coolock Leisureplex, stop 1273",53.39110921,-6.195277289,15183.2.60-27-b12-1.172.O,08:14:40,08:14:40,20, Jobstown,5242.56,60-27-b12-1,27,b12
20,8220DB001274,"St Brendans Church, stop 1274",53.38893882,-6.197970194,15183.2.60-27-b12-1.172.O,08:15:40,08:15:40,21, Jobstown,5543.15,60-27-b12-1,27,b12
21,8220DB001275,"Mask Avenue, stop 1275",53.38558577,-6.202110858,15183.2.60-27-b12-1.172.O,08:16:35,08:16:35,22, Jobstown,6008.59,60-27-b12-1,27,b12
22,8220DB001276,"Mask Park, stop 1276",53.38433055,-6.202915429,15183.2.60-27-b12-1.172.O,08:16:54,08:16:54,23, Jobstown,6158.31,60-27-b12-1,27,b12
23,8220DB001277,"Mornington Grove, stop 1277",53.38268146,-6.206216964,15183.2.60-27-b12-1.172.O,08:17:29,08:17:29,24, Jobstown,6458.26,60-27-b12-1,27,b12
24,8220DB001219,"Danieli Road, stop 1219",53.38130213,-6.208334392,15183.2.60-27-b12-1.172.O,08:17:57,08:17:57,25, Jobstown,6669.4,60-27-b12-1,27,b12
25,8220DB001220,"Killester Avenue, stop 1220",53.37876251,-6.212198902,15183.2.60-27-b12-1.172.O,08:18:47,08:18:47,26, Jobstown,7049.31,60-27-b12-1,27,b12
26,8220DB001221,"Mayfield Park, stop 1221",53.3768165,-6.216098254,15183.2.60-27-b12-1.172.O,08:19:44,08:19:44,27, Jobstown,7390.54,60-27-b12-1,27,b12
27,8220DB000664,"Donnycarney Church, stop 664",53.37471925,-6.219507562,15183.2.60-27-b12-1.172.O,08:20:41,08:20:41,28, Jobstown,7718.3,60-27-b12-1,27,b12
28,8220DB000665,"Casino Park, stop 665",53.37246632,-6.222126461,15183.2.60-27-b12-1.172.O,08:21:19,08:21:19,29, Jobstown,8025.75,60-27-b12-1,27,b12
29,8220DB000666,"Mount Temple School, stop 666",53.37023312,-6.224263348,15183.2.60-27-b12-1.172.O,08:21:57,08:21:57,30, Jobstown,8311.79,60-27-b12-1,27,b12
30,8220DB000667,"Brian Road, stop 667",53.36798165,-6.226986847,15183.2.60-27-b12-1.172.O,08:22:37,08:22:37,31, Jobstown,8620.8,60-27-b12-1,27,b12
31,8220DB000668,"Marino Crescent Park, stop 668",53.36457498,-6.229397317,15183.2.60-27-b12-1.172.O,08:23:45,08:23:45,32, Jobstown,9037.28,60-27-b12-1,27,b12
32,8220DB000614,"Fairview, stop 614",53.363638,-6.23349323,15183.2.60-27-b12-1.172.O,08:24:33,08:24:33,33, Jobstown,9335.02,60-27-b12-1,27,b12
33,8220DB000616,"Nth Strand Fire Stn, stop 616",53.35984471,-6.239554896,15183.2.60-27-b12-1.172.O,08:26:28,08:26:28,35, Jobstown,9939.2,60-27-b12-1,27,b12
34,8220DB000618,"Newcomen Bridge, stop 618",53.35610118,-6.244742068,15183.2.60-27-b12-1.172.O,08:27:45,08:27:45,37, Jobstown,10479.21,60-27-b12-1,27,b12
35,8220DB000619,"Amiens Street, stop 619",53.35404463,-6.247305334,15183.2.60-27-b12-1.172.O,08:28:58,08:28:58,38, Jobstown,10765.42,60-27-b12-1,27,b12
36,8220DB001500,"Connolly, stop 1500",53.35103959,-6.250162578,15183.2.60-27-b12-1.172.O,08:31:00,08:31:00,40, Jobstown,11154.19,60-27-b12-1,27,b12
37,8220DB000302,"Eden Quay, stop 302",53.3480381,-6.25633882,15183.2.60-27-b12-1.172.O,08:34:49,08:34:49,43, Jobstown,11802.09,60-27-b12-1,27,b12
38,8220DB004495,"Hawkins Street, stop 4495",53.34649329,-6.25703271,15183.2.60-27-b12-1.172.O,08:36:09,08:36:09,44, Jobstown,12034.34,60-27-b12-1,27,b12
39,8220DB004522,"College Green, stop 4522",53.34426249,-6.26060818,15183.2.60-27-b12-1.172.O,08:38:24,08:38:24,45, Jobstown,12435.89,60-27-b12-1,27,b12
40,8220DB001934,"Dame Street, stop 1934",53.34411836,-6.265525325,15183.2.60-27-b12-1.172.O,08:40:16,08:40:16,46, Jobstown,12762.72,60-27-b12-1,27,b12
41,8220DB002310,"Werburgh Street, stop 2310",53.3424457,-6.269798428,15183.2.60-27-b12-1.172.O,08:42:53,08:42:53,47, Jobstown,13194.5,60-27-b12-1,27,b12
42,8220DB002311,"Kevin Street, stop 2311",53.33828528,-6.270492467,15183.2.60-27-b12-1.172.O,08:44:41,08:44:41,48, Jobstown,13758.48,60-27-b12-1,27,b12
43,8220DB002312,"St Luke's Avenue, stop 2312",53.33887885,-6.275484235,15183.2.60-27-b12-1.172.O,08:46:22,08:46:22,49, Jobstown,14139.43,60-27-b12-1,27,b12
44,8220DB002313,"Ardee Court, stop 2313",53.33874233,-6.278478182,15183.2.60-27-b12-1.172.O,08:47:15,08:47:15,50, Jobstown,14337.25,60-27-b12-1,27,b12
45,8220DB002314,"Cork Street, stop 2314",53.33835368,-6.280821493,15183.2.60-27-b12-1.172.O,08:47:35,08:47:35,51, Jobstown,14500.98,60-27-b12-1,27,b12
46,8220DB002315,"Brickfield Lane, stop 2315",53.33753643,-6.285239284,15183.2.60-27-b12-1.172.O,08:48:12,08:48:12,52, Jobstown,14808.59,60-27-b12-1,27,b12
47,8220DB002094,"Coombe Hospital, stop 2094",53.33475197,-6.289750638,15183.2.60-27-b12-1.172.O,08:49:04,08:49:04,53, Jobstown,15267.76,60-27-b12-1,27,b12
48,8220DB001406,"Dolphin's Barn, stop 1406",53.33315293,-6.291691527,15183.2.60-27-b12-1.172.O,08:49:59,08:49:59,54, Jobstown,15512.15,60-27-b12-1,27,b12
49,8220DB001407,"Crumlin Road, stop 1407",53.3315385,-6.294443677,15183.2.60-27-b12-1.172.O,08:50:31,08:50:31,55, Jobstown,15767.17,60-27-b12-1,27,b12
50,8220DB001409,"Loreto College, stop 1409",53.33036674,-6.297358156,15183.2.60-27-b12-1.172.O,08:50:59,08:50:59,56, Jobstown,16001.39,60-27-b12-1,27,b12
51,8220DB002095,"Crumlin SC, stop 2095",53.32903747,-6.302470752,15183.2.60-27-b12-1.172.O,08:51:26,08:51:26,57, Jobstown,16372.31,60-27-b12-1,27,b12
52,8220DB002096,"Guinness RFC, stop 2096",53.32808359,-6.306817491,15183.2.60-27-b12-1.172.O,08:51:49,08:51:49,58, Jobstown,16679.84,60-27-b12-1,27,b12
53,8220DB002097,"Iveagh Gardens, stop 2097",53.32743275,-6.309725806,15183.2.60-27-b12-1.172.O,08:52:04,08:52:04,59, Jobstown,16885.93,60-27-b12-1,27,b12
54,8220DB002099,"Drimnagh Road, stop 2099",53.32556158,-6.316600469,15183.2.60-27-b12-1.172.O,08:53:03,08:53:03,60, Jobstown,17396.51,60-27-b12-1,27,b12
55,8220DB002101,"Crumlin Hospital, stop 2101",53.32495457,-6.318170639,15183.2.60-27-b12-1.172.O,08:53:17,08:53:17,61, Jobstown,17517.42,60-27-b12-1,27,b12
56,8220DB002102,"Balfe Road, stop 2102",53.32419485,-6.326141902,15183.2.60-27-b12-1.172.O,08:54:19,08:54:19,62, Jobstown,18055.74,60-27-b12-1,27,b12
57,8220DB002103,"Walkinstown Road, stop 2103",53.3220827,-6.329992417,15183.2.60-27-b12-1.172.O,08:55:05,08:55:05,63, Jobstown,18423.24,60-27-b12-1,27,b12
58,8220DB002332,"Walkinstown Mall, stop 2332",53.32087464,-6.3310153,15183.2.60-27-b12-1.172.O,08:55:23,08:55:23,64, Jobstown,18576.52,60-27-b12-1,27,b12
59,8220DB002333,"Walkinstown Rdbt, stop 2333",53.31784176,-6.332664654,15183.2.60-27-b12-1.172.O,08:56:07,08:56:07,65, Jobstown,18931.43,60-27-b12-1,27,b12
60,8230DB002334,"Greenhills Road, stop 2334",53.31553401,-6.33475081,15183.2.60-27-b12-1.172.O,08:56:36,08:56:36,66, Jobstown,19241.96,60-27-b12-1,27,b12
61,8230DB004662,"Hillcrest Park, stop 4662",53.31330519,-6.341216064,15183.2.60-27-b12-1.172.O,08:57:23,08:57:23,67, Jobstown,19740.32,60-27-b12-1,27,b12
62,8230DB002335,"Calmount Avenue, stop 2335",53.31165076,-6.343111144,15183.2.60-27-b12-1.172.O,08:57:42,08:57:42,68, Jobstown,19970.37,60-27-b12-1,27,b12
63,8230DB002336,"Tibradden Drive, stop 2336",53.30885602,-6.345740492,15183.2.60-27-b12-1.172.O,08:58:13,08:58:13,69, Jobstown,20341.8,60-27-b12-1,27,b12
64,8230DB002337,"Old Tymon Lane, stop 2337",53.30599144,-6.348522243,15183.2.60-27-b12-1.172.O,08:58:37,08:58:37,70, Jobstown,20712.86,60-27-b12-1,27,b12
65,8230DB002339,"Elmcastle Court, stop 2339",53.3025723,-6.351505034,15183.2.60-27-b12-1.172.O,08:59:05,08:59:05,71, Jobstown,21148.23,60-27-b12-1,27,b12
66,8230DB002340,"Tymonville, stop 2340",53.30063487,-6.35309504,15183.2.60-27-b12-1.172.O,08:59:26,08:59:26,72, Jobstown,21391.42,60-27-b12-1,27,b12
67,8230DB002601,"Brichview Close, stop 2601",53.29743294,-6.354238422,15183.2.60-27-b12-1.172.O,08:59:57,08:59:57,73, Jobstown,21764.29,60-27-b12-1,27,b12
68,8230DB004446,"Airton Road, stop 4446",53.29399907,-6.355510548,15183.2.60-27-b12-1.172.O,09:00:57,09:00:57,74, Jobstown,22157.45,60-27-b12-1,27,b12
69,8230DB002603,"Bankcroft, stop 2603",53.28925518,-6.35759773,15183.2.60-27-b12-1.172.O,09:02:22,09:02:22,75, Jobstown,22723.26,60-27-b12-1,27,b12
70,8230DB002557,"Tallaght Village, stop 2557",53.28850642,-6.363281249,15183.2.60-27-b12-1.172.O,09:03:44,09:03:44,76, Jobstown,23264.96,60-27-b12-1,27,b12
71,8230DB004436,"IT Tallaght, stop 4436",53.28916826,-6.36697587,15183.2.60-27-b12-1.172.O,09:04:32,09:04:32,77, Jobstown,23574.2,60-27-b12-1,27,b12
72,8230DB005008,"Belgard Square North, stop 5008",53.29045019,-6.369356994,15183.2.60-27-b12-1.172.O,09:05:18,09:05:18,78, Jobstown,23886.89,60-27-b12-1,27,b12
73,8230DB004640,"Tallaght Hospital, stop 4640",53.28939562,-6.373747085,15183.2.60-27-b12-1.172.O,09:06:23,09:06:23,79, Jobstown,24220.79,60-27-b12-1,27,b12
