Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
76,8220DB000300,"Liberty Hall, stop 300",53.34829924,-6.255757376,14098.2.60-27A-b12-1.270.O,08:40:00,08:40:00,1, Blunden Drive,0.0,60-27A-b12-1,27A,b12
77,8220DB000496,"Busáras, stop 496",53.34949688,-6.252223579,14098.2.60-27A-b12-1.270.O,08:41:15,08:41:15,2, Blunden Drive,311.32,60-27A-b12-1,27A,b12
78,8220DB000497,"Connolly, stop 497",53.35052608,-6.250694343,14098.2.60-27A-b12-1.270.O,08:41:51,08:41:51,4, Blunden Drive,492.46,60-27A-b12-1,27A,b12
79,8220DB000515,"Portland Row, stop 515",53.35353487,-6.248092401,14098.2.60-27A-b12-1.270.O,08:43:03,08:43:03,5, Blunden Drive,869.88,60-27A-b12-1,27A,b12
80,8220DB000516,"North Strand Road, stop 516",53.35568392,-6.245705684,14098.2.60-27A-b12-1.270.O,08:43:58,08:43:58,6, Blunden Drive,1154.56,60-27A-b12-1,27A,b12
81,8220DB004384,"Bayview Avenue, stop 4384",53.35768013,-6.242709027,14098.2.60-27A-b12-1.270.O,08:44:47,08:44:47,7, Blunden Drive,1453.6,60-27A-b12-1,27A,b12
82,8220DB000519,"North Strand Fire Station, stop 519",53.36033876,-6.239534529,14098.2.60-27A-b12-1.270.O,08:45:47,08:45:47,8, Blunden Drive,1819.83,60-27A-b12-1,27A,b12
83,8220DB000521,"Annesley Bridge, stop 521",53.36163705,-6.237978461,14098.2.60-27A-b12-1.270.O,08:46:11,08:46:11,9, Blunden Drive,1996.35,60-27A-b12-1,27A,b12
84,8220DB000522,"Fairview, stop 522",53.36328895,-6.235415975,14098.2.60-27A-b12-1.270.O,08:46:45,08:46:45,10, Blunden Drive,2248.32,60-27A-b12-1,27A,b12
85,8220DB000523,"Marino College, stop 523",53.36428545,-6.231693332,14098.2.60-27A-b12-1.270.O,08:47:19,08:47:19,12, Blunden Drive,2537.98,60-27A-b12-1,27A,b12
