Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000956,"Naomh Barróg GAA, stop 956",53.3898318,-6.152901146,14097.2.60-27A-b12-1.272.I,08:00:00,08:00:00,1, Eden Quay,0.0,60-27A-b12-1,27A,b12
1,8240DB000957,"Howth Junction, stop 957",53.39032115,-6.157811671,14097.2.60-27A-b12-1.272.I,08:00:47,08:00:47,2, Eden Quay,357.65,60-27A-b12-1,27A,b12
2,8220DB000958,"St. Donagh's, stop 958",53.39091653,-6.163785288,14097.2.60-27A-b12-1.272.I,08:01:41,08:01:41,3, Eden Quay,764.82,60-27A-b12-1,27A,b12
3,8220DB000959,"Grange Road, stop 959",53.39101847,-6.166908376,14097.2.60-27A-b12-1.272.I,08:02:09,08:02:09,4, Eden Quay,972.26,60-27A-b12-1,27A,b12
4,8220DB000960,"Tonlegee Road, stop 960",53.39115762,-6.171879306,14097.2.60-27A-b12-1.272.I,08:02:53,08:02:53,5, Eden Quay,1302.33,60-27A-b12-1,27A,b12
5,8220DB000961,"Millwood Villas, stop 961",53.39105683,-6.17645455,14097.2.60-27A-b12-1.272.I,08:03:34,08:03:34,6, Eden Quay,1605.81,60-27A-b12-1,27A,b12
6,8220DB000962,"Limewood, stop 962",53.39079493,-6.182855974,14097.2.60-27A-b12-1.272.I,08:04:29,08:04:29,7, Eden Quay,2032.95,60-27A-b12-1,27A,b12
7,8220DB000635,"Glenwood Road, stop 635",53.38902254,-6.183923801,14097.2.60-27A-b12-1.272.I,08:05:09,08:05:09,8, Eden Quay,2326.22,60-27A-b12-1,27A,b12
8,8220DB000636,"Glenfarne Road, stop 636",53.38885866,-6.186742348,14097.2.60-27A-b12-1.272.I,08:05:34,08:05:34,9, Eden Quay,2511.2,60-27A-b12-1,27A,b12
9,8220DB000637,"Springdale Road, stop 637",53.38779183,-6.189884854,14097.2.60-27A-b12-1.272.I,08:06:17,08:06:17,10, Eden Quay,2817.01,60-27A-b12-1,27A,b12
10,8220DB000638,"Edenmore Avenue, stop 638",53.38676232,-6.188379996,14097.2.60-27A-b12-1.272.I,08:06:38,08:06:38,11, Eden Quay,2970.23,60-27A-b12-1,27A,b12
11,8220DB000639,"Edenmore Park, stop 639",53.38633302,-6.186744461,14097.2.60-27A-b12-1.272.I,08:07:00,08:07:00,12, Eden Quay,3128.72,60-27A-b12-1,27A,b12
12,8220DB000640,"Edenmore Grove, stop 640",53.38670539,-6.18345114,14097.2.60-27A-b12-1.272.I,08:07:38,08:07:38,13, Eden Quay,3397.9,60-27A-b12-1,27A,b12
13,8220DB000641,"Edenmore Green, stop 641",53.38582638,-6.182391081,14097.2.60-27A-b12-1.272.I,08:07:55,08:07:55,14, Eden Quay,3517.11,60-27A-b12-1,27A,b12
14,8220DB000642,"Edenmore Green, stop 642",53.38473185,-6.183114229,14097.2.60-27A-b12-1.272.I,08:08:23,08:08:23,15, Eden Quay,3720.16,60-27A-b12-1,27A,b12
15,8220DB000643,"St Josephs Hospital, stop 643",53.38356614,-6.183885468,14097.2.60-27A-b12-1.272.I,08:08:52,08:08:52,16, Eden Quay,3930.27,60-27A-b12-1,27A,b12
16,8220DB000644,"Lein Park, stop 644",53.38236251,-6.185710577,14097.2.60-27A-b12-1.272.I,08:09:17,08:09:17,17, Eden Quay,4113.41,60-27A-b12-1,27A,b12
17,8220DB000645,"Ribh Road, stop 645",53.3801688,-6.18862988,14097.2.60-27A-b12-1.272.I,08:10:04,08:10:04,18, Eden Quay,4440.91,60-27A-b12-1,27A,b12
18,8220DB001796,"McAuley Park, stop 1796",53.38178935,-6.191176762,14097.2.60-27A-b12-1.272.I,08:11:01,08:11:01,19, Eden Quay,4836.72,60-27A-b12-1,27A,b12
