Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
14638,8220DB000300,"Liberty Hall, stop 300",53.34829924,-6.255757376,4431.1.60-27B-b12-1.121.O,07:15:00,07:15:00,1, Castletimon,0.0,60-27B-b12-1,27B,b12
14639,8220DB000497,"Connolly, stop 497",53.35052608,-6.250694343,4431.1.60-27B-b12-1.121.O,07:17:01,07:17:01,3, Castletimon,492.22,60-27B-b12-1,27B,b12
14640,8220DB000515,"Portland Row, stop 515",53.35353487,-6.248092401,4431.1.60-27B-b12-1.121.O,07:18:31,07:18:31,4, Castletimon,869.64,60-27B-b12-1,27B,b12
14641,8220DB000516,"North Strand Road, stop 516",53.35568392,-6.245705684,4431.1.60-27B-b12-1.121.O,07:19:40,07:19:40,5, Castletimon,1154.32,60-27B-b12-1,27B,b12
14642,8220DB004384,"Bayview Avenue, stop 4384",53.35768013,-6.242709027,4431.1.60-27B-b12-1.121.O,07:20:36,07:20:36,6, Castletimon,1453.35,60-27B-b12-1,27B,b12
14643,8220DB000519,"North Strand Fire Station, stop 519",53.36033876,-6.239534529,4431.1.60-27B-b12-1.121.O,07:21:45,07:21:45,7, Castletimon,1819.59,60-27B-b12-1,27B,b12
14644,8220DB000521,"Annesley Bridge, stop 521",53.36163705,-6.237978461,4431.1.60-27B-b12-1.121.O,07:22:19,07:22:19,8, Castletimon,1996.11,60-27B-b12-1,27B,b12
14645,8220DB000522,"Fairview, stop 522",53.36328895,-6.235415975,4431.1.60-27B-b12-1.121.O,07:23:07,07:23:07,9, Castletimon,2248.08,60-27B-b12-1,27B,b12
14646,8220DB000523,"Marino College, stop 523",53.36428545,-6.231693332,4431.1.60-27B-b12-1.121.O,07:23:56,07:23:56,11, Castletimon,2537.74,60-27B-b12-1,27B,b12
14647,8220DB000669,"Malahide Road, stop 669",53.366317,-6.228678905,4431.1.60-27B-b12-1.121.O,07:24:54,07:24:54,12, Castletimon,2898.35,60-27B-b12-1,27B,b12
14648,8220DB000670,"Mount Temple School, stop 670",53.36895611,-6.226029664,4431.1.60-27B-b12-1.121.O,07:25:51,07:25:51,13, Castletimon,3241.15,60-27B-b12-1,27B,b12
14649,8220DB000671,"Nazareth House, stop 671",53.37071684,-6.224153053,4431.1.60-27B-b12-1.121.O,07:26:20,07:26:20,14, Castletimon,3473.74,60-27B-b12-1,27B,b12
14650,8220DB000672,"Donnycarney Road, stop 672",53.37346635,-6.221077821,4431.1.60-27B-b12-1.121.O,07:27:06,07:27:06,15, Castletimon,3842.68,60-27B-b12-1,27B,b12
14651,8220DB004382,"Donnycarney Church, stop 4382",53.37496447,-6.219677694,4431.1.60-27B-b12-1.121.O,07:27:29,07:27:29,16, Castletimon,4065.82,60-27B-b12-1,27B,b12
