Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
14324,8220DB000300,"Liberty Hall, stop 300",53.34829924,-6.255757376,4427.1.60-27B-b12-1.120.O,08:50:00,08:50:00,1, Coolock Lane,0.0,60-27B-b12-1,27B,b12
14325,8220DB000497,"Connolly, stop 497",53.35052608,-6.250694343,4427.1.60-27B-b12-1.120.O,08:51:59,08:51:59,3, Coolock Lane,492.22,60-27B-b12-1,27B,b12
14326,8220DB000515,"Portland Row, stop 515",53.35353487,-6.248092401,4427.1.60-27B-b12-1.120.O,08:53:44,08:53:44,4, Coolock Lane,869.64,60-27B-b12-1,27B,b12
14327,8220DB000516,"North Strand Road, stop 516",53.35568392,-6.245705684,4427.1.60-27B-b12-1.120.O,08:55:04,08:55:04,5, Coolock Lane,1154.32,60-27B-b12-1,27B,b12
14328,8220DB004384,"Bayview Avenue, stop 4384",53.35768013,-6.242709027,4427.1.60-27B-b12-1.120.O,08:56:05,08:56:05,6, Coolock Lane,1453.35,60-27B-b12-1,27B,b12
14329,8220DB000519,"North Strand Fire Station, stop 519",53.36033876,-6.239534529,4427.1.60-27B-b12-1.120.O,08:57:20,08:57:20,7, Coolock Lane,1819.59,60-27B-b12-1,27B,b12
14330,8220DB000521,"Annesley Bridge, stop 521",53.36163705,-6.237978461,4427.1.60-27B-b12-1.120.O,08:58:11,08:58:11,8, Coolock Lane,1996.11,60-27B-b12-1,27B,b12
14331,8220DB000522,"Fairview, stop 522",53.36328895,-6.235415975,4427.1.60-27B-b12-1.120.O,08:59:23,08:59:23,9, Coolock Lane,2248.08,60-27B-b12-1,27B,b12
14332,8220DB000523,"Marino College, stop 523",53.36428545,-6.231693332,4427.1.60-27B-b12-1.120.O,09:00:31,09:00:31,11, Coolock Lane,2537.74,60-27B-b12-1,27B,b12
14333,8220DB000669,"Malahide Road, stop 669",53.366317,-6.228678905,4427.1.60-27B-b12-1.120.O,09:01:43,09:01:43,12, Coolock Lane,2898.35,60-27B-b12-1,27B,b12
14334,8220DB000670,"Mount Temple School, stop 670",53.36895611,-6.226029664,4427.1.60-27B-b12-1.120.O,09:02:53,09:02:53,13, Coolock Lane,3241.15,60-27B-b12-1,27B,b12
14335,8220DB000671,"Nazareth House, stop 671",53.37071684,-6.224153053,4427.1.60-27B-b12-1.120.O,09:03:34,09:03:34,14, Coolock Lane,3473.74,60-27B-b12-1,27B,b12
14336,8220DB000672,"Donnycarney Road, stop 672",53.37346635,-6.221077821,4427.1.60-27B-b12-1.120.O,09:04:40,09:04:40,15, Coolock Lane,3842.68,60-27B-b12-1,27B,b12
14337,8220DB004382,"Donnycarney Church, stop 4382",53.37496447,-6.219677694,4427.1.60-27B-b12-1.120.O,09:05:13,09:05:13,16, Coolock Lane,4065.82,60-27B-b12-1,27B,b12
14338,8220DB001196,"Elm Mount Road, stop 1196",53.37778751,-6.214915296,4427.1.60-27B-b12-1.120.O,09:06:08,09:06:08,17, Coolock Lane,4581.07,60-27B-b12-1,27B,b12
14339,8220DB001197,"Killester Avenue, stop 1197",53.37923228,-6.211758333,4427.1.60-27B-b12-1.120.O,09:06:41,09:06:41,18, Coolock Lane,4845.2,60-27B-b12-1,27B,b12
