Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
88,8240DB000324,"Harristown, stop 324",53.41772268,-6.278644169,10955.3.60-27B-b12-1.124.I,08:00:00,08:00:00,1, Eden Quay,0.0,60-27B-b12-1,27B,b12
89,8240DB001634,"Collinstown Park, stop 1634",53.41345696,-6.238830466,10955.3.60-27B-b12-1.124.I,08:04:09,08:04:09,7, Eden Quay,4202.43,60-27B-b12-1,27B,b12
90,8240DB001635,"Woodland Ind Est, stop 1635",53.41170491,-6.238872777,10955.3.60-27B-b12-1.124.I,08:04:21,08:04:21,8, Eden Quay,4397.68,60-27B-b12-1,27B,b12
91,8240DB001636,"Turnapin Lane, stop 1636",53.40825271,-6.237601473,10955.3.60-27B-b12-1.124.I,08:04:46,08:04:46,9, Eden Quay,4793.56,60-27B-b12-1,27B,b12
92,8240DB001637,"Santry Close, stop 1637",53.40403965,-6.240197136,10955.3.60-27B-b12-1.124.I,08:05:43,08:05:43,10, Eden Quay,5295.56,60-27B-b12-1,27B,b12
93,8240DB001638,"Morton Stadium, stop 1638",53.40174938,-6.24214153,10955.3.60-27B-b12-1.124.I,08:06:20,08:06:20,11, Eden Quay,5581.98,60-27B-b12-1,27B,b12
94,8240DB000992,"Coolock Lane, stop 992",53.39815836,-6.241206808,10955.3.60-27B-b12-1.124.I,08:07:34,08:07:34,12, Eden Quay,6155.35,60-27B-b12-1,27B,b12
95,8220DB007044,"Aulden Grange, stop 7044",53.39740937,-6.232485568,10955.3.60-27B-b12-1.124.I,08:08:54,08:08:54,13, Eden Quay,6781.41,60-27B-b12-1,27B,b12
96,8220DB000993,"Astro Park, stop 993",53.3977026,-6.229225175,10955.3.60-27B-b12-1.124.I,08:09:22,08:09:22,14, Eden Quay,7001.0,60-27B-b12-1,27B,b12
97,8220DB005060,"Dundaniel Road, stop 5060",53.39716701,-6.224029241,10955.3.60-27B-b12-1.124.I,08:10:17,08:10:17,15, Eden Quay,7423.26,60-27B-b12-1,27B,b12
98,8220DB005061,"Kilbarron Drive, stop 5061",53.39569652,-6.224872426,10955.3.60-27B-b12-1.124.I,08:10:38,08:10:38,16, Eden Quay,7595.85,60-27B-b12-1,27B,b12
99,8220DB001231,"Castletimon Road, stop 1231",53.395489,-6.227843426,10955.3.60-27B-b12-1.124.I,08:11:11,08:11:11,17, Eden Quay,7846.85,60-27B-b12-1,27B,b12
100,8220DB001232,"Castletimon Park, stop 1232",53.39528548,-6.23048341,10955.3.60-27B-b12-1.124.I,08:11:34,08:11:34,18, Eden Quay,8023.31,60-27B-b12-1,27B,b12
101,8220DB001233,"Castletimon Drive, stop 1233",53.39436199,-6.231243501,10955.3.60-27B-b12-1.124.I,08:11:51,08:11:51,19, Eden Quay,8151.56,60-27B-b12-1,27B,b12
102,8220DB001234,"Ballyshannon Avenue, stop 1234",53.39468787,-6.232613397,10955.3.60-27B-b12-1.124.I,08:12:14,08:12:14,20, Eden Quay,8301.12,60-27B-b12-1,27B,b12
103,8220DB007358,"Castletimon Park, stop 7358",53.3954603,-6.22954384,10955.3.60-27B-b12-1.124.I,08:12:57,08:12:57,21, Eden Quay,8571.09,60-27B-b12-1,27B,b12
104,8220DB001235,"Kilbarron Road, stop 1235",53.39473668,-6.225604084,10955.3.60-27B-b12-1.124.I,08:13:45,08:13:45,22, Eden Quay,8886.22,60-27B-b12-1,27B,b12
105,8220DB001251,"St Luke's Church, stop 1251",53.39345734,-6.222379318,10955.3.60-27B-b12-1.124.I,08:14:49,08:14:49,23, Eden Quay,9171.85,60-27B-b12-1,27B,b12
106,8220DB007130,"Cromcastle Green, stop 7130",53.39307274,-6.220696219,10955.3.60-27B-b12-1.124.I,08:15:16,08:15:16,24, Eden Quay,9291.16,60-27B-b12-1,27B,b12
107,8220DB001237,"Cromcastle Avenue, stop 1237",53.39267868,-6.218983472,10955.3.60-27B-b12-1.124.I,08:15:42,08:15:42,25, Eden Quay,9413.23,60-27B-b12-1,27B,b12
108,8220DB001238,"Kilmore Avenue, stop 1238",53.39156622,-6.214910057,10955.3.60-27B-b12-1.124.I,08:16:54,08:16:54,26, Eden Quay,9726.65,60-27B-b12-1,27B,b12
109,8220DB001239,"St John of Gods NS, stop 1239",53.38900419,-6.214881958,10955.3.60-27B-b12-1.124.I,08:17:33,08:17:33,27, Eden Quay,10013.94,60-27B-b12-1,27B,b12
110,8220DB000247,"Ardlea Road, stop 247",53.38697616,-6.214500756,10955.3.60-27B-b12-1.124.I,08:18:07,08:18:07,28, Eden Quay,10287.9,60-27B-b12-1,27B,b12
111,8220DB001240,"Maryfield Crescent, stop 1240",53.38681843,-6.211169732,10955.3.60-27B-b12-1.124.I,08:18:36,08:18:36,29, Eden Quay,10514.21,60-27B-b12-1,27B,b12
112,8220DB001241,"Chanel Avenue, stop 1241",53.38587943,-6.209089308,10955.3.60-27B-b12-1.124.I,08:19:01,08:19:01,30, Eden Quay,10688.06,60-27B-b12-1,27B,b12
113,8220DB001242,"Ardbeg Road, stop 1242",53.38449195,-6.207072923,10955.3.60-27B-b12-1.124.I,08:19:30,08:19:30,31, Eden Quay,10892.48,60-27B-b12-1,27B,b12
114,8220DB001277,"Mornington Grove, stop 1277",53.38268146,-6.206216964,10955.3.60-27B-b12-1.124.I,08:20:14,08:20:14,32, Eden Quay,11199.18,60-27B-b12-1,27B,b12
115,8220DB001219,"Danieli Road, stop 1219",53.38130213,-6.208334392,10955.3.60-27B-b12-1.124.I,08:20:39,08:20:39,33, Eden Quay,11410.32,60-27B-b12-1,27B,b12
116,8220DB001220,"Killester Avenue, stop 1220",53.37876251,-6.212198902,10955.3.60-27B-b12-1.124.I,08:21:23,08:21:23,34, Eden Quay,11790.23,60-27B-b12-1,27B,b12
117,8220DB001221,"Mayfield Park, stop 1221",53.3768165,-6.216098254,10955.3.60-27B-b12-1.124.I,08:22:15,08:22:15,35, Eden Quay,12131.46,60-27B-b12-1,27B,b12
118,8220DB000664,"Donnycarney Church, stop 664",53.37471925,-6.219507562,10955.3.60-27B-b12-1.124.I,08:23:07,08:23:07,36, Eden Quay,12459.22,60-27B-b12-1,27B,b12
119,8220DB000665,"Casino Park, stop 665",53.37246632,-6.222126461,10955.3.60-27B-b12-1.124.I,08:23:36,08:23:36,37, Eden Quay,12766.68,60-27B-b12-1,27B,b12
120,8220DB000666,"Mount Temple School, stop 666",53.37023312,-6.224263348,10955.3.60-27B-b12-1.124.I,08:24:05,08:24:05,38, Eden Quay,13052.71,60-27B-b12-1,27B,b12
121,8220DB000667,"Brian Road, stop 667",53.36798165,-6.226986847,10955.3.60-27B-b12-1.124.I,08:24:35,08:24:35,39, Eden Quay,13361.72,60-27B-b12-1,27B,b12
122,8220DB000668,"Marino Crescent Park, stop 668",53.36457498,-6.229397317,10955.3.60-27B-b12-1.124.I,08:25:46,08:25:46,40, Eden Quay,13778.21,60-27B-b12-1,27B,b12
123,8220DB000614,"Fairview, stop 614",53.363638,-6.23349323,10955.3.60-27B-b12-1.124.I,08:26:36,08:26:36,41, Eden Quay,14075.94,60-27B-b12-1,27B,b12
124,8220DB000616,"Nth Strand Fire Stn, stop 616",53.35984471,-6.239554896,10955.3.60-27B-b12-1.124.I,08:28:02,08:28:02,43, Eden Quay,14680.12,60-27B-b12-1,27B,b12
125,8220DB000618,"Newcomen Bridge, stop 618",53.35610118,-6.244742068,10955.3.60-27B-b12-1.124.I,08:29:26,08:29:26,45, Eden Quay,15220.14,60-27B-b12-1,27B,b12
126,8220DB000619,"Amiens Street, stop 619",53.35404463,-6.247305334,10955.3.60-27B-b12-1.124.I,08:30:31,08:30:31,46, Eden Quay,15506.35,60-27B-b12-1,27B,b12
127,8220DB007569,"Gardiner Street, stop 7569",53.35045051,-6.255969966,10955.3.60-27B-b12-1.124.I,08:33:46,08:33:46,48, Eden Quay,16258.72,60-27B-b12-1,27B,b12
128,8220DB000303,"Eden Quay, stop 303",53.34806,-6.255992453,10955.3.60-27B-b12-1.124.I,08:36:02,08:36:02,49, Eden Quay,16749.21,60-27B-b12-1,27B,b12
