Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000300,"Liberty Hall, stop 300",53.34829924,-6.255757376,10954.3.60-27B-b12-1.119.O,07:15:00,07:15:00,1, Harristown,0.0,60-27B-b12-1,27B,b12
1,8220DB000497,"Connolly, stop 497",53.35052608,-6.250694343,10954.3.60-27B-b12-1.119.O,07:16:25,07:16:25,3, Harristown,492.22,60-27B-b12-1,27B,b12
2,8220DB000515,"Portland Row, stop 515",53.35353487,-6.248092401,10954.3.60-27B-b12-1.119.O,07:17:53,07:17:53,4, Harristown,869.64,60-27B-b12-1,27B,b12
3,8220DB000516,"North Strand Road, stop 516",53.35568392,-6.245705684,10954.3.60-27B-b12-1.119.O,07:19:01,07:19:01,5, Harristown,1154.32,60-27B-b12-1,27B,b12
4,8220DB004384,"Bayview Avenue, stop 4384",53.35768013,-6.242709027,10954.3.60-27B-b12-1.119.O,07:19:46,07:19:46,6, Harristown,1453.35,60-27B-b12-1,27B,b12
5,8220DB000519,"North Strand Fire Station, stop 519",53.36033876,-6.239534529,10954.3.60-27B-b12-1.119.O,07:20:41,07:20:41,7, Harristown,1819.59,60-27B-b12-1,27B,b12
6,8220DB000521,"Annesley Bridge, stop 521",53.36163705,-6.237978461,10954.3.60-27B-b12-1.119.O,07:21:11,07:21:11,8, Harristown,1996.11,60-27B-b12-1,27B,b12
7,8220DB000522,"Fairview, stop 522",53.36328895,-6.235415975,10954.3.60-27B-b12-1.119.O,07:21:54,07:21:54,9, Harristown,2248.08,60-27B-b12-1,27B,b12
8,8220DB000523,"Marino College, stop 523",53.36428545,-6.231693332,10954.3.60-27B-b12-1.119.O,07:22:32,07:22:32,11, Harristown,2537.74,60-27B-b12-1,27B,b12
9,8220DB000669,"Malahide Road, stop 669",53.366317,-6.228678905,10954.3.60-27B-b12-1.119.O,07:23:08,07:23:08,12, Harristown,2898.35,60-27B-b12-1,27B,b12
10,8220DB000670,"Mount Temple School, stop 670",53.36895611,-6.226029664,10954.3.60-27B-b12-1.119.O,07:23:42,07:23:42,13, Harristown,3241.15,60-27B-b12-1,27B,b12
11,8220DB000671,"Nazareth House, stop 671",53.37071684,-6.224153053,10954.3.60-27B-b12-1.119.O,07:24:05,07:24:05,14, Harristown,3473.74,60-27B-b12-1,27B,b12
12,8220DB000672,"Donnycarney Road, stop 672",53.37346635,-6.221077821,10954.3.60-27B-b12-1.119.O,07:24:41,07:24:41,15, Harristown,3842.68,60-27B-b12-1,27B,b12
13,8220DB004382,"Donnycarney Church, stop 4382",53.37496447,-6.219677694,10954.3.60-27B-b12-1.119.O,07:24:59,07:24:59,16, Harristown,4065.82,60-27B-b12-1,27B,b12
14,8220DB001196,"Elm Mount Road, stop 1196",53.37778751,-6.214915296,10954.3.60-27B-b12-1.119.O,07:25:57,07:25:57,17, Harristown,4581.07,60-27B-b12-1,27B,b12
15,8220DB001197,"Killester Avenue, stop 1197",53.37923228,-6.211758333,10954.3.60-27B-b12-1.119.O,07:26:32,07:26:32,18, Harristown,4845.2,60-27B-b12-1,27B,b12
16,8220DB001198,"Mornington Grove, stop 1198",53.3825122,-6.206915591,10954.3.60-27B-b12-1.119.O,07:27:28,07:27:28,19, Harristown,5332.14,60-27B-b12-1,27B,b12
17,8220DB001222,"Ardlea Road, stop 1222",53.38406616,-6.206850282,10954.3.60-27B-b12-1.119.O,07:27:56,07:27:56,20, Harristown,5593.42,60-27B-b12-1,27B,b12
18,8220DB001223,"Chanel Avenue, stop 1223",53.38525062,-6.208514352,10954.3.60-27B-b12-1.119.O,07:28:15,07:28:15,21, Harristown,5765.26,60-27B-b12-1,27B,b12
19,8220DB001224,"Maryfield Crescent, stop 1224",53.38664416,-6.210936491,10954.3.60-27B-b12-1.119.O,07:28:40,07:28:40,22, Harristown,5995.83,60-27B-b12-1,27B,b12
20,8220DB001225,"Maryfield Drive, stop 1225",53.38685938,-6.213904269,10954.3.60-27B-b12-1.119.O,07:29:09,07:29:09,23, Harristown,6202.83,60-27B-b12-1,27B,b12
21,8220DB001226,"Ardmore Drive, stop 1226",53.38858246,-6.214929676,10954.3.60-27B-b12-1.119.O,07:29:49,07:29:49,24, Harristown,6471.38,60-27B-b12-1,27B,b12
22,8220DB001227,"Castlekevin Road, stop 1227",53.39113731,-6.215078366,10954.3.60-27B-b12-1.119.O,07:30:33,07:30:33,25, Harristown,6756.38,60-27B-b12-1,27B,b12
23,8220DB001228,"Kilbarron Road, stop 1228",53.39242898,-6.218512737,10954.3.60-27B-b12-1.119.O,07:31:23,07:31:23,26, Harristown,7079.15,60-27B-b12-1,27B,b12
24,8220DB001244,"Cromcastle Green, stop 1244",53.39290724,-6.220447503,10954.3.60-27B-b12-1.119.O,07:31:42,07:31:42,27, Harristown,7217.91,60-27B-b12-1,27B,b12
25,8220DB000254,"Beaumont Hospital, stop 254",53.3902653,-6.224106114,10954.3.60-27B-b12-1.119.O,07:33:56,07:33:56,28, Harristown,7905.75,60-27B-b12-1,27B,b12
26,8220DB001246,"Kilbarron Park, stop 1246",53.39349323,-6.222979289,10954.3.60-27B-b12-1.119.O,07:35:59,07:35:59,29, Harristown,8658.13,60-27B-b12-1,27B,b12
27,8220DB001229,"Kilbarron Drive, stop 1229",53.3943116,-6.225426289,10954.3.60-27B-b12-1.119.O,07:36:26,07:36:26,30, Harristown,8843.94,60-27B-b12-1,27B,b12
28,8220DB001231,"Castletimon Road, stop 1231",53.395489,-6.227843426,10954.3.60-27B-b12-1.119.O,07:36:58,07:36:58,31, Harristown,9107.48,60-27B-b12-1,27B,b12
29,8220DB001232,"Castletimon Park, stop 1232",53.39528548,-6.23048341,10954.3.60-27B-b12-1.119.O,07:37:19,07:37:19,32, Harristown,9283.94,60-27B-b12-1,27B,b12
30,8220DB001233,"Castletimon Drive, stop 1233",53.39436199,-6.231243501,10954.3.60-27B-b12-1.119.O,07:37:34,07:37:34,33, Harristown,9412.19,60-27B-b12-1,27B,b12
31,8220DB001234,"Ballyshannon Avenue, stop 1234",53.39468787,-6.232613397,10954.3.60-27B-b12-1.119.O,07:37:55,07:37:55,34, Harristown,9561.75,60-27B-b12-1,27B,b12
32,8220DB007358,"Castletimon Park, stop 7358",53.3954603,-6.22954384,10954.3.60-27B-b12-1.119.O,07:38:34,07:38:34,35, Harristown,9831.71,60-27B-b12-1,27B,b12
33,8220DB005174,"Dundaniel Road, stop 5174",53.39570886,-6.225097474,10954.3.60-27B-b12-1.119.O,07:39:25,07:39:25,36, Harristown,10191.24,60-27B-b12-1,27B,b12
34,8220DB006078,"Cromcastle Road, stop 6078",53.39724178,-6.224221621,10954.3.60-27B-b12-1.119.O,07:39:50,07:39:50,37, Harristown,10372.06,60-27B-b12-1,27B,b12
35,8220DB007112,"Astro Park, stop 7112",53.397549,-6.229171401,10954.3.60-27B-b12-1.119.O,07:40:50,07:40:50,38, Harristown,10789.21,60-27B-b12-1,27B,b12
36,8220DB000972,"Aulden Grange, stop 972",53.39699604,-6.234923799,10954.3.60-27B-b12-1.119.O,07:41:45,07:41:45,39, Harristown,11175.97,60-27B-b12-1,27B,b12
37,8240DB001625,"Morton Stadium, stop 1625",53.40109228,-6.243296569,10954.3.60-27B-b12-1.119.O,07:44:06,07:44:06,40, Harristown,12157.86,60-27B-b12-1,27B,b12
38,8240DB001626,"Santry Close, stop 1626",53.40416762,-6.240342257,10954.3.60-27B-b12-1.119.O,07:44:51,07:44:51,41, Harristown,12557.44,60-27B-b12-1,27B,b12
39,8240DB001627,"Santry Retail Park, stop 1627",53.40824795,-6.237887465,10954.3.60-27B-b12-1.119.O,07:45:48,07:45:48,42, Harristown,13054.95,60-27B-b12-1,27B,b12
40,8240DB001628,"Collinstown Park, stop 1628",53.41371224,-6.239075661,10954.3.60-27B-b12-1.119.O,07:46:29,07:46:29,43, Harristown,13670.91,60-27B-b12-1,27B,b12
41,8240DB001629,"Dardistown Cemetery, stop 1629",53.41694663,-6.238987144,10954.3.60-27B-b12-1.119.O,07:47:18,07:47:18,44, Harristown,14034.39,60-27B-b12-1,27B,b12
42,8240DB006234,"Old Airport Road, stop 6234",53.41807731,-6.277681994,10954.3.60-27B-b12-1.119.O,07:50:55,07:50:55,45, Harristown,16804.75,60-27B-b12-1,27B,b12
43,8240DB000332,"Harristown, stop 332",53.41735265,-6.278538756,10954.3.60-27B-b12-1.119.O,07:51:06,07:51:06,46, Harristown,16937.65,60-27B-b12-1,27B,b12
