Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
92,8250DB004952,"UCD, stop 4952",53.30489662,-6.216937317,5045.1.60-27X-b12-1.176.O,17:05:00,17:05:00,1, Clare Hall,0.0,60-27X-b12-1,27X,b12
93,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,5045.1.60-27X-b12-1.176.O,17:09:37,17:09:37,2, Clare Hall,681.75,60-27X-b12-1,27X,b12
94,8220DB002085,"RTE, stop 2085",53.31517375,-6.220186156,5045.1.60-27X-b12-1.176.O,17:11:37,17:11:37,3, Clare Hall,1481.15,60-27X-b12-1,27X,b12
95,8220DB002086,"Nutley Avenue, stop 2086",53.31815678,-6.214703382,5045.1.60-27X-b12-1.176.O,17:12:51,17:12:51,4, Clare Hall,1985.18,60-27X-b12-1,27X,b12
96,8220DB000479,"Merrion Centre, stop 479",53.31914397,-6.213401287,5045.1.60-27X-b12-1.176.O,17:13:28,17:13:28,5, Clare Hall,2228.13,60-27X-b12-1,27X,b12
97,8220DB000480,"Netherlands Embassy, stop 480",53.32084998,-6.216287205,5045.1.60-27X-b12-1.176.O,17:14:08,17:14:08,6, Clare Hall,2497.22,60-27X-b12-1,27X,b12
98,8220DB000481,"Wanderers FC, stop 481",53.32234464,-6.218266443,5045.1.60-27X-b12-1.176.O,17:14:40,17:14:40,7, Clare Hall,2708.93,60-27X-b12-1,27X,b12
99,8220DB000482,"Shrewsbury Road, stop 482",53.32472778,-6.221965295,5045.1.60-27X-b12-1.176.O,17:15:36,17:15:36,8, Clare Hall,3070.84,60-27X-b12-1,27X,b12
100,8220DB000483,"British Embassy, stop 483",53.32594411,-6.223971481,5045.1.60-27X-b12-1.176.O,17:17:09,17:17:09,9, Clare Hall,3259.64,60-27X-b12-1,27X,b12
101,8220DB000485,"RDS Ballsbridge, stop 485",53.32825151,-6.228634971,5045.1.60-27X-b12-1.176.O,17:18:35,17:18:35,10, Clare Hall,3681.34,60-27X-b12-1,27X,b12
102,8220DB000488,"Lansdowne Park, stop 488",53.33309855,-6.236076947,5045.1.60-27X-b12-1.176.O,17:21:19,17:21:19,11, Clare Hall,4433.37,60-27X-b12-1,27X,b12
103,8220DB000491,"Mount Street Bridge, stop 491",53.33781405,-6.241333511,5045.1.60-27X-b12-1.176.O,17:24:11,17:24:11,12, Clare Hall,5084.37,60-27X-b12-1,27X,b12
104,8220DB000493,"Holles Street, stop 493",53.33985342,-6.247376823,5045.1.60-27X-b12-1.176.O,17:26:18,17:26:18,13, Clare Hall,5546.01,60-27X-b12-1,27X,b12
105,8220DB000494,"Clare Street, stop 494",53.34143558,-6.251682252,5045.1.60-27X-b12-1.176.O,17:27:50,17:27:50,14, Clare Hall,5881.35,60-27X-b12-1,27X,b12
106,8220DB000495,"Pearse Station, stop 495",53.34359132,-6.249746705,5045.1.60-27X-b12-1.176.O,17:29:31,17:29:31,15, Clare Hall,6285.4,60-27X-b12-1,27X,b12
107,8220DB000496,"Busáras, stop 496",53.34949688,-6.252223579,5045.1.60-27X-b12-1.176.O,17:33:58,17:33:58,16, Clare Hall,7347.55,60-27X-b12-1,27X,b12
108,8220DB000523,"Marino College, stop 523",53.36428545,-6.231693332,5045.1.60-27X-b12-1.176.O,17:42:02,17:42:02,19, Clare Hall,9574.23,60-27X-b12-1,27X,b12
109,8220DB004382,"Donnycarney Church, stop 4382",53.37496447,-6.219677694,5045.1.60-27X-b12-1.176.O,17:47:13,17:47:13,20, Clare Hall,11102.24,60-27X-b12-1,27X,b12
