Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
86,8250DB004952,"UCD, stop 4952",53.30489662,-6.216937317,4927.1.60-32X-b12-1.28.I,16:45:00,16:45:00,1, Malahide,0.0,60-32X-b12-1,32X,b12
87,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,4927.1.60-32X-b12-1.28.I,16:47:19,16:47:19,2, Malahide,681.75,60-32X-b12-1,32X,b12
88,8220DB000770,"RTE, stop 770",53.31463619,-6.225731811,4927.1.60-32X-b12-1.28.I,16:49:38,16:49:38,3, Malahide,1452.37,60-32X-b12-1,32X,b12
89,8220DB000773,"Donnybrook Road, stop 773",53.31991635,-6.233273319,4927.1.60-32X-b12-1.28.I,16:51:56,16:51:56,4, Malahide,2220.07,60-32X-b12-1,32X,b12
90,8220DB000774,"Donnybrook Garda Stn, stop 774",53.32161212,-6.235499996,4927.1.60-32X-b12-1.28.I,16:52:39,16:52:39,5, Malahide,2461.95,60-32X-b12-1,32X,b12
91,8220DB000906,"Leeson St Upper, stop 906",53.32881077,-6.247634377,4927.1.60-32X-b12-1.28.I,16:56:09,16:56:09,6, Malahide,3617.67,60-32X-b12-1,32X,b12
92,8220DB000909,"Fitzwilliam Place, stop 909",53.33314766,-6.254078364,4927.1.60-32X-b12-1.28.I,16:59:24,16:59:24,7, Malahide,4298.26,60-32X-b12-1,32X,b12
93,8220DB000790,"Stephen's Green Nth, stop 790",53.33929437,-6.258302473,4927.1.60-32X-b12-1.28.I,17:03:43,17:03:43,10, Malahide,5174.77,60-32X-b12-1,32X,b12
94,8220DB007585,"National Gallery, stop 7585",53.34203708,-6.25347488,4927.1.60-32X-b12-1.28.I,17:07:00,17:07:00,12, Malahide,5839.56,60-32X-b12-1,32X,b12
95,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,4927.1.60-32X-b12-1.28.I,17:09:44,17:09:44,13, Malahide,6415.41,60-32X-b12-1,32X,b12
96,8220DB000496,"Busáras, stop 496",53.34949688,-6.252223579,4927.1.60-32X-b12-1.28.I,17:13:56,17:13:56,14, Malahide,7294.11,60-32X-b12-1,32X,b12
97,8220DB000522,"Fairview, stop 522",53.36328895,-6.235415975,4927.1.60-32X-b12-1.28.I,17:23:10,17:23:10,16, Malahide,9230.99,60-32X-b12-1,32X,b12
98,8220DB001741,"Alfie Byrne Road, stop 1741",53.3631169,-6.220802823,4927.1.60-32X-b12-1.28.I,17:26:06,17:26:06,18, Malahide,10259.01,60-32X-b12-1,32X,b12
99,8220DB001747,"John the Baptist Ch, stop 1747",53.35935099,-6.196860141,4927.1.60-32X-b12-1.28.I,17:30:01,17:30:01,19, Malahide,11932.52,60-32X-b12-1,32X,b12
100,8220DB001749,"Clontarf Bus Garage, stop 1749",53.35859037,-6.19055194,4927.1.60-32X-b12-1.28.I,17:31:07,17:31:07,20, Malahide,12395.89,60-32X-b12-1,32X,b12
101,8240DB000544,"Bayside, stop 544",53.38616389,-6.137815203,4927.1.60-32X-b12-1.28.I,17:42:42,17:42:42,21, Malahide,17159.73,60-32X-b12-1,32X,b12
