Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB003640,"Malahide Castle, stop 3640",53.44629839,-6.174134052,4926.1.60-32X-b12-1.27.O,07:15:00,07:15:00,1, UCD,0.0,60-32X-b12-1,32X,b12
1,8240DB003574,"Talbot Road, stop 3574",53.44877481,-6.18151081,4926.1.60-32X-b12-1.27.O,07:16:22,07:16:22,2, UCD,560.39,60-32X-b12-1,32X,b12
2,8240DB003641,"Estuary Road, stop 3641",53.45272518,-6.18358561,4926.1.60-32X-b12-1.27.O,07:17:58,07:17:58,3, UCD,1205.69,60-32X-b12-1,32X,b12
3,8240DB003642,"Sacred Heart Church, stop 3642",53.45512616,-6.181299634,4926.1.60-32X-b12-1.27.O,07:18:42,07:18:42,4, UCD,1512.09,60-32X-b12-1,32X,b12
4,8240DB003643,"Yellow Walls Rd, stop 3643",53.4512379,-6.169179127,4926.1.60-32X-b12-1.27.O,07:21:11,07:21:11,5, UCD,2538.42,60-32X-b12-1,32X,b12
5,8240DB003583,"St Sylvesters School, stop 3583",53.4493479,-6.163162525,4926.1.60-32X-b12-1.27.O,07:22:21,07:22:21,6, UCD,3003.57,60-32X-b12-1,32X,b12
6,8240DB003584,"Cricket Club, stop 3584",53.44985454,-6.159873348,4926.1.60-32X-b12-1.27.O,07:22:54,07:22:54,7, UCD,3227.59,60-32X-b12-1,32X,b12
7,8240DB003585,"Malahide Station, stop 3585",53.45063309,-6.154991325,4926.1.60-32X-b12-1.27.O,07:23:42,07:23:42,8, UCD,3562.8,60-32X-b12-1,32X,b12
8,8240DB003587,"The Old Golf Links, stop 3587",53.45112715,-6.14510743,4926.1.60-32X-b12-1.27.O,07:25:18,07:25:18,9, UCD,4223.95,60-32X-b12-1,32X,b12
9,8240DB003588,"Sea Park, stop 3588",53.4499089,-6.140748881,4926.1.60-32X-b12-1.27.O,07:26:04,07:26:04,10, UCD,4540.81,60-32X-b12-1,32X,b12
10,8240DB003589,"Biscayne, stop 3589",53.44608371,-6.132349404,4926.1.60-32X-b12-1.27.O,07:27:40,07:27:40,11, UCD,5278.59,60-32X-b12-1,32X,b12
11,8240DB003593,"Strand Road, stop 3593",53.43268648,-6.124583821,4926.1.60-32X-b12-1.27.O,07:31:41,07:31:41,12, UCD,7128.06,60-32X-b12-1,32X,b12
12,8240DB003594,"Portmarnock Hotel, stop 3594",53.42969826,-6.127183551,4926.1.60-32X-b12-1.27.O,07:32:30,07:32:30,13, UCD,7502.82,60-32X-b12-1,32X,b12
13,8240DB003595,"Blackberry Lane, stop 3595",53.42740822,-6.129601767,4926.1.60-32X-b12-1.27.O,07:33:14,07:33:14,14, UCD,7803.16,60-32X-b12-1,32X,b12
14,8240DB003596,"Blackberry Rise, stop 3596",53.42583344,-6.131205842,4926.1.60-32X-b12-1.27.O,07:34:09,07:34:09,15, UCD,8009.15,60-32X-b12-1,32X,b12
15,8240DB003597,"The Dunes, stop 3597",53.42398537,-6.133152824,4926.1.60-32X-b12-1.27.O,07:35:14,07:35:14,16, UCD,8250.92,60-32X-b12-1,32X,b12
16,8240DB003598,"Portmarnock, stop 3598",53.42173935,-6.136095098,4926.1.60-32X-b12-1.27.O,07:36:38,07:36:38,17, UCD,8569.11,60-32X-b12-1,32X,b12
17,8240DB004465,"Hazel Court, stop 4465",53.41947161,-6.139955816,4926.1.60-32X-b12-1.27.O,07:37:32,07:37:32,18, UCD,8928.39,60-32X-b12-1,32X,b12
18,8240DB000944,"Coast Road, stop 944",53.41724207,-6.142234701,4926.1.60-32X-b12-1.27.O,07:38:25,07:38:25,19, UCD,9286.11,60-32X-b12-1,32X,b12
19,8240DB000945,"St Rita's House, stop 945",53.41530955,-6.138768429,4926.1.60-32X-b12-1.27.O,07:38:55,07:38:55,20, UCD,9609.32,60-32X-b12-1,32X,b12
20,8240DB000947,"Moyne Bridge, stop 947",53.40918647,-6.136328175,4926.1.60-32X-b12-1.27.O,07:40:00,07:40:00,21, UCD,10316.77,60-32X-b12-1,32X,b12
21,8240DB000948,"Moyne Cottages, stop 948",53.40614344,-6.134280219,4926.1.60-32X-b12-1.27.O,07:40:34,07:40:34,22, UCD,10684.13,60-32X-b12-1,32X,b12
22,8240DB007725,"Red Arches Rd, Stop No 7725",53.40124928,-6.129967458,4926.1.60-32X-b12-1.27.O,07:41:31,07:41:31,23, UCD,11309.0,60-32X-b12-1,32X,b12
23,8240DB000928,"Baldoyle, stop 928",53.39780176,-6.126780121,4926.1.60-32X-b12-1.27.O,07:42:12,07:42:12,24, UCD,11749.68,60-32X-b12-1,32X,b12
24,8240DB000588,"Sutton Park, stop 588",53.38805314,-6.127584119,4926.1.60-32X-b12-1.27.O,07:45:17,07:45:17,25, UCD,13033.63,60-32X-b12-1,32X,b12
25,8240DB000590,"Bayside, stop 590",53.38618193,-6.137243112,4926.1.60-32X-b12-1.27.O,07:46:55,07:46:55,26, UCD,13707.81,60-32X-b12-1,32X,b12
26,8220DB001729,"Clontarf Bus Garage, stop 1729",53.35849691,-6.19031551,4926.1.60-32X-b12-1.27.O,07:58:32,07:58:32,27, UCD,18497.21,60-32X-b12-1,32X,b12
27,8220DB001731,"John the Baptist Ch, stop 1731",53.35907675,-6.196556204,4926.1.60-32X-b12-1.27.O,07:59:36,07:59:36,28, UCD,18941.02,60-32X-b12-1,32X,b12
28,8220DB001738,"Clontarf Rd Pitches, stop 1738",53.36345088,-6.223914334,4926.1.60-32X-b12-1.27.O,08:04:13,08:04:13,29, UCD,20856.08,60-32X-b12-1,32X,b12
29,8220DB000614,"Fairview, stop 614",53.363638,-6.23349323,4926.1.60-32X-b12-1.27.O,08:05:49,08:05:49,30, UCD,21518.36,60-32X-b12-1,32X,b12
30,8220DB000621,"Talbot Street, stop 621",53.35051778,-6.256267648,4926.1.60-32X-b12-1.27.O,08:16:45,08:16:45,32, UCD,23718.78,60-32X-b12-1,32X,b12
31,8220DB004495,"Hawkins Street, stop 4495",53.34649329,-6.25703271,4926.1.60-32X-b12-1.27.O,08:21:23,08:21:23,34, UCD,24265.05,60-32X-b12-1,32X,b12
32,8220DB002809,"Pearse Station, stop 2809",53.34288455,-6.2499709,4926.1.60-32X-b12-1.27.O,08:29:06,08:29:06,35, UCD,25201.65,60-32X-b12-1,32X,b12
33,8220DB002810,"Merrion Square West, stop 2810",53.34079491,-6.250897489,4926.1.60-32X-b12-1.27.O,08:31:11,08:31:11,36, UCD,25441.67,60-32X-b12-1,32X,b12
