Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB003815,"Northcliffe Heights, stop 3815",53.58194361,-6.125216105,1132.1.60-33-b12-1.182.I,09:00:00,09:00:00,1, Abbey St,0.0,60-33-b12-1,33,b12
1,8240DB003816,"Mourne Drive, stop 3816",53.58047156,-6.127637364,1132.1.60-33-b12-1.182.I,09:00:33,09:00:33,2, Abbey St,230.36,60-33-b12-1,33,b12
2,8240DB003566,"Selskar Court, stop 3566",53.5780675,-6.125070504,1132.1.60-33-b12-1.182.I,09:01:38,09:01:38,3, Abbey St,700.15,60-33-b12-1,33,b12
3,8240DB003567,"Skerries Station, stop 3567",53.57627924,-6.119939546,1132.1.60-33-b12-1.182.I,09:02:15,09:02:15,4, Abbey St,1096.87,60-33-b12-1,33,b12
4,8240DB007292,"Skerries GAA Club, stop 7292",53.57753435,-6.112317635,1132.1.60-33-b12-1.182.I,09:04:28,09:04:28,5, Abbey St,1748.1,60-33-b12-1,33,b12
5,8240DB003818,"Church Street, stop 3818",53.57980244,-6.110238063,1132.1.60-33-b12-1.182.I,09:05:28,09:05:28,6, Abbey St,2034.41,60-33-b12-1,33,b12
6,8240DB003819,"Skerries, stop 3819",53.57999712,-6.106634837,1132.1.60-33-b12-1.182.I,09:06:34,09:06:34,7, Abbey St,2375.88,60-33-b12-1,33,b12
7,8240DB003820,"Strand Street, stop 3820",53.5778728,-6.105868951,1132.1.60-33-b12-1.182.I,09:07:12,09:07:12,8, Abbey St,2617.62,60-33-b12-1,33,b12
8,8240DB003822,"Brookville Lane, stop 3822",53.57536948,-6.104440526,1132.1.60-33-b12-1.182.I,09:07:58,09:07:58,9, Abbey St,2912.29,60-33-b12-1,33,b12
9,8240DB003823,"Skerries RFC, stop 3823",53.57277153,-6.10158195,1132.1.60-33-b12-1.182.I,09:08:43,09:08:43,10, Abbey St,3261.33,60-33-b12-1,33,b12
10,8240DB003824,"Shenick Road, stop 3824",53.56970963,-6.10120575,1132.1.60-33-b12-1.182.I,09:09:29,09:09:29,11, Abbey St,3626.13,60-33-b12-1,33,b12
11,8240DB003565,"Rush Road, stop 3565",53.5667591,-6.102183464,1132.1.60-33-b12-1.182.I,09:09:51,09:09:51,12, Abbey St,3961.26,60-33-b12-1,33,b12
12,8240DB003825,"Hacketstown Cottages, stop 3825",53.56229352,-6.103410001,1132.1.60-33-b12-1.182.I,09:10:25,09:10:25,13, Abbey St,4463.96,60-33-b12-1,33,b12
13,8240DB003826,"Pierstown Lane, stop 3826",53.55848483,-6.102418056,1132.1.60-33-b12-1.182.I,09:11:00,09:11:00,14, Abbey St,4908.1,60-33-b12-1,33,b12
14,8240DB003827,"Thomastown Resevoir, stop 3827",53.55398178,-6.101849814,1132.1.60-33-b12-1.182.I,09:11:38,09:11:38,15, Abbey St,5416.7,60-33-b12-1,33,b12
15,8240DB003828,"Mine Road, stop 3828",53.54990901,-6.101775557,1132.1.60-33-b12-1.182.I,09:12:19,09:12:19,16, Abbey St,5872.39,60-33-b12-1,33,b12
16,8240DB003829,"Loughshinny Cross, stop 3829",53.54728432,-6.101198833,1132.1.60-33-b12-1.182.I,09:12:46,09:12:46,17, Abbey St,6166.57,60-33-b12-1,33,b12
17,8240DB003831,"Carnhill, stop 3831",53.54241411,-6.096195808,1132.1.60-33-b12-1.182.I,09:13:40,09:13:40,18, Abbey St,6805.77,60-33-b12-1,33,b12
18,8240DB003832,"Rush Athletic FC, stop 3832",53.5391483,-6.092615494,1132.1.60-33-b12-1.182.I,09:14:16,09:14:16,19, Abbey St,7239.49,60-33-b12-1,33,b12
19,8240DB003833,"Clifflands, stop 3833",53.53365985,-6.09056906,1132.1.60-33-b12-1.182.I,09:15:30,09:15:30,20, Abbey St,7893.81,60-33-b12-1,33,b12
20,8240DB003834,"Palmer Road, stop 3834",53.53094219,-6.091490892,1132.1.60-33-b12-1.182.I,09:16:06,09:16:06,21, Abbey St,8204.55,60-33-b12-1,33,b12
21,8240DB003835,"Rush Cricket Club, stop 3835",53.52883542,-6.091268857,1132.1.60-33-b12-1.182.I,09:16:33,09:16:33,22, Abbey St,8440.1,60-33-b12-1,33,b12
22,8240DB003836,"Kilbrush Lane, stop 3836",53.52341419,-6.091180826,1132.1.60-33-b12-1.182.I,09:18:10,09:18:10,23, Abbey St,9044.46,60-33-b12-1,33,b12
23,8240DB003837,"Rush Main Street, stop 3837",53.52201698,-6.092616166,1132.1.60-33-b12-1.182.I,09:18:50,09:18:50,24, Abbey St,9304.51,60-33-b12-1,33,b12
24,8240DB003838,"Community Centre, stop 3838",53.52252613,-6.096363957,1132.1.60-33-b12-1.182.I,09:19:48,09:19:48,25, Abbey St,9559.32,60-33-b12-1,33,b12
25,8240DB003840,"Rush Garda Station, stop 3840",53.52281062,-6.100121891,1132.1.60-33-b12-1.182.I,09:20:42,09:20:42,26, Abbey St,9810.34,60-33-b12-1,33,b12
26,8240DB003842,"Millbank Court, stop 3842",53.52137424,-6.106460396,1132.1.60-33-b12-1.182.I,09:21:36,09:21:36,27, Abbey St,10268.45,60-33-b12-1,33,b12
27,8240DB003843,"Old Road, stop 3843",53.5208015,-6.109457105,1132.1.60-33-b12-1.182.I,09:22:02,09:22:02,28, Abbey St,10476.22,60-33-b12-1,33,b12
28,8240DB003844,"Healy's Lane, stop 3844",53.51869929,-6.116352377,1132.1.60-33-b12-1.182.I,09:23:02,09:23:02,29, Abbey St,11003.98,60-33-b12-1,33,b12
29,8240DB003845,"Whitestown Cemetery, stop 3845",53.51765385,-6.120168984,1132.1.60-33-b12-1.182.I,09:23:26,09:23:26,30, Abbey St,11284.66,60-33-b12-1,33,b12
30,8240DB003846,"Spout Road, stop 3846",53.51819026,-6.127429387,1132.1.60-33-b12-1.182.I,09:24:05,09:24:05,31, Abbey St,11768.05,60-33-b12-1,33,b12
31,8240DB003848,"Beau Hill, stop 3848",53.52034758,-6.138374111,1132.1.60-33-b12-1.182.I,09:25:06,09:25:06,32, Abbey St,12542.77,60-33-b12-1,33,b12
32,8240DB003849,"Rush & Lusk Stn, stop 3849",53.52098652,-6.141890365,1132.1.60-33-b12-1.182.I,09:25:26,09:25:26,33, Abbey St,12787.92,60-33-b12-1,33,b12
33,8240DB003850,"Rogerstown Lane, stop 3850",53.52159377,-6.146267794,1132.1.60-33-b12-1.182.I,09:26:01,09:26:01,34, Abbey St,13084.93,60-33-b12-1,33,b12
34,8240DB003851,"Rosewood, stop 3851",53.52192906,-6.148183691,1132.1.60-33-b12-1.182.I,09:26:17,09:26:17,35, Abbey St,13219.04,60-33-b12-1,33,b12
35,8240DB003852,"Lusk House, stop 3852",53.52246885,-6.154027242,1132.1.60-33-b12-1.182.I,09:27:04,09:27:04,36, Abbey St,13611.03,60-33-b12-1,33,b12
36,8240DB003853,"Orlynn Park, stop 3853",53.52423485,-6.160722764,1132.1.60-33-b12-1.182.I,09:28:03,09:28:03,37, Abbey St,14113.14,60-33-b12-1,33,b12
37,8240DB003854,"Station Road, stop 3854",53.52534969,-6.164837503,1132.1.60-33-b12-1.182.I,09:29:27,09:29:27,38, Abbey St,14413.42,60-33-b12-1,33,b12
38,8240DB003855,"Barrack Lane, stop 3855",53.52306612,-6.16772653,1132.1.60-33-b12-1.182.I,09:30:07,09:30:07,39, Abbey St,14797.07,60-33-b12-1,33,b12
39,8240DB003856,"Racecourse Commons, stop 3856",53.51861339,-6.16983401,1132.1.60-33-b12-1.182.I,09:31:04,09:31:04,40, Abbey St,15346.07,60-33-b12-1,33,b12
40,8240DB003857,"Dublin Road, stop 3857",53.51473686,-6.173182925,1132.1.60-33-b12-1.182.I,09:31:55,09:31:55,41, Abbey St,15833.8,60-33-b12-1,33,b12
41,8240DB003858,"Bridetree, stop 3858",53.51097166,-6.177943805,1132.1.60-33-b12-1.182.I,09:32:49,09:32:49,42, Abbey St,16362.53,60-33-b12-1,33,b12
42,8240DB003859,"Balleally West, stop 3859",53.50980203,-6.180225523,1132.1.60-33-b12-1.182.I,09:33:03,09:33:03,43, Abbey St,16566.42,60-33-b12-1,33,b12
43,8240DB003860,"Hannas Avenue, stop 3860",53.50707612,-6.185378028,1132.1.60-33-b12-1.182.I,09:33:36,09:33:36,44, Abbey St,17032.89,60-33-b12-1,33,b12
44,8240DB003861,"Newhaggard, stop 3861",53.50483198,-6.187343347,1132.1.60-33-b12-1.182.I,09:33:55,09:33:55,45, Abbey St,17319.03,60-33-b12-1,33,b12
45,8240DB003862,"Blake's Cross, stop 3862",53.5022905,-6.192230651,1132.1.60-33-b12-1.182.I,09:34:25,09:34:25,46, Abbey St,17752.3,60-33-b12-1,33,b12
46,8240DB003863,"Turvey Avenue, stop 3863",53.4945348,-6.194670773,1132.1.60-33-b12-1.182.I,09:35:48,09:35:48,47, Abbey St,18671.51,60-33-b12-1,33,b12
47,8240DB003748,"Batter Lane, stop 3748",53.48848542,-6.197022518,1132.1.60-33-b12-1.182.I,09:36:52,09:36:52,48, Abbey St,19388.01,60-33-b12-1,33,b12
48,8240DB006050,"Lissenhall Green, stop 6050",53.48105429,-6.202520975,1132.1.60-33-b12-1.182.I,09:38:14,09:38:14,49, Abbey St,20291.34,60-33-b12-1,33,b12
49,8240DB003749,"Broad Meadow Bridge, stop 3749",53.47163371,-6.210827947,1132.1.60-33-b12-1.182.I,09:40:05,09:40:05,50, Abbey St,21519.98,60-33-b12-1,33,b12
50,8240DB003750,"Balheary Park, stop 3750",53.46849494,-6.213098961,1132.1.60-33-b12-1.182.I,09:40:34,09:40:34,51, Abbey St,21899.81,60-33-b12-1,33,b12
51,8240DB003752,"Seatown Villas, stop 3752",53.4624135,-6.218143823,1132.1.60-33-b12-1.182.I,09:42:22,09:42:22,52, Abbey St,22800.15,60-33-b12-1,33,b12
52,8240DB003751,"Carnegie Court, stop 3751",53.46089301,-6.21864426,1132.1.60-33-b12-1.182.I,09:42:42,09:42:42,53, Abbey St,22972.32,60-33-b12-1,33,b12
53,8240DB003689,"Fingal Co Co, stop 3689",53.45893595,-6.220006281,1132.1.60-33-b12-1.182.I,09:44:40,09:44:40,54, Abbey St,23220.89,60-33-b12-1,33,b12
54,8240DB003691,"Swords Main Street, stop 3691",53.45597709,-6.221696165,1132.1.60-33-b12-1.182.I,09:46:09,09:46:09,56, Abbey St,23568.23,60-33-b12-1,33,b12
