Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
382,8220DB000292,"Abbey St Lower, stop 292",53.34919969,-6.255254959,1134.1.60-33-b12-1.183.O,14:45:00,14:45:00,1, Balbriggan,0.0,60-33-b12-1,33,b12
383,8220DB001171,"Gardiner Street Lwr, stop 1171",53.35031769,-6.254262949,1134.1.60-33-b12-1.183.O,14:45:57,14:45:57,2, Balbriggan,200.18,60-33-b12-1,33,b12
384,8220DB001172,Railway Street,53.35174335,-6.255256217,1134.1.60-33-b12-1.183.O,14:46:47,14:46:47,3, Balbriggan,371.96,60-33-b12-1,33,b12
385,8220DB001173,"Gardiner Street Lwr, stop 1173",53.35370557,-6.256678323,1134.1.60-33-b12-1.183.O,14:47:58,14:47:58,4, Balbriggan,611.51,60-33-b12-1,33,b12
386,8220DB001174,"Mountjoy Sq West, stop 1174",53.35618658,-6.258545125,1134.1.60-33-b12-1.183.O,14:49:23,14:49:23,5, Balbriggan,913.41,60-33-b12-1,33,b12
387,8220DB001175,"Gardiner Street Upr, stop 1175",53.35841319,-6.260843182,1134.1.60-33-b12-1.183.O,14:51:20,14:51:20,6, Balbriggan,1205.12,60-33-b12-1,33,b12
388,8220DB000015,"Innisfallen Parade, stop 15",53.36026671,-6.260978043,1134.1.60-33-b12-1.183.O,14:53:05,14:53:05,7, Balbriggan,1468.14,60-33-b12-1,33,b12
389,8220DB000017,"Drumcondra Rail Stn, stop 17",53.36307832,-6.258399288,1134.1.60-33-b12-1.183.O,14:54:31,14:54:31,8, Balbriggan,1823.73,60-33-b12-1,33,b12
390,8220DB000018,"Dargle Road, stop 18",53.36585593,-6.255956821,1134.1.60-33-b12-1.183.O,14:55:47,14:55:47,9, Balbriggan,2174.78,60-33-b12-1,33,b12
391,8220DB000019,"Botanic Avenue, stop 19",53.36723488,-6.255599941,1134.1.60-33-b12-1.183.O,14:56:21,14:56:21,10, Balbriggan,2332.18,60-33-b12-1,33,b12
392,8220DB000021,"DCU St Patrick's, stop 21",53.3701012,-6.254310599,1134.1.60-33-b12-1.183.O,14:57:32,14:57:32,11, Balbriggan,2659.48,60-33-b12-1,33,b12
393,8220DB007602,"DCU St Patrick’s, stop 7602",53.37155351,-6.253439645,1134.1.60-33-b12-1.183.O,14:58:34,14:58:34,12, Balbriggan,2834.16,60-33-b12-1,33,b12
394,8220DB000085,"Wellpark Avenue, stop 85",53.37395795,-6.25191343,1134.1.60-33-b12-1.183.O,15:00:15,15:00:15,13, Balbriggan,3118.99,60-33-b12-1,33,b12
395,8220DB000203,"Whitehall College, stop 203",53.37639279,-6.250010028,1134.1.60-33-b12-1.183.O,15:02:08,15:02:08,14, Balbriggan,3414.52,60-33-b12-1,33,b12
396,8220DB000204,"Highfield Hospital, stop 204",53.37958836,-6.246662193,1134.1.60-33-b12-1.183.O,15:03:23,15:03:23,15, Balbriggan,3837.15,60-33-b12-1,33,b12
397,8220DB000205,"Iveragh Road, stop 205",53.38137533,-6.245326047,1134.1.60-33-b12-1.183.O,15:04:02,15:04:02,16, Balbriggan,4054.85,60-33-b12-1,33,b12
398,8220DB001620,"Whitehall Church, stop 1620",53.38326286,-6.244105913,1134.1.60-33-b12-1.183.O,15:04:49,15:04:49,17, Balbriggan,4280.07,60-33-b12-1,33,b12
399,8220DB000220,"Swords Road, stop 220",53.38794054,-6.244980841,1134.1.60-33-b12-1.183.O,15:06:53,15:06:53,18, Balbriggan,4860.26,60-33-b12-1,33,b12
400,8240DB001622,"Shanowen Road, stop 1622",53.39003784,-6.246413128,1134.1.60-33-b12-1.183.O,15:08:49,15:08:49,19, Balbriggan,5115.93,60-33-b12-1,33,b12
401,8240DB001623,"Omni Park SC, stop 1623",53.39193207,-6.24626007,1134.1.60-33-b12-1.183.O,15:10:25,15:10:25,20, Balbriggan,5326.18,60-33-b12-1,33,b12
402,8240DB001624,"Schoolhouse Lane, stop 1624",53.39608198,-6.24547288,1134.1.60-33-b12-1.183.O,15:11:39,15:11:39,21, Balbriggan,5791.06,60-33-b12-1,33,b12
403,8240DB001625,"Morton Stadium, stop 1625",53.40109228,-6.243296569,1134.1.60-33-b12-1.183.O,15:13:47,15:13:47,22, Balbriggan,6374.05,60-33-b12-1,33,b12
404,8240DB001626,"Santry Close, stop 1626",53.40416762,-6.240342257,1134.1.60-33-b12-1.183.O,15:14:43,15:14:43,23, Balbriggan,6773.63,60-33-b12-1,33,b12
405,8240DB001627,"Santry Retail Park, stop 1627",53.40824795,-6.237887465,1134.1.60-33-b12-1.183.O,15:15:52,15:15:52,24, Balbriggan,7271.14,60-33-b12-1,33,b12
406,8240DB001628,"Collinstown Park, stop 1628",53.41371224,-6.239075661,1134.1.60-33-b12-1.183.O,15:16:35,15:16:35,25, Balbriggan,7887.1,60-33-b12-1,33,b12
407,8240DB001629,"Dardistown Cemetery, stop 1629",53.41694663,-6.238987144,1134.1.60-33-b12-1.183.O,15:17:37,15:17:37,26, Balbriggan,8250.58,60-33-b12-1,33,b12
408,8240DB001630,"ALSAA Sports Club, stop 1630",53.4218661,-6.231892444,1134.1.60-33-b12-1.183.O,15:19:17,15:19:17,27, Balbriggan,8975.52,60-33-b12-1,33,b12
409,8240DB003670,"Airport Parking, stop 3670",53.42457725,-6.229853828,1134.1.60-33-b12-1.183.O,15:20:04,15:20:04,28, Balbriggan,9313.25,60-33-b12-1,33,b12
410,8240DB003671,"Airport Roundabout, stop 3671",53.42939946,-6.230165108,1134.1.60-33-b12-1.183.O,15:21:20,15:21:20,29, Balbriggan,9862.26,60-33-b12-1,33,b12
411,8240DB003672,"Stockhole Lane, stop 3672",53.4321755,-6.230079851,1134.1.60-33-b12-1.183.O,15:21:49,15:21:49,30, Balbriggan,10170.29,60-33-b12-1,33,b12
412,8240DB003674,"Equestrian Centre, stop 3674",53.44105016,-6.227889477,1134.1.60-33-b12-1.183.O,15:23:44,15:23:44,31, Balbriggan,11194.77,60-33-b12-1,33,b12
413,8240DB003675,"N1 Business Park, stop 3675",53.44333974,-6.228336126,1134.1.60-33-b12-1.183.O,15:24:13,15:24:13,32, Balbriggan,11454.34,60-33-b12-1,33,b12
414,8240DB003676,"Airside, stop 3676",53.44678249,-6.228358451,1134.1.60-33-b12-1.183.O,15:25:58,15:25:58,33, Balbriggan,11834.27,60-33-b12-1,33,b12
415,8240DB003677,"Colaiste Choilm, stop 3677",53.45234894,-6.224919496,1134.1.60-33-b12-1.183.O,15:28:18,15:28:18,34, Balbriggan,12514.51,60-33-b12-1,33,b12
416,8240DB003678,"Swords Main Street, stop 3678",53.45532292,-6.222431253,1134.1.60-33-b12-1.183.O,15:31:31,15:31:31,35, Balbriggan,12882.14,60-33-b12-1,33,b12
417,8240DB003679,"Fingal Co Co, stop 3679",53.45908168,-6.220135723,1134.1.60-33-b12-1.183.O,15:35:22,15:35:22,36, Balbriggan,13329.11,60-33-b12-1,33,b12
418,8240DB003711,"Swords Castle, stop 3711",53.46119032,-6.218692053,1134.1.60-33-b12-1.183.O,15:36:07,15:36:07,37, Balbriggan,13597.02,60-33-b12-1,33,b12
419,8240DB003712,"North Street, stop 3712",53.46364903,-6.217218506,1134.1.60-33-b12-1.183.O,15:36:59,15:36:59,38, Balbriggan,13896.4,60-33-b12-1,33,b12
420,8240DB003713,"Balheary Park, stop 3713",53.46868897,-6.213452328,1134.1.60-33-b12-1.183.O,15:38:55,15:38:55,39, Balbriggan,14566.1,60-33-b12-1,33,b12
421,8240DB003714,"Broad Meadow Bridge, stop 3714",53.47221937,-6.210923824,1134.1.60-33-b12-1.183.O,15:39:38,15:39:38,40, Balbriggan,14992.33,60-33-b12-1,33,b12
422,8240DB003715,"Lissenhall Green, stop 3715",53.48000284,-6.203725613,1134.1.60-33-b12-1.183.O,15:42:18,15:42:18,41, Balbriggan,15991.33,60-33-b12-1,33,b12
423,8240DB005175,"Batter Lane, stop 5175",53.48971929,-6.196593405,1134.1.60-33-b12-1.183.O,15:44:17,15:44:17,42, Balbriggan,17172.2,60-33-b12-1,33,b12
424,8240DB003755,"Turvey Avenue, stop 3755",53.49428296,-6.195254224,1134.1.60-33-b12-1.183.O,15:45:11,15:45:11,43, Balbriggan,17706.1,60-33-b12-1,33,b12
425,8240DB003756,"Blake's Cross, stop 3756",53.5024831,-6.191890798,1134.1.60-33-b12-1.183.O,15:46:47,15:46:47,44, Balbriggan,18695.92,60-33-b12-1,33,b12
