Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
1548,8220DB000292,"Abbey St Lower, stop 292",53.34919969,-6.255254959,1166.1.60-33-b12-1.179.O,17:48:00,17:48:00,1, Skerries,0.0,60-33-b12-1,33,b12
1549,8220DB001171,"Gardiner Street Lwr, stop 1171",53.35031769,-6.254262949,1166.1.60-33-b12-1.179.O,17:49:04,17:49:04,2, Skerries,200.18,60-33-b12-1,33,b12
1550,8220DB001172,Railway Street,53.35174335,-6.255256217,1166.1.60-33-b12-1.179.O,17:49:59,17:49:59,3, Skerries,371.96,60-33-b12-1,33,b12
1551,8220DB001173,"Gardiner Street Lwr, stop 1173",53.35370557,-6.256678323,1166.1.60-33-b12-1.179.O,17:51:18,17:51:18,4, Skerries,611.51,60-33-b12-1,33,b12
1552,8220DB001174,"Mountjoy Sq West, stop 1174",53.35618658,-6.258545125,1166.1.60-33-b12-1.179.O,17:52:54,17:52:54,5, Skerries,913.41,60-33-b12-1,33,b12
1553,8220DB001175,"Gardiner Street Upr, stop 1175",53.35841319,-6.260843182,1166.1.60-33-b12-1.179.O,17:54:36,17:54:36,6, Skerries,1205.12,60-33-b12-1,33,b12
1554,8220DB000015,"Innisfallen Parade, stop 15",53.36026671,-6.260978043,1166.1.60-33-b12-1.179.O,17:56:07,17:56:07,7, Skerries,1468.14,60-33-b12-1,33,b12
1555,8220DB000017,"Drumcondra Rail Stn, stop 17",53.36307832,-6.258399288,1166.1.60-33-b12-1.179.O,17:57:43,17:57:43,8, Skerries,1823.73,60-33-b12-1,33,b12
1556,8220DB000018,"Dargle Road, stop 18",53.36585593,-6.255956821,1166.1.60-33-b12-1.179.O,17:58:53,17:58:53,9, Skerries,2174.78,60-33-b12-1,33,b12
1557,8220DB000019,"Botanic Avenue, stop 19",53.36723488,-6.255599941,1166.1.60-33-b12-1.179.O,17:59:25,17:59:25,10, Skerries,2332.18,60-33-b12-1,33,b12
1558,8220DB000021,"DCU St Patrick's, stop 21",53.3701012,-6.254310599,1166.1.60-33-b12-1.179.O,18:00:31,18:00:31,11, Skerries,2659.48,60-33-b12-1,33,b12
1559,8220DB007602,"DCU St Patrick’s, stop 7602",53.37155351,-6.253439645,1166.1.60-33-b12-1.179.O,18:01:28,18:01:28,12, Skerries,2834.16,60-33-b12-1,33,b12
1560,8220DB000085,"Wellpark Avenue, stop 85",53.37395795,-6.25191343,1166.1.60-33-b12-1.179.O,18:03:01,18:03:01,13, Skerries,3118.99,60-33-b12-1,33,b12
1561,8220DB000203,"Whitehall College, stop 203",53.37639279,-6.250010028,1166.1.60-33-b12-1.179.O,18:04:45,18:04:45,14, Skerries,3414.52,60-33-b12-1,33,b12
1562,8220DB000204,"Highfield Hospital, stop 204",53.37958836,-6.246662193,1166.1.60-33-b12-1.179.O,18:05:57,18:05:57,15, Skerries,3837.15,60-33-b12-1,33,b12
1563,8220DB000205,"Iveragh Road, stop 205",53.38137533,-6.245326047,1166.1.60-33-b12-1.179.O,18:06:35,18:06:35,16, Skerries,4054.85,60-33-b12-1,33,b12
1564,8220DB001620,"Whitehall Church, stop 1620",53.38326286,-6.244105913,1166.1.60-33-b12-1.179.O,18:07:18,18:07:18,17, Skerries,4280.07,60-33-b12-1,33,b12
1565,8220DB000220,"Swords Road, stop 220",53.38794054,-6.244980841,1166.1.60-33-b12-1.179.O,18:09:11,18:09:11,18, Skerries,4860.26,60-33-b12-1,33,b12
1566,8240DB001622,"Shanowen Road, stop 1622",53.39003784,-6.246413128,1166.1.60-33-b12-1.179.O,18:10:26,18:10:26,19, Skerries,5115.93,60-33-b12-1,33,b12
1567,8240DB001623,"Omni Park SC, stop 1623",53.39193207,-6.24626007,1166.1.60-33-b12-1.179.O,18:11:28,18:11:28,20, Skerries,5326.18,60-33-b12-1,33,b12
1568,8240DB001624,"Schoolhouse Lane, stop 1624",53.39608198,-6.24547288,1166.1.60-33-b12-1.179.O,18:13:00,18:13:00,21, Skerries,5791.06,60-33-b12-1,33,b12
1569,8240DB001625,"Morton Stadium, stop 1625",53.40109228,-6.243296569,1166.1.60-33-b12-1.179.O,18:14:51,18:14:51,22, Skerries,6374.05,60-33-b12-1,33,b12
1570,8240DB001626,"Santry Close, stop 1626",53.40416762,-6.240342257,1166.1.60-33-b12-1.179.O,18:16:08,18:16:08,23, Skerries,6773.63,60-33-b12-1,33,b12
1571,8240DB001627,"Santry Retail Park, stop 1627",53.40824795,-6.237887465,1166.1.60-33-b12-1.179.O,18:17:43,18:17:43,24, Skerries,7271.14,60-33-b12-1,33,b12
1572,8240DB001628,"Collinstown Park, stop 1628",53.41371224,-6.239075661,1166.1.60-33-b12-1.179.O,18:18:30,18:18:30,25, Skerries,7887.1,60-33-b12-1,33,b12
1573,8240DB001629,"Dardistown Cemetery, stop 1629",53.41694663,-6.238987144,1166.1.60-33-b12-1.179.O,18:19:07,18:19:07,26, Skerries,8250.58,60-33-b12-1,33,b12
1574,8240DB001630,"ALSAA Sports Club, stop 1630",53.4218661,-6.231892444,1166.1.60-33-b12-1.179.O,18:20:38,18:20:38,27, Skerries,8975.52,60-33-b12-1,33,b12
1575,8240DB003670,"Airport Parking, stop 3670",53.42457725,-6.229853828,1166.1.60-33-b12-1.179.O,18:21:20,18:21:20,28, Skerries,9313.25,60-33-b12-1,33,b12
1576,8240DB003671,"Airport Roundabout, stop 3671",53.42939946,-6.230165108,1166.1.60-33-b12-1.179.O,18:22:29,18:22:29,29, Skerries,9862.26,60-33-b12-1,33,b12
1577,8240DB003672,"Stockhole Lane, stop 3672",53.4321755,-6.230079851,1166.1.60-33-b12-1.179.O,18:22:50,18:22:50,30, Skerries,10170.29,60-33-b12-1,33,b12
1578,8240DB003674,"Equestrian Centre, stop 3674",53.44105016,-6.227889477,1166.1.60-33-b12-1.179.O,18:24:28,18:24:28,31, Skerries,11194.77,60-33-b12-1,33,b12
1579,8240DB003675,"N1 Business Park, stop 3675",53.44333974,-6.228336126,1166.1.60-33-b12-1.179.O,18:25:05,18:25:05,32, Skerries,11454.34,60-33-b12-1,33,b12
1580,8240DB003676,"Airside, stop 3676",53.44678249,-6.228358451,1166.1.60-33-b12-1.179.O,18:26:16,18:26:16,33, Skerries,11834.27,60-33-b12-1,33,b12
1581,8240DB003677,"Colaiste Choilm, stop 3677",53.45234894,-6.224919496,1166.1.60-33-b12-1.179.O,18:27:55,18:27:55,34, Skerries,12514.51,60-33-b12-1,33,b12
1582,8240DB003678,"Swords Main Street, stop 3678",53.45532292,-6.222431253,1166.1.60-33-b12-1.179.O,18:30:23,18:30:23,35, Skerries,12882.14,60-33-b12-1,33,b12
1583,8240DB003679,"Fingal Co Co, stop 3679",53.45908168,-6.220135723,1166.1.60-33-b12-1.179.O,18:33:21,18:33:21,36, Skerries,13329.11,60-33-b12-1,33,b12
1584,8240DB003711,"Swords Castle, stop 3711",53.46119032,-6.218692053,1166.1.60-33-b12-1.179.O,18:34:07,18:34:07,37, Skerries,13597.02,60-33-b12-1,33,b12
1585,8240DB003712,"North Street, stop 3712",53.46364903,-6.217218506,1166.1.60-33-b12-1.179.O,18:34:50,18:34:50,38, Skerries,13896.4,60-33-b12-1,33,b12
1586,8240DB003713,"Balheary Park, stop 3713",53.46868897,-6.213452328,1166.1.60-33-b12-1.179.O,18:36:26,18:36:26,39, Skerries,14566.1,60-33-b12-1,33,b12
1587,8240DB003714,"Broad Meadow Bridge, stop 3714",53.47221937,-6.210923824,1166.1.60-33-b12-1.179.O,18:37:06,18:37:06,40, Skerries,14992.33,60-33-b12-1,33,b12
1588,8240DB003715,"Lissenhall Green, stop 3715",53.48000284,-6.203725613,1166.1.60-33-b12-1.179.O,18:38:56,18:38:56,41, Skerries,15991.33,60-33-b12-1,33,b12
1589,8240DB005175,"Batter Lane, stop 5175",53.48971929,-6.196593405,1166.1.60-33-b12-1.179.O,18:40:29,18:40:29,42, Skerries,17172.2,60-33-b12-1,33,b12
1590,8240DB003755,"Turvey Avenue, stop 3755",53.49428296,-6.195254224,1166.1.60-33-b12-1.179.O,18:41:11,18:41:11,43, Skerries,17706.1,60-33-b12-1,33,b12
1591,8240DB003756,"Blake's Cross, stop 3756",53.5024831,-6.191890798,1166.1.60-33-b12-1.179.O,18:42:31,18:42:31,44, Skerries,18695.92,60-33-b12-1,33,b12
1592,8240DB003757,"Newhaggard, stop 3757",53.50441454,-6.188265721,1166.1.60-33-b12-1.179.O,18:42:55,18:42:55,45, Skerries,19022.61,60-33-b12-1,33,b12
1593,8240DB003758,"Hannas Avenue, stop 3758",53.50727974,-6.185173327,1166.1.60-33-b12-1.179.O,18:43:25,18:43:25,46, Skerries,19411.07,60-33-b12-1,33,b12
1594,8240DB003759,"Balleally West, stop 3759",53.50990798,-6.18010036,1166.1.60-33-b12-1.179.O,18:44:01,18:44:01,47, Skerries,19864.66,60-33-b12-1,33,b12
1595,8240DB003760,"Bridetree, stop 3760",53.51115199,-6.177981303,1166.1.60-33-b12-1.179.O,18:44:17,18:44:17,48, Skerries,20073.53,60-33-b12-1,33,b12
1596,8240DB003761,"Lusk Road, stop 3761",53.51530711,-6.172856792,1166.1.60-33-b12-1.179.O,18:45:02,18:45:02,49, Skerries,20649.74,60-33-b12-1,33,b12
1597,8240DB003762,"Racecourse Commons, stop 3762",53.51870414,-6.169890423,1166.1.60-33-b12-1.179.O,18:45:35,18:45:35,50, Skerries,21079.2,60-33-b12-1,33,b12
1598,8240DB003763,"Barrack Lane, stop 3763",53.52366745,-6.167670407,1166.1.60-33-b12-1.179.O,18:47:22,18:47:22,51, Skerries,21666.48,60-33-b12-1,33,b12
1599,8240DB003764,"Station Road, stop 3764",53.52532525,-6.164416222,1166.1.60-33-b12-1.179.O,18:48:25,18:48:25,52, Skerries,22011.99,60-33-b12-1,33,b12
1600,8240DB003765,"Orlynn Park, stop 3765",53.52413598,-6.160138808,1166.1.60-33-b12-1.179.O,18:49:23,18:49:23,53, Skerries,22325.11,60-33-b12-1,33,b12
1601,8240DB003766,"Lusk House, stop 3766",53.52236506,-6.153126807,1166.1.60-33-b12-1.179.O,18:50:22,18:50:22,54, Skerries,22860.43,60-33-b12-1,33,b12
