Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000407,"Custom House, stop 407",53.34833489,-6.253893353,5243.1.60-33D-b12-1.185.O,17:45:00,17:45:00,1, Portrane,0.0,60-33D-b12-1,33D,b12
1,8220DB002498,"IFSC, stop 2498",53.34824354,-6.250111878,5243.1.60-33D-b12-1.185.O,17:46:22,17:46:22,2, Portrane,251.47,60-33D-b12-1,33D,b12
2,8220DB002499,"CHQ, stop 2499",53.34812783,-6.24712751,5243.1.60-33D-b12-1.185.O,17:47:27,17:47:27,3, Portrane,450.45,60-33D-b12-1,33D,b12
3,8220DB002500,"Beckett Bridge, stop 2500",53.34778834,-6.242379931,5243.1.60-33D-b12-1.185.O,17:49:52,17:49:52,4, Portrane,767.41,60-33D-b12-1,33D,b12
4,8220DB002501,"Spencer Place, stop 2501",53.34737591,-6.236358699,5243.1.60-33D-b12-1.185.O,17:51:22,17:51:22,5, Portrane,1170.41,60-33D-b12-1,33D,b12
5,8220DB007623,"Br an Phoirt Thoir, stop 7623",53.34691411,-6.229453427,5243.1.60-33D-b12-1.185.O,17:53:04,17:53:04,6, Portrane,1630.93,60-33D-b12-1,33D,b12
6,8240DB007041,"Lanestown, stop 7041",53.48107736,-6.190947996,5243.1.60-33D-b12-1.185.O,18:13:53,18:13:53,9, Portrane,18767.68,60-33D-b12-1,33D,b12
7,8240DB003719,"Newbridge House, stop 3719",53.48191195,-6.177260838,5243.1.60-33D-b12-1.185.O,18:14:57,18:14:57,10, Portrane,19741.69,60-33D-b12-1,33D,b12
8,8240DB003718,"Newbridge Demesne, stop 3718",53.48045716,-6.16208991,5243.1.60-33D-b12-1.185.O,18:16:31,18:16:31,11, Portrane,20789.14,60-33D-b12-1,33D,b12
9,8240DB007724,"Semple Woods, Stop 7724",53.48288707,-6.155294464,5243.1.60-33D-b12-1.185.O,18:17:40,18:17:40,12, Portrane,21315.89,60-33D-b12-1,33D,b12
10,8240DB003720,"Donabate Station, stop 3720",53.48537629,-6.151193061,5243.1.60-33D-b12-1.185.O,18:18:36,18:18:36,13, Portrane,21746.46,60-33D-b12-1,33D,b12
11,8240DB007691,"Main Street, stop 7691",53.48571518,-6.149279567,5243.1.60-33D-b12-1.185.O,18:19:05,18:19:05,14, Portrane,21896.14,60-33D-b12-1,33D,b12
12,8240DB003721,"Donabate, stop 3721",53.48716782,-6.148477886,5243.1.60-33D-b12-1.185.O,18:19:39,18:19:39,15, Portrane,22070.6,60-33D-b12-1,33D,b12
13,8240DB003722,"Leisure Centre, stop 3722",53.48979305,-6.142154292,5243.1.60-33D-b12-1.185.O,18:21:28,18:21:28,16, Portrane,22624.49,60-33D-b12-1,33D,b12
14,8240DB005069,"Somerton, stop 5069",53.49150071,-6.139261258,5243.1.60-33D-b12-1.185.O,18:22:21,18:22:21,17, Portrane,22896.11,60-33D-b12-1,33D,b12
15,8240DB003723,"Donabate NS, stop 3723",53.49256429,-6.13541656,5243.1.60-33D-b12-1.185.O,18:23:20,18:23:20,18, Portrane,23189.29,60-33D-b12-1,33D,b12
16,8240DB003724,"Rahillion, stop 3724",53.49299324,-6.128359068,5243.1.60-33D-b12-1.185.O,18:24:13,18:24:13,19, Portrane,23665.32,60-33D-b12-1,33D,b12
17,8240DB003725,"Middlefield Lane, stop 3725",53.49349413,-6.123046631,5243.1.60-33D-b12-1.185.O,18:24:54,18:24:54,20, Portrane,24021.39,60-33D-b12-1,33D,b12
18,8240DB003726,"Portrane Avenue, stop 3726",53.49319825,-6.114528834,5243.1.60-33D-b12-1.185.O,18:26:17,18:26:17,21, Portrane,24598.68,60-33D-b12-1,33D,b12
19,8240DB007039,"Portane, stop 7039",53.4935223,-6.110007827,5243.1.60-33D-b12-1.185.O,18:26:57,18:26:57,22, Portrane,24900.54,60-33D-b12-1,33D,b12
20,8240DB007204,"Seaview, stop 7204",53.49286687,-6.106645753,5243.1.60-33D-b12-1.185.O,18:27:44,18:27:44,23, Portrane,25160.81,60-33D-b12-1,33D,b12
21,8240DB003728,"Healy's Lane, stop 3728",53.49602111,-6.113996592,5243.1.60-33D-b12-1.185.O,18:29:19,18:29:19,24, Portrane,25844.02,60-33D-b12-1,33D,b12
22,8240DB003729,"Burrow Road, stop 3729",53.49743677,-6.114853247,5243.1.60-33D-b12-1.185.O,18:29:43,18:29:43,25, Portrane,26013.44,60-33D-b12-1,33D,b12
23,8240DB003730,"Beach Lane, stop 3730",53.49929591,-6.116474156,5243.1.60-33D-b12-1.185.O,18:30:18,18:30:18,26, Portrane,26261.78,60-33D-b12-1,33D,b12
24,8240DB003732,"Marsh Lane, stop 3732",53.50010038,-6.118473567,5243.1.60-33D-b12-1.185.O,18:30:41,18:30:41,27, Portrane,26425.44,60-33D-b12-1,33D,b12
