Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
50,8240DB003732,"Marsh Lane, stop 3732",53.50010038,-6.118473567,5246.1.60-33D-b12-1.186.I,07:20:00,07:20:00,1, St Stephen's Green,0.0,60-33D-b12-1,33D,b12
51,8240DB003733,"Beach Lane, stop 3733",53.49948785,-6.116676688,5246.1.60-33D-b12-1.186.I,07:20:20,07:20:20,2, St Stephen's Green,139.64,60-33D-b12-1,33D,b12
52,8240DB003734,"Burrow Road, stop 3734",53.49717368,-6.11469911,5246.1.60-33D-b12-1.186.I,07:21:02,07:21:02,3, St Stephen's Green,441.04,60-33D-b12-1,33D,b12
53,8240DB003735,"Healy's Lane, stop 3735",53.496001,-6.113861825,5246.1.60-33D-b12-1.186.I,07:21:24,07:21:24,4, St Stephen's Green,587.23,60-33D-b12-1,33D,b12
54,8240DB007039,"Portane, stop 7039",53.4935223,-6.110007827,5246.1.60-33D-b12-1.186.I,07:22:28,07:22:28,5, St Stephen's Green,1038.82,60-33D-b12-1,33D,b12
55,8240DB007204,"Seaview, stop 7204",53.49286687,-6.106645753,5246.1.60-33D-b12-1.186.I,07:23:16,07:23:16,6, St Stephen's Green,1299.09,60-33D-b12-1,33D,b12
56,8240DB003736,"Portrane, stop 3736",53.49336981,-6.111732849,5246.1.60-33D-b12-1.186.I,07:24:08,07:24:08,7, St Stephen's Green,1674.08,60-33D-b12-1,33D,b12
57,8240DB003738,"Portane Avenue, stop 3738",53.49316684,-6.114816599,5246.1.60-33D-b12-1.186.I,07:24:38,07:24:38,8, St Stephen's Green,1880.16,60-33D-b12-1,33D,b12
58,8240DB007170,"Harneys Lane, stop 7170",53.49337761,-6.123639596,5246.1.60-33D-b12-1.186.I,07:26:01,07:26:01,9, St Stephen's Green,2480.79,60-33D-b12-1,33D,b12
59,8240DB003740,"Rahillion, stop 3740",53.49284171,-6.129013841,5246.1.60-33D-b12-1.186.I,07:27:06,07:27:06,10, St Stephen's Green,2841.51,60-33D-b12-1,33D,b12
60,8240DB003741,"Donabate NS, stop 3741",53.49248786,-6.136279012,5246.1.60-33D-b12-1.186.I,07:28:31,07:28:31,11, St Stephen's Green,3326.51,60-33D-b12-1,33D,b12
61,8240DB005165,"Willowbrook, stop 5165",53.49137684,-6.139387254,5246.1.60-33D-b12-1.186.I,07:29:23,07:29:23,12, St Stephen's Green,3580.18,60-33D-b12-1,33D,b12
62,8240DB003743,"Donabate, stop 3743",53.48675464,-6.148495884,5246.1.60-33D-b12-1.186.I,07:32:20,07:32:20,13, St Stephen's Green,4435.81,60-33D-b12-1,33D,b12
63,8240DB003780,"Chapel View, stop 3780",53.48558873,-6.149239865,5246.1.60-33D-b12-1.186.I,07:32:51,07:32:51,14, St Stephen's Green,4571.63,60-33D-b12-1,33D,b12
64,8240DB003744,"Donabate Station, stop 3744",53.48526851,-6.151197749,5246.1.60-33D-b12-1.186.I,07:33:17,07:33:17,15, St Stephen's Green,4711.5,60-33D-b12-1,33D,b12
65,8240DB007723,"Semple Woods, Stop 7723",53.48284053,-6.155191005,5246.1.60-33D-b12-1.186.I,07:34:09,07:34:09,16, St Stephen's Green,5142.62,60-33D-b12-1,33D,b12
66,8240DB003745,"Newbridge Demesne, stop 3745",53.48021775,-6.163471402,5246.1.60-33D-b12-1.186.I,07:35:24,07:35:24,17, St Stephen's Green,5767.12,60-33D-b12-1,33D,b12
67,8240DB003746,"Newbridge House, stop 3746",53.48202384,-6.178114922,5246.1.60-33D-b12-1.186.I,07:37:15,07:37:15,18, St Stephen's Green,6775.42,60-33D-b12-1,33D,b12
68,8240DB007040,"Lanestown, stop 7040",53.48055051,-6.191768995,5246.1.60-33D-b12-1.186.I,07:38:35,07:38:35,19, St Stephen's Green,7771.57,60-33D-b12-1,33D,b12
69,8220DB006252,"CHQ, stop 6252",53.34796481,-6.247044075,5246.1.60-33D-b12-1.186.I,08:04:18,08:04:18,22, St Stephen's Green,25789.49,60-33D-b12-1,33D,b12
70,8220DB000302,"Eden Quay, stop 302",53.3480381,-6.25633882,5246.1.60-33D-b12-1.186.I,08:05:11,08:05:11,23, St Stephen's Green,26426.41,60-33D-b12-1,33D,b12
71,8220DB000333,"D'Olier Street, stop 333",53.34669224,-6.258346364,5246.1.60-33D-b12-1.186.I,08:07:42,08:07:42,24, St Stephen's Green,26706.81,60-33D-b12-1,33D,b12
72,8220DB000747,"Kildare Street, stop 747",53.3399308,-6.255723519,5246.1.60-33D-b12-1.186.I,08:12:39,08:12:39,25, St Stephen's Green,27773.03,60-33D-b12-1,33D,b12
73,8220DB000748,"Huguenot Cemetery, stop 748",53.33850953,-6.255030666,5246.1.60-33D-b12-1.186.I,08:13:47,08:13:47,26, St Stephen's Green,28016.86,60-33D-b12-1,33D,b12
