Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000292,"Abbey St Lower, stop 292",53.34919969,-6.255254959,1131.1.60-33E-b12-1.187.O,07:00:00,07:00:00,1, Skerries,0.0,60-33E-b12-1,33E,b12
1,8220DB001171,"Gardiner Street Lwr, stop 1171",53.35031769,-6.254262949,1131.1.60-33E-b12-1.187.O,07:00:41,07:00:41,2, Skerries,200.18,60-33E-b12-1,33E,b12
2,8220DB001172,Railway Street,53.35174335,-6.255256217,1131.1.60-33E-b12-1.187.O,07:01:16,07:01:16,3, Skerries,371.96,60-33E-b12-1,33E,b12
3,8220DB001173,"Gardiner Street Lwr, stop 1173",53.35370557,-6.256678323,1131.1.60-33E-b12-1.187.O,07:02:07,07:02:07,4, Skerries,611.51,60-33E-b12-1,33E,b12
4,8220DB001174,"Mountjoy Sq West, stop 1174",53.35618658,-6.258545125,1131.1.60-33E-b12-1.187.O,07:03:08,07:03:08,5, Skerries,913.41,60-33E-b12-1,33E,b12
5,8220DB001175,"Gardiner Street Upr, stop 1175",53.35841319,-6.260843182,1131.1.60-33E-b12-1.187.O,07:04:34,07:04:34,6, Skerries,1205.12,60-33E-b12-1,33E,b12
6,8220DB000015,"Innisfallen Parade, stop 15",53.36026671,-6.260978043,1131.1.60-33E-b12-1.187.O,07:05:51,07:05:51,7, Skerries,1468.14,60-33E-b12-1,33E,b12
7,8220DB000017,"Drumcondra Rail Stn, stop 17",53.36307832,-6.258399288,1131.1.60-33E-b12-1.187.O,07:07:42,07:07:42,8, Skerries,1823.73,60-33E-b12-1,33E,b12
8,8220DB000018,"Dargle Road, stop 18",53.36585593,-6.255956821,1131.1.60-33E-b12-1.187.O,07:08:41,07:08:41,9, Skerries,2174.78,60-33E-b12-1,33E,b12
9,8220DB000019,"Botanic Avenue, stop 19",53.36723488,-6.255599941,1131.1.60-33E-b12-1.187.O,07:09:07,07:09:07,10, Skerries,2332.18,60-33E-b12-1,33E,b12
10,8220DB000021,"DCU St Patrick's, stop 21",53.3701012,-6.254310599,1131.1.60-33E-b12-1.187.O,07:10:03,07:10:03,11, Skerries,2659.48,60-33E-b12-1,33E,b12
11,8220DB007602,"DCU St Patrick’s, stop 7602",53.37155351,-6.253439645,1131.1.60-33E-b12-1.187.O,07:10:34,07:10:34,12, Skerries,2834.16,60-33E-b12-1,33E,b12
12,8220DB000085,"Wellpark Avenue, stop 85",53.37395795,-6.25191343,1131.1.60-33E-b12-1.187.O,07:11:24,07:11:24,13, Skerries,3118.99,60-33E-b12-1,33E,b12
13,8220DB000203,"Whitehall College, stop 203",53.37639279,-6.250010028,1131.1.60-33E-b12-1.187.O,07:12:18,07:12:18,14, Skerries,3414.52,60-33E-b12-1,33E,b12
14,8220DB000204,"Highfield Hospital, stop 204",53.37958836,-6.246662193,1131.1.60-33E-b12-1.187.O,07:13:25,07:13:25,15, Skerries,3837.15,60-33E-b12-1,33E,b12
15,8220DB000205,"Iveragh Road, stop 205",53.38137533,-6.245326047,1131.1.60-33E-b12-1.187.O,07:14:01,07:14:01,16, Skerries,4054.85,60-33E-b12-1,33E,b12
16,8220DB001620,"Whitehall Church, stop 1620",53.38326286,-6.244105913,1131.1.60-33E-b12-1.187.O,07:14:43,07:14:43,17, Skerries,4280.07,60-33E-b12-1,33E,b12
17,8220DB000220,"Swords Road, stop 220",53.38794054,-6.244980841,1131.1.60-33E-b12-1.187.O,07:16:34,07:16:34,18, Skerries,4860.26,60-33E-b12-1,33E,b12
18,8240DB001622,"Shanowen Road, stop 1622",53.39003784,-6.246413128,1131.1.60-33E-b12-1.187.O,07:17:14,07:17:14,19, Skerries,5115.93,60-33E-b12-1,33E,b12
19,8240DB001623,"Omni Park SC, stop 1623",53.39193207,-6.24626007,1131.1.60-33E-b12-1.187.O,07:17:47,07:17:47,20, Skerries,5326.18,60-33E-b12-1,33E,b12
20,8240DB001624,"Schoolhouse Lane, stop 1624",53.39608198,-6.24547288,1131.1.60-33E-b12-1.187.O,07:18:42,07:18:42,21, Skerries,5791.06,60-33E-b12-1,33E,b12
21,8240DB001625,"Morton Stadium, stop 1625",53.40109228,-6.243296569,1131.1.60-33E-b12-1.187.O,07:20:12,07:20:12,22, Skerries,6374.05,60-33E-b12-1,33E,b12
22,8240DB001626,"Santry Close, stop 1626",53.40416762,-6.240342257,1131.1.60-33E-b12-1.187.O,07:21:14,07:21:14,23, Skerries,6773.63,60-33E-b12-1,33E,b12
23,8240DB001627,"Santry Retail Park, stop 1627",53.40824795,-6.237887465,1131.1.60-33E-b12-1.187.O,07:22:31,07:22:31,24, Skerries,7271.14,60-33E-b12-1,33E,b12
24,8240DB001628,"Collinstown Park, stop 1628",53.41371224,-6.239075661,1131.1.60-33E-b12-1.187.O,07:23:30,07:23:30,25, Skerries,7887.1,60-33E-b12-1,33E,b12
25,8240DB001629,"Dardistown Cemetery, stop 1629",53.41694663,-6.238987144,1131.1.60-33E-b12-1.187.O,07:24:04,07:24:04,26, Skerries,8250.58,60-33E-b12-1,33E,b12
26,8240DB001630,"ALSAA Sports Club, stop 1630",53.4218661,-6.231892444,1131.1.60-33E-b12-1.187.O,07:25:33,07:25:33,27, Skerries,8975.52,60-33E-b12-1,33E,b12
27,8240DB003670,"Airport Parking, stop 3670",53.42457725,-6.229853828,1131.1.60-33E-b12-1.187.O,07:26:14,07:26:14,28, Skerries,9313.25,60-33E-b12-1,33E,b12
28,8240DB003671,"Airport Roundabout, stop 3671",53.42939946,-6.230165108,1131.1.60-33E-b12-1.187.O,07:27:22,07:27:22,29, Skerries,9862.26,60-33E-b12-1,33E,b12
29,8240DB003672,"Stockhole Lane, stop 3672",53.4321755,-6.230079851,1131.1.60-33E-b12-1.187.O,07:27:58,07:27:58,30, Skerries,10170.29,60-33E-b12-1,33E,b12
30,8240DB003674,"Equestrian Centre, stop 3674",53.44105016,-6.227889477,1131.1.60-33E-b12-1.187.O,07:29:44,07:29:44,31, Skerries,11194.77,60-33E-b12-1,33E,b12
31,8240DB003675,"N1 Business Park, stop 3675",53.44333974,-6.228336126,1131.1.60-33E-b12-1.187.O,07:30:21,07:30:21,32, Skerries,11454.34,60-33E-b12-1,33E,b12
