Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
110,8220DB000407,"Custom House, stop 407",53.34833489,-6.253893353,4922.1.60-33X-b12-1.188.O,16:30:00,16:30:00,1, Balbriggan,0.0,60-33X-b12-1,33X,b12
111,8220DB002498,"IFSC, stop 2498",53.34824354,-6.250111878,4922.1.60-33X-b12-1.188.O,16:31:02,16:31:02,2, Balbriggan,251.47,60-33X-b12-1,33X,b12
112,8220DB002499,"CHQ, stop 2499",53.34812783,-6.24712751,4922.1.60-33X-b12-1.188.O,16:31:51,16:31:51,3, Balbriggan,450.45,60-33X-b12-1,33X,b12
113,8220DB002500,"Beckett Bridge, stop 2500",53.34778834,-6.242379931,4922.1.60-33X-b12-1.188.O,16:33:11,16:33:11,4, Balbriggan,767.41,60-33X-b12-1,33X,b12
114,8220DB002501,"Spencer Place, stop 2501",53.34737591,-6.236358699,4922.1.60-33X-b12-1.188.O,16:34:52,16:34:52,5, Balbriggan,1170.41,60-33X-b12-1,33X,b12
115,8220DB007623,"Br an Phoirt Thoir, stop 7623",53.34691411,-6.229453427,4922.1.60-33X-b12-1.188.O,16:36:49,16:36:49,6, Balbriggan,1630.93,60-33X-b12-1,33X,b12
116,8240DB003715,"Lissenhall Green, stop 3715",53.48000284,-6.203725613,4922.1.60-33X-b12-1.188.O,16:57:36,16:57:36,7, Balbriggan,17831.04,60-33X-b12-1,33X,b12
117,8240DB005175,"Batter Lane, stop 5175",53.48971929,-6.196593405,4922.1.60-33X-b12-1.188.O,16:59:08,16:59:08,8, Balbriggan,19011.91,60-33X-b12-1,33X,b12
118,8240DB003755,"Turvey Avenue, stop 3755",53.49428296,-6.195254224,4922.1.60-33X-b12-1.188.O,16:59:49,16:59:49,9, Balbriggan,19545.81,60-33X-b12-1,33X,b12
119,8240DB003756,"Blake's Cross, stop 3756",53.5024831,-6.191890798,4922.1.60-33X-b12-1.188.O,17:01:05,17:01:05,10, Balbriggan,20535.63,60-33X-b12-1,33X,b12
120,8240DB003757,"Newhaggard, stop 3757",53.50441454,-6.188265721,4922.1.60-33X-b12-1.188.O,17:01:42,17:01:42,11, Balbriggan,20862.32,60-33X-b12-1,33X,b12
121,8240DB003758,"Hannas Avenue, stop 3758",53.50727974,-6.185173327,4922.1.60-33X-b12-1.188.O,17:02:25,17:02:25,12, Balbriggan,21250.77,60-33X-b12-1,33X,b12
122,8240DB003759,"Balleally West, stop 3759",53.50990798,-6.18010036,4922.1.60-33X-b12-1.188.O,17:03:16,17:03:16,13, Balbriggan,21704.37,60-33X-b12-1,33X,b12
123,8240DB003760,"Bridetree, stop 3760",53.51115199,-6.177981303,4922.1.60-33X-b12-1.188.O,17:03:39,17:03:39,14, Balbriggan,21913.23,60-33X-b12-1,33X,b12
124,8240DB003761,"Lusk Road, stop 3761",53.51530711,-6.172856792,4922.1.60-33X-b12-1.188.O,17:04:44,17:04:44,15, Balbriggan,22489.44,60-33X-b12-1,33X,b12
125,8240DB003762,"Racecourse Commons, stop 3762",53.51870414,-6.169890423,4922.1.60-33X-b12-1.188.O,17:05:32,17:05:32,16, Balbriggan,22918.9,60-33X-b12-1,33X,b12
126,8240DB003763,"Barrack Lane, stop 3763",53.52366745,-6.167670407,4922.1.60-33X-b12-1.188.O,17:06:38,17:06:38,17, Balbriggan,23506.18,60-33X-b12-1,33X,b12
127,8240DB003764,"Station Road, stop 3764",53.52532525,-6.164416222,4922.1.60-33X-b12-1.188.O,17:07:17,17:07:17,18, Balbriggan,23851.7,60-33X-b12-1,33X,b12
128,8240DB003765,"Orlynn Park, stop 3765",53.52413598,-6.160138808,4922.1.60-33X-b12-1.188.O,17:07:53,17:07:53,19, Balbriggan,24164.82,60-33X-b12-1,33X,b12
129,8240DB003766,"Lusk House, stop 3766",53.52236506,-6.153126807,4922.1.60-33X-b12-1.188.O,17:08:55,17:08:55,20, Balbriggan,24700.13,60-33X-b12-1,33X,b12
130,8240DB003767,"Rosewood, stop 3767",53.52203534,-6.148661691,4922.1.60-33X-b12-1.188.O,17:09:31,17:09:31,21, Balbriggan,25000.65,60-33X-b12-1,33X,b12
131,8240DB003768,"Rogerstown Lane, stop 3768",53.52164917,-6.145782743,4922.1.60-33X-b12-1.188.O,17:09:52,17:09:52,22, Balbriggan,25193.7,60-33X-b12-1,33X,b12
132,8240DB003769,"Beau Hill, stop 3769",53.52050216,-6.138487987,4922.1.60-33X-b12-1.188.O,17:10:50,17:10:50,23, Balbriggan,25694.29,60-33X-b12-1,33X,b12
133,8240DB003771,"Whitestown Road, stop 3771",53.51869264,-6.131388673,4922.1.60-33X-b12-1.188.O,17:11:50,17:11:50,24, Balbriggan,26208.04,60-33X-b12-1,33X,b12
134,8240DB003772,"Spout Road, stop 3772",53.51814701,-6.126390703,4922.1.60-33X-b12-1.188.O,17:12:30,17:12:30,25, Balbriggan,26551.36,60-33X-b12-1,33X,b12
135,8240DB003773,"Carthy's Lane, stop 3773",53.51790686,-6.123686728,4922.1.60-33X-b12-1.188.O,17:12:51,17:12:51,26, Balbriggan,26733.4,60-33X-b12-1,33X,b12
136,8240DB005176,"Whitestown Cemetery, stop 5176",53.51785471,-6.119225071,4922.1.60-33X-b12-1.188.O,17:13:26,17:13:26,27, Balbriggan,27031.25,60-33X-b12-1,33X,b12
137,8240DB003774,"Healy's Lane, stop 3774",53.51890397,-6.116222644,4922.1.60-33X-b12-1.188.O,17:13:53,17:13:53,28, Balbriggan,27271.13,60-33X-b12-1,33X,b12
138,8240DB007172,"Old Road, stop 7172",53.52098606,-6.109192489,4922.1.60-33X-b12-1.188.O,17:14:54,17:14:54,29, Balbriggan,27798.77,60-33X-b12-1,33X,b12
139,8240DB003775,"Millbank Court, stop 3775",53.52151413,-6.106212839,4922.1.60-33X-b12-1.188.O,17:15:18,17:15:18,30, Balbriggan,28004.0,60-33X-b12-1,33X,b12
140,8240DB003777,"St Maur's Church, stop 3777",53.52261829,-6.101593522,4922.1.60-33X-b12-1.188.O,17:15:58,17:15:58,31, Balbriggan,28336.13,60-33X-b12-1,33X,b12
141,8240DB003778,"Rush Main Street, stop 3778",53.52272483,-6.096988521,4922.1.60-33X-b12-1.188.O,17:16:32,17:16:32,32, Balbriggan,28647.81,60-33X-b12-1,33X,b12
142,8240DB007690,"Rush Main Street, stop 7690",53.52203743,-6.092208019,4922.1.60-33X-b12-1.188.O,17:17:07,17:17:07,33, Balbriggan,28972.6,60-33X-b12-1,33X,b12
143,8240DB003781,"Skerries Road, stop 3781",53.52347048,-6.091329125,4922.1.60-33X-b12-1.188.O,17:17:32,17:17:32,34, Balbriggan,29215.29,60-33X-b12-1,33X,b12
144,8240DB003782,"Golden Ridge Cresc, stop 3782",53.52608535,-6.091286951,4922.1.60-33X-b12-1.188.O,17:18:04,17:18:04,35, Balbriggan,29506.13,60-33X-b12-1,33X,b12
145,8240DB003783,"Rush Cricket Club, stop 3783",53.52972942,-6.09153035,4922.1.60-33X-b12-1.188.O,17:18:47,17:18:47,36, Balbriggan,29912.09,60-33X-b12-1,33X,b12
146,8240DB003784,"Clifflands, stop 3784",53.53384045,-6.09062128,4922.1.60-33X-b12-1.188.O,17:19:37,17:19:37,37, Balbriggan,30376.57,60-33X-b12-1,33X,b12
147,8240DB003785,"Rush Athletic FC, stop 3785",53.53910411,-6.092662746,4922.1.60-33X-b12-1.188.O,17:20:43,17:20:43,38, Balbriggan,31010.04,60-33X-b12-1,33X,b12
148,8240DB003786,"Carnhill, stop 3786",53.54224154,-6.096082836,4922.1.60-33X-b12-1.188.O,17:21:27,17:21:27,39, Balbriggan,31425.2,60-33X-b12-1,33X,b12
149,8240DB003787,"Loughshinny Cross, stop 3787",53.54683596,-6.101264182,4922.1.60-33X-b12-1.188.O,17:22:32,17:22:32,40, Balbriggan,32039.42,60-33X-b12-1,33X,b12
150,8240DB003788,"Mine Road, stop 3788",53.55030779,-6.101984094,4922.1.60-33X-b12-1.188.O,17:23:14,17:23:14,41, Balbriggan,32425.66,60-33X-b12-1,33X,b12
151,8240DB003789,"Thomastown Resevoir, stop 3789",53.55413566,-6.101918395,4922.1.60-33X-b12-1.188.O,17:23:58,17:23:58,42, Balbriggan,32852.08,60-33X-b12-1,33X,b12
152,8240DB003790,"Pierstown Lane, stop 3790",53.55863141,-6.102592641,4922.1.60-33X-b12-1.188.O,17:24:52,17:24:52,43, Balbriggan,33362.27,60-33X-b12-1,33X,b12
153,8240DB003791,"Hacketstown Cottages, stop 3791",53.56251028,-6.103475786,4922.1.60-33X-b12-1.188.O,17:25:38,17:25:38,44, Balbriggan,33809.87,60-33X-b12-1,33X,b12
154,8240DB003792,"Hacketstown Park, stop 3792",53.56600895,-6.102488823,4922.1.60-33X-b12-1.188.O,17:26:22,17:26:22,45, Balbriggan,34204.64,60-33X-b12-1,33X,b12
155,8240DB003793,"Shenick Road, stop 3793",53.56990794,-6.101242162,4922.1.60-33X-b12-1.188.O,17:27:09,17:27:09,46, Balbriggan,34646.87,60-33X-b12-1,33X,b12
156,8240DB003794,"Skerries RFC, stop 3794",53.57301176,-6.101994004,4922.1.60-33X-b12-1.188.O,17:27:48,17:27:48,47, Balbriggan,35027.74,60-33X-b12-1,33X,b12
157,8240DB003795,"Brookville Lane, stop 3795",53.57504566,-6.104424812,4922.1.60-33X-b12-1.188.O,17:28:18,17:28:18,48, Balbriggan,35304.77,60-33X-b12-1,33X,b12
158,8240DB003797,"Strand Street, stop 3797",53.57868976,-6.106376117,4922.1.60-33X-b12-1.188.O,17:29:04,17:29:04,49, Balbriggan,35729.64,60-33X-b12-1,33X,b12
159,8240DB003798,"Skerries, stop 3798",53.58034487,-6.10702708,4922.1.60-33X-b12-1.188.O,17:29:23,17:29:23,50, Balbriggan,35918.69,60-33X-b12-1,33X,b12
160,8240DB003799,"Church Street, stop 3799",53.57905561,-6.110754669,4922.1.60-33X-b12-1.188.O,17:30:02,17:30:02,51, Balbriggan,36283.0,60-33X-b12-1,33X,b12
161,8240DB006076,"Skerries GAA Club, stop 6076",53.57746035,-6.112185013,4922.1.60-33X-b12-1.188.O,17:30:23,17:30:23,52, Balbriggan,36483.54,60-33X-b12-1,33X,b12
162,8240DB006077,"Skerries Station, stop 6077",53.57590241,-6.118838749,4922.1.60-33X-b12-1.188.O,17:31:23,17:31:23,53, Balbriggan,37049.45,60-33X-b12-1,33X,b12
163,8240DB003569,"Selskar Road, stop 3569",53.5765275,-6.121438713,4922.1.60-33X-b12-1.188.O,17:31:43,17:31:43,54, Balbriggan,37233.95,60-33X-b12-1,33X,b12
164,8240DB003571,"Selskar Court, stop 3571",53.57814456,-6.125399346,4922.1.60-33X-b12-1.188.O,17:32:17,17:32:17,55, Balbriggan,37551.57,60-33X-b12-1,33X,b12
165,8240DB003801,"North Cliff Heights, stop 3801",53.58063985,-6.127478892,4922.1.60-33X-b12-1.188.O,17:33:05,17:33:05,56, Balbriggan,38016.91,60-33X-b12-1,33X,b12
166,8240DB003802,"Mourne View, stop 3802",53.58182212,-6.125493349,4922.1.60-33X-b12-1.188.O,17:33:26,17:33:26,57, Balbriggan,38207.95,60-33X-b12-1,33X,b12
167,8240DB003805,"Barnageeragh Road, stop 3805",53.5853222,-6.148237518,4922.1.60-33X-b12-1.188.O,17:35:26,17:35:26,58, Balbriggan,40100.29,60-33X-b12-1,33X,b12
168,8240DB007175,"Ardgillan Demesne, stop 7175",53.5895431,-6.154412733,4922.1.60-33X-b12-1.188.O,17:36:06,17:36:06,59, Balbriggan,40723.23,60-33X-b12-1,33X,b12
169,8240DB003806,"Hampton Cove, stop 3806",53.60297732,-6.167683909,4922.1.60-33X-b12-1.188.O,17:37:56,17:37:56,60, Balbriggan,42456.61,60-33X-b12-1,33X,b12
170,8240DB003807,"Fancourt Heights, stop 3807",53.60502054,-6.170814279,4922.1.60-33X-b12-1.188.O,17:38:15,17:38:15,61, Balbriggan,42762.99,60-33X-b12-1,33X,b12
171,8240DB003808,"Craoibhin Park, stop 3808",53.6059096,-6.17724387,4922.1.60-33X-b12-1.188.O,17:38:46,17:38:46,62, Balbriggan,43247.19,60-33X-b12-1,33X,b12
172,8240DB003809,"Old Market Green, stop 3809",53.6061235,-6.179486383,4922.1.60-33X-b12-1.188.O,17:38:55,17:38:55,63, Balbriggan,43397.77,60-33X-b12-1,33X,b12
173,8240DB007174,"Peter & Paul Church, stop 7174",53.6039519,-6.184445693,4922.1.60-33X-b12-1.188.O,17:39:31,17:39:31,64, Balbriggan,43973.16,60-33X-b12-1,33X,b12
