Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB003815,"Northcliffe Heights, stop 3815",53.58194361,-6.125216105,1130.1.60-33X-b12-1.189.I,07:55:00,07:55:00,1, Stephen's Gn,0.0,60-33X-b12-1,33X,b12
1,8240DB003816,"Mourne Drive, stop 3816",53.58047156,-6.127637364,1130.1.60-33X-b12-1.189.I,07:55:27,07:55:27,2, Stephen's Gn,230.36,60-33X-b12-1,33X,b12
2,8240DB003566,"Selskar Court, stop 3566",53.5780675,-6.125070504,1130.1.60-33X-b12-1.189.I,07:56:18,07:56:18,3, Stephen's Gn,700.15,60-33X-b12-1,33X,b12
3,8240DB003567,"Skerries Station, stop 3567",53.57627924,-6.119939546,1130.1.60-33X-b12-1.189.I,07:57:03,07:57:03,4, Stephen's Gn,1096.87,60-33X-b12-1,33X,b12
4,8240DB007292,"Skerries GAA Club, stop 7292",53.57753435,-6.112317635,1130.1.60-33X-b12-1.189.I,07:58:14,07:58:14,5, Stephen's Gn,1748.1,60-33X-b12-1,33X,b12
5,8240DB003818,"Church Street, stop 3818",53.57980244,-6.110238063,1130.1.60-33X-b12-1.189.I,07:58:46,07:58:46,6, Stephen's Gn,2034.41,60-33X-b12-1,33X,b12
6,8240DB003819,"Skerries, stop 3819",53.57999712,-6.106634837,1130.1.60-33X-b12-1.189.I,07:59:21,07:59:21,7, Stephen's Gn,2375.88,60-33X-b12-1,33X,b12
7,8240DB003820,"Strand Street, stop 3820",53.5778728,-6.105868951,1130.1.60-33X-b12-1.189.I,07:59:49,07:59:49,8, Stephen's Gn,2617.62,60-33X-b12-1,33X,b12
8,8240DB003822,"Brookville Lane, stop 3822",53.57536948,-6.104440526,1130.1.60-33X-b12-1.189.I,08:00:22,08:00:22,9, Stephen's Gn,2912.29,60-33X-b12-1,33X,b12
9,8240DB003823,"Skerries RFC, stop 3823",53.57277153,-6.10158195,1130.1.60-33X-b12-1.189.I,08:01:01,08:01:01,10, Stephen's Gn,3261.33,60-33X-b12-1,33X,b12
