Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
8004,8240DB004747,"Blanchardstown SC, stop 4747",53.39433278,-6.391852482,113.1.60-37-b12-1.29.I,23:00:00,23:00:00,1, Bachelor's Walk,0.0,60-37-b12-1,37,b12
8005,8240DB001882,"Millennium Park, stop 1882",53.39277258,-6.398812848,113.1.60-37-b12-1.29.I,23:01:59,23:01:59,3, Bachelor's Walk,1064.7,60-37-b12-1,37,b12
8006,8240DB007379,"Mountview Road, stop 7379",53.38974838,-6.400505036,113.1.60-37-b12-1.29.I,23:02:36,23:02:36,4, Bachelor's Walk,1421.82,60-37-b12-1,37,b12
8007,8240DB004903,"Lohunda Road, stop 4903",53.38666401,-6.401733181,113.1.60-37-b12-1.29.I,23:03:12,23:03:12,5, Bachelor's Walk,1776.91,60-37-b12-1,37,b12
8008,8240DB007219,"Limelawn, stop 7219",53.38425077,-6.402740594,113.1.60-37-b12-1.29.I,23:03:41,23:03:41,6, Bachelor's Walk,2057.05,60-37-b12-1,37,b12
8009,8240DB007218,"The Courtyard, stop 7218",53.38163842,-6.40297367,113.1.60-37-b12-1.29.I,23:04:08,23:04:08,7, Bachelor's Walk,2371.44,60-37-b12-1,37,b12
8010,8240DB007031,"Diswellstown Road, stop 7031",53.3742044,-6.401553505,113.1.60-37-b12-1.29.I,23:05:44,23:05:44,8, Bachelor's Walk,3431.08,60-37-b12-1,37,b12
8011,8240DB004897,"Luttrellstown Court, stop 4897",53.37215721,-6.398353896,113.1.60-37-b12-1.29.I,23:06:19,23:06:19,9, Bachelor's Walk,3746.35,60-37-b12-1,37,b12
8012,8240DB004898,"Castleknock College, stop 4898",53.37027583,-6.392788944,113.1.60-37-b12-1.29.I,23:07:07,23:07:07,10, Bachelor's Walk,4172.19,60-37-b12-1,37,b12
8013,8240DB004574,"Burnell Park Avenue, stop 4574",53.37045314,-6.387943192,113.1.60-37-b12-1.29.I,23:07:53,23:07:53,11, Bachelor's Walk,4578.79,60-37-b12-1,37,b12
8014,8240DB004575,"Carpenterstown Road, stop 4575",53.37266441,-6.388626159,113.1.60-37-b12-1.29.I,23:08:23,23:08:23,12, Bachelor's Walk,4844.46,60-37-b12-1,37,b12
8015,8240DB001680,"Bramley Walk, stop 1680",53.37553658,-6.388998684,113.1.60-37-b12-1.29.I,23:09:23,23:09:23,13, Bachelor's Walk,5372.83,60-37-b12-1,37,b12
