Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB007340,"Wilton Terrace, stop 7340",53.33425595,-6.246299977,10226.3.60-37-b12-1.30.O,12:40:00,12:40:00,1, Blanchardstown SC,0.0,60-37-b12-1,37,b12
1,8220DB000783,"Baggot St Lower, stop 783",53.33530854,-6.246977564,10226.3.60-37-b12-1.30.O,12:40:14,12:40:14,2, Blanchardstown SC,179.31,60-37-b12-1,37,b12
2,8220DB000784,"Fitzwilliam Street, stop 784",53.33645673,-6.248657371,10226.3.60-37-b12-1.30.O,12:40:45,12:40:45,3, Blanchardstown SC,349.55,60-37-b12-1,37,b12
3,8220DB000785,"Pembroke St Lower, stop 785",53.3371059,-6.251859373,10226.3.60-37-b12-1.30.O,12:41:39,12:41:39,4, Blanchardstown SC,627.81,60-37-b12-1,37,b12
4,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,10226.3.60-37-b12-1.30.O,12:44:02,12:44:02,5, Blanchardstown SC,1115.63,60-37-b12-1,37,b12
5,8220DB000793,"Dawson Street, stop 793",53.34085979,-6.258403869,10226.3.60-37-b12-1.30.O,12:47:53,12:47:53,6, Blanchardstown SC,1919.46,60-37-b12-1,37,b12
6,8220DB007586,"National Gallery, stop 7586",53.34197047,-6.253222288,10226.3.60-37-b12-1.30.O,12:50:08,12:50:08,8, Blanchardstown SC,2414.97,60-37-b12-1,37,b12
7,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,10226.3.60-37-b12-1.30.O,12:52:33,12:52:33,9, Blanchardstown SC,2971.8,60-37-b12-1,37,b12
8,8220DB007588,"Pearse Street, stop 7588",53.34498499,-6.254075317,10226.3.60-37-b12-1.30.O,12:53:22,12:53:22,10, Blanchardstown SC,3170.19,60-37-b12-1,37,b12
9,8220DB000329,"Aston Quay, stop 329",53.34627351,-6.261682845,10226.3.60-37-b12-1.30.O,12:56:49,12:56:49,12, Blanchardstown SC,3956.06,60-37-b12-1,37,b12
10,8220DB001443,"Civic Offices, stop 1443",53.34512939,-6.269539559,10226.3.60-37-b12-1.30.O,12:58:48,12:58:48,13, Blanchardstown SC,4493.23,60-37-b12-1,37,b12
11,8220DB001444,"Merchant's Quay, stop 1444",53.34507559,-6.274513197,10226.3.60-37-b12-1.30.O,13:00:53,13:00:53,14, Blanchardstown SC,4823.08,60-37-b12-1,37,b12
12,8220DB001445,"Usher's Quay, stop 1445",53.34598795,-6.279808388,10226.3.60-37-b12-1.30.O,13:03:12,13:03:12,15, Blanchardstown SC,5188.66,60-37-b12-1,37,b12
13,8220DB001647,"Blackhall Place, stop 1647",53.34835106,-6.282251726,10226.3.60-37-b12-1.30.O,13:05:48,13:05:48,16, Blanchardstown SC,5603.2,60-37-b12-1,37,b12
14,8220DB001648,"Stoneybatter, stop 1648",53.35109137,-6.282802485,10226.3.60-37-b12-1.30.O,13:07:55,13:07:55,17, Blanchardstown SC,5935.81,60-37-b12-1,37,b12
15,8220DB001649,"Manor Street, stop 1649",53.35257014,-6.284380448,10226.3.60-37-b12-1.30.O,13:08:37,13:08:37,18, Blanchardstown SC,6132.3,60-37-b12-1,37,b12
16,8220DB001911,"Prussia Street, stop 1911",53.35663451,-6.288258519,10226.3.60-37-b12-1.30.O,13:10:30,13:10:30,19, Blanchardstown SC,6657.69,60-37-b12-1,37,b12
17,8220DB000802,"Drumalee, stop 802",53.35649832,-6.291298723,10226.3.60-37-b12-1.30.O,13:11:20,13:11:20,20, Blanchardstown SC,6923.84,60-37-b12-1,37,b12
18,8220DB001654,"St David's Terrace, stop 1654",53.35614518,-6.29425743,10226.3.60-37-b12-1.30.O,13:12:06,13:12:06,21, Blanchardstown SC,7163.32,60-37-b12-1,37,b12
19,8220DB001655,"Blackhorse Avenue, stop 1655",53.35673217,-6.296968274,10226.3.60-37-b12-1.30.O,13:12:41,13:12:41,22, Blanchardstown SC,7355.75,60-37-b12-1,37,b12
20,8220DB001656,"McKee Park, stop 1656",53.35729728,-6.298778638,10226.3.60-37-b12-1.30.O,13:13:06,13:13:06,23, Blanchardstown SC,7491.91,60-37-b12-1,37,b12
21,8220DB001657,"Dunard Walk, stop 1657",53.35839211,-6.303076999,10226.3.60-37-b12-1.30.O,13:14:05,13:14:05,24, Blanchardstown SC,7802.32,60-37-b12-1,37,b12
22,8220DB004458,"Military Cemetery, stop 4458",53.36045005,-6.308118695,10226.3.60-37-b12-1.30.O,13:14:54,13:14:54,25, Blanchardstown SC,8211.0,60-37-b12-1,37,b12
23,8220DB001658,"Skreen Road, stop 1658",53.36198882,-6.309515188,10226.3.60-37-b12-1.30.O,13:15:33,13:15:33,26, Blanchardstown SC,8438.49,60-37-b12-1,37,b12
24,8220DB001659,"Croaghpatrick Road, stop 1659",53.36325997,-6.304716699,10226.3.60-37-b12-1.30.O,13:16:34,13:16:34,27, Blanchardstown SC,8786.49,60-37-b12-1,37,b12
25,8220DB001660,"Cabra Garda Station, stop 1660",53.36518655,-6.309373553,10226.3.60-37-b12-1.30.O,13:18:02,13:18:02,28, Blanchardstown SC,9253.13,60-37-b12-1,37,b12
26,8220DB001661,"Our Lady's Church, stop 1661",53.36644362,-6.313095538,10226.3.60-37-b12-1.30.O,13:19:30,13:19:30,29, Blanchardstown SC,9536.84,60-37-b12-1,37,b12
27,8220DB001662,"Baggot Road, stop 1662",53.36760294,-6.317542905,10226.3.60-37-b12-1.30.O,13:21:07,13:21:07,30, Blanchardstown SC,9859.31,60-37-b12-1,37,b12
28,8220DB001664,"Ashtown Grove, stop 1664",53.36940852,-6.32385863,10226.3.60-37-b12-1.30.O,13:22:06,13:22:06,31, Blanchardstown SC,10324.94,60-37-b12-1,37,b12
29,8220DB001665,"Kempton, stop 1665",53.37065784,-6.32770193,10226.3.60-37-b12-1.30.O,13:22:43,13:22:43,32, Blanchardstown SC,10615.33,60-37-b12-1,37,b12
30,8220DB001666,"Ashtown Roundabout, stop 1666",53.37159715,-6.330595731,10226.3.60-37-b12-1.30.O,13:23:24,13:23:24,33, Blanchardstown SC,10833.51,60-37-b12-1,37,b12
31,8220DB001667,"Castleknock Road, stop 1667",53.37086977,-6.334501519,10226.3.60-37-b12-1.30.O,13:24:12,13:24:12,34, Blanchardstown SC,11158.85,60-37-b12-1,37,b12
32,8220DB001668,"Old Race Course, stop 1668",53.37084274,-6.34030355,10226.3.60-37-b12-1.30.O,13:24:54,13:24:54,35, Blanchardstown SC,11566.38,60-37-b12-1,37,b12
33,8240DB001669,"Castleknock Gate, stop 1669",53.37023179,-6.344850795,10226.3.60-37-b12-1.30.O,13:25:26,13:25:26,36, Blanchardstown SC,11875.62,60-37-b12-1,37,b12
34,8240DB001670,"Oak Park, stop 1670",53.37027717,-6.350725067,10226.3.60-37-b12-1.30.O,13:27:32,13:27:32,37, Blanchardstown SC,12281.13,60-37-b12-1,37,b12
35,8240DB001671,"Peck's Lane, stop 1671",53.37119764,-6.356204972,10226.3.60-37-b12-1.30.O,13:29:33,13:29:33,38, Blanchardstown SC,12666.35,60-37-b12-1,37,b12
36,8240DB001672,"Oak Lodge, stop 1672",53.37199708,-6.359435435,10226.3.60-37-b12-1.30.O,13:30:45,13:30:45,39, Blanchardstown SC,12898.01,60-37-b12-1,37,b12
37,8240DB001673,"St Brigid's Church, stop 1673",53.37366603,-6.363158692,10226.3.60-37-b12-1.30.O,13:32:24,13:32:24,40, Blanchardstown SC,13214.9,60-37-b12-1,37,b12
38,8240DB001674,"Hawthorn Lawn, stop 1674",53.37750182,-6.366288274,10226.3.60-37-b12-1.30.O,13:33:34,13:33:34,41, Blanchardstown SC,13700.39,60-37-b12-1,37,b12
39,8240DB001675,"Ashleigh Green, stop 1675",53.37935536,-6.367750515,10226.3.60-37-b12-1.30.O,13:34:16,13:34:16,42, Blanchardstown SC,13933.39,60-37-b12-1,37,b12
40,8240DB007380,"Parklands, stop 7380",53.37880441,-6.372160689,10226.3.60-37-b12-1.30.O,13:35:32,13:35:32,43, Blanchardstown SC,14355.73,60-37-b12-1,37,b12
41,8240DB001676,"Castleknock Avenue, stop 1676",53.37801992,-6.375271945,10226.3.60-37-b12-1.30.O,13:36:13,13:36:13,44, Blanchardstown SC,14581.88,60-37-b12-1,37,b12
42,8240DB001517,"Oaktree Avenue, stop 1517",53.37743031,-6.379502979,10226.3.60-37-b12-1.30.O,13:37:12,13:37:12,45, Blanchardstown SC,14948.49,60-37-b12-1,37,b12
43,8240DB001678,"Carpenterstown Ave, stop 1678",53.37747457,-6.381440256,10226.3.60-37-b12-1.30.O,13:37:39,13:37:39,46, Blanchardstown SC,15129.92,60-37-b12-1,37,b12
44,8240DB001679,"Oaktree Green, stop 1679",53.37603618,-6.382742309,10226.3.60-37-b12-1.30.O,13:38:08,13:38:08,47, Blanchardstown SC,15317.52,60-37-b12-1,37,b12
45,8240DB004520,"Sycamore Drive, stop 4520",53.37533485,-6.386706722,10226.3.60-37-b12-1.30.O,13:39:06,13:39:06,48, Blanchardstown SC,15684.77,60-37-b12-1,37,b12
46,8240DB004825,"Bramley Walk, stop 4825",53.37549052,-6.390247909,10226.3.60-37-b12-1.30.O,13:39:44,13:39:44,49, Blanchardstown SC,15926.07,60-37-b12-1,37,b12
47,8240DB007233,"Bramley Park, stop 7233",53.37329871,-6.389008002,10226.3.60-37-b12-1.30.O,13:40:42,13:40:42,50, Blanchardstown SC,16253.55,60-37-b12-1,37,b12
48,8240DB004573,"Burnell Park Avenue, stop 4573",53.37061302,-6.387801901,10226.3.60-37-b12-1.30.O,13:41:38,13:41:38,51, Blanchardstown SC,16577.29,60-37-b12-1,37,b12
49,8240DB004893,"Diswellstown Road, stop 4893",53.37015864,-6.392763299,10226.3.60-37-b12-1.30.O,13:42:55,13:42:55,52, Blanchardstown SC,17022.23,60-37-b12-1,37,b12
50,8240DB004894,"Luttrellstown Court, stop 4894",53.37207736,-6.398432036,10226.3.60-37-b12-1.30.O,13:44:11,13:44:11,53, Blanchardstown SC,17452.04,60-37-b12-1,37,b12
51,8240DB004895,"Fernleigh Close, stop 4895",53.37424335,-6.401777489,10226.3.60-37-b12-1.30.O,13:45:08,13:45:08,54, Blanchardstown SC,17782.87,60-37-b12-1,37,b12
52,8240DB007217,"The Courtyard, stop 7217",53.38175842,-6.403209693,10226.3.60-37-b12-1.30.O,13:47:20,13:47:20,55, Blanchardstown SC,18890.14,60-37-b12-1,37,b12
