Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
116,8240DB004747,"Blanchardstown SC, stop 4747",53.39433278,-6.391852482,10227.3.60-37-b12-1.31.I,14:00:00,14:00:00,1, Wilton Terrace,0.0,60-37-b12-1,37,b12
117,8240DB001882,"Millennium Park, stop 1882",53.39277258,-6.398812848,10227.3.60-37-b12-1.31.I,14:03:12,14:03:12,3, Wilton Terrace,1064.7,60-37-b12-1,37,b12
118,8240DB007379,"Mountview Road, stop 7379",53.38974838,-6.400505036,10227.3.60-37-b12-1.31.I,14:04:11,14:04:11,4, Wilton Terrace,1421.82,60-37-b12-1,37,b12
119,8240DB004903,"Lohunda Road, stop 4903",53.38666401,-6.401733181,10227.3.60-37-b12-1.31.I,14:05:09,14:05:09,5, Wilton Terrace,1776.91,60-37-b12-1,37,b12
120,8240DB007219,"Limelawn, stop 7219",53.38425077,-6.402740594,10227.3.60-37-b12-1.31.I,14:05:55,14:05:55,6, Wilton Terrace,2057.05,60-37-b12-1,37,b12
121,8240DB007218,"The Courtyard, stop 7218",53.38163842,-6.40297367,10227.3.60-37-b12-1.31.I,14:06:46,14:06:46,7, Wilton Terrace,2371.44,60-37-b12-1,37,b12
122,8240DB007031,"Diswellstown Road, stop 7031",53.3742044,-6.401553505,10227.3.60-37-b12-1.31.I,14:09:45,14:09:45,8, Wilton Terrace,3431.08,60-37-b12-1,37,b12
123,8240DB004897,"Luttrellstown Court, stop 4897",53.37215721,-6.398353896,10227.3.60-37-b12-1.31.I,14:10:35,14:10:35,9, Wilton Terrace,3746.35,60-37-b12-1,37,b12
124,8240DB004898,"Castleknock College, stop 4898",53.37027583,-6.392788944,10227.3.60-37-b12-1.31.I,14:11:44,14:11:44,10, Wilton Terrace,4172.19,60-37-b12-1,37,b12
125,8240DB004574,"Burnell Park Avenue, stop 4574",53.37045314,-6.387943192,10227.3.60-37-b12-1.31.I,14:12:51,14:12:51,11, Wilton Terrace,4578.79,60-37-b12-1,37,b12
126,8240DB004575,"Carpenterstown Road, stop 4575",53.37266441,-6.388626159,10227.3.60-37-b12-1.31.I,14:13:33,14:13:33,12, Wilton Terrace,4844.46,60-37-b12-1,37,b12
127,8240DB001680,"Bramley Walk, stop 1680",53.37553658,-6.388998684,10227.3.60-37-b12-1.31.I,14:15:01,14:15:01,13, Wilton Terrace,5372.83,60-37-b12-1,37,b12
128,8240DB001681,"Sycamore Drive, stop 1681",53.3754027,-6.385742241,10227.3.60-37-b12-1.31.I,14:15:39,14:15:39,14, Wilton Terrace,5602.56,60-37-b12-1,37,b12
129,8240DB001682,"Oaktree Green, stop 1682",53.37613703,-6.382888789,10227.3.60-37-b12-1.31.I,14:16:27,14:16:27,15, Wilton Terrace,5888.19,60-37-b12-1,37,b12
130,8240DB001683,"Maple Glen, stop 1683",53.37747701,-6.381620531,10227.3.60-37-b12-1.31.I,14:16:55,14:16:55,16, Wilton Terrace,6057.11,60-37-b12-1,37,b12
131,8240DB001684,"Oaktree Avenue, stop 1684",53.37762875,-6.379555566,10227.3.60-37-b12-1.31.I,14:17:28,14:17:28,17, Wilton Terrace,6259.16,60-37-b12-1,37,b12
132,8240DB001685,"Castleknock Vale, stop 1685",53.37806708,-6.375435489,10227.3.60-37-b12-1.31.I,14:18:31,14:18:31,18, Wilton Terrace,6639.89,60-37-b12-1,37,b12
133,8240DB001686,"Parklands, stop 1686",53.37880974,-6.372551297,10227.3.60-37-b12-1.31.I,14:19:06,14:19:06,19, Wilton Terrace,6847.24,60-37-b12-1,37,b12
134,8240DB001687,"Ashleigh Green, stop 1687",53.37958851,-6.367711534,10227.3.60-37-b12-1.31.I,14:20:19,14:20:19,20, Wilton Terrace,7286.85,60-37-b12-1,37,b12
135,8240DB001688,"Oak Lawns, stop 1688",53.37620885,-6.364413894,10227.3.60-37-b12-1.31.I,14:21:24,14:21:24,21, Wilton Terrace,7729.08,60-37-b12-1,37,b12
136,8240DB001689,"Castleknock, stop 1689",53.37269826,-6.361407348,10227.3.60-37-b12-1.31.I,14:23:40,14:23:40,22, Wilton Terrace,8187.08,60-37-b12-1,37,b12
137,8240DB001690,"Peck's Lane, stop 1690",53.37156627,-6.356867066,10227.3.60-37-b12-1.31.I,14:24:32,14:24:32,23, Wilton Terrace,8517.56,60-37-b12-1,37,b12
138,8240DB001691,"Deerpark Road, stop 1691",53.3706099,-6.351388486,10227.3.60-37-b12-1.31.I,14:25:31,14:25:31,24, Wilton Terrace,8903.68,60-37-b12-1,37,b12
139,8240DB001692,"Park View, stop 1692",53.36996654,-6.347761504,10227.3.60-37-b12-1.31.I,14:26:12,14:26:12,25, Wilton Terrace,9169.57,60-37-b12-1,37,b12
140,8240DB001693,"Castleknock Gate, stop 1693",53.37046246,-6.343985239,10227.3.60-37-b12-1.31.I,14:26:40,14:26:40,26, Wilton Terrace,9425.13,60-37-b12-1,37,b12
141,8220DB001694,"Old Race Course, stop 1694",53.37101739,-6.339936076,10227.3.60-37-b12-1.31.I,14:27:12,14:27:12,27, Wilton Terrace,9701.48,60-37-b12-1,37,b12
142,8220DB001695,"Ashtown Gate, stop 1695",53.37101014,-6.334255586,10227.3.60-37-b12-1.31.I,14:27:58,14:27:58,28, Wilton Terrace,10119.05,60-37-b12-1,37,b12
143,8220DB001696,"Ashtown Roundabout, stop 1696",53.37154152,-6.329831443,10227.3.60-37-b12-1.31.I,14:29:45,14:29:45,29, Wilton Terrace,10519.95,60-37-b12-1,37,b12
144,8220DB001697,"Kempton, stop 1697",53.37080115,-6.327666259,10227.3.60-37-b12-1.31.I,14:30:06,14:30:06,30, Wilton Terrace,10685.04,60-37-b12-1,37,b12
