Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB007333,"Mespil Hotel, stop 7333",53.33298967,-6.246982573,15062.2.60-38-b12-1.190.O,17:15:00,17:15:00,1, Damastown,0.0,60-38-b12-1,38,b12
1,8220DB000783,"Baggot St Lower, stop 783",53.33530854,-6.246977564,15062.2.60-38-b12-1.190.O,17:16:50,17:16:50,2, Damastown,406.54,60-38-b12-1,38,b12
2,8220DB000784,"Fitzwilliam Street, stop 784",53.33645673,-6.248657371,15062.2.60-38-b12-1.190.O,17:17:17,17:17:17,3, Damastown,576.78,60-38-b12-1,38,b12
3,8220DB000785,"Pembroke St Lower, stop 785",53.3371059,-6.251859373,15062.2.60-38-b12-1.190.O,17:18:03,17:18:03,4, Damastown,855.05,60-38-b12-1,38,b12
4,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,15062.2.60-38-b12-1.190.O,17:20:01,17:20:01,5, Damastown,1342.87,60-38-b12-1,38,b12
5,8220DB000793,"Dawson Street, stop 793",53.34085979,-6.258403869,15062.2.60-38-b12-1.190.O,17:23:12,17:23:12,6, Damastown,2146.7,60-38-b12-1,38,b12
6,8220DB000274,"O'Connell St Upper, stop 274",53.35034908,-6.260720869,15062.2.60-38-b12-1.190.O,17:29:49,17:29:49,9, Damastown,3297.08,60-38-b12-1,38,b12
7,8220DB000002,"Parnell Square West, stop 2",53.35224436,-6.263723219,15062.2.60-38-b12-1.190.O,17:33:30,17:33:30,10, Damastown,3713.15,60-38-b12-1,38,b12
8,8220DB000192,"Mountjoy Street, stop 192",53.35639721,-6.26807647,15062.2.60-38-b12-1.190.O,17:36:02,17:36:02,11, Damastown,4324.35,60-38-b12-1,38,b12
9,8220DB000795,"Berkeley Road, stop 795",53.35874004,-6.269724278,15062.2.60-38-b12-1.190.O,17:37:12,17:37:12,12, Damastown,4616.0,60-38-b12-1,38,b12
10,8220DB000796,"Berkeley Road, stop 796",53.36001821,-6.269852786,15062.2.60-38-b12-1.190.O,17:38:00,17:38:00,13, Damastown,4755.88,60-38-b12-1,38,b12
11,8220DB000057,"Dalymount, stop 57",53.36081622,-6.276551675,15062.2.60-38-b12-1.190.O,17:41:07,17:41:07,14, Damastown,5280.3,60-38-b12-1,38,b12
12,8220DB000058,"Churchview Home, stop 58",53.36094625,-6.281204202,15062.2.60-38-b12-1.190.O,17:42:09,17:42:09,15, Damastown,5589.54,60-38-b12-1,38,b12
13,8220DB000059,"Annamoe Terrace, stop 59",53.36101801,-6.284942563,15062.2.60-38-b12-1.190.O,17:42:59,17:42:59,16, Damastown,5837.93,60-38-b12-1,38,b12
14,8220DB000060,"Quarry Road, stop 60",53.36127922,-6.2893645,15062.2.60-38-b12-1.190.O,17:43:58,17:43:58,17, Damastown,6132.14,60-38-b12-1,38,b12
15,8220DB001802,"Cabra Road, stop 1802",53.36138032,-6.294544145,15062.2.60-38-b12-1.190.O,17:45:09,17:45:09,18, Damastown,6476.27,60-38-b12-1,38,b12
16,8220DB001795,"Rosecourt, stop 1795",53.3615034,-6.296868142,15062.2.60-38-b12-1.190.O,17:45:41,17:45:41,19, Damastown,6630.91,60-38-b12-1,38,b12
17,8220DB001806,"Navan Road, stop 1806",53.36290691,-6.302642142,15062.2.60-38-b12-1.190.O,17:47:06,17:47:06,20, Damastown,7052.15,60-38-b12-1,38,b12
18,8220DB001660,"Cabra Garda Station, stop 1660",53.36518655,-6.309373553,15062.2.60-38-b12-1.190.O,17:48:50,17:48:50,21, Damastown,7567.05,60-38-b12-1,38,b12
19,8220DB001661,"Our Lady's Church, stop 1661",53.36644362,-6.313095538,15062.2.60-38-b12-1.190.O,17:49:49,17:49:49,22, Damastown,7850.76,60-38-b12-1,38,b12
20,8220DB001662,"Baggot Road, stop 1662",53.36760294,-6.317542905,15062.2.60-38-b12-1.190.O,17:50:55,17:50:55,23, Damastown,8173.23,60-38-b12-1,38,b12
21,8220DB001664,"Ashtown Grove, stop 1664",53.36940852,-6.32385863,15062.2.60-38-b12-1.190.O,17:51:58,17:51:58,24, Damastown,8638.86,60-38-b12-1,38,b12
22,8220DB001665,"Kempton, stop 1665",53.37065784,-6.32770193,15062.2.60-38-b12-1.190.O,17:52:37,17:52:37,25, Damastown,8929.25,60-38-b12-1,38,b12
23,8220DB001666,"Ashtown Roundabout, stop 1666",53.37159715,-6.330595731,15062.2.60-38-b12-1.190.O,17:53:21,17:53:21,26, Damastown,9147.43,60-38-b12-1,38,b12
24,8220DB001807,"Phoenix Park Avenue, stop 1807",53.37441446,-6.339262883,15062.2.60-38-b12-1.190.O,17:54:35,17:54:35,27, Damastown,9814.74,60-38-b12-1,38,b12
25,8240DB007167,"Parkway Station, stop 7167",53.3758663,-6.344782592,15062.2.60-38-b12-1.190.O,17:55:09,17:55:09,28, Damastown,10216.27,60-38-b12-1,38,b12
26,8240DB001808,"Morgan Place, stop 1808",53.37924155,-6.354226659,15062.2.60-38-b12-1.190.O,17:57:30,17:57:30,29, Damastown,10947.64,60-38-b12-1,38,b12
27,8240DB002961,"Auburn Avenue, stop 2961",53.37883318,-6.358511272,15062.2.60-38-b12-1.190.O,17:59:09,17:59:09,30, Damastown,11463.79,60-38-b12-1,38,b12
28,8240DB004901,"Hadleigh Green, stop 4901",53.37614473,-6.358434312,15062.2.60-38-b12-1.190.O,18:00:07,18:00:07,31, Damastown,11762.7,60-38-b12-1,38,b12
29,8240DB004902,"Stockton Green, stop 4902",53.37337605,-6.358405531,15062.2.60-38-b12-1.190.O,18:01:06,18:01:06,32, Damastown,12070.6,60-38-b12-1,38,b12
30,8240DB001672,"Oak Lodge, stop 1672",53.37199708,-6.359435435,15062.2.60-38-b12-1.190.O,18:01:49,18:01:49,33, Damastown,12295.23,60-38-b12-1,38,b12
31,8240DB001673,"St Brigid's Church, stop 1673",53.37366603,-6.363158692,15062.2.60-38-b12-1.190.O,18:02:49,18:02:49,34, Damastown,12612.12,60-38-b12-1,38,b12
32,8240DB001674,"Hawthorn Lawn, stop 1674",53.37750182,-6.366288274,15062.2.60-38-b12-1.190.O,18:03:38,18:03:38,35, Damastown,13097.61,60-38-b12-1,38,b12
33,8240DB001675,"Ashleigh Green, stop 1675",53.37935536,-6.367750515,15062.2.60-38-b12-1.190.O,18:04:14,18:04:14,36, Damastown,13330.61,60-38-b12-1,38,b12
34,8240DB001849,"Park Lodge, stop 1849",53.38079181,-6.369604618,15062.2.60-38-b12-1.190.O,18:04:46,18:04:46,37, Damastown,13534.3,60-38-b12-1,38,b12
35,8240DB001851,"The Parochial House, stop 1851",53.38462822,-6.372133934,15062.2.60-38-b12-1.190.O,18:06:36,18:06:36,38, Damastown,13992.66,60-38-b12-1,38,b12
36,8240DB001813,"Blanchardstown Vlge, stop 1813",53.38567975,-6.374108313,15062.2.60-38-b12-1.190.O,18:07:23,18:07:23,39, Damastown,14188.73,60-38-b12-1,38,b12
37,8240DB001814,"Ramor Park, stop 1814",53.38756181,-6.378997886,15062.2.60-38-b12-1.190.O,18:08:45,18:08:45,40, Damastown,14575.71,60-38-b12-1,38,b12
38,8240DB001816,"Waterville Row, stop 1816",53.39308998,-6.378381821,15062.2.60-38-b12-1.190.O,18:11:34,18:11:34,41, Damastown,15367.12,60-38-b12-1,38,b12
39,8240DB001817,"Corduff Crescent, stop 1817",53.39605298,-6.374855708,15062.2.60-38-b12-1.190.O,18:13:14,18:13:14,42, Damastown,15841.82,60-38-b12-1,38,b12
40,8240DB001818,"Aquatic Centre, stop 1818",53.39756349,-6.372256763,15062.2.60-38-b12-1.190.O,18:13:46,18:13:46,43, Damastown,16089.14,60-38-b12-1,38,b12
41,8240DB001819,"Corduff, stop 1819",53.39963299,-6.374403466,15062.2.60-38-b12-1.190.O,18:14:32,18:14:32,44, Damastown,16447.05,60-38-b12-1,38,b12
42,8240DB001822,"St Patrick's Church, stop 1822",53.39965265,-6.377831496,15062.2.60-38-b12-1.190.O,18:15:20,18:15:20,45, Damastown,16722.68,60-38-b12-1,38,b12
43,8240DB004994,"Warrenstown Green, stop 4994",53.40093801,-6.38646007,15062.2.60-38-b12-1.190.O,18:17:31,18:17:31,46, Damastown,17479.0,60-38-b12-1,38,b12
44,8240DB004995,"Castlecurragh Heath, stop 4995",53.40251744,-6.388941975,15062.2.60-38-b12-1.190.O,18:18:15,18:18:15,47, Damastown,17738.29,60-38-b12-1,38,b12
45,8240DB004996,"Castlecurragh Vale, stop 4996",53.40383881,-6.39095252,15062.2.60-38-b12-1.190.O,18:18:50,18:18:50,48, Damastown,17941.84,60-38-b12-1,38,b12
46,8240DB001827,"Parslickstown Ave, stop 1827",53.40704194,-6.398562738,15062.2.60-38-b12-1.190.O,18:20:41,18:20:41,49, Damastown,18572.14,60-38-b12-1,38,b12
47,8240DB007382,"Damastown Close, stop 7382",53.40883216,-6.408768957,15062.2.60-38-b12-1.190.O,18:22:00,18:22:00,50, Damastown,19293.48,60-38-b12-1,38,b12
48,8240DB007381,"Damastown Ind Park, stop 7381",53.4103481,-6.415977753,15062.2.60-38-b12-1.190.O,18:22:58,18:22:58,51, Damastown,19816.86,60-38-b12-1,38,b12
49,8240DB004742,"Damastown Green, stop 4742",53.41097861,-6.420151156,15062.2.60-38-b12-1.190.O,18:23:30,18:23:30,52, Damastown,20101.34,60-38-b12-1,38,b12
